,Press,Title,Text
0,TV조선,"文대통령 국회 시정연설…""방역과 경제의 동반 성공, 기필코 잡겠다""","           play-rounded-fillplay-rounded-outlineplay-sharp-fillplay-sharp-outline   pause-sharp-outlinepause-sharp-fillpause-rounded-outlinepause-rounded-fill   00:00              ShareTwitterEmbed      ▶  다음 동영상이 곧 재생됩니다. 취소    3분 미리보기가 종료되었습니다. 풀 영상을 감상하시려면 아래의 VOD 구매를 통해 이용하실 수 있습니다. VOD 구매       [문재인 대통령 국회 시정연설 주요 발언]""코로나 대유행으로 세계적 격변의 해""""대공황 이후 최악의 경제위기""""한국, '위기에 강한 나라' 전세계에 증명""""방역과 경제 모두 세계에서 가장 선방""""K방역은 전세계의 모범이자 대한민국 자부심""""재확산 위기 때마다 성공적으로 극복""""전세계 코로나 재확산 속 한국은 방역 완화""""매우 예외적 선방…국민과 의료진에 깊은 감사""""한국, 가장 빨리 경제 회복하는 나라로 평가 받아""""4차례 추경 신속하게 결정한 국회에 감사""""이제 경제에서 확실한 반등을 이뤄야""""3분기 성장률 반등…재확산 견디며 일궈낸 성과""""방역과 경제의 동반 성공, 기필코 잡겠다"""
1,TV조선,"文, 수험생들에 ""안쓰럽고 미안한 마음"" 격려 메시지","        문재인 대통령은 오늘(2일) 오후 SNS 메시지를 통해 수능 시험을 하루 앞둔 수험생들이 ""대견하고 자랑스럽""다며 응원했다. 문 대통령은 ""수능 준비만으로도 힘든데, 코로나 상황에서 시험을 치르게 되어 더 힘들고 걱정이 많았을 것""이라며 ""안쓰럽고 미안한 마음""이고 ""따뜻한 목도리를 둘러주고 싶""다고 했다. 이어 ""마음은 마음으로 가서 힘이"" 된다며 ""안아주고 품어준 부모님들, 가르쳐주고 다독여준 선생님들의 마음을 여러분 마음에 꼭 담아주길 바""란다고 했다. 문 대통령은 수험생들에 ""이미 반짝이는 존재이며 더욱 빛나는 날들이 함께할 것""이라고 했고, ""우리 모두 여러분을 응원하고 있""다며 자신있게! 침착하게!""라고 격려했다. 앞서 문 대통령은 지난달 30일 트위터 메시지를 통해 ""전 세계가 우리의 수능을 주목하고 있다""며 ""예외 없이 무사하고 안전하게 수능을 치러낸다면 K-방역의 우수성이 더욱 빛나게 될 것""이라고 밝혔다. 그러자 입시 관련 온라인 커뮤니티 등에선 일부 수험생들이 수능 연기 불가 이유가 ""K-방역의 우수함을 알리고 싶어서냐""며 코로나19 재확산 속 수능을 치르는 데 대한 불안과 불만을 토로하기도 했다. / 신은서 기자"
2,TV조선,"'3밀' 핼러윈 행사 감염 우려…방역당국 ""모임 등 자제해달라""","방역당국이 오는 31일 '핼러윈 데이'로 인한 코로나19 재확산을 우려해 다중이용시설 방문을 자제해달라고 당부했다. 지난 5월 이태원 클럽 방문자를 중심으로 수도권 대규모 집단감염이 발생했던 것처럼, 거리두기가 완화된 상황에서 핼러윈 행사 등을 통해 확산세가 다시 급증할 가능성이 있기 때문이다. 권준욱 중앙방역대책본부 부본부장은 24일 정례브리핑에서 ""코로나19는 '3밀'(밀집·밀접·밀폐) 환경 어느 곳에서든 발생할 수 있다""며 ""발열과 호흡기 증상이 있는 경우 많은 사람이 모이는 행사나 클럽·주점 등 다중이용시설 방문을 자제해 달라""고 밝혔다. 이어 ""신체 접촉이나 노래 부르기 등 침방울이 발생할 수 있는 행위를 자제하고, 음식 나눠 먹지 않기도 실천해야 한다""며 ""가능한 짧은 시간 머무르고, 모임 이후 증상이 나타나면 바로 검사를 받아 달라""고 당부했다. / 정은혜 기자"
3,TV조선,남양주 요양원서 35명 무더기 확진…건물 전체 코호트 격리,"경기도 남양주의 한 요양원에서 입소자와 종사자 등 35명이 무더기로 코로나19 확진 판정을 받았다. 방역당국은 해당 건물 전체를 코호트 격리 조치했다. 방역당국에 따르면 남양주의 해당 요양원에서는 어제(22일) 80대 입소자가 처음 확진됐고, 이후 입소자와 직원 등 37명을 전수검사한 결과 34명이 추가 확진 판정을 받았다. 해당 요양원이 입주한 건물에는 1~2층에 요양원 7곳이 입주해 있고, 이 가운데 2곳에서는 지난 8월에도 18명이 무더기 확진 판정을 받기도 했다. / 배상윤 기자"
4,TV조선,[취재후 Talk] 우리경제①…올해 결정적 장면 2가지 '추경·코로나 재확산',"        올해 우리 경제는 기록을 참 많이도 세웠습니다. 마이너스 성장률, 사라진 일자리, 더 줄어든 출산, 더 빨라진 고령화 등 일일이 나열하기도 힘들 정도입니다. 코로나19 확산으로 경제가 어려워질 거란 건 확실했었고, 그랬기에 정부는 쉴새없이 대책을 쏟아냈습니다. 이렇게 숨가쁘게 달려온 올해 경제 되돌아보니 결정적 장면 2가지가 떠올랐습니다. 하지만 이 뿐만 아니라 더 많은 사건과 정책 등이 우리 경제에 영향을 미쳤다는 걸 잘 알고 있습니다. 다만, 경제의 향방을 유의미하게 바꿨다고 생각되는 사건에 무게를 두다보니 이 2가지 사건을 꼽게 되었습니다. 그러면 올해 경제의 시간을 되감아 보겠습니다. 코로나19로 휴업에 들어간 카페 안내문 / 조선일보DB■ 코로나19 코로나 경제위기는 달랐습니다. 과거의 경제위기는 금융이나 부동산 같이 한 부문에서 충격이 시작되고 다른 산업으로 번져 위기가 되었다면 코로나는 그야말로 경제 전체에 동시다발적인 충격을 가한 것이죠. 장하준 영국 케임브리지대 교수는 미국의 육가공 공장을 예로 들었습니다. 코로나19 확진자가 나와 공장이 멈췄고, 주변 지역 사람들은 육가공품을 구할 수 없었던 일이 벌어진 겁니다. 생산, 그것도 산업에서 하위단위인 육가공 공장까지 문을 닫아야 하는 현상은 기존의 위기에서는 볼 수 없었던 일입니다. 그만큼 정부는 특단의 대책을 필요로 했고, 특정 산업이 아니라 산업 전반에서 일어나는 충격을 흡수하려고 애썼습니다. 제조업과 서비스업, 도소매업, 교육서비스업, 여행업, 항공업 등 산업 분야에 지원대책을 내놨죠. 추경을 포함해서 직·간접적으로 들어간 예산만 180조 원이 넘습니다. K-방역의 도움으로 다른 나라에 비해 경제충격을 적게 받았다는 해외기관들의 분석도 있었지만, 우리 국민들 가운데 힘들지 않았던 사람은 없습니다. 저 또한 수차례 반복되는 심각한 경제지표를 보며 '역사의 한 순간을 살아가고 있구나' 하는 생각이 들기도 했습니다. 지난 19일 한국판 뉴딜 관계장관회의에 참석하는 홍남기 부총리 겸 기획재정부 장관 / 조선일보DB■ 추경 올해 가장 바빴던 정부조직 중 하나가 기획재정부 예산실이 아닐까 싶습니다. 내년도 예산을 편성하는 주업무 말고도 무려 4번이나 추경을 더 했으니까요. 한 해에 추경을 4차례 한 건 1961년 이후 51년 만에 처음입니다. 당시엔 국가재정이라는 개념이 없고 미국의 원조를 받을 때마다 추경으로 표시했기 때문에 지금과는 개념이 좀 다릅니다. 사실상 국가재정 시스템이 잡힌 이후로 4차례 추경을 한 것을 첫 사례라고 봐도 무방할 듯 싶습니다. 그래서 이렇게 들어간 추경의 효과가 항상 궁금했습니다. 지난 12일, 한국개발연구원(KDI)가 '2020년 하반기 경제전망'을 발표했습니다. 올해 경제성장률 전망치를 -1.1%로 내놨습니다. 그래서 물어봤습니다. ""4차 추경의 성장률 제고효과를 얼마로 보십니까?"" ""추경이 다양하게 적용이 됐는데 저희가 보기에 한 0.5%p, 올해 성장률을 0.5%p 상향 조정하는 그런 효과가 있었던 것으로 보입니다."" 만약 추경이 없었다면 -1.6%가 됐을 거라는 의미입니다. 어차피 역성장이니 큰 차이가 없다고 볼수도 있지만 성장률에서 0.5%p 차이는 정말 큰 숫자이고, 내년의 성장률의 전제조건이 되기 때문에 표시된 숫자 이상의 의미를 가지고 있습니다. 그리고 그 속에는 긴급재난지원금으로 오랜만에 소고기를 사먹고 안경을 맞췄다는 어느 노부부의 이야기처럼 소시민들의 사소한 행복도 녹아있습니다. 하지만 어느 때보다 최악의 수준으로 우리 재정상황을 악화시켰다는 우려도 잊지 말아야 합니다. 2020년 코로나19 위기와 추경은 우리 경제사에 있어 중요한 한 페이지를 장식했다는데 이견이 없을 듯 합니다. 코로나19 검사를 시행하고 있는 보건소 / 조선일보DB■ 코로나 재확산 지난 8월 12일, 사랑제일교회에서 첫 확진자가 보고되고 광복절엔 도심집회가 진행됐습니다. 100명 아래에 머물던 코로나19 확진자가 수백 명대로 올라섰습니다. 방역팀에게도 뼈아픈 순간이었지만, 경제팀에게도 아쉬웠을 순간입니다. 15~17일로 이어지는 황금연휴에 소비쿠폰을 대대적으로 뿌리면서 소비반등을 꾀했기 때문입니다. 특히 1~2분기와 달리 코로나19 확진자가 안정세로 들어가면서 V자 반등으로 갈수도 있는 기로에 섰었기에 더 그랬을 겁니다. 결국 3분기에 받아든 성장률 성적표는 1.9%였습니다. 1분기 -1.3%, 2분기 -3.2%를 기록한 뒤에 크게 뛴 모습입니다. 하지만 제가 만난 정부 고위 공직자는 이 숫자에 대해 큰 아쉬움을 나타냈습니다. 그러면서 당초 전망치는 2.4%라고 못박았습니다. 특히 앞숫자가 2가 아니라 1이었던 것을 못내 아쉬워했습니다. 이후 이호승 청와대 경제수석도 한 라디오에서 코로나19 재확산이 없었다면 GDP 성장률 2.4%가 가능했을 거라고 말했습니다. 코로나19 재확산에 따른 성장률 영향이 -0.5%p라는 의미입니다. 하지만 반론도 있습니다. 단순히 소비의 규모가 줄었다고 성장률 자체가 하락하지 않고, 이미 8월 들어 여러 경제지표에서 하락신호가 감지됐다는 것이죠. 하지만 8월의 여러 지표를 보면 사회적 거리두기의 영향을 받는 업종의 감소폭이 두드러지게 나타납니다. 특히 서비스업 생산의 경우 7월 0.3%, 8월 -1.0.%, 9월 0.3%를 기록했는데, 이처럼 8월 지표가 푹 꺼졌다가 다시 올라가는 경우가 종종 나타납니다. 만약 사회적 거리두기가 강화되지 않고 경제활동이 기지개를 켰다면 하락보다는 상승쪽에 영향을 줬을 거라는 건 분명해 보입니다. ■ 3차 유행 경제팀의 계획은 '4분기 추가 반등'입니다. 국제통화기금(IMF)이나 경제개발협력기구(OECD)도 올해 우리 경제 성장률이 다른 나라와 비교해서 크게 선방할 것이라는 전망을 내놨습니다. 하지만 8월 재확산으로 성장동력이 떨어졌고 불확실성도 커졌다는 평가가 지배적입니다. 그리고 또 코로나19 3차 유행을 마주하고 있습니다. 연초부터 이어진 경제위기가 연말까지 쉴새없이 몰아치게 됐습니다. 지금까지의 전망엔 3차 유행이 반영되지 않았기 때문에 연말 경기는 더 안좋을 수도 있습니다.정부는 어떤 대응카드를 가지고 있을까요. 기획재정부는 당장 12월 중순에 발표할 예정인 내년도 경제정책방향을 준비하면서 어떻게 대응할지 고심하고 있습니다. 정치권에선 5차 추경까지 나오고 있는 상황입니다. 이미 재정상황은 크게 악화됐고, 쓸 수 있는 카드는 이미 다 썼다는 얘기도 나옵니다. 그렇다고 마냥 손놓고 있을 수만은 없습니다. 문재인 대통령은 반등한 3분기 경제성장률을 보고 ""코로나 2차 대유행 속에 대한민국의 진면목이 부각됐다""고 평가했습니다. 진짜 진면목은 이제 보여줄 차례입니다. / 송병철 기자"
5,TV조선,군산 방문해 전통시장 등 다닌 서울 거주 70대 확진,"        전라북도는 결혼식 참석을 위해 군산을 방문한 서울 거주 70대 A씨가 코로나19 확진 판정을 받았다고 밝혔다. 방역당국에 따르면 A씨는 지난 13일 서울에서 군산으로 이동해 친척 집에 머무르다가 다음날 결혼식장과 전통시장, 납골당 등을 방문했다. A씨는 서울 강서구 374번 확진자인 자녀가 코로나19에 감염됐다는 소식을 듣고 군산시보건소에서 진단 검사를 받은 뒤 어제(15일) 확진됐다. A씨는 군산의료원 격리병실에 입원해 치료를 받을 예정이다. 보건당국은 A씨의 휴대전화 GPS와 카드사용 내용을 통해 추가 동선과 접촉자를 파악하고 있다. / 박건우 기자"
6,TV조선,"軍, 수도권·강원 부대 거리두기 1.5단계 격상…""17일부터 2주간""","        국방부가 신종 코로나바이러스 감염증(코로나19) 확산세가 거세짐에 따라 앞으로 2주간 수도권과 강원도의 부대 거리두기를 1.5단계로 격상하기로 했다고 16일 밝혔다. 서욱 국방부 장관은 이날 긴급 주요지휘관 회의를 열고 17일부터 29일까지 수도권·강원 지역에 대해 부대 거리두기를 1.5단계로 격상해 행사·방문·출장·회의 최소화 및 유흥시설 방문금지 등의 지침을 적용하기로 했다. 또 강원지역 간부의 회식·사적모임은 2단계 지침을 적용해 통제를 강화하기로 했다. 수도권·강원 지역 장병의 휴가·외출은 지금처럼 방역 수칙 준수를 조건으로 가능하고, 집단감염이 발생한 지역의 장병 휴가는 현장 지휘관 판단 아래 연기를 권고하도록 했다. 거리두기 2단계가 적용된 강원 지역의 간부에 대해서는 일과 후 숙소 대기를 원칙으로 하고 회식과 사적 모임은 자제하도록 했다. 다만 필요 시 외출은 가능하다. 서 장관은 회의에서 “군이 코로나19 확산 차단을 위해 강화된 방역대책을 적용해 오면서 집단생활의 특수성에도 낮은 발생률 유지해 왔다”며 “그러나 최근 동절기를 맞아 지역사회 감염이 증가하고 군내 확진자가 늘고 있는 상황”이라면서 대책을 마련을 지시했다. 서 장관은 특히 “개인 방역수칙을 철저히 준수하고, 핵심 군사시설·전력에 대한 고강도 감염차단 대책을 시행하라”며 “또 지휘관 및 장병들이 코로나19 예방에 대한 경각심을 제고해 확고한 군사대비태세를 유지해 달라”고 당부했다. 국방부는 동절기 코로나19 재유행에 대비해 ‘호흡기 및 발열환자 진료 지침’에 따라 군병원 선별진료소(전국 12개소) 운영을 강화할 방침이다. / 윤동빈 기자"
7,TV조선,국내 신규확진 205명 늘어…73일 만에 다시 200명대," / 연합뉴스        국내 코로나19 신규 확진자 수는 205명으로, 지난 9월이후 73일 만에 다시 200명대를 기록했다. 질병관리청 중앙방역대책본부는 오늘(14일) 0시 기준 코로나19 국내 신규 확진자가 205명 늘어 총 2만 8338명으로 집계됐다고 밝혔다. 지역 발생은 166명으로 서울 63명, 경기 46명 등 여전히 수도권에 집중됐다. 그 밖에는 강원 18명, 전남 13명, 충남 11명, 광주 7명, 경남 3명, 대전 2명, 그리고 부산과 세종, 전북에서 각 1명씩 신규 확진자가 나왔다. 해외유입 사례는 39명으로, 내국인 19명, 외국인 20명이다. 사망자는 4명 추가돼 총 492명이고, 완치해 격리 해제된 확진자는 99명 늘어 총 2만 5636명이다."
8,TV조선,국내 신규확진 191명…9월 이후 70일 만에 '최다',"붐비는 국립중앙의료원 선별진료소 / 연합뉴스        국내 코로나19 신규 확진자 수는 191명으로, 지난 9월 이후 70일 만에 최다를 기록했다. 질병관리청 중앙방역대책본부는 오늘(13일) 0시 기준 코로나19 국내 신규 확진자가 191명 늘어 총 2만 8133명으로 집계됐다고 밝혔다. 지역 발생은 162명으로 서울 74명, 경기 36명, 인천 3명 등 여전히 수도권에 집중됐다. 그 외에 강원 23명, 전남 9명, 충남 7명, 광주 5명, 경남 2명, 대구와 세종, 제주에서 각 1명씩 신규 확진자가 나왔다. 해외유입 사례는 29명으로, 내국인 7명, 외국인 22명이다. 사망자는 1명 추가돼 총 488명이고, 완치해 격리 해제된 확진자는 133명 늘어 총 2만 5537명이다. / 송민선 기자"
9,TV조선,코로나19 신규확진 1030명…국내 유입 후 처음 1000명 넘었다," / 연합뉴스        국내 코로나19 신규 확진자 수는 1030명으로 코로나19가 국내에 유입된 이후 역대 최다치를 기록했다. 질병관리청 중앙방역대책본부는 오늘(13일) 0시 기준 국내 코로나19 신규 확진자가 1030명 늘어 총 4만 2766명으로 집계됐다고 밝혔다. 지역 발생은 1002명으로, 서울 396명, 경기 328명, 인천 62명 등 2/3 규모의 확진자가 수도권에서 나왔다. 그 외에 부산에서 56명, 대구 28명, 경남 22명, 경북 18명, 강원 17명, 충북 15명, 광주 14명, 대전 13명, 충남 9명, 전북·울산 각 8명, 전남 5명, 제주 3명의 신규 확진자가 나왔다. 해외유입 사례는 28명으로, 내국인 17명, 외국인 11명이다. 사망자는 2명 늘어 총 580이고, 완치돼 격리 해제된 확진자는 321명 늘어 총 3만 1814명이다. / 송민선 기자"
