,Press,Title,Text
0,채널A,"민노총, 총파업 강행…“코로나 방역 지침 준수하며 투쟁”"," 방송 : 채널A 뉴스A 라이브 (12:00~13:20) 방송일 : 2020년 11월 24일 (화요일) 진행 : 송찬욱 앵커, 김민지 앵커 출연 : 김성완 시사평론가, 김태현 변호사[송찬욱 앵커]오늘 자정부터죠. 수도권의 사회적 거리두기 2단계가 격상이 됐습니다. 여기에 대해 서울시는 연말까지 ‘천만시민 멈춤 기간’을 선포하고 선제적으로 더 강화된 방역기준을 적용하기로 했습니다. 사실상 3단계 조치를 취한 건데요. 김태현 변호사님, 그런데 지금 우려가 되는게 민주노총이 내일 총파업 집회를 강행하겠다고 이야기를 했잖아요.[김태현 변호사]일단 한다는 겁니다. 물론 10명 이상 모이는 건 안 되니까 9명까지 쪼개기 집회를 하는 거예요. 방역 당국의 지침에 어긋난 건 아닙니다. 그리고 예전에 815 때 말씀드렸듯이 헌법 상 집회결사의 자유가 있으니까 보장을 해야 하는 건 맞습니다. 다만, 지금 이 상황에서 꼭 해야 되는 이유가 무엇인가. 과연 민주노총의 목소리에 대해서 국민들이 얼마나 공감할 수 있겠는가. 모든 사람이 힘들지만 방역당국에 맞춰가는 상황에서 노동자들이 생존권을 주장하시면서 집회를 하는 것이 맞는가라는 문제제기는 할 수 있을 것 같습니다.[김민지 앵커]코로나 3차 유행인 가운데 민주노총이 집회를 강행하는 것은 민주노총 입장에서도 부담이 될 수 있을 것 같아요. 그렇지만 민주노총이 집회를 강행하는 이유가 있다면서요?[김성완 시사평론가]일단 올해 민주노총에서 전국 단위 총파업을 한 번도 못했어요. 민주노총의 주장을 제대로 국민들에게 전달할 기회가 없었다. 민주노총 입장에서 절박한 부분들이 있기는 합니다. ILO 국제노동기구에서 핵심 조약을 비준해야하는 상황이거든요. 노동조합법을 바꿔야 해요. 일단은 실업자, 해고자도 노동조합에 가입할 수 있도록 하는 게 ILO의 기본적인 기준이에요. 그걸 우리 노동조합법에 반영해서 받아들이는 것을 하고자 합니다. 다만, 경영계에서 노동자가 파업을 할 때 사업장을 점거하지 못하도록 해야 한다는 요구들을 했습니다. 그게 일부 노동 개혁으로 받아들이면서 핵심조약을 비준하고 대신 파업할 때 사업장을 점거하지 못하도록 하는 조항을 넣었다. 파업할 때 사업장을 점거하지 못한다면 파업 효과가 떨어지기 때문에 반대하는 목소리가 있습니다. 이른바 전태일 3법이라고해서 중대재해기업처벌법을 처리해달라는 요구가 있고요. 5인 미만 사업장에 근로기준법을 적용할 수 있게 해 달라. 그리고 특수고용직 노동자들도 노동조합을 설립하게 해달라는 주장이 있습니다. [송찬욱]그런데 진보진영의 목소리를 많이 대변해 온 한겨레 사설에서도요. ‘문제는 시점이다, 집회는 지금 미뤄야 하지 않겠느냐’라고 제안을 하고 있거든요?[김성완]사설 제목이 ‘코로나 위기 속 민주노총 집회, 공감 얻기 어렵다’ 이건데요. 사설 내용이 집회를 무조건 하지 말라는 게 아니에요. 민주노총이 주장하는 바가 충분히 이해할 만하다. 정부여당이 민주노총하고 대화로 적극적으로 나서서 대화로 풀어야 한다. 다만, 코로나 19 위기 속에서 자영업자나 사회적 약자들이 오히려 더 큰 피해를 보고 있잖아요. 민주노총의 주장이 좀 더 설득력을 갖기 위해서는 사회적 약자와 연대하는 모습을 보여 달라. 정부 여당은 민주노총과 적극적인 대화에 나서달라. 이런 이야기를 하고 있습니다.  위 텍스트는 실제 토크 내용의 일부분입니다. 전체 토크 내용은 동영상으로 확인하시기 바랍니다. 정리=위지혜 인턴"
1,채널A,난감한 예비부부·식당도 ‘한숨’…시험대 오른 ‘코로나 방역’,"서민 경제를 고려해 1.5단계로 조정했다고 하지만, 음식점이나 클럽은 걱정이 많습니다.  결혼식을 앞둔 예비 부부들도 또 바뀐 규정을 지켜야 합니다.  김민곤 기자입니다.[리포트]서울 명동에 있는 치킨점.  사회적 거리두기가 강화된다는 발표에 직원들의 마음은 심란합니다. 작은 가게라 지금까지는 대형 음식점들에 적용된 테이블 간격 벌리기 대상이 아니었지만, 1.5단계로 격상되면서 테이블을 띄우거나 가림막을 설치하게 된 겁니다. 당장 모레 0시부터 적용되면서, 매출이 줄어들까 걱정입니다.  [이상철 / 치킨집 매니저] ""테이블을 멀리하다 보면 사람이 없어 보이고 잘 들어가 지지 않겠죠. 손님들이 좀 더 줄어들겠죠.""  결혼식 날짜가 임박한 예비부부도 곤란하긴 마찬가지입니다. 하객 수 제한이 없던 1단계에서 4제곱미터당 한 명으로 인원 제한이 생기는 1.5단계로 격상되면서, 초대한 하객 일부를 못 받을 수도 있는 상황이 된 겁니다.  [김지은 / 예비 신부] ""(거리두기가) 일주일 단위로 바뀌다 보니까 스트레스도 너무 많이 받았고…. 저 같은 경우는 두 번이나 (결혼식을) 지연했기 때문에.""  클럽들은 1.5단계 방역 지침이 영업 현실과 동떨어져 있다고 불만이 많습니다. 방역 지침상 클럽 출입은 허용하지만, 춤을 추는 건 금지하기 때문입니다. 서울시 관계자도 1.5단계 격상이 클럽 등 유흥주점에겐 사실상 '집합금지명령""이나 다름없다고 말했습니다.  코로나19가 일상 감염으로 다시 유행할 조짐을 보이면서 사회적 거리두기를 통한 방역이 또다시 시험대에 올랐습니다.  채널A 뉴스 김민곤입니다.  imgone@donga.com 영상취재: 한효준 영상편집: 이은원"
2,채널A,정은경 “코로나 방역 최대 리스크는 추석 연휴”," 방송 : 채널A 뉴스A 라이브 (13:50~15:20) 방송일 : 2020년 9월 18일 (금요일) 진행 : 이용환 앵커, 김민지 앵커 출연 : 김경우 서울백병원 가정의학과 교수[이용환 앵커]“조용한 전파” 코로나19 소식입니다. [김민지 앵커]하루 사이에 신종 코로나바이러스감염증 확진자가 126명 늘었습니다. 이 와중에 일반인을 대상으로 한 선제검사에서도 확진자가 나왔는데요. 조용한 전파 우려가 커지는 것 같습니다. [이용환]국내 신규 확진자 수는 109명, 해외 유입은 17명으로 126명이 늘었는데요. 어제는 153명이 늘었는데 어제에 비해 27명 줄기는 했습니다. 하지만 중요한 것은 16일째 신규 확진자가 100명대를 유지하고 있다는 겁니다. 김 교수님, 신규 확진자 숫자가 좀처럼 두 자릿수로 떨어지지 않는 이 상황을 어떻게 봐야할까요?[김경우 서울백병원 가정의학과 교수]확진자 수가 증가할 때는 가파르게 증가하다가 떨어질 때는 천천히 떨어지는 경향이 있는데요. 우리가 수도권을 중심으로 강화된 사회적 거리두기를 한 지가 3주가 되어가고 있는데요. 그 효과가 이번 주쯤에 나타날 거라는 전망이 있었는데요. 그런 것 치고는 미미한 것 같습니다. 혹시라도 이번 주부터 시작한 거리두기 완화가 2.5단계의 효과를 상쇄하는 것이 아닌가. 지금 거리두기를 완화하면서 방역 수칙을 소홀히 하시는 분들에 의한 감염이 서서히 증가하는 것은 아닌지 우려 깊게 살펴볼 필요가 있겠습니다.[김민지]지금 수도권에서 확진자가 많은 점 그리고 여전히 감염경로를 알 수 없는 확진자들이 많다는 점. 이 두 가지 부분도 우려스러운데요.[김경우]맞습니다. 수도권을 중심으로 한 2.5단계 강화된 조치를 했는데요. 여전히 수도권의 발생 비율이 대부분을 차지하고 있기 때문에 수도권의 강화된 조치 효과가 미미하거나 덜 나타나거나 확진자 증가에 의해 상쇄되는 것 같다는 우려가 있습니다. 말씀하신 것처럼 감염경로를 모르는 사례들, 워낙 확진자가 빨리 생기게 되면 다 추적을 못해서 감염경로를 못 찾는 경우도 있습니다. 하지만 부지불식간에 다중이용시설에 노출됐든지 하면서 나도 모르게 감염되는 사례들도 더 많은 상태라고 할 수 있겠습니다.[이용환]초대 질병관리청장 정은경 청장은 어제 코로나19 바이러스가 올해 하반기 최대 위험 요소, 고비는 이것이 될 것이라고 밝혔습니다. 정은경 청장은 추석 연휴에 이동을 최대한 자제해달라고 당부했습니다. 김 교수님, 추석 연휴 동안 방역 수칙이 조금 더 강화된다거나 그럴 필요성이 있을까요? 그리고 그런 조치가 시행될 것 같습니까? 어떻게 보세요?[김경우]수도권의 전국적인 확산이 가장 우려되는 부분인데요. 아무래도 수도권에서 전국적으로 확산되려면 수도권에 계신 분이 지방으로 많이 가신다든지 아니면 지방에 계신 분이 수도권을 다녀가시면서 지방에 감염을 확산시킨다든지 하는 위험들이 가장 높겠는데요. 아무래도 인구가 섞이는 것은 고향이나 친지 방문을 통한 감염이 있겠고요. 그렇기 때문에 아마 추석을 가장 큰 리스크로 보고 있는 것 같습니다.[김민지]정 청장이 위험 요인으로 뽑은 것이, 지금 기온이 내려가는 환절기잖아요. 추워지는 것들이 위험을 키울 수 있다고 지적했는데요. 이 부분은 왜 그런 거예요?[김경우]일단 바이러스가 생존하기 좋은 조건이 되겠고요. 그리고 실내에 밀폐된 환경이 많이 조성되는데요. 파주 스타벅스나 선릉역 할리스 카페 사례처럼 멀리 떨어져 있음에도 불구하고 밀폐된 상태에서는 감염자로 인해 공기 전파 가능성이 높기 때문에. 특히 겨울에는 밀폐된 환경이 조성될 가능성이 높고 실내 공기가 건조하게 되면 비말이 더 멀리 날아갈 가능성이 있어서 아무래도 겨울철이 방역당국에서는 가장 어려운 환경의 하나라고 할 수 있겠습니다.  위 텍스트는 실제 토크 내용의 일부분입니다. 전체 토크 내용은 동영상으로 확인하시기 바랍니다. 정리=호현지 인턴"
3,채널A,"방역당국, 코로나 항체치료제 이달 중 대량 생산 ","코로나19 뉴스로 넘어갑니다.  오늘은 희망적인 소식부터 전해드립니다. 신규 확진자는 엿새째 100명대를 유지하고 있고, 방역당국은 이달중 항체치료제를 대량 생산할 계획이라고 발표했습니다.  김단비 기자입니다. [리포트]방역당국이 상업용 코로나19 항체 치료제를 이달 중 대량 생산할 계획이라고 밝혔습니다. 항체치료제는 면역 물질인 항체가 코로나19 바이러스의 뾰족한 돌기에 달아 붙어 몸 안에서 바이러스 활동을 억제시키는 원리입니다. 대량 생산된 항체 치료제는 임상시험에 사용될 예정인데 임상 결과에 따라 상용화 시기가 빨라질 가능성이 있습니다.  방역당국은 건강한 성인을 대상으로 한 임상시험 1상에 대한 결과는 현재 분석 중에 있고, 추가 임상시험을 위한 코로나19 경증 환자를 모집하고 있다고 덧붙였습니다.  [권준욱 중앙방역대책본부 부본부장] ""임상시험 계획 2·3상을 심사 중이며 9월 중에는 상업용 항체치료제 대량생산을 계획하고 있습니다.”  완치자의 혈액을 이용해 만든 혈장 치료제도 다음달 임상 2상에 들어갈 계획입니다.  코로나19 국산 치료제 개발이 속도를 내는 가운데 신규 확진자는 계속해서 백 명대를 유지하고 있습니다.  코로나19 신규 확진자는 전날보다 136명 늘었습니다.  엿새째 100명대를 유지하고 있지만, 지역별로 새로운 집단감염이 발생하고 있는 상황입니다.  서울 영등포구 소재의 불교시설에서 승려 등 최소 12명이 확진된 걸로 확인됐습니다. 현대중공업 울산조선소에서는 4명의 확진자가 발생했습니다.  방역당국은 이번주 후반까지 확진자 발생 추이를 지켜본 뒤, 수도권 중심의 사회적 거리두기 2.5단계를 연장할지 여부를 정하겠다고 밝혔습니다.  채널A 뉴스 김단비입니다.  kubee08@donga.com 영상편집:구혜정"
4,채널A,코로나19 재확산에…과일 대신 ‘방역 세트’ 선물,"추석 선물로 뭘 준비할까 고민되신다면 이런 건 어떨까요. 일명 ‘방역세트’가 인기를 끌고 있답니다. 우현기 기자입니다.[리포트] 대형마트에 추석 선물세트들이 가득 진열돼 있습니다.   캔이나 통조림 세트, 식용유 세트들 사이로 눈에 띄는 품목이 있습니다.   KF94 마스크와 손소독제 등 위생용품으로 구성된 이른바 '방역 선물세트'입니다.   코로나19가 재확산되면서 방역 용품들이 추석 선물용으로 등장한겁니다.  [김병일 / 서울 강남구] ""요즘에는 위생이나 청결 관심 높아지고 중요한 문제라서… 노인분들한테 도움이 될 것 같아요. 부모님들이 사러 다니기 어렵잖아요.""  [A씨] ""저희 부모님 같은 경우에는 이런(일반 추석 세트) 것보다는 마스크 같은 실용적인 걸 원하시긴 해요.""   실제 서울의 한 대형마트에서 이런 '방역 세트'가 1500세트 넘게 팔렸습니다.   몸의 면역력을 높여주는 것으로 알려진 홍삼 등 건강기능식품 매출은 지난해에 비해서 1.6배 넘게 증가했습니다.  [신경민 / 대형마트 관계자] ""코로나 관련된 선물 세트들이 하나씩 늘어나는 상태고 이 부분이 더 증가할 것으로 예상하고 있고 확대 진열할 계획을 가지고 있습니다.""   오프라인 뿐만 아니라 온라인 쇼핑몰들도 앞다퉈 추석 방역 선물 세트 판매 홍보에 열을 올리고 있습니다.   반면, 추석 선물세트의 대명사였던 과일 선물세트는 상황이 다릅니다.  긴장마와 폭우, 태풍 등으로 인해 공급량이 급격히 줄고, 가격은 껑충 올랐기 때문입니다. [이순자 / 서울 성동구] ""과일 값이 너무 비싸서 못사먹고 장마통에 이게 많이 떨어졌잖아요.떨어진거 가져다가 팔까봐…""   이렇다보니 각종 맘카페 등 온라인 커뮤니티에서도 마스크나 손소독제 등 위생 방역 용품이 추석 선물로 어떠냐는 문의 글들이 잇따르고 있습니다.   코로나19가 민족대명절 추석의 선물 풍속까지 바꾸고 있습니다.  채널A 뉴스 우현기입니다. whk@donga.com 영상취재 : 조승현 영상편집 : 김문영"
5,채널A,北김정은 “코로나 방역 일부 허점…태풍 피해 최소화” 지시," 지난 19일 노동당 중앙위원회 제7기 제6차 전원회의를 주재하는 김정은 위원장. 사진=조선중앙TV 캡처김정은 북한 국무위원장이 코로나19 사태를 점검하고 북상 중인 제8호 태풍 ‘바비’ 피해 사전 대책 등을 지시했다고 오늘 조선중앙통신이 보도했습니다.김 위원장은 지난 25일 당 중앙위원회 본부청사에서 제7기 제17차 정치국 확대회의를 열고 세계적인 보건위기상황에 대비한 국가비상방역태세를 점검했습니다.통신에 따르면 이날 회의에서는 전염병 유입을 차단하기 위한 국가적인 비상방역사업에서 나타나고 있는 결함들을 엄중히 평가하고 대책을 논의했습니다.김 위원장은 “국가비상방역사업에서 나타나고있는 일부 허점들에 대하여 자료적으로 통보하면서 방역태세를 계속 보완 유지하고 결함들을 근원적으로 종식시키기 위한 적극적인 대책을 전당적, 전사회적으로 강력히 강구하라”고 강조했습니다.아울러 그는 회의에서 태풍 ‘바비’ 피해방지와 비상대책들을 논의했습니다.김 위원장은 “태풍에 의한 인명피해를 철저히 막고 농작물피해를 최소화하는것은 인민의 운명을 책임진 당에 있어서 한 순간도 소홀히 할수 없는 중대한 문제이며 한해 농사결속을 잘하는가 못하는가 하는 중요한 사업”이라며 “일꾼(간부)들과 당원들과 근로자들 속에 태풍 피해 방지 사업의 중요성과 위기 대응 방법을 정확히 인식시키기 위한 선전 공세를 집중적으로 벌리며, 인민 경제 모든 부문에서 태풍 피해를 미리 막을 수 있게 즉시적인 대책들을 강구하라”고 지시했습니다.북한은 당장 26∼27일 태풍의 영향권에 들 것으로 보고 태풍 경보를 발령한 상태입니다.이날 회의에는 당 중앙위원회 정무국 성원들과 정치국 위원, 후보위원들이 참석하고 당 중앙위원회 부서 책임일꾼 및 기타 해당 부문 구성원들은 방청석에 앉았습니다.곽정아 기자 kwak@donga.com"
6,채널A,[뉴스A 클로징]‘국민 민폐’ 코로나 가짜뉴스. 방역과 정치는 분리돼야,"[도널드 트럼프 / 미국 대통령] (지난 5월) (마스크 착용은) 권고일 뿐 난 건강합니다. 착용을 원치 않아요.  [도널드 트럼프 / 미국 대통령] (지난 6월) 그 정도로 검사를 하면 더 많은 환자와 더 많은 사례가 나오게 됩니다. 그래서 제발 검사 속도를 늦추라고 했습니다. 이렇게 말하고 불과 몇 개월 만에 미국은 코로나19 확진자와 사망자 수가 세계에서 가장 많은 나라가 됐습니다.  미국에서 코로나 19로 숨진 사람이 1차 세계대전 전사자 수보다 많습니다.  세계 1위 경제대국의 방역 비극, 지도자의 가벼운 입에서 시작된 것은 아닌가 트럼프의 과거 발언들을 되돌아보게 됩니다. 어디서 많이 들어본 말 같기도 하지요.  전광훈 목사, 밖에서는 안 걸린다며 마스크도 안 쓰고, 환자가 늘어난 건 검사를 많이 한 탓이다.  또, 교회에 바이러스 테러를 했다. 이런 유언비어를 퍼뜨리고 있습니다.  다함께 힘을 모아 바이러스와 싸우기도 벅찬 국면입니다. 방역과 정치는 분리돼야 합니다.  내일도 뉴스에이입니다"
7,채널A,"[뉴스A 클로징]잘 버티던 세계 77위 코로나 국가, 취약계층 위협하는 방역 위기",세계 순위 2위. 올 초까지만 해도 한국의 코로나19 확산 속도는 정말 빨랐습니다. 반년이 지난 지금은 어떨까요? 77위. 뒤로 훌쩍 물러나 있죠. OECD는 올해 한국의 경제 성장률이 37개 회원국 중 가장 높을 거라고도 예상했습니다. 이렇게 방역과 경제 두 마리 토끼를 잡았다고  자평할뻔한 한국. 하지만 지금 코로나 대유행의 위기에 다시 놓였습니다. 한국은행이 오늘 코로나 대유행으로 경제가 봉쇄되면 3명 중 한 명은 실직 위험이 있다고 경고했습니다. 특히 재택근무가 어렵고 대체인력이 많은 취약계층의 일자리부터 타격을 받을 거라고 우려했습니다. 일부 교회를 중심으로 방역에 구멍이 뻥 뚫리면서 당장 12개 업종 영업이 중단됩니다.일각의 독단적 행위가 우리 이웃 특히 취약계층의 생명과 생계를 위협하고 있습니다.내일도 뉴스에이입니다.
8,채널A,“종교의 자유 침해” vs “코로나 방역 의무”…美 소송전,"미국에서도 코로나19 방역과 종교의 자유가 충돌하고 있습니다.  일부 주가 실내 예배를 금지하자 교회들은 반발하며 소송까지 불사하고 있습니다.  캘리포니아에서 윤수민 특파원입니다. [리포트]미국 LA의 한 교회입니다.  예배를 위해 모인 수백 명이 다닥다닥 붙어 앉아 있고 마스크를 쓴 사람은 거의 없습니다.  목사는 예배를 '평화시위'라고 지칭합니다.  [존 맥아서 / 그레이스 커뮤니티 교회 목사] ""여러분과 함께 그레이스 커뮤니티 교회의 평화 시위를 하게 되어 기쁩니다."" 캘리포니아주는 코로나19 감염 확산을 막기 위해 실내 예배 중단, 찬송가 찬양 금지 등의 명령을 내렸지만 교회들은 반발하고 있습니다. 한인 교회는 헌법이 보장하는 종교의 자유를 침해한다며 소송을 제기했습니다.  [체 안 / 미 패서디나 추수반석교회 목사] ""주 정부가 교회에 예배 지침을 지시했는데, 이것은 미국 수정헌법 1조를 위반하는 겁니다."" ""일부 지역에서는 마스크를 꼭 착용하고 거리두기를 잘 지키면 실내 예배를 허용해주고 있는데요.  하지만 코로나19 재유행 속에 지역 주민들과의 마찰도 종종 벌어지고 있습니다."" ""네 이웃을 네 몸과 같이 사랑하라 (마가복음 12장 31절)"" 주말에는 교회 앞에서 예배 반대 시위자들과 몸싸움까지 일어납니다. [교회 관계자] ""신도들이 이런 팻말을 싫어하잖아요.""  [예배 반대 시위자] ""이건 이웃을 사랑하는 행동이 아니에요!""  실내가 아닌 야외 예배도 방역 지침을 무시하긴 마찬가지입니다.  많은 사람이 모여 마스크 없이 찬송가를 부르는 모습이 야외 콘서트장을 방불케 할 정도입니다.  미국 각 지역마다 예배 금지에 대한 판결도 제각각이어서 방역과 종교의 자유를 놓고 혼선은 계속될 것으로 보입니다.  미국 캘리포니아에서 채널A 뉴스 윤수민입니다. soom@donga.com 영상취재 : 최춘환(VJ) 영상편집 : 이태희"
9,채널A,"북, 코로나19 남한 탓…내부 불만 통제용 비상방역?","보신대로 북한은 감염 책임을 남한에 떠넘기고 있는데요.  내부 결속용 행보라는 의심을 지우기가 힘듭니다.  김정은 위원장, 본인은 정작 마스크도 쓰지 않은 채 공개활동에 적극적으로 나서고 있습니다.  박수유 기자입니다. [리포트]김정은 국무위원장이 권총을 든 군 간부들에게 둘러싸여 함박웃음을 짓습니다.  정전협정 체결 67주년을 기념해 자신의 이름을 새긴 권총을 지휘관들에게 직접 수여한 겁니다.  [조선중앙TV] ""백두산 기념 권총을 수여하시기 위하여 수여식장에 나오셨다.""  의장대가 도열한 가운데 김 위원장은 군 간부들과 함께 6.25 전사자 묘역도 참배했습니다.  마스크를 착용한 사람은 단 한 명도 없습니다.  북한 매체들은 코로나19에 뚫렸다며 국가비상사태를 선포하고 평양을 포함해 최대 방역에 나섰다고 했지만, 지도부의 모습은 대조적인 셈입니다.  오히려 전국 각지 6.25 전쟁 참전 노병을 비행기와 버스를 동원해 평양으로 데려오는 등 대규모 행사 준비에 여념이 없습니다.  때문에 북한이 코로나19 남한 탓을 하며 비상사태를 선포한 건 다른 의도가 있다는 분석이 나옵니다.  실제로 북한은 이번 일을 빌미로 주민 통제를 강화하고 있습니다.  [오춘복 / 북한 보건상] ""최대 비상체제가 세워진 데 맞게 모든 부분, 모든 단위들에서는 지휘에 하나와 같이 철저히 복종하고 움직이는 강한 질서를 유지해야 합니다.""  걷잡을 수 없는 코로나19 확산과 경제난에 따른 내부 불만을 잠재우기 위해 국가 비상사태를 이용하고 있다는 겁니다.  또 북한은 그동안 남한의 코로나 지원을 거부해 왔는데 방역 물자를 비롯해 남측에 손을 벌릴 핑곗거리를 만든 것이란 분석도 나옵니다.  채널A 뉴스 박수유입니다.  aporia@donga.com 영상편집 : 이재근"
