,Press,Title,Text
0,국민일보,"나눠주고 도와주는 사람들 '나도람FC', 수도권 일부 가맹점에 방역 위한 마스크 배포","코로나19 장기화로 생계 유지에 어려움을 겪는 가맹점이 늘고 있다. 이런 가운데 이들을 돕기 위해 적극 발벗고 나서며 다양한 후원활동을 펼치고 있는 기업 '나도람FC'가 눈길을 끌고 있다.나도람FC는 '나눠주고 도와주는 사람들'을 경영철학으로 삼고 있다. 본사를 믿고 따라주는 가맹점주들과 직원들, 거래처가 동반 성장할 수 있도록 가맹점 환경개선 및 운영지원 등에 대한 다양한 지원사업을 펼치고 있다.이번에는 수도권 일부 가맹점에 코로나 방역을 위한 가맹점당 250장씩 총 1만장의 마스크를 배포한다. 전국 300개 가맹점을 운영 중 가맹점의 어려움을 함께 극복하고 '공존경영'을 실천하기 위해 이번 지원안을 마련했다.전달된 마스크는 코로나19를 예방하고 보다 안전하고 위생적으로 매장이 운영될 수 있도록 가맹점주 및 직원들이 근무할 때 사용될 예정이다.업체 관계자는 “코로나로 사람 간의 접촉을 최소화하는 언택트 문화가 활성화되면서 배달 서비스를 이용하는 소비자가 급증하고 있다”며 “힘들고 바쁜 시기 매일 정신없이 매장 운영을 이어가고 있는 가맹점주를 위한 도움의 손길을 전달하고자 마스크 기부 활동을 펼친다”고 말했다.이어 “하루에도 수십 건의 배달을 진행하고 있는 가맹점의 방역을 위해 마스크가 요긴하게 쓰이길 바란다”며 “여기에 그치지 않고, 앞으로도 가맹점과 고객들을 위한 지속적인 후원활동에 나설 계획”이라고 설명했다.한편, ㈜나도람FC는 코로나19 확산 이후 가맹점과 고객, 나이가 지역사회를 위한 다양한 상생활동을 진행해왔다. 대표적으로 치킨 브랜드 투존치킨의 찾아가는 서비스 ‘투존치킨이 간다’를 통해 근로복지공단 창원병원을 방문해 의료진들의 노고에 감사를 전하는 덕분에 챌린지를 실천하기도 했다.전재우 기자"
1,국민일보,국립 인천대 창작 뮤지컬 집으로 11일 개막,"인천대학교(총장 직무대리 양운근)는 오는 11~12일 송도캠퍼스 23호관 공연장에서 무료로 창작뮤지컬 <집으로> 공연을 한다고 8일 밝혔다.이번 공연은 인천대학교 공연예술학과 3학년 학생들이 주축이 돼 만들었다.  지역사회와 함께 찾아가는 공연예술 프로그램으로 구태환 교수, 임일진 교수, 이창완 교수, 김에셀 교수의 지도 아래 학생들이 연출, 배우, 스탭으로 참여했다.<집으로>는 1970년대 베트남 전쟁을 배경으로 전쟁 사이에 태어난 라이따이한이 떠나간 한국군 아버지를 찾는 내용으로 긴장감 넘치는 넘버와 박진감 넘치는 스토리 전개로 추운 겨울 가슴이 미어지는 감동을 선사할 작품이다.2010년에 신설 학과인 공연예술학과는 21세기 공연예술을 선도하는 창의적인 인재의 육성, 한국을 대표할 뿐만 아니라 세계를 대표하는 예술인 양성을 목적으로 신설된 학과이다. 또한, 창조적인 작품 활동을 할 수 있는 전문예술인의 육성에 힘써 한국 공연예술 세계화를 위한 교육에 역점을 두고 있다.이번 공연은 코로나19로 인한 구성원들과 관객의 안전을 위해 ‘거리두기 객석제’를 도입해 운영할 예정이다. 전 관람객 마스크 착용 의무화, 입장 전 체온 측정, 손 소독, 극장 방역, 문진표 작성 등 코로나 방역에 우선을 두고 공연할 예정이다.공연 문의는 인천대 공연예술학과로 하면 된다. 예약 링크는 http://naver.me/5O5Pg95s에서 예약하면 된다.인천=정창교 기자 jcgyo@kmib.co.kr"
2,국민일보,"윤건영 “변창흠 국토부 장관 내정자 비난, 이해 안 가”","윤건영 더불어민주당 의원. 연합뉴스윤건영 더불어민주당 의원은 8일 야권에서 신임 국토부 장관으로 지명된 변창흠 후보자를 향해 ‘김현미 시즌2’라고 비난하는 것에 대해 “이해가 안 간다”고 지적했다.윤 의원은 이날 MBC 라디오에 출연해 “새로운 인물이 아직 시작도 안했는데 비난부터 하는건 과도한 비난이다. 인사청문회도 하지 않았고, 비전과 포부도 밝히지 않았는데 뭘 비난하는 것이냐”며 이같이 지적했다.윤 의원은 문재인 대통령이 김현미 장관을 경질한 것에 대해선 “부동산 민심을 수용하는 부분도 있다”고 말했다. 이어 “지난 3년 반 동안 정부와 여당이 노력했으나 국민의 기대를 충족시키지 못한 부분이 있어 대단히 뼈아프고 송구하다”고 덧붙였다.변창흠 국토교통부 장관 후보자가 7일 오전 과천 서울지방국토관리청으로 출근하고 있다. 연합뉴스그는 재보궐 선거를 앞두고 ‘친문 3철’이라 불리는 전해철 행정안전부 장관 후보자를 지목했다는 야권의 비판과 관련해 “정치적 의도가 대단히 있는 주장이고 사실은 어떻게 보면 비열하다”고 비판했다.윤 의원은 “국민의힘 자신들이 했던 인사는 금방 잊어버리는 단기 기억상실과 같다”며 “지난 이명박 대통령 시절에 맹형규 의원이 행안부 장관을 했다. 이분은 이명박 대통령 초기 정무수석을 했던 사람”이라고 언급했다. 이어 “여당을 공격하는 데만 혈안이 돼 있고 사실관계를 확인해보지 않고 공격하고 있다”며 “이외에도 야당 정치인 출신 행안부 장관은 많다. 이런 식의 야당 주장은 대꾸할 가치도 없다”고 덧붙였다.한편 윤 의원은 전날 문 대통령의 ‘혼란스러운 정국이 국민께 걱정을 끼치고 있어 죄송한 마음입니다’라는 발언에 대해선 “윤석열 검찰총장 징계를 둘러싼 공방은 하루라도 빨리 끝내야 한다는 것”이라고 했다.윤 의원은 이어 야권에서 ‘대통령이 답을 하라’고 말하는 것에는 “다른 정치적 의도가 있다. 대통령을 여의도 정치 한복판에 끌어들여 놓고 소위 말하는 진흙탕싸움을 한번 해보자는 것”이라며 “대통령이 이 이슈에 대해 한 마디 하면 자신들은 열 마디, 백 마디 공격하겠다 라는 생각”이라고 비판했다.그는 그러면서 “지금 대통령이 해야 할 일은 서초동에만 있는 건 아니다”며 “코로나 방역이나 경제 회복이 제일 중요하고 집중해야 한다. 야당은 계속 정치적 공방 장으로 끌어들이고 싶은 생각이 아닌가 싶다”고 지적했다.박세환 기자 foryou@kmib.co.kr"
3,국민일보,[전문] 문 대통령 “권력기관 개혁 다음 정부로 안 미룬다”,"문재인 대통령이 7일 청와대에서 수석·보좌관 회의를 주재하고 있다. 연합뉴스문재인 대통령은 7일 추미애 법무부 장관과 윤석열 검찰총장의 갈등이 극에 달하는 것과 관련해 “방역과 민생에 변화 없이 마음을 모아야 할 때 혼란스러운 정국으로 국민께 걱정을 끼쳐 대통령으로서 매우 죄송하다”고 했다.문 대통령은 이날 오후 2시 청와대에서 수석·보좌관회의를 진행하고 “지금의 혼란 오래가지 않고 민주주의 개혁을 위한 마지막 진통이 되길 간절히 바란다”며 이같이 밝혔다. 추 장관과 윤 총장의 갈등을 두고 국민적 피로감이 커지고, 문 대통령 지지율이 취임 이후 최저치를 기록하자 진화에 나선 것으로 보인다.문 대통령은 국회를 향해 “정기국회에서 권력기관의 제도적 개혁을 드디어 완성할 수 있는 기회를 맞이했다”며 “한국 민주주의의 새로운 장이 열리는 역사적 시간이다. 견제와 균형의 원리에 따라 국정원, 검찰, 경찰 등 권력기관들의 권한을 분산하고 국민의 기관으로 거듭날 수 있도록 개혁 입법이 반드시 통과되고, 공수처가 출범하게 되길 희망한다”고 덧붙였다.[문재인 대통령 수석·보좌관회의 모두발언 전문]지난달 19일과 24일, 사회적 거리두기 단계를 연달아 격상한 데 이어 또다시 2주 만에 수도권의 거리두기를 2.5단계로 격상합니다. 그동안의 거리두기 단계 격상과 방역 강화 조치의 성과로는 코로나 확산세를 꺾지 못하고 있다는 판단에 따른 것입니다. 방역 조치의 강화에도 불구하고 코로나 확산세를 꺾지 못하고, 다시 단계를 격상함으로써 국민들께 더 큰 부담과 불편을 드리게 되어 매우 송구하고 무거운 마음입니다.우리는 여러 차례 코로나 확산의 위기를 극복해왔지만, 지금이 어느 때보다 심각한 위기 상황입니다. 보이지 않는 감염과 전파가 일상의 공간에서 빠르게 퍼져나가고 있고, 감염 경로를 파악하기 어려운 확진자도 늘고 있습니다. 현재의 증가 추세가 지속될 경우 병상과 의료인력 등 의료체계의 부담이 가중될 것을 염려하지 않을 수 없습니다.조속히 코로나 확산의 고리를 차단하지 못하고 걷잡을 수 없는 전국적 대유행 상황으로 치닫게 된다면 국민 안전과 민생에 심대한 타격이 될 수밖에 없습니다. 정부는 백신과 치료제가 사용될 때까지 코로나 확산세를 차단할 수 있는 마지막 고비라고 인식하고 비상한 각오로 방역에 총력을 기울이겠습니다.국민들께도 강화된 방역수칙을 지켜주실 것을 다시 한번 당부드리지 않을 수 없습니다. 일상적인 생활공간 속에서 알지 못하는 사이에 전파되고 있기 때문에 국민 한 사람 한 사람의 자발적인 실천이 특히 절실한 때입니다. 마스크 쓰기, 밀접 접촉 자제와 같은 방역의 기본만 잘 지켜도 감염의 확산을 막을 수 있습니다.특별히 성탄절과 연말연시를 맞이하는 국민들께 당부드립니다. 지난 추석에 우리는 몸은 못 가도 마음으로 함께하는 명절로 방역에 힘을 모았습니다. 그 이상의 마음가짐이 필요합니다. 만나야 할 사람, 찾아가야 할 곳이 많겠지만 만남과 이동을 최대한 자제하여 방역에 힘을 보태 주시길 간곡히 부탁드립니다.코로나로 시작하여 코로나로 끝나는, 참으로 고단한 한 해입니다. 이미 전 세계 코로나 확진자가 6600만명을 넘어섰고, 사망자도 150만명을 넘었습니다. 우리나라는 세계적 대유행 속에서도 방역에서 모범이 되어 왔습니다. 수능까지 무사히 치러낸 K방역의 우수성에 대해 국제사회는 한결같이 높게 평가하고 있습니다. 정부는 지금까지의 성과를 잘 이어나가 방역에서 유종의 미를 거둘 수 있도록 총력을 기울이겠습니다.방역과 민생에 너나없이 마음을 모아야 할 때에 혼란스러운 정국이 국민들께 걱정을 끼치고 있어 대통령으로서 매우 죄송한 마음입니다. 한편으로 지금의 혼란이 오래가지 않고, 민주주의와 개혁을 위한 마지막 진통이 되기를 간절히 바라고 있습니다. 민주적 절차와 과정을 통해 문제가 해결되어 나간다면 우리의 민주주의는 보다 굳건해질 것입니다.우리나라는 경제뿐 아니라 민주주의와 인권, 방역과 보건의료, 문화 역량, 외교적 위상 등 소프트파워에서도 빠르게 강국으로 발전하고 있습니다. 올해 코로나 방역 과정에서 우리가 얻은 것이 있다면 바로 그것입니다. 까마득히 앞서있는 것처럼 보였고, 우리의 먼 미래처럼 보였던 나라들에 비해 우리가 크게 뒤지지 않으며, 오히려 우리가 앞서가고, 모범이 되는 분야들도 있다는 사실을 우리는 알게 되었고, 자긍심을 가지게 되었습니다. 위대한 촛불혁명을 거치면서 더욱 성장한 한국의 민주주의도 오랫동안 해결하지 못했던 마지막 숙제를 풀어내는 단계로 나아가고 있습니다.권력기관 개혁은 남은 가장 큰 숙제 중 하나입니다. 저는 취임사에서 권력기관을 정치로부터 완전히 독립시키고, 그 어떤 기관도 무소불위의 권력을 행사할 수 없도록 견제장치를 만들겠다고 국민들께 약속했습니다. 과거처럼 국민 위에 군림하는 권력기관이 없도록 하겠다는 의지였습니다. 모든 권력은 국민으로부터 나온다는 헌법 정신에 입각하여 우리 정부는 많은 우여곡절을 겪으면서도 권력기관 개혁에 흔들림 없이 매진하였습니다. 우리 정부는 어떤 어려움을 무릅쓰더라도 그 과제를 다음 정부로 미루지 않고자 하였습니다. 이제 그 노력의 결실을 맺는 마지막 단계에 이르렀습니다.이번 정기국회에서 권력기관의 제도적 개혁을 드디어 완성할 수 있는 기회를 맞이했습니다. 한국 민주주의의 새로운 장이 열리는 역사적 시간입니다. 견제와 균형의 원리에 따라 국정원, 검찰, 경찰 등 권력기관들의 권한을 분산하고 국민의 기관으로 거듭날 수 있도록 개혁 입법이 반드시 통과되고, 공수처가 출범하게 되길 희망합니다. 박세환 기자 foryou@kmib.co.kr"
4,국민일보,"원·달러 환율, 하루 만에 15원 가까이 떨어져…원화 강세 언제까지?","3일 서울 중구 을지로 하나은행 본점 위변조대응센터에서 한 직원이 달러를 정리하고 있다. 연합뉴스원·달러 환율이 하루 만에 15원 가까이 떨어져 1080원대까지 밀렸다. 미국 정부의 추가 경기부양책, 코로나19 백신 기대감에 글로벌 달러 약세와 위험 자산 선호 심리가 강화된 결과다.4일 서울 외환시장에서 원·달러 환율은 전날보다 14.9원 내린 달러당 1082.1원에 마감했다. 종가 기준 2018년 6월14일 1083.1원 이후 2년6개월 만에 최저 기록이다. 이로써 환율은 나흘 연속 하락세를 이어갔고, 특히 3일에는 3.8원 내린 1097.0원에 마감하며 1000원대로 내려왔었다.이날 미 정부의 코로나19 추가 재정책이 연내 타결될 것이라는 시장의 기대감이 달러화 약세를 부추겼다. 3일(현지시간) 낸시 펠로시 미 하원의장과 미치 매코널 공화당 상원 원내대표가 대선 이후 처음으로 전화 통화에서 부양책 관련 의견을 교환했다는 소식이 전해졌다. 전날에는 펠로시 의장과 척 슈머 민주당 상원 원내대표가 약 9000억 달러 규모의 부양책 시행안을 기반으로 양원 협상에 나서겠다고 했다.국내 증시 상승세도 원화 강세에 영향을 끼쳤다. 이날 코스피 지수는 나흘 연속 최고치 기록을 경신하며 사상 최초로 2700선을 돌파했다. 외국인 투자자는 유가증권시장에서 7600억원 가량을 사들였다.원화 강세는 당분간 이어질 가능성이 높다는 전망이 우세하다. 공동락 대신증권 연구원은 “글로벌 교역 동향에 민감한 대표적인 통화인 원화 가치에 이제 코로나19로 위축됐던 교역이 정상화될 것이라는 기대가 강하게 반영되고 있다”며 “세계 경제 회복 초기 단계인 내년 상반기까지 원화 강세가 지속될 것”이라고 예측했다.윤지선 하나금융경영연구소 연구원은 “양호한 코로나 방역, 글로벌 교역 환경 개선 등으로 아시아 통화 강세가 가파르게 진행되고 있다”며 “원화 강세의 중기적 관점을 유지한다”고 설명했다. 다만 “코로나 재확산에 따른 주요국 경제 둔화가 부각되며 원·달러 환율이 속도 조절을 보일 수 있다”고 덧붙였다.허문종 우리금융경영연구소 연구위원은 “글로벌 경기 개선 기대감에 국내 수출 반등, 경상수지 흑자기조가 원화 강세 요인으로 작용하고 있다”고 설명하며 내년 1월 말 원·달러 환율이 1080원대를 보이며 환율 하락이 지속될 것이라고 내다봤다.한편 달러화 약세는 내년 중반까지 지속될 것이라는 전망도 나왔다. 이날 로이터통신은 환율 전문가 72명을 대상으로 한 설문조사 결과 71%(51명) 가량이 달러 약세는 적어도 내년 중반까지 이어질 것으로 예측했다고 보도했다. 세계적으로 시중 유동성이 넘치고 있는 가운데 위험자산에 대한 선호 심리도 쉽게 꺾이지 않을 것이라는 분석에서다. 나머지 응답자는 그 이전에 달러화 약세가 반전될 것이라고 내다봤다.조민아 기자 minajo@kmib.co.kr"
5,국민일보,"안철수의 야권고전 시나리오 “백신, 재난지원금, 시진핑”","안철수 국민의당 대표가 2일 서울 여의도 정치문화플랫폼 하우스(How's)에서 국민의힘 초선의원 모임 '명불허전 보수다'의 초청 강연을 하고 있다. 연합뉴스안철수 국민의당 대표가 2일 내년 4월 재보궐선거에서 야권이 고전할 것이라고 내다봤다. 정부·여당이 코로나19 백신 도입이나 재난지원금 카드로 지지율을 끌어올릴 수 있다고 관측했다. 이에 안 대표는 야권 전체가 힘을 모아야 한다고 거듭 주장했다.안 대표는 이날 서울 여의도 정치문화플랫폼 하우스(How's)에서 열린 국민의힘 초선 공부 모임인 '명불허전 보수다' 초청 강연에서 “당장 서울·부산시장 재보궐선거를 예상해보면 굉장히 어렵다”며 “객관적으로 나타나는 여론조사 차이뿐 아니라 3가지 요인들이 선거 전망을 어둡게 한다”고 말했다.안 대표는 “코로나19 대규모 확산에 따라 정부가 여러 가지 조치를 취할 가능성 많다”며 “갑자기 백신을 도입한다고 뉴스를 퍼뜨릴 수도 있다. 재난지원금을 갑자기 한 가구당 200만원 주겠다고 발표할 수도 있고, 시진핑 중국 국가주석 방한 등 여러 외교적인 액션을 취할 가능성이 있다”고 전망했다. 정부·여당이 선거에 임박, 지지율을 끌어올리기 위한 여러 카드를 쓸 수 있다는 것이다.안 대표는 또 코로나19 상황에 따라 언택트 선거로 진행될 가능성이 높고, 투표율이 낮아 조직선거가 될 거라는 점 등도 야권의 고전이 예상되는 이유로 꼽았다.그는 “언택트 선거를 치르게 되면 후보자들이 인지도를 올리기 거의 불가능하다. 정치 신인은 굉장히 힘든 선거가 될 것”이라며 “재보궐선거는 투표율이 낮아 조직선거가 된다. 조직의 영향력이 커질 수밖에 없는데, 선거 때 가장 중요한 서울 기초의원을 민주당이 장악하고 있어 야권은 붕괴한 상황이다”고 말했다.안 대표는 어려운 여건 속에서 야권 전체가 힘을 모아 대응해야 한다고 주장했다. 그는 “제1야당뿐 아니라 중도, 합리적 개혁을 바라는 진보 세력까지도 다 끌어모아야 겨우 해볼 만한 선거가 될 것”이라며  “이들이 바로 경선에 들어가기보다는 이슈를 중심으로 모이는 게 필요하다”고 강조했다. 이어 “지금 같으면 법무부와 검찰 간 갈등, 코로나 방역 대책에 대해 미흡한 점 등 국민이 관심을 가질 수 있는 이슈를 가지고 이야기를 나누고 합의를 볼 수 있어야 한다”고 덧붙였다.안 대표는 내년 4월 서울시장 보궐선거 출마엔 “출마 의사가 없다”며 “후보가 결정되면 제가 정말 전력을 다해서 도울 생각”이라고 밝혔다.이상헌 기자 kmpaper@kmib.co.kr"
6,국민일보,"코로나19·주문량 폭주에…아마존, 상여금 5500억원 또 푼다","세계 최대의 전자상거래 업체 아마존이 미국 연휴 시즌 격무에 시달리는 근로자들을 격려하기 위해 5500억원 규모의 상여금을 지급하기로 했다.아마존은 26일(현지시간) 12월 고용 계약 기준으로 상근직과 시간제 근로자 전원에게 모두 5억달러(5537억원)의 상여금을 제공하기로 했다고 로이터 통신 등이 보도했다.이번 조치로 아마존 상근직은 300달러(33만2000원)를, 시간제 근로자는 150달러(16만6000원)를 받는 것으로 전해졌다.아마존은 신종 코로나바이러스 감염증(코로나19) 사태로 근무 환경이 악화한 상황에서 추수감사절부터 크리스마스까지 연휴 시즌 업무량이 폭주하자 직원들을 달래기 위해 상여금 지급 결정을 내린 것으로 풀이된다.아마존은 앞서 지난 6월에도 코로나19 대유행으로 온라인 쇼핑 수요가 급증한 가운데 코로나 방역까지 더해지면서 일선 근로자들 불만이 커지자 5억 달러 규모의 보너스를 지급한 바 있다.조민영 기자 mymin@kmib.co.kr"
7,국민일보,"文 “수능 안전하게 치르는 것, 사회 전체의 책임”…코로나 방역 강조","문재인 대통령은 24일 코로나19 재확산과 관련해 “지금 감염의 고리를 끊어내지 못하면, 부담과 피해가 더욱 커지게 될 것”이라며 “특히 9일 앞으로 다가온 수능을 안전하게 치러내는 것은 우리 사회 전체의 책임”이라고 밝혔다.문 대통령은 이날 SNS를 통해 “수도권의 사회적 거리두기가 2단계로 격상되었다. 지난 봄과 여름에 이어 코로나와 또 한 번의 힘겨운 전쟁을 치러야 하는 상황”이라며 “수출 증가세가 지속되고, 주가지수가 사상 최고를 기록했으며, 경제 심리가 살아나고 소비가 느는 등 경기회복의 청신호가 켜지고 있는 가운데, 또다시 일상의 불편함이 커지고, 민생 경제가 어려움을 겪게 되어 매우 안타깝고 송구한 마음”이라고 했다.문 대통령은 “그러나 더 큰 피해, 더 큰 어려움을 막기 위해서는 다른 길이 없다”며 “방역과 경제의 아슬아슬한 균형을 유지하며 양쪽 모두에서 선방하고 있지만, 지금은 방역에 더 힘을 모아야 할 때”라고 설명했다.문 대통령은 이어 “지금으로서 최선의 길은 가장 이른 시일 안에 코로나 확산세를 꺾는 것”이라며 “신속한 방역 성과로 거리두기 2단계 적용 기간을 최대한 단축함으로써, 국민의 생명을 지키고 피해를 최소화해야 할 것”이라고 했다.문 대통령은 “이미 국민들께서 연말연시 모임을 취소하거나 자제하고 방역에 솔선수범하며 동참하고 계시다”며 “불편함을 감수하면서 성숙한 시민의식을 보여주시는 것에 깊이 감사드리며, 정부는 국민을 믿고 방역 태세를 더욱 강화해 나가겠다”고 강조했다.임성수 기자 joylss@kmib.co.kr"
8,국민일보,인천 확진환자 5명 추가 발생 “24일 2단계 강화”,"인천시는 수도권 코로나방역조치에 따라 24일부터 2단계로 강화된다고 22일 밝혔다.인천시는 안전문자를 통해 “14일부터 17일까지 인천 구월동 인쌩맥주구월점 방문자는 신분증 지참후 주소지 보건소에서 코로나검사를 받아야 한다”고 안내했다.이와 관련, 인천 남동구는 신종 코로나바이러스감염증(코로나19) 바이러스 확진자 2명이 추가 발생했다고 밝혔다.200번째 확진자 A씨(구월2동)는 남동구 182번째 확진자의 동거 가족으로 지난 19일부터 자가 격리 중 21일 기침, 가래 등의 증상이 나타나 남동구보건소 선별진료소에서 검사를 받고 다음 날인 22일 ‘양성’판정을 받았다.201번째 확진자 B씨(서창2동)는 서구 198번째 확진자의 접촉자로, 별다른 증상은 없었으나 지난 21일 남동구보건소 선별진료소에서 검사를 받고 다음 날인 22일 ‘양성’판정을 받았다.남동구는 이들을 인천의료원으로 이송 조치했으며, CCTV 확인 등 역학조사 후 신원이 확인되지 않는 접촉자가 있는 경우 안전문자와 홈페이지 등을 통해 해당 장소를 게시할 예정이다.인천 서구에서도 인천1223번(22일 확진)의 가족접촉자(배우자) 등 3명의 추가확자가 발생했다.한편 인천시는 이날 오후 5시 현재 누적 확진환자가 1227명으로 늘어났다고 발표했다.인천=정창교 기자 jcgyo@kmib.co.kr"
9,국민일보,“관광·항공업계 절박한 상황…수요 회복에 최대 5년”,"우태희 대한상공회의소 상근부회장이 20일 오전 소공동 롯데호텔에서 열린 ‘제22차 관광산업위원회’에서 인사말을 하고 있다. 대한상의 제공신종 코로나바이러스 감염증(코로나19) 확산으로 직격탄을 맞은 관광·항공업계가 수요를 회복하는 데 최대 5년이 걸릴 것이란 전망이 나왔다. 업계는 정책 지원이 시급하다고 입을 모았다.대한상공회의소 관광산업위원회는 20일 오전 서울 중구 소공동 롯데호텔에서 도종환 국회 문화체육관광위원장, 최윤희 문화체육관광부 제2차관, 김상도 국토교통부 항공정책실장을 초청해 제22차 회의를 열고 이같은 내용을 논의했다고 밝혔다.관광산업위원장인 우기홍 대한항공 사장은 “항공·호텔·여행·컨벤션 등 관광업계는 코로나19로 어느 업종보다도 직접적이고 막대한 타격을 입고 있다”며 “관광업계 회복과 종사자 보호를 위해 정부와 국회가 비상한 관심과 최대한의 지원을 기울여주기 바란다”고 호소했다.이날 발제자로 나선 전문가들은 코로나19 사태가 종식돼도 업황 회복에는 상당한 시간이 걸릴 것으로 내다봤다.항공분야 발제를 맡은 김광옥 한국항공협회 본부장은 “국제선 여객은 전년 대비 97％ 감소 상태가 이어져 사실상 업계 셧다운이 지속되고 있고, 국내선 여객은 확산 초기에는 전년 대비 56％까지 급감했지만 최근 일정 수준 회복세를 기록하고 있다”고 진단했다.이어 “올해 항공업계 매출은 전년 대비 68％ 감소할 것으로 예상한다”며 “항공 수요 회복까지 최소 2년에서 최대 5년까지 예상돼 전망이 어두운 상황”이라 강조했다.관광분야 발제를 맡은 한국문화관광연구원 전효재 관광산업연구실장은 “국내 관광산업은 종사자 수나 매출액 등에서 양적으로 성장하고 있었지만 코로나19 영향으로 올해 1∼9월 관광사업체 매출은 전년 동기 대비 58％ 감소했다”고 말했다.전 실장은 “세계관광기구(UNWTO)는 내년 3분기부터 업황이 회복할 것으로 예상한다”며 “국내 관광시장은 점진적으로 수요 심리가 되살아나며 해외관광이나 외국인 국내관광보다 먼저 회복할 것”이라고 전망했다.우태희 대한상공회의소 상근부회장이 20일 오전 소공동 롯데호텔에서 열린 ‘제22차 관광산업위원회’에서 인사말을 하고 있다. 대한상의 제공업계는 이날 회의에서 관광·항공산업 위기를 극복하기 위해 정부 차원의 대책이 필요하다고 호소했다.김수곤 한국항공협회 상근부회장은 “코로나 방역 우수국가 출입국 시 자가격리를 완화하거나 국제적으로 검토하고 있는 팬데믹 프리여권 도입, 디지털 면역여권 도입 등에 속도를 낼 필요가 있다”고 건의했다.오창희 한국여행업협회 회장은 “탄력적 자가격리 도입과 신속 검역절차 수립 등 최소한의 영업환경을 조성할 수 있도록 맞춤형 방역기준에 대한 논의를 시작해야 한다”고 건의했다.김성훈 기자 hunhun@kmib.co.kr"
