,Press,Title,Text
0,MBC,"""방해 말라""…""코로나인데도?"" 버티다 중단한 필리버스터"," 앵커 코로나19 확산의 여파는 국회에까지 미쳤습니다.국회에선 그제부터 야당 의원들을 중심으로 국정원법과 관련한 무제한 토론, 필리버스터가 이어져왔는데요.토론에 참여했던 한 여당 의원이 확진자와 접촉했던 사실이 확인되면서 오늘 새벽 중단됐습니다.조금 전 8시부터 다시 시작됐다고 하는데요.이 소식은 김재경 기자가 취재했습니다. 리포트 국가정보원법 개정안 찬반을 놓고 오늘 새벽까지 이어지던 무제한 토론.새벽 3시를 넘었을 무렵 토론중인 의원 뒤로 여야 의원들이 모여 국회의장과 무언가를 긴박하게 협의합니다.그리고 얼마 뒤, 토론이 중단됐습니다.[박병석 국회의장]""잠깐 좀 긴급히 알려드릴 말씀이 있습니다...의원 한 분이 코로나19 확진자와 30여 분 접촉한 사실이 확인...""확진자와 접촉한 사람은 더불어민주당 김병기 의원, 여당 의원 접촉 사실이 알려지자 국민의힘은 토론을 방해하려는 행위라며 거세게 항의했습니다. [야당 의원]""안됩니다. 필리버스터 방해사지 마세요.""[박병석 국회의장]""여러분 이거는 감정적으로 대응할 일이 아니라 굉장히 엄중한 상황이고...""[야당 의원]""긴급 상황도 아닙니다! 어쩔려고 말이야 의장이! 필리버스터 방해하는 행위에요!""결국 발언 중이던 국민의힘 윤희숙 의원은 토론을 이어가 12시간 47분, 국내 최장 토론기록을 세웠습니다. 하지만 이후 본회의는 긴급 방역을 위해 정회했고 국회는 다시 비워졌습니다.김병기 의원이 음성판정을 받으면서, 국회는 조금 전인 오후 8시부터 다시 열리고 있습니다. 하지만 확진자 대확산의 중대기로에서 민주당이 토론회 중단을 신청함에 따라 이르면 내일 저녁 국정원 개정법안은 조기 표결처리될 전망입니다. MBC뉴스 김재경입니다. (영상취재 : 이형빈/ 편집 : 이정섭)MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보"
1,MBC,"문재인 대통령-이낙연 대표 단독 면담…""코로나19 상황 공유""","[연합뉴스 자료사진]문재인 대통령과 이낙연 더불어민주당 대표가 오늘 청와대에서 단독 면담을 했습니다.민주당 핵심관계자는 ""대통령과 이 대표는 주로 코로나 방역과 민생 부분에 대해 대화를 나눴다""며 ""대통령은 이런 위중한 상황에서 이 대표의 리더십이 상당히 중요하다는 취지로 말씀하셨다""고 설명습니다.특히 문 대통령은 국무총리를 지낸 이 대표에게 총리 시절 보여줬던 위기극복 능력을 이번 코로나19 위기 국면에서도 발휘해달라고 당부한 것으로 민주당 관계자는 전했습니다.                      "
2,MBC,"""송구하다"" 다시 사과…'총력 대응'의 골든타임"," 앵커 이렇게 코로나가 심각해지자 문재인 대통령은 sns를 통해 ""방역 비상상황""이라며 우려했습니다.특히 국민들에게 ""송구하다""면서 ""특단의 대책으로 코로나 확산을 저지하겠다""는 의지도 함께 밝혔습니다.손병산 기자입니다. 리포트 수도권의 사회적 거리두기 2.5단계 격상에 고개를 숙였던 문재인 대통령.[지난 7일(청와대 수석·보좌관회의)]""국민들께 더 큰 부담과 불편을 드리게 되어 매우 송구하고 무거운 마음입니다.""코로나 상황이 더 악화되자 SNS를 통해 ""송구한 마음을 금할 수 없다. 불안과 걱정이 클 국민들을 생각하니 면목 없는 심정""이라고 밝혔습니다.국민들에게 사과한 문 대통령은 이어 ""심기일전하겠다""며 ""단시간에 집중적으로 모든 행정력을 동원하겠다""고 강조했습니다.이미 사력을 다하고 있는 의료진의 피로 누적과 경제적 타격을 감안하면, 즉각적인 총력대응이 절실하단 겁니다.문 대통령은 이를 위한 특단의 대책으로, 군·경찰 병력을 투입해 역학조사를 강화하고 진단검사 속도 향상과 선별진료소 운영 확대 등을 제시했습니다.또 가장 우려가 큰 병상 고갈 문제에 대해선 ""1천개 이상 병상을 확보했다""며 ""치료할 곳이 없어 국민의 생명이 위협받는 일이 결코 없도록 하겠다""고 약속했습니다.문 대통령은 또 부족한 의료인원 보강을 위해 진료협조에 나선 민간의료기관과 의대생들에게 감사의 뜻을 전했고, 국민들에게는 백신과 치료제가 나올때까지 마지막 고비를 함께 이겨내자며 방역수칙 준수를 당부했습니다.MBC뉴스 손병산입니다.(영상편집:조기범)MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보"
3,MBC,'950명' 최대 확진‥'병원도 교회도' 높은 확산의 파도," 앵커 950명. 하루 확진자가 천 명에 이를 수 있다던 방역당국의 우려가 현실이 돼가고 있습니다.지난 1월 국내에서 첫 확진자가 나온 이후, 열한 달 만에 역대 최대치를 기록했습니다.수도권의 교회와 요양병원에서 또다시 대규모 집단감염이 일어났는데요.그밖에도 전국 곳곳에서 감염이 급속도로 확산되고 있습니다.거리두기 단계를 더 올려야 되는지, 의료체계가 마비되는 건 아닌지 걱정이 커지고 있습니다.먼저 오늘 확진 상황을 김미희 기자가 정리했습니다. 리포트 오늘 추가된 확진자는 950명, 하루 만에 261명이나 늘었습니다. 지난 1월 코로나19 첫 환자 발생 이후 최다 규모이고, 대구 신천지발 1차 대유행의 정점이었던 2월의 909명보다 많습니다.지난달 초만 해도 1백 명 대 안팎이더니, 한 달 새 무려 10배 가까이 치솟았습니다. [정세균/국무총리] ""코로나19 발생 이후 최대의 위기이며 촌각을 다투는 매우 긴박한 비상 상황입니다.""특히 수도권의 확산세가 무섭습니다.신규 확진자의 70%가 서울과 경기도에서 쏟아졌는데, 어제 전국 확진자 수를 모두 합친 것과 맞먹는 규모입니다.종교 시설과 요양병원, 음식점을 중심으로 한 동시 다발 집단 감염이 속출하고 있습니다. 지난 6일 첫 확진자가 나온 서울 강서구의 한 교회는 모두 91명이 감염됐고, 서울 종로구 음식점의 연쇄 감염 환자는 230명으로 늘었습니다. 선제검사 결과 무더기 확진자가 나온 경기 부천의 한 요양병원은 66명, 안산의 한 요양병원에서도 12명이 확진 판정을 받았습니다. [임숙영/중앙방역대책본부 상황총괄단장]""그간 영유해왔던 모든 일상이 일순간에 모두 멈출 수 있다는 위기 의식을 갖고 극복의 의지를 다져 주시기를 간곡히...""일부 전문가들은 바이러스가 활발해지는 겨울철 확산세를 잡지 못하면, 조만간 하루 확진자가 2천 명을 넘을 수도 있다고 경고합니다. MBC뉴스 김미희입니다. (영상 취재 : 이주영, 윤병순 / 영상 편집 : 송지원 )MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보"
4,MBC,"당국 ""900명대 확진 송구, 당분간 이 정도 숫자 계속될 듯""","자료사진방역당국은 코로나19 유행 이후 일일 최다 규모 신규 확진자가 발생한 것에 대해 ""송구하다""며, 당분간 이런 추세가 이어질 것으로 예상했습니다.임숙영 중앙방역대책본부 상활총괄단장은 ""오늘 가장 많은 신규 환자가 발생한 날 방역당국 입장으로서 송구하다""고 말했습니다.그는 이어 ""지난 8일 시작된 거리두기 2.5단계 효과는 보통 1주일 뒤에 나타나기 때문에 당분간 이 정도 숫자가 지속적으로 나오지 않을까 조심스럽게 예측한다""고 덧붙였습니다.임 단장은 다만 거리두기 3단계 격상 관련 질문에는 ""우선은 거리두기 2.5단계의 효과를 지켜보면서 격상이 필요할 경우 논의하겠다""고 설명했습니다.그러면서 ""수도권 환자 발생 증가로 의료 인력 자원 소모가 극심하다""며 국민들에게 ""모든 대면 모임을 취소해달라""고 당부했습니다.                      "
5,MBC,[MBC 뉴스데스크 주요뉴스] 신규확진 950명…1월 코로나 국내유행 시작 이후 최다 기록,"                                   ▶ 고삐 풀린 동시다발 집단감염…수도권 가파른 확산세 심각▶ 방역당국 ""집에 머물고 모든 대면모임 취소해 달라"" 당부 ▶ 문 대통령 ""코로나19 안정시키지 못해 송구…특단대책 대응"" ▶ 정 총리 ""확산세 꺾지 못하면 방역 3단계 격상 불가피"" ▶ 美 재확산 심각 연일 최악기록…FDA 화이자 백신 긴급사용 승인▶ 아동 성범죄자 조두순 출소…전자장치·24시간 감시 개시                      "
6,MBC,도쿄 코로나19 신규확진 621명…이틀만에 또 최다기록,"일본에서 수도인 도쿄도(東京都)의 코로나19 확진자가 이틀 만에 또 최다 기록을 경신했습니다.일본 NHK 방송에 따르면 오늘(12일) 도쿄에서는 코로나19 확진자 621명이 새로 보고돼 이틀만에 최다기록을 경신했습니다.도쿄의 누적 확진자는 4만6천745명으로 나타났습니다.그러나 일본 정부는 여전히 강력한 방역 대책을 시행하지 않고 있습니다.스가 요시히데 일본 총리는 어제 한 인터넷 방송에 출연해 여행장려 정책 '고투 트래블'을 중단하는 것에 대해 ""생각하지 않고 있다""고 재차 밝혔습니다."
7,MBC,"방역당국 ""거리두기 효과 충분치 않아…집에 머물러달라""","중앙방역대책본부는 오늘 0시 기준 코로나19 신규 확진 환자 수가 900명을 훌쩍 넘은 상황과 관련해 ""당분간은 이정도 숫자가 지속적으로 나오지 않을까 조심스럽게 예측한다""고 밝혔습니다.임숙영 중앙방역대책본부 상황총괄단장은 오늘 정례브리핑에서 ""거리두기의 계속적인 상향에도 불구하고 이동량이 충분히 줄지 않아, 거리두기 효과가 충분하게 나타나지 않고 있다""며 이같이 말했습니다.임 단장은 이어 ""우선은 거리두기 2.5단계의 효과를 지켜보면서 3단계 격상이 필요할 경우는 논의할 것""이라며, ""안전한 집에 머물고 모든 대면 모임을 취소해달라""고 당부했습니다.                      "
8,MBC,"방대본, 14일부터 임시선별검사소 확대…희망자 누구나 검사 가능","자료사진중앙방역대책본부는 코로나19 확진 환자가 급증하는 것과 관련해 오는 14일부터 수도권에 임시선별검사소를 추가 설치하고 증상 유무나 역학적 연관성과 관계없이 진단검사를 실시한다고 밝혔습니다.150여곳이 추가되는 임시선별진료소는 앞으로 3주 동안 평일과 주말 구분없이 매일 오전 9시부터 저녁 6시까지 운영되고, 개인 휴대전화번호만 제출하면 익명으로 검사를 받을 수 있습니다.임시선별진료소에서는 코에서 검체를 채취하는 PCR 검사가 이뤄지며, 희망자에 한해 타액 검사나 신속항원검사가 실시될 예정입니다.                      "
9,MBC,"정 총리 ""코로나 확산세 꺾지 못하면 3단계 격상 불가피""","정세균 국무총리는 ""지금의 코로나19 확산세를 꺾지 못한다면 거리두기 3단계 격상도 불가피해질 것""이라고 밝혔습니다.정 총리는 오늘 코로나19 긴급방역대책회의에서 ""코로나 발생 이후 최대의 위기이며, 촌각을 다투는 매우 긴박한 비상상황""이라며 이같이 말했습니다.그러면서 ""더 이상 물러설 곳이 없다는 사생결단의 각오로 가용한 모든 행정력을 위기 대응에 집중하고, 중대본 방역대응체계를 최고수준으로 가동해 국민의 생명과 안전을 지키겠다""고 약속했습니다.특히 ""충분한 병상 확보가 최우선""이라며 ""치료를 못 받고 무작정 대기하는 확진자가 없도록 모든 공공병원 병상을 최대한 활용하고, 민간병원 협력도 이끌어내겠다""고 강조했습니다.정 총리는 ""지금은 어떤 말로도 표현하기 어려운 매우 위중하고 비상한 상황으로, 경제적·사회적 타격을 생각하면 어떻게든 지금 단계에서 확산세를 반전시켜야 한다""며 국민들의 방역 참여를 당부했습니다."
