,Press,Title,Text
0,MBN,"뉴스 > 스포츠코로나19 방역 지침 마련한 NBA, 선수단 `원정 외식`은 허락","매경닷컴 MK스포츠(美 알링턴) 김재호 특파원신종 코로나바이러스 감염증(코로나19) 팬데믹 상황에서 시즌을 준비중인 미국프로농구(NBA), 강력한 방역 지침을 준비했다.'ESPN'은 6일(한국시간) 리그 사무국이 각 구단에 배포한 158페이지 분량의 공문을 입수, 그 내용을 전했다. 이에 따르면, NBA는 코로나19 방역 지침 위반으로 감염되는 인원이 발생해 리그 진행에 영향을 미치는 일이 벌어질 경우 ""벌금, 출전 정지, 드래프트 지명권 변경, 경기 몰수"" 등 강력한 징계를 내릴 것임을 경고했다.↑ 코로나19 팬데믹에서 시즌 개막을 준비중인 NBA는 강력한 방역 지침을 마련했다. 사진=ⓒAFPBBNews = News1 방역 지침을 위반한 것이 드러난 선수에 대해서는 시즌 도중 격리 조치되며 이로 인해 뛰지 못하는 경기에 대해서는 급여를 지급하지 않을 예정이다. 일종의 급여 삭감 징계다. 여기에 불시에 구단 시설을 직접 점검, 방역 지침이 제대로 지켜지고 있는지를 검사할 예정이다.강력한 방역 지침을 마련했지만, 일부는 풀어준 부분도 있다. 예를 들어 원정경기를 치를 경우 식사를 위해 숙소를 벗어나는 것이 허용된다. 선수들은 NBA 노사가 야외에서 식사를 하거나, 완벽하게 개인 공간이 갖춰져 있어 식사를 해도 안전하다고 인정한 식당에서 식사를 할 수 있다. ESPN은 NBA 노사가 현재 각 지역별로 식당들을 조사해 리스트를 만들고 있다고 전했다.메이저리그의 경우 원정경기시 선수단으로 하여금 원정숙소를 벗어나지 못하게했다. 식사나 이미용 등 기본적인 활동을 위한 이동은 허용했지만, 시즌 초반 집단 감염이 발생하자 이마저도 금지했다. ESPN은 이와 관련해 선수들의 요구가 반영된 결과라고 소개했다.그렇다고 마음대로 활동할 수 있다는 것은 아니다. 엄격한 제한이 따른다. 홈경기를 치르는 시기에는 술집이나 라운지, 클럽, 라이브 공연, 경기장, 혹은 대중들이 사용하는 체육관이나 스파, 수영장, 15인 이상이 모이는 대형 실내 행사에 참가할 수 없다. 이를 위반하는 경우에 대해서는 구단, 혹은 리그 사무국 차원의 징계가 있을 예정이다. 경고, 교육, 벌금, 출전 정지 등 다양한 징계가 내려진다. 구단에 대해서도 위반 행위에 대한 보고를 제대로 하지 않을 경우 징계할 예정이다.최근 개발 소식이 들려오고 있는 코로나19 백신에 대한 대책도 마련했다. FDA가 백신을 승인하고 NBA 노사와 협력중인 전문가들이 안전성을 입증한 경우, 리그 노사는 선수, 코칭스태프, 구단스태프들에 대한 백신 접종 여부를 논의할 예정이다. greatnemo@maekyung.com[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
1,MBN,"뉴스 > 사회코로나 방역 방해 혐의…檢, 신천지 이만희 징역 5년 구형"," 코로나19 방역 방해 혐의 등으로 구속기소됐다 석방된 이만희 신천지예수교 증거장막성전(신천지) 총회장(88)에게 검찰이 징역 5년을 구형했다.  9일 오후 수원지법 제11형사부(부장판사 김미경) 심리로 열린 이 총회장에 대한 결심공판에서 검찰은 징역 5년과 벌금 300만원을 선고해달라고 재판부에 요청했다.  검찰은 ""피고인은 코로나19 발생 초기 위법행위로 인해 방역 골든타임을 놓치게 만들어 국민을 위험에 빠뜨렸다""면서 ""자신들의 이익을 위해 반사회적인 활동도 서슴지 않으며 공권력을 무시하고 방역을 방해해 죄질이 중하다""고 구형 이유를 밝혔다. 검찰은 또 ""서버에 구체적으로 분류된 신도 및 시설 명단을 곧바로 제공하지 않았고, 일부를 누락시키거나 조작해 방역 당국에 혼란을 줬다""면서 ""특히 과정마다 피고인이 총회 핵심 관계자와 나눈 전화 녹취 내용을 보면 명단 제공 전반에 걸쳐 피고인이 깊게 개입해 있음을 유추할 수 있다""고 설명했다. 이 총회장 측 변호인은 최후 변론에서 ""이번 사건 기소는 코로나19 확산과 더불어 신천지 교단의 강제 해체를 청원하는 여론에서 시작된 무리한 수사""라면서 ""신천지 교단에 대한 부정적 이미지에 기인해 피고인을 형사처벌 하는 것으로 확산에 대한 책임을 신천지에 묻는 것은 매우 부당하다""고 주장했다. 이어 변호인은 ""신천지는 방역 당국의 요청에 따라 24만 명의 신도 명단을 제출했으나 검찰이 확인해 누락·수정됐다고 주장하고 있는 인원은 고작 30여 명""이라면서 ""누락된 인원의 경우도 방역 당국의 제출 요구 이전에 이뤄진 신도 정보 수정 때문임이 기록에 남아 있는데 방역 방해의 의도가 있었다는 주장은 앞뒤가 맞지 않는다""고 강조했다. 휠체어에 앉은 채 4시간 가량 재판을 지켜본 이 총회장은 다소 흐린 목소리로 재판부와 검찰 측에 최후 변론을 했다. 그는 재판부에 ""(보석 신청을 허가해) 내보낸 상태로 재판을 받게 해주셔서 감사하다""면서 ""공정한 판결을 해 줄 것을 믿는다""고 말했다. 검찰을 향해서는 ""우리가 할 수 있는 것을 정부에서 요구해야 하는데 우리가 할 수 없는 일을 협조하라고 하고 방역을 방해했다고 한다""면서 ""저는 한 번도 지침을 어기거나 돈을 횡령한 적이 없다. 이건 하늘이 보고 땅이 들었을 것""이라고 혐의를 부인했다. 이 총회장은 ""코로나로 인해 우리도 큰 피해를 당했고, (신천지 발 확산이) 단기간에 해결되지 못해 국민에게 죄송하다""면서 ""다시는 죄 안 짓고 더 밝게 살겠다""고 했다. 이날 법원 앞에는 전국신천지피해자연대 등 신천지 피해자 20여 명이 모여 기자회견을 열고 피해 사례를 밝힌 뒤 법원의 엄정한 판결을 촉구했다. 이 총회장은 신천지를 중심으로 코로나19가 확산하던 지난 2월 신천지 간부들과 공모해 방역 당국에 신도 명단과 집회 장소를 축소해 보고한 혐의로 구속기소 됐다. 신천지 연수원인 평화의 궁전을 신축하는 과정에서 50억여원의 교회 자금을 가져다 쓰는 등 56억원을 횡령하고, 2015년부터 지난해까지 지방자치단체 승인 없이 해당 지자체 공공시설에서 종교행사를 연 혐의도 있다. [지홍구 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2,MBN,뉴스 > 정치코로나19 방역도 내로남불?…노영민 '살인자' 질문에 발끈,"동영상이 보이지 않으십니까?  Adobe 에서 배포한 최신 'Adobe Flash Player' 를 설치하시기 바랍니다.※ 설치가 끝나면, 사용중인 브라우저를 닫고 새로 시작해 주시기 바랍니다.【 앵커멘트 】  국회에서는 오늘(14일) 대규모 집회와 관련해 노영민 대통령 비서실장과 야당 의원들이 언성을 높였습니다.  국민의힘 의원들이 코로나19 방역도 ""내로남불""이냐며 노 실장의 과거 '살인자' 발언을 꺼내자 거친 설전이 벌어졌습니다.  노태현 기자입니다. 【 기자 】  정부가 민주노총의 전국 10만 명 규모 집회를 사실상 허용한 것에 대해 야당 의원들은 거칠게 항의했습니다.  보수단체에는 살인자라고 비난하면서, 진보단체의 집회는 허용한다며 방역도 내로남불이냐고 따져 물었습니다.▶ 인터뷰 : 김성원 / 국민의힘 의원- ""민중공동행동에서 이렇게 10만 명 이상의 대규모 집회를 했을 때 이 코로나19가 확산하면 그분들은 노 실장님 말씀대로 살인자가 되는 거고….""  ""100명 미만의 집회 신고여서 어쩔 수 없다""고 항변하던 노 실장은 ""국민에게 살인자라고 한 적이 없다""고 강하게 반발했습니다.▶ 인터뷰 : 노영민 / 대통령 비서실장- ""제가 지난번에 과하다고 했던 (살인자) 표현을 다시 하라는 말입니까. 국민에 대해서 (그 표현을) 하지 않았다고 했습니다. 어디서 가짜뉴스가 나오나 했더니….""  분위기가 격앙되자, 급기야 위원장까지 나서 노 실장을 제지했습니다.▶ 인터뷰 : 김태년 / 국회 운영위원회 위원장- ""비서실장님, 그렇다고 그렇게 반응을 보이면 어떡해요. 지난번에 그 표현 과하다고 말씀하셨고, 김성원 수석께서 그렇게 질의를 하면….""  국민의힘 의원들은 경찰청을 찾아가 이번 집회에 왜 보수집회와 같은 기준이 적용되지 않는 거냐며 강하게 항의했습니다.▶ 인터뷰 : 김형동 / 국민의힘 의원- ""그때(개천절·한글날)의 코로나19와 지금의 코로나19가 다른 것입니까. 보수 성향의 국민과 진보 성향의 국민의 주권은 전혀 다른 것입니까.""  주말 집회에서 코로나19가 확산할 가능성도 배제할 수 없는 상황에서, 정부와 여당의 대응에 관심이 쏠리고 있습니다.  MBN뉴스 노태현입니다. [ nth302@mbn.co.kr ]  영상취재 : 민병조·김준모 기자  영상편집 : 박찬규"
3,MBN,뉴스 > 국제'코로나 방역' 속 호화 파티·하와이 외유 간 미 공직자들,"신종 코로나바이러스 감염증(코로나19) 확진자 100만 명을 넘긴 미국 캘리포니아주에서 고위 선출직 공직자들이 잇따라 방역 수칙을 무시하는 '내로남불' 행태를 보여 빈축을 사고 있습니다.개빈 뉴섬 주지사는 스스로 강조해온 코로나 방역 수칙을 어긴 채 호화 파티에 참석하는 위선적인 행태를 보였고, 캘리포니아 주의원들은 하와이로 단체 외유를 떠나 도마 위에 올랐다고 현지시간으로 18일 AP통신 등이 보도했습니다.뉴섬 주지사는 지난 6일 나파밸리의 고급 프랑스 식당에서 열린 로비스트 생일 파티에 참석한 것이 들통나 강력한 비난 여론에 직면했습니다.뉴섬 주지사는 20년 지기이자 정치 자문 역할을 해온 로비스트 제이슨 키니의 50번째 생일 축하 만찬에 부인과 참석했고, 이 자리에는 12명이 동석했습니다.파티 장소는 1인당 기본 식사 요금이 350달러(38만 원)인 미슐랭(미쉐린) 별 3개짜리 고급 식당이었고, 참석자들은 모두 마스크를 쓰지 않은 채 어깨를 맞댈 정도로 붙어 앉은 장면이 현지 언론 보도를 통해 공개됐습니다.뉴섬 주지사는 논란이 커지자 기자회견을 열고 ""나쁜 실수를 저질렀다. 나는 그 자리에서 일어나서 바로 집으로 돌아왔어야 했다""고 사과했습니다.이어 ""나의 행동은 코로나 방역과 관련해 내가 항상 설파해온 정신과 모순된다""며 ""설교만 할 게 아니라 나 스스로 실천이 필요하다""고 고개를 숙였습니다.하지만 뉴섬 주지사가 사과한 뒤로 캘리포니아 주정부는 가족 모임 제한, 여행 경보 발령, 식당 영업시간 제한 등을 담은 조치를 잇달아 발표해 더욱 빈축을 샀습니다.로스앤젤레스타임스(LAT)는 ""주 정부의 코로나 방역 조치는 뉴섬 주지사가 참석했던 생일 파티와 배치된다""고 꼬집었고, AP통신은 ""뉴섬 주지사의 신뢰도는 타격을 입었다""고 지적했습니다.이와 함께 캘리포니아주가 코로나 확산을 차단하기 위해 여행 경보를 내린 상황에서 캘리포니아 주의원 4명을 비롯해 텍사스와 워싱턴주 주의원 등 모두 20명이 하와이로 단체 외유를 떠나 '내로남불' 논란을 부채질했습니다.주의원들은 '인디펜던트 유권자 프로젝트'라는 단체 주관으로 하와이주 마우이섬의 한 호텔에서 열린 정책 콘퍼런스 연례 행사에 참석했고, 일부 의원은 여행 경비까지 주최 측에서 받았다고 LAT는 보도했습니다.이 행사는 겉으로는 정책 토론회 형태를 취하고 있지만, 사실상 로비스트와 기업, 노동단체 등 입법 활동에 이해관계가 걸린 당사자들이 대거 참석해 자금을 지원하는 것으로 알려져 비판을 받아왔습니다.지난해 회의에 참석했던 캘리포니아 주의원들이 의회에 제출한 보고서에 따르면 참석자들은 주최 측으로부터 각각 3천500달러(386만 원)를 지원받았습니다.[MBN 온라인뉴스팀]"
4,MBN,뉴스 > 스포츠K리그 코로나19 방역 콘텐츠 전 세계 배포,"매경닷컴 MK스포츠 이상철 기자프로축구 K리그의 우수한 신종 코로나바이러스 감염증(코로나19) 방역 시스템을 전 세계에 알린다.한국프로축구연맹과 영국에 기반을 둔 축구 전문 디지털 콘텐츠 플랫폼 ‘덕아웃(Dugout)’이 코로나19 상황에서 K리그 선수들의 이야기를 담은 영상 콘텐츠 ‘K LEAGUE CONVERSATIONS’를 제작해 공개한다.덕아웃은 지난 5월 K리그와 파트너십을 체결한 해외 중계권사다.  ↑ 프로축구 K리그의 우수한 신종 코로나바이러스 감염증(코로나19) 방역 시스템을 전 세계에 알린다. 사진=한국프로축구연맹 제공 유럽축구연맹(UEFA) 유로파리그 홍보 영상 제작, AIA-토트넘 핫스퍼 홍보 콘텐츠 제작 및 아시아 배포, 관련 마케팅 캠페인 진행 등 전문적인 경험을 바탕으로 이번 영상 콘텐츠의 제작과 홍보를 맡아 진행한다.‘K LEAGUE CONVERSATIONS’는 올해 코로나19로 인해 K리그 개막 잠정 연기, 경기 일정 축소, 무관중 경기 등 유례없는 상황에서 시즌을 무사히 마친 K리그 방역 시스템과 선수들의 생활을 소개한다. 이를 통해 K리그의 우수한 코로나19 방역을 전 세계에 알리고자 하는 취지다.영상 콘텐츠는 총 6편으로 구성되어 있다. 편마다 데얀(대구), 헨리, 타가트(이상 수원), 일류첸코, 팔라시오스, 강상우(이상 포항)가 출연한다. 선수들이 느낀 K리그의 코로나19 방역과 극복 과정을 중심으로 평소에는 볼 수 없었던 선수들의 일상과 함께 선수들이 직접 촬영한 클럽하우스 등을 공개하며 한층 더 재미를 더할 것으로 보인다.‘K LEAGUE CONVERSATIONS’는 27일 예고편을 시작으로 매주 화요일마다 한 편씩 공개된다. K리그 공식 유튜브 채널과 덕아웃 공식 플랫폼을 포함해 총 13개 국가의 35개 언론사와 온라인 플랫폼에 배포된다. 한편, 이번 영상 콘텐츠는 문화체육관광부와 국민체육진흥공단의 재정후원을 받아 제작됐다. rok1954@maekyung.com[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
5,MBN,"뉴스 > 정치[레이더P] 北, `확진자 0명`에도 코로나 방역 `초특급단계` 격상 이유는","북한이 코로나19 방역 단계를 최고 수준인 '초특급'으로 격상했다. '확진자수 0'이라는 북한 주장이 지속되는 가운데 내려진 이번 조치는 여러 해석을 낳고 있다.조선중앙방송은 2일 ""초특급 비상방역조치들을 복원한 데 맞게 중앙비상방역부문에서는 비상방역 규율과 질서를 철저히 엄수하도록 강하게 대책하고 있다""고 보도했다. 이에 따라 일부 상점이나 음식점, 목욕탕 등의 영업이 중지되고 이동에도 제한이 걸렸다. 업무도 화상회의 등 비대면 수단을 활용하도록 했다.방송은 이어 ""지역별 인원 이동을 극력 제한하고 일부 봉사단위들의 활동을 잠정중단했다""며 ""모든 단위에서 화상회의체계, 구내 방송망을 완비하며 출장 여행을 최대한 줄이고 인원들의 불필요한 접촉과 밀집 현상을 막기 위한 조직사업을 더 면밀히 짜고 들고 있다""고 설명했다. 북한은 또 지상과 공중, 해상을 막론하고 국경을 걸어 잠그고 국내로 물자가 들어오는 국경 다리와 항만에는 전면소독시설을 설치한 것으로 알려졌다. 주민 사상 교양 사업도 한층 더 강화했고 간부급 인사에는 방역 분위기를 흐리게 하는 현상과 싸울 것을 주문했다.북한이 코로나19 확산을 맞아 제정한 '비상방역법'에 따르면 방역 등급은 1급·특급·초특급 세 단계로 나뉜다. 초특급은 방역 최고 단계로 지상·해상·공중을 비롯한 모든 공간을 봉쇄하는 경우에 해당한다. 각종 모임과 학업도 모두 중지해야 한다.북한이 코로나 19 방역단계를 초특급으로 격상한 건 지난 2월 이래 처음이다. 당시 코로나19가 전세계로 확대되자 김정은 국무위원장은 노동당 정치국 확대회의를 열고 초특급 방역조치를 취할 것을 지시한 바 있다.다만 북한은 아직도 확진자가 단 한 명도 나오지 않았다고 밝히고 있다. 김 위원장은 지난 10일 노동당 창건 75주년 연설에서 ""단 한 명의 악성비루스 피해자도 없이 모두가 건강하니 이것이 얼마나 고맙고 힘이 되는지 모르겠습니다""라며 북한이 코로나 청정지역임을 주장했다. 북한은 세계보건기구(WHO)에 지난달 25일까지 총 1만6914명을 대상으로 코로나19 진단검사를 했으며 모두 음성 판정을 받았다고 보고한 바 있다.그럼에도 불구하고 북한이 코로나 방역 단계를 격상시킨 배경엔 복합적 원인이 있다는 분석이 나온다. 먼저 김 위원장의 '위기관리 리더십' 강화다. 올해 대북제재 강화에 지난해 하노이 미북 정상회담의 실패 등으로 대외 교류가 봉쇄된 것을 코로나19 방역 탓으로 돌리려 한다는 것이다. '확진자 0명'을 지속 강조하는 이유도 김 위원장의 리더십 아래 북한 내 코로나19가 잘 통제되고 있다는 것을 보여주려는 의도로 분석된다.전염병에 극도로 취약한 북한의 사정상 김 위원장이 코로나19 감염에 극도의 공포감을 갖고 있는 것도 한 요인이다. 최근 김 위원장은 접경지역 뿐 아니라 주요 도시의 이동까지도 모두 봉쇄한 상태다. 또 코로나19 확산을 방지한다는 명목에서 어업과 소금 생산을 금지하고, 방역규정을 어긴 핵심 간부를 처형하는 등 공포 정치를 펴고 있다. 국회 정보위원회 국민의힘 간사인 하태경 의원은 지난달 국회 정보위원회를 마친 뒤 ""김 위원장이 과잉 분노 표출이 있고, 상식적이지 않은 조치를 내놓고 있다""며 ""이건 약간 좀 심하지 않나""고 말했다.북한이 주장하는 바와 달리 실제 북한 내 코로나19 감염자 규모가 상당하다는 주장도 나온 바 있다. 일본 산케이 신문은 지난 4월 한국 탈북자단체 '북한인민해방전선'이 확보한 통계를 인용해 북한에서 최소 267명이 사망했으며 4만8528명이 격리됐다고 보도한 바 있다. [안정훈 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
6,MBN,뉴스 > 사회1회_코로나 유행 진단과 방역수칙,"동영상이 보이지 않으십니까?  Adobe 에서 배포한 최신 'Adobe Flash Player' 를 설치하시기 바랍니다.※ 설치가 끝나면, 사용중인 브라우저를 닫고 새로 시작해 주시기 바랍니다.Q. 코로나19 유행 진단?지인?가족 모임, 다중이용시설 등 통해 전파연말연시 모임 증가할 경우 대규모 확산 위험지난 유행에 비해 50대 이하 확진자 증가 추세Q. 코로나19 유행 전망?정은경 질병관리청장 “올 겨울 최대 고비”동절기, 코로나19 전파 환경 더욱 나빠져지역사회 잠복된 무증상?경증 감염자 증가Q 2+α거리두기 단계 방역조치?수도권, 2+α단계 방역조치 시행 사우나, 아파트 편의시설, 호텔 연말파티 금지부산?충남?강원 영서 등 5곳은 2단계 추진Q. 호흡기 증상 발생 때 대처요령?보건소?병원 상담 통해 진단 검사 받아야독감 의심 때, 항바이러스제 선제적 처방 가능호전 없다면 코로나 진단 검사 받도록 권고Q. 코로나19와 독감 증상?미각?후각 소실됐다면 코로나 감염 가능성 커어린이일 경우, 복통?설사?구토 동반할 수도증상 심하면 병원에서 정확한 진단 받아야Q. 코로나19 방역수칙?올 연말, 같이 생활하는 가족 외에 만남 자제김장모임, 동창?동호회, 친척모임서 감염 발생의심증상 보일 경우 빠르게 검사 받아야Q. 코로나19와 계절적 요인?기온 5℃, 습도 30% 이하 때 오래 생존낮은 기온으로 체온 떨어지면 면역력 약해져호흡기 전망 손상 땐 바이러스 쉽게 침투Q. 감염병과 기후변화 연관성?지구평균기온 1℃ 상승, 감염병 4.7% 증가바이러스 매개체인 모기?박쥐 서식 증가이산화탄소 증가하면 병원체 성장속도 빨라져Q. 한반도 기후변화 현상?올해 한반도 이상기상 빈번하게 발생7월 평균 기온, 6월 평균기온보다 낮아지난 4년간 마른장마, 올해는 역대 최장 장마Q. 이산화탄소 농도 상승 추세?지구 평균 이산화탄소 농도 역대 최고치 경신한국 CO₂농도 전 지구 평균보다 높아올해 북극 해빙, 평년보다 17% 적게 얼어Q. 날씨 전망?아침 기온 ?5~5℃, 낮 기온 4~14℃ 전망대체로 맑은 날씨 이어지며 대기 건조해질 듯산불 등 화재 예방에 각별히 유의해야"
7,MBN,"뉴스 > 증권예탁원, 부산지역 코로나19 생활방역 전문가 일자리 지원사업"," 한국예탁결제원은 부산지역 내 경력단절여성 16명을 채용해 약 2개월간 신종 코로나바이러스 감염증(코로나19) 예방을 위한 생활방역 서비스를 제공한다고 25일 밝혔다.이번 사업은 부산지역 여성인력개발센터 4개소(해운대·부산진·동구·동래)와 협업해 진행한다. 예탁결제원은 인건비와 방역물품비용을 지원하고 여성인력개발센터는 참여자 선발·채용, 사업단 운영 등을 담당한다.이 사업을 통해 채용된 여성들은 아동복지시설·아동센터 등 취약시설에서 소독, 방역, 발열 검사와 명부작성 등 생활방역을 실시할 계획이다.이명호 사장은 ""코로나19로 어려운 시기에 경력단절여성에 재취업 기회를 제공하고 코로나19 감염 예방에 도움을 줄 수 있게 돼 기쁘게 생각한다""며 ""앞으로도 사회적 취약계층에 대한 일자리 지원사업을 발굴·추진해 지역사회와 상생하는 사회적 가치를 실현할 것""이라고 말했다.[김현정 기자 hjk@mkinternet.com][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
8,MBN,뉴스 > 사회세계가 극찬한 `K방역`…코로나 대처는 일본에 밀려 4위 왜?," 신종 코로나바이러스 감염증(코로나19) 시대에 살기 좋은 나라 순위를 집계한 결과 1위와 2위는 각각 뉴질랜드와 일본이 꼽혔다. 한국은 3위인 대만에 밀려 4위를 차지했다. 한국은 효과적으로 코로나19에 대응한 것으로 평가됐지만, 코로나19 백신 접근성이 상대적으로 떨어지는 것으로 집계됐다.블룸버그통신은 24일(현지시간) 지난 1개월간 인구 10만명 당 코로나 확진자수와 사망률, 코로나 백신 접근성, 코로나19 진단 검사의 양성 비율 등 10개 지표를 종합해 자체 순위를 매겨 이날 보도했다.톱 10안에 진입한 국가는 이외에 핀란드와 노르웨이, 호주, 중국, 덴마크, 베트남 등이었다. 미국은 18위였다.1위인 뉴질랜드의 총점은 85.4점을 기록했다. 뉴질랜드는 단호하고 신속한 조치로 코로나19를 효과적으로 방어해 전국적인 추가 확산을 막았다고 블룸버그는 평가했다. 실제 뉴질랜드는 3월 26일 첫 사망자가 발생하자 경제가 관광에 크게 의존하고 있음에도 국경을 폐쇄했다. 이후 코로나 청정지역이 됐다. 반면 일본은 폐쇄를 시행하지 않고 다소 다른 방식으로 코로나19 방역에 접근했다. 과거 결핵환자를 추적하는 자체 시스템을 이용해 코로나19 확진자를 추적했다. 최근 일본의 확진자는 겨울철의 영향으로 코로나19 확산 초기보다 늘었으나 인구 대비 중증 환자의 비율은 꽤 낮은 편이다.대만은 지난해 12월 바이러스가 출현하자 중국 국경을 봉쇄했다. 그 결과 200일 동안 코로나 19 확진자가 한 명도 나오지 않을 정도로 선방했다.한국은 효율적인 진단검사 및 체계적인 추적으로 방역에 성공한 사례로 꼽혔다. 방역 당국은 국내 업체에서 자체 개발한 진단키트를 승인하고, 드라이브 스루 방식의 검사를 실시하는 등 초기에 발빠르게 움직였다. 다만 코로나19 백신 접근성에서 척도 점수 2점을 받아 일본(4점)과 비교해 크게 낮았다.[맹성규 기자 sgmaeng@mkinternet.com][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
9,MBN,"뉴스 > 연예`고스트` 측 ""코로나19 방역단계 격상, 15일간 공연 중단"" [공식]"," [매일경제 스타투데이 신영은 기자]뮤지컬 '고스트'가 15일간 공연을 중단한다.'고스트' 제작사 신시컴퍼니는 4일 ""오늘 오후 2시, 서울시에서 코로나19 방역 단계 격상 방침을 발표했다. 이에 뮤지컬 '고스트'는 코로나 위기상황을 통감하고 12월 5일(토)부터 12월 19일(토)까지 15일간 공연을 중단한다. 뮤지컬 '고스트' 공연은 오는 12월 20일(일) 공연부터 재기될 예정이다""라고 밝혔다.이어 ""따라서 12월 5일(토) ~ 12월 13일(일) 공연까지 예약된 티켓은 수수료 없이 일괄 취소되고, 12월 20일부터 12월 31일까지의 티켓은 한자리 띄어앉기 좌석으로 오늘 12월 4일 오후 4시에 재오픈된다""고 덧붙였다.뮤지컬 ‘고스트’는 죽음을 초월한 샘 위트(페트릭 스웨이지 분)와 몰리 젠슨(데미 무어 분)의 절절한 사랑을 그린 영화 ‘사랑과 영혼’(1990)을 원작으로 한 작품으로, 2011년 영국 웨스트엔드에서 탄생했다. 2013년 우리나라에서 초연 이후 7년 만에 재연으로 돌아왔다.샘위트 역에 김우형, 주원, 김진욱, 몰리 젠슨 역에 아이비, 박지연, 오다 메 브라운 역에 최정원, 박준면, 칼 브루너 역에 김승대, 백형훈 등이 출연한다. 뮤지컬 ’고스트’는 2021년 3월 14일까지 디큐브아트센터에서 공연된다.shinye@mk.co.kr사진제공ㅣ신시컴퍼니"
