,Press,Title,Text
0,SBS,코로나19 방역 인력 3명 중 1명 '번아웃'…70% '울분 경험',"[""  코로나19 방역과 치료를 담당하는 인력 3명 중 1명은 '번아웃'(소진) 상태에 처했다는 설문 결과가 나왔습니다.  "", ' 10명 중 7명은 갑질 등으로 업무 중 울분을 터뜨린 경험이 있었습니다.  ', "" 서울대학교 보건대학원 유명순 교수와 경기도 공공보건의료지원단은 '제2차 경기도 코로나19 치료·인력 인식 조사'를 실시한 결과를 공개했습니다.  "", ' 이번 조사는 지난달 21일부터 29일까지 경기도 코로나19 담당 인력 1천112명을 대상으로 이뤄졌으며, 총 621명이 설문에 응했습니다.  ', ' 설문 결과 이들의 47.6%는 5개월 이상 코로나19 업무를 지속하고 있었습니다.  ', ' 평균 업무 기간은 4.9개월, 최장은 240일이었습니다.  ', ' 일평균 근무시간은 5.82시간, 일평균 휴식 시간은 1.58시간이었습니다.  ', ' 역학조사관 등 현장대응직의 근무시간은 7.21시간, 선별진료소 업무 등을 맡는 보건소 공무원의 근무시간은 6.31시간으로 치료 팀(병원 간호사 5.67시간, 간호사 외 의료진 5.24시간)보다 길었습니다.  ', ' 업무가 길어지면서 번아웃을 호소하는 인력도 상당했습니다.  ', "" 번아웃을 구성하는 3대 요소인 '감정적 고갈', '냉소', '효능감 저하' 모두 기준값 이상인 인력이 전체의 33.8%를 차지했습니다.  "", ' 특히 업무로 인한 감정 고갈을 겪은 인력이 많았습니다.  ', ' 감정 고갈 정도는 여성보다 남성에게서, 연령대별로는 20대, 직종에서는 현장대응직에서 높게 나타났습니다.  ', ' 유 교수는 ""코로나19 치료와 방역 인력들이 장기간의 업무로 정서적인 탈진 상태에 놓여있다""며 ""일에서 성취가 아닌 냉소감과 낮은 효능감을 경험하고 있다는 것은 우리가 받아든 방역 성적표의 뒷장이자 이면인 셈""이라고 지적했습니다.  ', ' 코로나19 치료 및 방역 인력의 69.7%는 코로나19 업무와 관련해 울분을 경험했다고 답했습니다.  ', ' 이들은 어리다고 업무를 부당하게 배정받거나 욕설과 사과 등을 강압적으로 요구하는 민원, 모든 탓을 의료진이나 공무원에 돌리는 책임 전가 등의 상황을 겪은 것으로 드러났습니다.  ', ' 울분을 터뜨렸다는 답변은 역학조사관 등 현장대응직에서 유의하게 더 높았습니다.  ', ' 유 교수는 ""이번 조사 결과로 코로나19 인력의 높은 울분 경험을 확인한 만큼 앞으로 안전하고 공정한 코로나19 근무 환경을 마련하는 것이 중요하다""고 말했습니다. ']"
1,SBS,코로나19 방역 작전 동원된 브라질 군인들 양성반응 잇따라,"['  브라질에서 신종 코로나바이러스 감염증(코로나19)이 빠르게 확산하면서 방역 현장에 동원되는 군인들도 안전을 장담하기 어렵게 됐다.  ', ' 브라질 국방부는 지금까지 군인 62명이 코로나19 검사에서 양성반응을 나타냈다고 1일(현지시간) 밝혔다.  ', ' 국방부는 현재 군인 1만8천여 명이 방역작업에 직접 참여하고 있다고 말해 코로나19에 노출되는 군인은 더 늘어날 것으로 보인다.  ', ' 국방부 대변인은 ""코로나19 방역 작전의 최전선에 참여하고 있는 군인들 가운데 환자가 나오는 것은 어찌 보면 당연한 일""이라면서 ""그러나 중증 환자는 보고되지 않았다""고 말했다.  ', ' 이와 관련, 세르지우 모루 법무부 장관은 코로나19 대응을 위해 보건부 장관이 군 병력을 이용할 수 있도록 해야 한다고 주장해 방역 작업에 동원되는 군인은 더 늘어날 것으로 보인다.  ', ' 브라질에서는 전날까지 코로나19 사망자가 201명 보고됐다.  ', ' 지난달 17일 첫 사망자가 보고된 이후 하루 새 증가 폭으로는 가장 컸으며, 상파울루주에서만 136명이 사망했다.  ', ' 확진자는 5천717명으로 늘었다.  ', ' 상파울루주(2천339명)를 포함한 남동부 지역에서 3천406명의 확진자가 보고됐다.  ', ' (연합뉴스, 사진=게티이미지코리아) ']"
2,SBS,코로나 방역은 장기전? '집단면역' 스웨덴의 반전,"[' 며칠 사이 확진자가 수백 명대로 다시 늘어나면서 다른 나라 사례도 짚어보게 됩니다. 유럽, 특히 방역 고삐를 죄었다가 풀었던 나라들에서 다시 확진자가 급증하고 있는데 반면 자국민을 상대로 집단 면역 임상시험을 한다고 비판받던 스웨덴은 요즘 상황이 나아졌습니다.  ', ' 어떤 점을 참고할 수 있을지, 조동찬 의학전문기자가 분석해드립니다.  ', ' 코로나19 대유행에도 스웨덴은 락다운, 즉 강력한 사회적 거리두기를 하지 않고 있습니다.  ', ' 이 때문에 지난 4월과 5월 요양 시설 노인들이 집단 감염되면서 수천 명이 목숨을 잃었고 국제적으로 거센 비난이 쏟아졌습니다.  ', ' 어제(17일) 기준 세계 코로나19 현황입니다.  ', ' 강력한 거리두기를 시행했던 영국, 독일보다 스웨덴의 환자가 크게 적은데 인구수를 고려하면 비슷한 수준입니다.  ', ' 그런데 사망자 수는 유럽의 방역 성공 국가로 평가받던 벨기에의 절반 수준인데 인구수를 고려해도 더 낮습니다.  ', ' 스웨덴의 코로나19 사망자는 7월부터 급감해 8월부터는 0에 수렴하고 있습니다.  ', ' 전문가들은 스웨덴이 자신들의 의료 체계가 감당할 수 있을 정도의 방역 접점을 찾은 것으로 분석합니다.  ', ' 다른 국가들은 정부 주도의 강력한 조치를 시행했다가 이를 완화하면서 환자가 다시 급증했지만 국민의 자발적 통제를 강조해온 스웨덴이 접점을 찾았다면 이는 앞으로도 지속 가능한 수준일 것으로 예상됩니다.  ', ' 우리나라는 스웨덴보다 환자 수, 사망자 수가 훨씬 적기 때문에 스웨덴을 모델로 삼을 수는 없습니다.  ', ' 다만 강도가 높은 일시적 대책보다 국민이 스스로 지속할 수 있는 장기적 대책이 더 효과적이라는 점은 배울 수 있습니다.  ', ' 코로나19 대응은 단거리 경주가 아니라 마라톤이라는 얘기입니다.  ']"
3,SBS,"'우한 봉쇄해제' 시진핑 ""중국 코로나19 방역 단계적 성과""","['  코로나19 방역을 위해 76일간 봉쇄됐던 중국 후베이성 우한이 오늘(8일) 봉쇄 해제된 가운데 시진핑 중국 국가주석이 중국 방역 조치가 단계적인 성과를 거뒀다며 자축했습니다.  ', ' CCTV에 따르면 시 주석은 중국공산당 정치국 상무위원회 회의를 열고 이같이 말했습니다.  ', ' 시 주석은 ""현재 중국의 방역 조치는 단계적인 성과를 거뒀고, 업무 복귀와 생산 회복에서도 중요한 진전이 있었다""면서 ""경제 사회 운행 질서가 빠르게 회복되고 있다""고 강조했습니다.  ', ' 그는 이어 ""국제사회에서 코로나19가 확산하고 있고, 세계 경제 역시 하방 압박이 커지고 있다""면서 ""중국은 여전히 감염병 외부 유입 압력과 경제 발전은 새로운 도전과 위험에 직면해 있다""고 역설했습니다.  ', ' 그러면서 ""외부 유입과 내부 재확산의 위험이 존재하는 상황에서 방역 업무를 절대로 느슨하게 해서는 안 된다""고 덧붙였습니다.  ', ' 시 주석은 또 ""방역 업무를 일상화하면서 생산활동 질서의 회복도 적극적으로 추진해야 한다""면서 ""이를 통해 모든 국민이 편안하고 풍족한 생활을 누리는 사회 건설과 탈빈곤의 임무를 완수해야 한다""고 촉구했습니다. ']"
4,SBS,코로나19 방역 조치에 불만…브라질서 교도소 폭동·탈옥 잇따라,"[' 브라질 상파울루주에 있는 교도소에서 코로나19 사태 관련 방역 조치에 불만을 품은 수감자들이 폭동을 일으키고 집단 탈옥했습니다.  ', ' 브라질 언론에 따르면 폭동은 전날 오후부터 최소한 5개 교도소에서 일어났으며 수감자 830여 명이 달아난 것으로 추산됩니다.  ', ' 일부 교도소에서는 수감자 탈옥 과정에서 교도관들이 인질로 붙잡히기도 했으나 별다른 인명 피해는 없는 것으로 전해졌습니다.  ', ' 상파울루주 정부는 현장에 출동한 경찰이 500여 명을 체포했으며 나머지 수감자들의 행방을 쫓고 있다고 밝혔습니다.  ', ' 4개 교도소에서는 이틀째 폭동이 계속되면서 경찰과 대치하고 있습니다.  ', ' 폭동은 법원이 코로나19 확산을 우려해 수감자들의 외출을 금지하고 면회를 제한한 데 대한 반발로 일어난 것으로 보입니다.  ']"
5,SBS,"검찰, '코로나 방역 방해' 이만희 총회장 2차 소환조사","['  코로나19 방역 활동 방해 혐의를 수사하고 있는 수원지검 형사6부는 오늘(23일) 이만희 신천지 총회장을 2차로 소환해 조사를 벌였습니다.  ', ' 지난 17일 첫 검찰 출석 이후 6일 만입니다.  ', ' 이 총회장은 신천지 대구교회를 중심으로 코로나19가 확산하던 지난 2월 방역당국에 신도 명단과 집회 장소를 축소해 보고하는 등 허위의 자료를 제출하고, 검찰 수사에 대비해 관련 자료를 폐기하는 등 증거를 인멸한 혐의를 받고 있습니다.  ', ' 또 부정한 방법으로 100억 원대 부동산을 형성하고, 헌금을 빼돌린 혐의도 받습니다.  ', ' 이 총회장은 오전 10시쯤 변호인을 대동하고 수원지검에 출석한 것으로 전해졌습니다.  ', ' 한편 오전 11시 수원지검 앞에서는 전국신천지피해자연대 10여 명이 모여 이만희 총회장 구속수사 촉구를 주장하는 기자회견을 열었습니다.  ']"
6,SBS,코로나 방역에 '봉기하라'는 백악관 고문,"[' 미국 백악관 참모가 주 정부의 코로나19 방역 조치에 ""봉기하라""는 트윗을 올려 논란을 빚었습니다.  ', ' 정치전문매체 더힐에 따르면 트럼프 대통령의 의학 고문인 스콧 아틀라스는 자신의 트위터에 미시간주의 코로나19 새 규제에 대해 ""이를 막을 유일한 방법은 사람들이 봉기하는 것""이라며 ""여러분은 수용하는 만큼만 얻을 것""이라고 주장했습니다.  ', ' 그레천 휘트머 미시간 주지사가 학교 수업을 3주간 원격으로 전환하고 식당 내 식사 금지를 재부과하는 규제책을 발표한 후 올린 글입니다.  ', ' 아틀라스 고문은 집단면역을 주장한 전력이 있습니다.  ', ' 휘트머 주지사는 CNN방송 인터뷰에서 ""백악관이 미시간, 특히 나를 지목하길 좋아한다는 것을 안다""며 ""겁을 줘서 내가 저명한 과학자와 의학 전문가들을 따르지 않도록 하진 못할 것""이라고 비판했습니다.  ', ' 앤서니 파우치 국립알레르기·전염병연구소 소장도 아틀라스 고문의 태도를 비판했습니다.  ', ' 그는 NBC방송에서 ""사적으로 아틀라스 박사에게 반대하는 말을 하고 싶지는 않다""면서도 ""그가 취한 입장에 전혀 동의하지 않는다""고 말했습니다.  ']"
7,SBS,"대검 ""코로나19 방역 활동 저해 사범 엄정 대응""","['  코로나바이러스감염증-19(코로나19) 재확산 추세에 따라 대검찰청이 방역활동을 방해하는 행위에 대해 엄정 대응하겠다고 밝혔습니다.  ', ' 대검찰청 신종 코로나19 대응본부는 전국 고·지검과 지청의 코로나19 대응단에 방역활동 저해 사범에 엄정 대응할 것을 지시했습니다.  ', ' 대검 측은 방역당국의 확산방지 조치가 적시에 실효를 거두기 위한 것이라고 설명했습니다.  ', ' 대검 측은 ""국가 핵심기능인 법 집행 시스템과 역량이 무력화되지 않도록 각급 검찰청의 코로나19 대응단을 중심으로 24시간 빈틈없는 비상대응 체제를 유지하는 등 올해 2월 특별지시 사항을 다시 전파했다""고 설명했습니다.  ', "" 윤석열 검찰총장은 지난 2월 코로나19 확산세에 대응해 '코로나19 대응 태스크포스(TF)'를 구성하고 피의자·참고인 소환조사 최소화, 검찰청사 견학 프로그램 연기 등 관련 대책을 지시한 바 있습니다.  ""]"
8,SBS,"'코로나19 방역 방해' 이만희 구속…""증거인멸 염려""","[' 코로나19 방역 활동을 방해하고 교회 자금을 횡령한 혐의 등을 받는 이만희 신천지 총회장이 오늘(1일) 새벽 구속됐습니다. 법원은 일부 혐의가 소명되고, 증거인멸 우려가 있다며 영장을 발부했습니다.  ', ' 수원지방법원 이명철 영장전담판사는 오늘 새벽 이만희 신천지 총회장에 대한 구속영장을 발부했습니다.  ', ' 이 판사는 범죄사실에 일부 다툼의 여지가 있지만 일정 부분 혐의가 소명됐고, 수사 과정에서 조직적으로 증거를 인멸한 정황이 발견되며, 종교단체 내 피의자의 지위 등에 비추어 볼 때 향후 추가적인 증거인멸의 염려를 배제하기 어렵다고 밝혔습니다.  ', ' 이 총회장이 89세 고령에 지병이 있지만 수감생활이 현저히 곤란할 정도라고 보이지 않다며 영장을 발부했습니다.  ', ' 검찰이 이 총회장에 대한 구속 영장을 청구하면서 밝힌 혐의는 크게 세 가지입니다.  ', ' 먼저, 방역 당국에 교인 명단과 시설 목록을 허위로 제출하거나 빠뜨린 혐의입니다.  ', ' 또, 가평의 신천지 연수원 신축 과정에서 교회자금을 빼돌리는 등 56억 원을 횡령한 혐의, 그리고, 지자체 허가 없이 수원 월드컵경기장 등에서 대규모 종교행사를 강행한 혐의도 적용됐습니다.  ', ' 검찰은 두 차례 이 총회장을 불러 조사한 뒤 지난달 28일 구속영장을 청구했습니다.  ', ' 이에 앞서 검찰은 신천지 간부 3명을 구속하는 등 관계자 7명을 재판에 넘겼습니다.   ']"
9,SBS,"코로나19 방역, 선방하는 줄 알았는데 왜 무너졌나","[' 지난달 20일, 국내에서 첫 감염자가 나온 뒤 그 이후 열흘 동안 나온 환자들은 모두 중국에 다녀왔었던 사람들입니다. 그러다가 싱가포르나 일본처럼 다른 나라를 갔던 사람들 가운데서도 환자가 나오기 시작한 게 바로 이번 달 1일인데, 중국 후베이성에 갔던 외국인을 막기 시작한 건 그로부터 며칠이 더 지난 이번 달 4일부터였습니다. 그러고 나서 처음으로 퇴원한 사람도 나오고 좀 환자가 뜸해지면서 이제 코로나19가 소강 국면에 접어든 것 아니냐는 전망과 함께 아직은 안심하기 이르다는 경고도 나왔었는데 당시에는 이런 발언들도 있었습니다. 함께 들어보시죠.  ', ' [문재인 대통령 (지난 13일, 경제계 간담회) : 코로나19는 머지않아 종식될 것입니다.]  ', ' [정은경/질병관리본부장 (지난 13일) : 아직은 소강 국면이 아니고, 그렇게 판단할 수 있는 시점이 아니다…]  ', ' 이러다가 상황이 달라진 건 어디서 감염된 건지 알 수 없는 환자가 나오면서부터였습니다. 그리고 지난주부터 대구 신천지교회, 경북 청도 대남병원을 중심으로 환자 수가 확 늘어나면서 오늘(26일) 전체 환자 수가 1,200명을 넘어섰습니다. 전체 환자의 80% 정도가 이렇게 대구·경북 지역에서 나오고 있는데데 이걸 전국으로 퍼진 것으로 볼 수 있는지 없는지를 두고도 의견이 여전히 엇갈리고 있습니다.  ', ' 지금까지 쭉 지난달 첫 환자가 나온 이후부터 상황을 살펴봤는데 그렇다면 지금까지 정부 방역 대책은 적절했을지, 조동찬 의학전문기자가 돌아봤습니다.  ', ' 지난 2월 초 미국, 호주, 싱가포르는 중국 전역을, 일본과 우리나라는 우한이 속한 후베이성 방문자만 입국을 금지 시켰습니다.  ', ' 코로나19가 중국 전 지역의 문제냐 후베이성만의 문제냐에 대해 판단이 달랐던 겁니다.  ', ' 세계보건기구와 미국 보건당국, 국내 의학계도 의견이 엇갈렸습니다.  ', ' 하지만 불확실할 때는 과도한 대응이 순리라는 감염병의 법칙은 이번에도 예외가 아니었습니다.  ', ' 아직까지 환자가 100명 이내인 미국, 호주, 싱가포르와 명암은 분명하게 갈리고 있습니다.  ', "" 환자가 닷새째 발생하지 않자 성급하게 나온 '소강상태' '머지않아 종식'이라는 표현은 의학적으로 무리한 기대였습니다.  "", ' 교류가 많은 일본, 싱가포르, 태국 등에서 환자가 계속 증가하고 있었고 바이러스의 잠복기를 고려하면 유행 초기 일시적으로 환자 발생이 감소할 수 있기 때문입니다.  ', ' 이 시점에서 마스크 없이 다중 시설을 이용하거나 모임 참석을 권유했던 분위기는 이번 사태의 가장 뼈아픈 실책으로 기록될 것으로 보입니다.  ', ' 감염병의 가장 큰 적은 낙관론입니다.  ', ' 대구·경북지역만의 확산이라는 보건당국의 현재 판단도 보다 엄중한 상황 판단으로 재검토할 필요가 있습니다.  ']"
