,Press,Title,Text
0,CHANNELA,“부동산·성장률 곧 효과”…정책 기조 변화 없는 靑,"['오늘 발표된 실업과 부동산 통계 전해드렸는데, 청와대는 같은 통계도 비관적으로만 보지는 않고 있습니다. ', '그래도 점점 나아지고 있고, 또, 다른 선진국에 비해 선방하고 있다는 게 청와대 시각입니다 ', '오히려 오늘 인적 개편을 추가로 마친 청와대는 적극적인 공세로 전환하는 분위기입니다. ', '문재인 대통령의 경제 낙관론에 대한 논란이 계속되는 가운데 청와대 참모들이 엄호에 나섰습니다. ', '청와대 경제사령탑인 이호승 경제수석은 부동산 정책이 효과를 나타낼 것이라고 자신했습니다. ', '[이호승 / 대통령 경제수석(CBS 라디오)] ', '""후속 조치도 강한 의지를 가지고 하고 있기 때문에 조만간 시장 안정 효과는 더 확실하게 확인할 수 있을 것이라고 생각을 합니다."" ', '3분기에는 후퇴했던 경제 성장률도 반등할 것이라며 기대감을 나타냈습니다. ', '청와대에서 부동산 정책을 총괄하는 김상조 정책실장도 우리 경제가 선방하고 있다고 강조했습니다. ', '“올해 성장률 전망도 상향조정되었고, OECD 국가 회원국들 중에 단연코 가장 좋은 전망치입니다” ', '집값 문제와 관련해선 ""수해가 나면 신선식품 같은 체감 물가가 폭등할 수 있는 것과 비슷한 상황""이라며 ""지금 추세라면 강남 4구의 경우 사실상 상승률이 제로에 가까울 것""이라고 내다봤습니다.', '집단 사의 표명에 따른 청와대 추가 인사도 단행됐습니다. ', '문 대통령은 국민소통수석에 정만호 전 강원도 경제부지사, 사회수석에 윤창렬 국무조정실 국정운영실장을 내정했습니다.', '청와대는 두 신임수석이 원래 2주택자였지만 1채는 매매 계약을 체결해 처분 중에 있다고 설명했습니다. ', '참모들이 전면에 나서 정책 효과를 선전하고, 다주택 참모들도 정리 수순에 접어들면서 보다 강력한 경제 정책 추진이 예상된다는 전망이 나옵니다. ']"
1,CHANNELA,"“세금 낼 돈 없으면 집 나가란 거냐”…윤희숙, 부동산 정책 지적","['""나는 임차인입니다""라는 5분 국회 발언으로 화제가 된 윤희숙 미래통합당 의원을 만나서 못다한 이야기를 들어봤습니다. ', '이번에는 새 종부세 강화 법안을 월급으로 세금 내는 사람들은 감당할 수가 없다고 비판했습니다. ', '윤희숙 미래통합당 의원은 어제 국회를 통과한 종부세 강화 법안 등이 국민의 납세 능력을 고려하지 않았다고 지적했습니다. ', '""세금은 소득으로 내는 것이기 때문에 자산이 오른다고 해서 그것을 비례적으로 또는 그거 보다 더 가중해서 세금을 매기면 월급이 오르지 않은 상황에서 그걸 감당할 수 없어요. "" ', '고가 주택이라 해도 1채를 소유한 실거주자에게 중과세하는 국가는 없다고 주장했습니다. ', '""사는 집에 중과세하는 나라는 없어요. 그러니까 집을 팔고 집 팔아서 세금 내고 이사 가라고 이야기하는 국가는 없어요. 세상에 어떤 정부가 자기 국민한테 그런 이야기를 해요. "" ', '현 정부의 대출 규제 정책은 내 집 마련의 꿈을 짓밟는다고도 말했습니다. ', '""집값을 잡겠다고 대출 규제를 전 국민에게 해서 이 중간층에 있는 사람들의 내 집 마련 꿈까지 억누르는 짓을 하는 나라는 없어요."" ', ""1주택자로 '진짜 임차인'이 아니라는 여당의 비판에 대해서는 정부여당이 임대인과 임차인을 편가르기 하고 있다고 맞받았습니다. "", '""저 스스로가 임대인이자 임차인이고 그런사람굉장히 많아요. 시장에서 임대인은 부자고 임차인은 가난하고 그리고 서로가 서로를 적으로 여기는 것도 아니에요. 그런갈등을 부추길필요도 없고 "" ', '어제 정부가 내놓은 부동산 공급 대책에 대해선 ""민간 재건축 시장의 환영을 받지 못할 것""이라며 부정적인 입장을 내놨습니다. ']"
2,CHANNELA,文 정부 부동산 정책에…촛불 든 성난 민심,"['■ 방송 : 채널A 뉴스A 라이브 (13:50~15:20)', '■ 방송일 : 2020년 7월 27일 (월요일)', '■ 진행 : 송찬욱 앵커, 김민지 앵커', '■ 출연 : 김경진 전 국회의원·변호사, 김근식 경남대 정치외교학과 교수', '“부동산 민심, 촛불 들었다” 지난 주말 청계천에 촛불을 든 시민들이 모였습니다. 신발을 던지는 퍼포먼스까지 있었다고 합니다. 지금 문재인 정부는 촛불 정부라고 해도 과언이 아닐 텐데요. 결국 부동산 문제로 시민들이 촛불까지 들었다. 그만큼 분노가 가득 찼다고 볼 수도 있을 것 같은데요.', '사실 정부에서 2~3년 전에 임대사업이 부동산 문제를 해결할 수 있고 국가 경제를 위해서도 도움이 된다고 해서, 정부 정책을 믿고 주택을 취득해서 임대사업을 하시던 분들인데요. 갑자기 최근에 정부가 정책 방향을 바꿔서 임대사업이 부동산 가격 폭등의 원인이고 그래서 고액의 세금부담이라든지. 임차인이 원하기만 하면 그 집에서 살 수 있는 무제한 갱신 권리를 인정한다든지. 이런 제도 변화가 예견되니까 정부 정책으로 인해 많은 피해를 입었다고 하면서 현재 문재인 정부에 대해 대단한 불신과 반대 의사를 피력하고 있는 분들입니다.', '사실 이날 집회 현장은 말씀하신대로 임대사업자 위주의 집회였기는 했는데요. 사실 무주택자나 세입자들 역시 주택 마련의 사다리를 걷어차였다는 분노도 만만치 않잖아요.', '그렇죠. 그분들보다 훨씬 더 뿔 나있는 국민들은, 평생의 꿈으로 아파트를 한 번 가져보려고 노력해온 분들의 꿈이 갈수록 좌절되는 현실이거든요. 계속 전 서울시가 가리지 않고 폭등하고 있기 때문에, 아파트 한 채를 얻어 보겠다고 노력하신 분들이 규제는 규제대로 막혀서 대출도 못 받게 되어있죠. 취득하면 취득세 내죠. 가지게 되면 엄청난 보유세를 내게 되어있죠. 다른 여러 가지 외적 요인도 있지만, 우리 정부에게 제일 중요한 것은 진솔한 사과입니다.', '부동산 논란 하면 사실 최근 가장 화제가 됐던 인물은 바로 더불어민주당 진성준 의원이죠. 한 토론 프로그램에서 집값 안 내려간다는 발언을 해서 참 논란이 됐는데요. 진성준 의원은 당 전략기획위원장에 국회 국토교통위원회 위원인데요. 의원님, 동아일보와 “1가구 1주택을 원칙으로 하는 ‘부동산 민주화’를 위한 입법을 추진해야 한다”라고 인터뷰했어요. 사실 이게 현실적으로 말이 되는 건가 싶을 정도거든요.', '불가능한 이야기고요. 본말이 전도된 이야기이죠. 우리 헌법을 보면 자유민주적 시장경제질서를 원칙으로 한다고 분명히 나와 있지 않습니까. 그리고 1가구 1주택을 개인에게만 적용할 겁니까? 그러면 회사라든지 법인들은 업무용 부동산 빌딩 하나만, 주택 하나만 가지고 장사하라고 이야기할 겁니까? 실효성도 없고 헌법 정신에도 맞지도 않고. 불가능한 이야기를 집값이 오르고 국민들이 화가 나있으니 마구잡이로 던지는 겁니다. 정부 여당이 체계적으로 생각하고 긴 안목으로 호흡이 긴 정책을 정리해서 내놓는 것이 필요하다고 보입니다. ', '--------------------------------------------', '* 위 텍스트는 실제 토크 내용의 일부분입니다. 전체 토크 내용은 동영상으로 확인하시기 바랍니다.']"
3,CHANNELA,"조기숙, 또 文 부동산정책 비판…진중권 “상황 심각한 것”","['참여정부 청와대 홍보수석을 지낸 조기숙 이화여대 국제대학원 교수가 ""문재인 정부가 교육은 포기했어도 부동산만큼은 중간이라도 가면 좋겠다""면서 부동산 정책을 비판했습니다.', '조 전 수석은 어제 페이스북을 통해 “부동산 정책은 국민의 삶과 재산에 너무 밀접한 정책""이라면서 ""국민이 실험대상도 아니고 아무리 대책을 내놓아도 먹히지 않으면 다양한 의견을 청취해 정책에 변화를 가져오는 게 당연한 것 아니냐”며 “높은 지지도가 이런 당연한 정책결정 과정의 생략을 초래했다""고 지적했습니다.', '이어 ""노무현 전 대통령이 정책적으로 성공한 이유는 정치적으로 어려웠기 때문""이라며 ""정치적으로 성공하면 임기 중에 높은 지지를 받지만, 정책적 평가는 임기 후에 내려지므로 정책적으로 실수할 가능성은 크다""고 했습니다.', '그러면서 ""지지도가 높으면 정책적 실수에 관대하게 되고 참모들도 해이해져 다 잘하는 것으로 착각할 수 있다""며 ""박근혜 전 대통령이 정치적으로 성공했기에 정책적으로 실패했듯, 저는 문재인 대통령의 정치적 성공이 달갑지만은 않다. 지지도가 좀 떨어지더라도 정책적으로 성공해 역사적으로 성공한 대통령으로 평가받으면 좋겠다""고 강조했습니다.', '앞서 조 전 수석은 최근 페이스북에 글을 올려 ""문재인 대통령의 부동산 인식이 정확한지 점검이 필요하다""고 말했습니다.', '조 전 수석은 이후 해당 글을 일반인에게는 비공개로 전환했습니다. 문재인 대통령 지지자들 비판에 시달리다 글을 내린 것 아니냐는 시선에 조 전 수석 “비판 좀 하면 어떠냐”면서 ""대통령께 전하고자 하는 메시지는 충분히 전해졌으니 정부 대응을 지켜볼 때라는 생각이 들었다""고 말했습니다.', '이에 진중권 전 동양대 교수는 조 전 수석이 문재인 정부의 부동산 정책을 비판한 것과 관련해 ""이분 (조 전 수석)은 옆에서 지켜봐주기 민망할 정도의 강성 골수 친노""라며 ""이분이 돌아섰으면 상황이 심각한 것""이라고 언급했습니다.', '백승우 기자 strip@donga.com']"
4,CHANNELA,[직언직설]새정부 부동산정책 발표…양도세·취득세 감면,"[' 현장 취재 기자 연결해 자세한 내용 알아보겠습니다.', '정부는 올해 말까지 미분양 주택은 물론', '5년간 양도 차익에 대한 세금을 물리지 않는 방안을', '또 전용면적이 85㎡ 이하에 6억 원 이하 주택을', ' 올해 말까지 한시적으로 취득세를 면제해 주고', '현재 연 3.8%인 국민주택기금 대출 이자도', ' 올해 생애 최초로 집을 구입하는 경우', '즉 총부채상환비율, DTI를 적용하지 않고', '담보대출인정비율인 LTV도 완화하기로 했습니다.', '현재 연 3.7%선인 전세자금 대출 금리를', ' 또 신규 계약에만 적용되는 서민 전세자금대출을', ' 대출한도 내에서 허용하기로 했습니다.', '다주택 보유자를 임대주택 공급자로 끌어들이기 위해', ' 민간주택도 공공임대주택처럼 활용할 수 있도록', ' 지금까지 세종로 정부청사에서 채널A 뉴스 손효림입니다.']"
5,CHANNELA,위기감 고조된 민주당…부동산 정책 두고 자성 목소리,"['각종 여론조사에서 지지율이 떨어져도 정부와 더불어민주당은 정책 특히 부동산 정책기조는 변화가 없다고 했었죠. ', '흔들림 없이 ‘뚜벅뚜벅’ 걸어가겠다는 표현도 나왔습니다만 민주당 내부는 기류가 좀 바뀌는 듯 합니다. ', '미묘하게 달라진 목소리를 짚어 드릴텐데요. ', '새 지도부가 들어서면 이 말들이 어떻게 반영될지 궁금합니다. ', '더불어민주당 양향자 의원이 당이 위기임에도 다른 목소리가 들리지 않는다고 지적했습니다. ', '자신의 SNS에서 ""위기를 고집할 것인지, 정당 재설계 수준의 혁신을 도모할 것인지 기로에 서 있다""며 ', '""우리의 오류 가능성을 인정하고 비판할 레드팀이 필요하다""고 주장했습니다.', '양 의원은 유일한 여성 최고위원 후보여서 사실상 차기 지도부행이 확정된 상태입니다. ', '부동산 정책을 밀어붙일 때 ""문제 없다"", ""필요한 입법이었다""며 적극 동의했던 당권주자들도 자성의 목소리를 내기 시작했습니다. ', '[이낙연 / 더불어민주당 의원(지난 13일, CBS 라디오)] ', '""전세, 월세에 대해서 꼭 평론가 같은 얘기를 한다든가 하는 것은 집으로 고통받는 국민들의 마음을 헤아리는 데는 부족했다."" ', '[김부겸 / 전 더불어민주당 의원(어제)] ', '""전체적으로 국민들이 저희들이 더 분발하라, 총선 결과에 너무 안주하지 말라는 따끔한 질책이다."" ', '[박주민 / 더불어민주당 의원(어제, CBS 라디오)] ', '""부동산 정책 관련된 부분을 세우거나 또는 그것을 집행할 때, 좀 더 잘 설명드리고 해야 되는데 그런 부분이 좀 약했던 것 아닌가."" ', '당권주자들이 잇따라 자성의 메시지를 내면서 새 지도부가 들어서면 정책 기조에 변화가 생길 수 있다는 가능성도 제기되고 있습니다. ']"
6,CHANNELA,갈팡질팡 부동산 정책에…30대 文 지지율 14.4%p 급락,"['갈팡질팡하는 부동산 정책에 등을 돌린 건 내 집 마련이 꿈인 30대 였습니다. ', '그동안 대통령에 핵심지지층이었던 30대의 14%가 일주일 만에 지지를 철회했습니다. ', '문재인 대통령의 30대 지지율이 큰 폭으로 하락했습니다. ', '긍정평가는 지난주보다 14.4%p 떨어진 반면 부정평가는 15.5%포인트 크게 상승했습니다. 올 해 들어 가장 큰 하락폭입니다.', '30대와 더불어 문 대통령의 핵심 지지층인 여성층의 지지율도 하락세를 보였습니다. ', '긍정 평가는 지난주보다 6.6%포인트 하락했고, 부정 평가는 7.5%포인트 올랐습니다.', '""부동산 정책에 대한 평가, 박원순 전 시장에 대한 2차 가해와 관련된 논란이 하락과 관련된 주요 원인으로 보여(집니다)."" ', '민감한 이슈인 부동산 정책과 박원순 전 서울시장의 성추행 관련 의혹이 한꺼번에 겹치면서 지지층 이탈이 두드러졌다는 평가입니다. ', '""친구들과 자리를 하다 보면 정치 관련 이야기가 나오면 문재인 대통령의 국정운영이 잘못됐다는 이야기가 굉장히 많이 나오고 있습니다."" ', '""지지하는 편이었어요. 지지자였는데. 부동산 대책 어쨌든 정부에선 잡으려고 노력하겠지만 글쎄요."" ', '문재인 대통령의 지지율은 조국 전 법무부 장관 논란이 한창이던 지난해 10월 이후 9개월 만에 가장 낮은 수치를 기록했습니다. ', ""인터넷 유명 포털 사이트에서는 '문재인 내려와'라는 검색어가 실시간 검색어 순위에 오르기도 했습니다. "", '정부의 부동산 대책을 비판하는 일부 시민들이 항의의 뜻으로 실검 운동을 벌인 것으로 보입니다. ']"
7,CHANNELA,“부동산 무정부 상태”…부동산 정책에 야권 총공세,"['부동산 정책은 없고 부동산 정치만 있는 부동산 무정부 상태다. ', '미래통합당의 공세인데, 정의당과 국민의당도 가세했습니다. ', '미래통합당은 회의장 백보드 문구까지 바꿔가며 정부 여당의 부동산 정책에 대해 맹공을 퍼부었습니다. ', ""진성준 민주당 의원의 '부동산 가격 떨어지지 않는다'는 논란 발언을 그대로 옮겨놓은 겁니다. "", '""현직 여당 의원, 그것도 국토교통위원이 저런 생각을 갖고 있었다니, 토론 내내 했던 말은 립서비스였나 하는 생각이 들었습니다. "" ', '그러면서 부동산 정책이 오락가락하고 있다고 질타했습니다. ', '[김종인/ 미래통합당 비상대책위원장] ', '""일반 국민이 누구의 말을 듣고 이 주택 정책을 신뢰해야하는지 도무지 알 수 없어요."" ', '""청와대 정책실장의 말을 총리가 뒤집고, 부총리의 말이 떨어지기 무섭게 국토부가 뒤집는 정부입니다. 부동산 무정부 상태, 이대로 방치해선 안됩니다."" ', '정의당과 국민의당도 비판에 가세했습니다. ', '""우왕좌왕하는 모습이 후속 대책이 나오기 전에 국민들의 불신만 키우지 않을까 우려스럽습니다."" ', '""그린벨트 정책을 보면 이 정권의 부동산 정책이 완전히 방향을 잃고 헤매고 있음을 보여주고 있습니다."" ', '김태년 민주당 원내대표가 거론한 \'행정수도 완성\' 언급에 대해 통합당은 ""헌법재판소 파결을 뒤집을 수 없다""며 재고의 여지가 없음을 분명히 했습니다. ']"
8,CHANNELA,[앞으로 뉴스]7월 임시국회 시작…부동산 정책 등 격돌 예고,"['이번 주 빠뜨리시면 안되는 주요 뉴스를 미리보는 시간입니다. ', ""뉴스계의 백투더퓨처. '앞으로 뉴스'입니다. "", '내일부터 7월 임시국회가 본격 가동됩니다. 여야 교섭단체 대표연설을 시작으로 대정부 질문이 실시되는데요. ', '이번주 정부의 부동산 정책, 박원순 전 시장 의혹 등 각종 현안을 두고 야당의 공세가 이어질 전망입니다. ', '이번주 수요일 국회가 고 최숙현 선수 사망 사건에 대한 청문회를 실시합니다. ', '가해자로 지목된 경주시청 트라이애슬론팀 감독과 선수들 그리고 고인의 부모와 대한체육회 관계자들이 증인과 참고인으로 참석할 예정입니다. ', '한국은행이 이번주 목요일 올해 2분기 실질 국내총생산 GDP 성장률 속보값을 내놓습니다. ', '코로나19 사태로 우리나라 경제가 받은 타격 폭을, 가늠할 수 있을 것으로 보입니다. ', '이인영 통일부 장관 후보자에 대한 국회 인사청문회가, 목요일에 열립니다. ', '이 후보자 아들의 군 면제 의혹과 스위스 유학자금 논란, 이 후보자의 대북관 등이 쟁점이 될 것으로 보입니다.']"
9,CHANNELA,“못 살겠다”…부동산 정책에 세입자·1주택자 ‘분통’,"['정부의 부동산 정책에 반발하는 목소리가 끊이지 않고 있습니다. ', '정부가 잡겠다는게 집값인지 애먼 국민인지 모르겠다는 푸념까지 나오고 있습니다. ', '그러면서, 서울 종로에서는 부동산 정책에 반발하는 집회가 열렸습니다. ', '이들이 거리로 나선 이유를 공태현 기자가 직접 들어봤습니다.', '집회 참석자들이 신발을 벗어 던집니다. ', '문재인 대통령을 향해 신발을 던진 남성을 따라하며 정부의 부동산 정책에 항의하고 나선겁니다. ', '""정부는 국민을 분열시키는 잘못된 부동산 정책 전면 폐기하라!"" ', '대출받아 집을 사려고 했던 무주택자들은 정부의 잇단 규제로 대출이 묶이면서 내 집 마련의 기회마저 사라지게 됐다며 반발했고 ', '""이대로 계약 포기하면 그 계약금, 니들에겐 얼마 안 되는 돈일지 모르지만, 신혼부부가 2년 동안 모은 전부입니다."" ', '""저희 아이들이 지금과 같이 나라에서 휘두르는 칼이라고 하죠. 칼에 아무렇지 않게 베이면서 그렇게 살길 바라지 않습니다."" ', '집을 한 채만 갖고 있어도 보유세 인상으로 인한 세금폭탄을 맞게 된 시민들도 분통을 터트렸습니다. ', '""재난지원금을 받아야 할 정도로 전 국가와 경제가 흔들리고 있는 상황에 세금을 올린다는 것은 앞뒤가 맞지 않고요."" ', '임대업자들은 3년 전만 해도 장려하더니 이제와 각종 혜택을 거두며 단속에 나선 정부를 강하게 비판했습니다. ', '""내가 무슨 적폐고 내가 무슨 투기꾼이고…이번 정부를 믿었던 거에 발등 찍힌 거에 대해서 너무 비통하고 울고 싶습니다."" ', ""정부의 부동산 정책에 반발하는 누리꾼들은 포털 사이트에 실시간 검색어를 올리는 이른바 '실검 챌린지'도 이어갔습니다. "", '부동산 피해자들은 정부 대책에 위헌 소지가 있다며 헌법 소원을 검토하는 한편 대규모 촛불 집회를 준비하고 있습니다. ']"
