,Press,Title,Text
0,MBN뉴스,뉴스 > 부동산부동산정책 실패 자성론에 여권서도 `김현미 경질론` 나와,"↑ 6월 7일 오전 청와대에서 열린 국무회의에 앞서 김현미 국토교통부 장관(왼쪽)과 김상조 청와대 정책실장이 대화를 나누고 있다. [사진 매경DB] 청와대 참모진의 '강남 아파트' 논란으로 역풍을 맞은 정부의 부동산 정책에 야권에서 정책 실패를 거론하며 김현미 국토교통부 장관의 해임을 요구하고 나섰다. 여권에서도 부동산 정책 실패에 대한 자성론과 함께 김 장관에 대한 경질론이 거론되기 시작했다. 김 장관은 문재인정부 내각의 '원년 멤버'이자 '장수(長壽)' 장관이다. 이낙연 의원은 9일 라디오 인터뷰를 통해 김 장관 경질론과 관련, ""인사는 대통령의 일이고 함부로 말하는 것이 직전 총리로서 적절하지 않지만 정부도 여러 가지 생각을 하고 있을 것""이라고 말했다.이와 관련 홍익표 의원도 ""여당 의원으로서 참 난감하긴 한데 정책 변화나 국면 전환이 필요할 수도 있다""며 ""그런 부분도 고려해야 할 타이밍이 아니냐""라고 언급했다.미래통합당, 국민의당 등 야당은 이미 일제히 김 장관의 해임을 촉구하고 있다.주호영 미래통합당 원내대표는 ""정책 실패를 성난 민심에 기대어서 공직자들 집 처분하는 걸로 해결하려고 한다""며 ""문재인 대통령은 조속히 김현미 장관을 해임하라. 그렇지 않으면 국회에서 해임건의권을 행사할 것""이라고 엄포를 놓았다.국민의당 안철수 대표 역시 부동산 시장 불안과 관련, ""정책실패의 주범은 당연히 교체해야 한다""며 김현미 국토교통부 장관의 해임을 촉구했다. 반면 일부에서는 현 시점에서 장관 교체가 부적절하다는 의견도 내고 있다.김남국 민주당 의원은 ""전쟁 중에 장수를 바꾸지 않는다""며 ""시기가 적절하지 않아 보인다""고 밝혔다.문재인 대통령의 인사 스타일 상 자리를 지킬 가능성이 더 높지 않겠느냐는 관측도 있다. 실제 문 대통령은 지난 2일 김 장관을 청와대로 불러 주택시장 동향 긴급 보고를 받은 바 있다. 일각에서는 이를 문책성 호출로 보지만 '사실상 재신임'이라고 해석하기도 했다. [이미연 기자 enero20@mkinternet.com][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
1,MBN뉴스,뉴스 > 부동산부동산정책 어쩌다…베네수엘라 따라가네,"◆ 부동산 공급대책 ◆ 조세 폭탄·소급 적용 등 무리한 부동산 정책이 쏟아지자 시민들 사이에서 ""한국 부동산 정책은 베네수엘라와 판박이""라는 주장이 호응을 얻고 있다. 20여 년 전 사회주의 주택 정책으로 망국의 길을 걸은 베네수엘라를 한국 정부가 따라가고 있다는 것이다.21일 부동산 업계에 따르면 이 같은 주장은 2013년 9월 한-베네수엘라 경제협력센터가 발행한 연구보고서 '자가주택 소유 점점 어려워져'에 기반하고 있다. 이 보고서는 2000년대 베네수엘라 부동산 정책이 실패한 원인을 분석한 내용인데 당시 상황이 현재 한국의 상황과 놀랍도록 흡사하다는 것이다.이 보고서에 따르면 양국의 비슷한 정책으로 특히 임대 관련 정책을 꼽을 수 있다. 베네수엘라 정부는 2003년부터 9년간 임대료 동결(한국의 전월세상한제와 유사), 정부 기관인 임대감사국이 직접 임대료를 정함(여당이 추진 중인 표준임대료제와 유사), 임의적퇴거금지법 적용(계약갱신청구권제와 유사) 등을 시행했다. 현재 정부 여당이 추진 중인 한국의 임대차3법과 정책 방향성이 비슷하다. 이외에도 주택분양 시 물가지수 반영 금지(분양가상한제), 건설 중인 주택은 국립기관의 허가를 받아야 매매 가능(분양권 전매 제한) 등 분양 관련 정책에서도 유사점이 많다.보고서는 특히 베네수엘라에서 임대료 동결 등 임대 관련 각종 규제가 시행된 결과 임대주택 공급이 급격히 줄어들면서 '품귀 현상'이 일어났다고 지적했다. 전체 주택 중 임대주택의 비율은 정책 시행 이전의 30%에서 3% 수준까지 줄어들었다. 공급이 사라지자 자연스럽게 웃돈을 얹어서 계약을 맺는 일종의 '암시장'이 형성되면서 실질 임대료가 더 비싸졌음은 물론이다.[정지성 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2,MBN뉴스,뉴스 > 사회부동산정책 고위공직자 36%가 다주택자…강남4구 집 보유자도 39명,"↑ [사진 = 연합뉴스] 부동산 정책과 금융·세금 정책을 다루는 정부 부처와 산하기관의 1급 이상 공무원 107명 중 39명이 다주택자인 것으로 나타났다. 이들중 강남4구(강남·서초·송파·강동)에 주택을 보유한 공무원은 39명에 달했다. 6일 경제정의실천시민연합은 국토교통부, 기획재정부, 공정거래위원회, 금융감독원, 금융위원회, 한국은행과 산하 기관·위원회 등 38개 기관의 1급 이상 고위 공직자의 부동산 재산을 분석한 결과 ""이들이 보유한 1인당 부동산 재산은 평균 12억원으로 국민 평균 3억원의 4배에 이르고 특히 상위 10명 평균은 33억원에 이른다""밝혔다.경실련 조사 결과 107명 중 99명(92%)은 주택을 보유하고 있었고, 39명(36%)은 2채 이상 주택을 소유한 다주택자로 나타났다. 3주택 이상 보유자도 7명으로 나타났다. 장호현 한국은행 감사는 서울 송파구와 세종시에 아파트 각 1채씩과 대전 단독주택 2채 등 총 4채 보유하고 있었다. 문성유 한국자산관리공사 사장은 서울 서초구, 세종시, 제주도에 집 3채를 보유했다. 김채규 국토교통부 교통물류실장도 강남4구, 기타 서울지역, 세종에 각각 1채씩 총 3채를 갖고 보유 중인 것으로 나타났다. 강남4구에 집을 가진 고위직도 39명이나 됐다. 강남4구 주택보유자는 부처별로 국토부 10명, 기재부 11명, 금융위 16명, 공정위 2명으로 나타났다. 강남4구에 2채 이상을 보유한 고위공직자도 있었다. 강팔문 새만금개발공사 사장(전 국토부 국토정책국장)은 서울 강남구에 다세대주택 1채와 서울시 서초구에 아파트 1채를 갖고 있었다. 정성웅 금융감독원 부원장보는 청담동 복합건물 1채와 아파트 1채를, 한재연 대전지방국세청장은 강남구 대치동 은마아파트와 미도아파트 등 2채를 보유하고 있다.다주택자 39명 중 16명이 세종시에 주택을 보유하고 있었다. 경실련은 ""세종시 아파트는 공무원 특별분양을 통해 취득했을 것으로 예상되는데 유주택자들도 세종시 특별분양을 받아 다주택을 보유했다면 명백한 특혜""라고 주장했다.부동산·금융 정책을 만드는 국토교통부, 기획재정부, 금융위원회 등 고위공직자 39명이 보유한 아파트 등의 가격은 문재인정부 3년간 평균 51% 상승한 것으로 나타났다. 이들이 보유한 아파트·오피스텔 52채 가격은 2017년5월 8억4976만원에서 지난 6월 12억8245만원으로 평균 4억3269만원 올랐다. 특히, 부동산 재산 상위 10명 중 7명은 전현직 국토부·기재부 고위 공직자들로 드러났다. 1위는 국토부 지방국토관리청장을 지낸 김상균 한국철도시설공단 이사장으로 부동산 재산만 75억원에 달했다. 김 이사장은 고양시 덕양구 일대에 창고, 상고, 대지 등 다량의 부동산을 소유하고 있다. 2위는 부동산정책을 관장하는 박선호 국토부 1차관이다. 신고가액만 39억2000만원에 이른다. 서울 강서구 등촌동에 대지면적 1681.5㎡ 공장의 34% 지분을 배우자 명의로 소유하고 있으며, 지분 신고가액만 25억7000만원이다. 서울 서초구에 전용면적 136㎡ 주상복합 아파트도 보유 중이다. 3위는 구윤철 기재부 2차관으로 신고액만 31억7000만원이다. 재건축에 착수한 강남구 개포 1차 지구에 아파트 1채, 성남시 분당구에도 복합건물(주택+상가) 1채와 대지를 소유하고 있다. 이에 경실련은 국토부, 기재부, 금융위 등에 다주택 보유자나 부동산 부자를 부동산 정책 업무에서 배제할 것을 촉구했다. 경실련은 ""재산공개 대상인 1급 이상뿐 아니라 신고대상인 4급 이상 공직자들까지 부동산재산 실태를 조사해 국민에게 투명하게 공개하고 부동산투기 근절 의지를 보여야 한다""고 강조했다.김헌동 경실련 부동산건설개혁본부장도 ""정부가 23번째 부동산 대책을 내놨는데 맹탕""이라고 지적하며 ""(8·4대책도)대통령의 한국판 뉴딜을 뒷받침하기 위한 대책이지 이게 무슨 집값 안정을 위한 대책이냐""고 비판했다. [이윤식 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
3,MBN뉴스,"뉴스 > 부동산""부동산정책 고위공직자 31%가 다주택자…이달까지 집 팔아라"""," 진보성향 시민단체 참여연대는 정부 부동산정책을 비판하며 부동산 관련 업무를 하는 다주택자 국회의원과 정부 관료들에게 주택 매각을 촉구하는 서명운동에 돌입했다. 참여연대는 이를 김태년 더불어민주당·주호영 미래통합당 원내대표와 홍남기 경제부총리, 김현미 국토교통부 장관에게 제출한다는 방침이다. 6일 참여연대는 ""오늘부터 48시간 동안 주거부동산 관련 상임위에 속해 있거나 정책 책임자인 다주택자 국회의원, 정부 고위공직자들에게 거주 목적 외 주택을 한 달 내에 매각할 것을 촉구하는 긴급 시민 서명에 돌입한다""고 밝혔다. 국회 국토교통위원회·기획재정위원회 국회의원, 정부 기획재정부·국토교통부의 주거 부동산 정책 담당 3급 이상 고위공무원들중 다주택자는 거주 목적 외 주택을 1개월 내 매각하라는 취지다. 부동산 정책에 있어서 이해충돌을 방지해 국회의원, 공무원들의 공정한 직무 수행을 보장하기 위해서라는게 참여연대의 설명이다. 참여연대에 따르면 주거·부동산 정책을 담당하는 국토교통부, 기획재정부 고위공직자 중 31%(16명 중 5명)가 다주택자다. 참여연대는 ""다주택  보유 고위공직자(장차관, 실국장급)부터 거주 용도의 1주택을 제외한 주택을 매각해 문재인정부의 주거 안정 정책의 의지를 분명히 하는 것이 필요하다""며 ""거주용 1주택 외 주택을 매각하지 않는 고위공무원은 주거 부동산 정책 결정 직무에서 배제하는 조치가 취해져야 한다""고 주장했다.  참여연대는 또 ""국토교통위원회, 기획재정위원회 국회의원 56명 중 17명이 다주택자""라며 ""부동산 세제와 주거부동산 입법을 담당하는 상임위 위원들만큼은 공정한 직무 수행을 위해 거주 목적 외에 보유한 주택을 매각하고, 매각하지 않을 경우 공직자윤리법상 이해충돌 방지 의무에 따라 타 상임위로 이동해야 한다""고 밝혔다.참여연대는 ""문재인 정부는 출범 이후 지난 3년 동안 21차례의 부동산 대책을 발표했지만, 땜질식 핀셋 규제와 오락가락하는 정책 추진으로 주택 가격은 여전히 불안정한 상황""이라고 비판했다. [이윤식 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
4,MBN뉴스,"뉴스 > 부동산김현미 ""부동산정책 잘 작동 중""…국민의당 ""납량특집 그 자체"""," 국민의당이 1일 김현미 국토교통부 장관이 밝힌 ""부동산 정책은 다 잘 작동 중""이라고 언급한 발언에 대해 작심 비판을 가했다.홍경희 국민의당 수석대변인은 이날 논평을 통해 ""김 장관 말대로 정말 부동산 정책이 잘 작동하고 있으면 좋겠다""며 ""하지만 삼척동자도 다 아는 부동산 정책의 심각성을 주무부처 장관만 모르는 것 같아 개탄스럽다""고 질타했다.홍 수석대변인은 계속해서 ""비전문가 출신에 부동산 정책에 대한 이해도가 떨어지는 장관이라지만, 시장에 만연한 가격 왜곡 현상을 읽지 못한 채 정책이 잘 작동하는 것으로 인식하고 있다는 발언은 납량특집 공포영화 그 자체""라고 강조했다.홍 수석대변인은 ""문재인 정권 출범 후 국토부는 '부동산 가격만큼은 꼭 잡겠다'는 도그마에 빠져 반시장적 규제 일변도의 채찍만을 남발해 왔다""며 ""정책 부작용에 따른 주택을 가진 자와 없는 자의 소득격차만 더 커진 채 계층 간 갈등의 골만 깊어지게 됐다""고 김 장관 발언을 반박하기도 했다.김 장관은 지난달 30일 국회 예산결산특별위원회 전체회의에 출석해 6·17 부동산대책 문제점을 묻는 이용호 무소속 의원 질의에 ""언론이 온갖 것을 다 카운트했다""며 현 정권 부동산 정책을 옹호했다.[우승준 기자 dn1114@mkinternet.com][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
5,MBN뉴스,"뉴스 > 정치김종인 ""법무장관의 부동산정책 입장은 정부 수립 후 처음"""," 김종인 미래통합당 비상대책위원장은 21일 최근 부동산정책 관련 입장을 SNS 등을 통해 언급하는 추미애 법무부 장관을 향해 ""정부 수립 후 법무부 장관이 부동산정책 입장을 표명하는 것은 처음 본다""고 지적했다.김 위원장은 이날 국회에서 열린 '문재인 정부 부동산 정책-이래서 3040 집 살 수 있나' 토론회에 참석해 ""경제정책의 최고 책임자는 대통령""이라며 ""(하지만) 대통령이 수수방관하면서 정책이 오락가락하고 있다""고 문재인 정부의 부동산정책 상황에 우려를 표했다.김 위원장은 ""경제정책의 주체는 정부가 돼야하고 그밖의 사람들은 그걸 지켜보는게 정도""라며 ""그런데 지금 정부는 정부대로, 정당은 정당대로, 청와대는 청와대대로 서로 다른 이야기를 하다보니 정책이 어디로 갈지 감을 잡을 수 없는 현실""이라고도 했다.김 위원장은 계속해서 ""나는 과거 정부에도 있어봤으나 최근 부동산정책은 한 번도 경험해보지 못했다""며 ""(현 정부는) 세금이나 금융으로 압력을 가하면 경제주체들의 행위가 바뀔 것이라고 생각하는데 지금 상황에서는 굉장히 무모한 일""이라고 설명했다.김 위원장은 재차 ""새로운 사람을 찾아서 정책 방향을 근본적으로 바꾸지 않으면 부동산정책은 지속적으로 국민만 혼란스럽게 할 것""이라고 강조했다.김 위원장의 부동산정책 발언은 앞서 시민단체계의 발언과 궤를 같이 한다. 김헌동 경제정의실천시민연합(경실련) 부동산건설개혁본부장은 지난 1일 KBS 라디오 '김경래의 최강시사'에 출연해 ""30개월 동안 못 잡고 전 정권 3년 동안 못 잡고 전임 대통령한테 핑계를 대는 그런 장관이 과연 내놓는 대책들이 무슨 효과가 있겠나""라며 ""사람부터 바꿔야 된다""고 김 장관 사퇴론을 주장했다.[우승준 기자 dn1114@mkinternet.com][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
6,MBN뉴스,"뉴스 > 정치국민의당, 김현미 ""부동산정책 잘 작동"" 발언에 ""납량특집 그 자체""","↑ 김현미 국토교통부 장관 /사진=연합뉴스국민의당이 오늘(1일) 김현미 국토교통부 장관이 밝힌 ""부동산 정책은 다 잘 작동 중""이라고 언급한 발언에 대해 ""심각성을 장관만 모르는 것 같다""고 비판했습니다.홍경희 국민의당 수석대변인은 이날 논평을 통해 ""김 장관 말대로 정말 부동산 정책이 잘 작동하고 있으면 좋겠다""며 ""하지만 삼척동자도 다 아는 부동산 정책의 심각성을 주무부처 장관만 모르는 것 같아 개탄스럽다""고 말했습니다.홍 수석대변인은 계속해서 ""비전문가 출신에 부동산 정책에 대한 이해도가 떨어지는 장관이라지만, 시장에 만연한 가격 왜곡 현상을 읽지 못한 채 정책이 잘 작동하는 것으로 인식하고 있다는 발언은 납량특집 공포영화 그 자체""라고 일갈했습니다.홍 수석대변인은 ""문재인 정권 출범 후 국토부는 '부동산 가격만큼은 꼭 잡겠다'는 도그마에 빠져 반시장적 규제 일변도의 채찍만을 남발해 왔다""며 ""정책 부작용에 따른 주택을 가진 자와 없는 자의 소득격차만 더 커진 채 계층 간 갈등의 골만 깊어지게 됐다""고 김 장관 발언을 반박하기도 했습니다.김 장관은 어제(30일) 국회 예산결산특별위원회 전체회의에 출석해 6·17 부동산대책 문제점을 묻는 이용호 무소속 의원 질의에 ""언론이 온갖 것을 다 카운트했다""며 현 정권 부동산 정책을 옹호했습니다.[MBN 온라인뉴스팀]"
7,MBN뉴스,"뉴스 > 정치김기현 ""文정부 부동산정책 임기응변식…주택공급 늘려야"""," 김기현 미래통합당 의원은 8일 문재인 정부의 부동산 정책과 관련해 ""이 정권은 지금 정부가 통제하는 것이 만능이라는 사고를 가지고 있는 것 같다""고 꼬집었다.김 의원은 이날 오전 BBS 라디오 '박경수의 아침저널'에 출연해 ""임기응변식 대응을 해서는 안 되지만 이 정권은 여전히 즉흥적인 정책으로 과도한 세금 폭탄을 통해서 부동산 문제를 해결하려고 한다""며 이같이 밝혔다.그는 ""참으로 아마추어적인 정권이라고 생각한다""면서 ""시장의 작동원리를 무시하고 무조건 세금폭탄 그리고 제재 그리고 규제 허가 이런 걸 통해서 부동산 정책을 펼치다 보니 서민들은 악하는 소리가 날 만큼 심각한 상태에 와 있다""고 지적했다.그러면서 ""이명박 정부 시절에 우리가 여당일 때인데 직주근접형 주택을 개발하는 정책을 주안점으로 삼았다""며 설명했다.이어 ""직장과 주택이 가까운 곳 그래서 도심지의 재건축 재개발을 확대하는 방식 그리고 거기에 들어가기 어려운 사람들을 위해서 도시 주변에 그린벨트를 해제하면서 그린벨트의 반값 아파트를 공급하는 정책을 썼다""고 덧붙였다.특히 그는 부동산 백지신탁제에 대해 ""전체 방향이나 취지에 대해서는 공감하는 부분이 있고, 검토해 볼만한 사안이라고 생각한다""며 ""그런데 백지신탁을 통해서 부동산 정책이 해결되는 것은 아니기 때문에 결국 부동산 문제는 즉흥적 정책이나 임기응변식 대응을 해서는 안 된다""고 주장했다.끝으로 ""주택의 공급을 확대하고 직주근접형 주택을 많이 확보하고 이렇게 재건축을 활성화 시키니까 시장원리가 작동돼서 당시 주택 가격이 내려갔다는 통계가 나와 있지 않느냐""며 ""아직도 그것을 여권이 잘 못 느끼고 있는 건 아닌가 하는 우려를 하고 있다""고 말했다.[최현주 기자 hyunjoo226@mkinternet.com][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
8,MBN뉴스,"뉴스 > 정치與, 지지율 추락에도 부동산정책 고수하나…당 지도부 ""집값 곧 안정"" 장담"," 부동산에 대한 여론이 악화되면서 더불어민주당과 대통령에 대한 지지도가 추락하고 있지만, 여권에선 여전히 현재의 부동산정책을 고수하겠다는 기류가 강하게 나오고 있다.14일 민주당 지도부는 최근의 부동산정책들이 실제 집값을 잡는 데 '효험'을 발휘할 것이라 확언했다. 진성준 당 전략기획위원장은 집값 안정의 시기를 '8월 말 9월 초'로 특정했다. 진 위원장은 이날 국회에서 열린 전당대회준비위원회 기자간담회에서 ""(부동산 3법의 효과를) 이달 말에서 다음달 초가 되면 체감하게 될 것이다. (집값이) 떨어졌다는 보도도 나오게 될 것으로 기대한다""고 했다. 그는 또한  ""부동산 정책을 수정해야 한다거나 속도 조절을 해야 지지율이 반등할 것처럼 생각하는 것은 오산이고 그럴 생각이 전혀 없다""고 강조했다.설훈 최고위원도 이날 한 라디오 인터뷰에서 ""한달쯤 지나면 정확히 답이 나온다""며 ""주택 값이 떨어지게 된다. 떨어질 수밖에 없게 돼 있다""고 자신했다. 이어 ""부동산 3법이 가지고 있는 힘이 나타나면서, 집 없는 서민들이 법을 잘 만들었구나 하는 것을 알게 되고, 국민들이 다시 '정상 상태'로 돌아가는 상황이 올 것""이라고 강조했다.당대표에 도전하고 있는 김부겸 전 의원도 ""지금 당장 지지율이 떨어졌다고 정책을 뒤틀면 더 위험하다""고 밝혔다. 박주민 의원은 ""현재 정책의 방향은 맞다""며 ""시간이 좀 지나가면 효과가 나타날 것""이라고 했다.이에 대해 허윤정 민주당 대변인은 ""지지율은 단순히 하나의 정책으로 이뤄지는 것이 아니다""며 ""정책에 대해 꾸준하게 일관성을 갖고 긴 호흡으로 대응해야 한다는 게 주요 기조""라고 당 분위기를 설명했다.[윤지원 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
9,MBN뉴스,"뉴스 > 정치[레이더P] 박주민 ""文 부동산정책 옳다…늦어도 내년 초 집값 안정화""","더불어민주당 차기 당대표에 도전한 박주민 의원이 ""정부의 부동산 정책이 지향하는 목표가 옳다고 생각한다""며 ""그 수단에 있어서도 일관성을 유지해왔다고 본다""고 밝혔다. 또 여당 부동산 정책 비판에 나선 김종인 미래통합당 비대위원장을 향해선 ""반대를 위한 반대""라고 비판했다.박 의원은 9일 자신의 페이스북에서 ""문재인 정부의 정책 목표는 오로지 하나, 집값 안정화""라며 ""이를 위해 정부는 시장에 일정 부분 개입할 수밖에 없다""고 말했다. 그러면서 그는 ""보통 부동산 시장이 침체되면 정부는 수요를 늘리고 공급을 축소하는 정책을 쓴다""며 ""박근혜 정부가 발표한 2013년 4.1대책(공급의 극단적 축소)과 2014년 7.24대책(""빚내서 집 사라"")이 이에 해당한다""고 예를 들었다. 이어 ""반대로 부동산 시장이 과열되면 수요를 억제하고 공급을 확대한다""며 ""이는 경제학의 ABC""라고 말했다. 문재인 정부가 발표한 대책은 모두 여기 해당한다는 설명이다.문재인 정부 부동산 대책에 대해 박 의원은 ""맞는 방향의 정책""이라면서도 ""물론 효과는 좀 다른 이야기""라고 분석했다. 그는 ""주택 공급에 꽤 오랜 시간이 걸리는 등 부동산 정책은 다른 정책에 비해 정책 효과가 늦게 나타나기 때문""이라며 ""그래서 박근혜 정부의 공급 축소 정책의 결과가 지금 이 정부에서 집값 상승으로 나타나고 있다는 분석에 힘이 실린다""고 했다.또 박 의원은 김종인 통합당 비대위원장의 경제학 전공을 거론하며 ""최근 정부 대책에 대해 '실패했다', '우격다짐으로 한다', '급조했다'며 목소리 높여 비판하셨다. 그런데 들여다 보면 구체적으로 무엇이 어떻게 잘못됐다는 건지에 대해선 얘기를 안 하신다""고 비판했다. 그러면서 ""반대를 위한 반대는 정쟁에는 도움이 될지언정 국민들을 위한 책임 있는 태도로 보긴 어렵다""고 목소리를 높였다. 박 의원은 ""지금까지 발표된 대책이 더해져 올 하반기나 늦어도 내년 초에는 집값 안정화 효과를 낼 것""이라고 전망했다. 그는 ""정부의 정책 방향이 틀리지 않았기 때문""이라며 ""그래서 국민 여러분들께서도 조금만 더 여유를 갖고 지켜봐 주시면 감사하겠다는 말씀을 마지막으로 드린다""고 호소했다. [최예빈 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
