,Press,Title,Text
0,MBN뉴스,뉴스 > 사회코로나 방역이냐 집회의 자유냐…개천절 `드라이브 스루` 집회 두고 옥신각신," 보수단체와 국민의힘 일부 강경파가 개천절인 오는 10월 3일 서울 광화문 등지에서 '드라이브 스루'(Drive Through) 집회를 추진하겠다는 뜻을 밝히자 이를 둘러싼 논란이 한층 가열되고 있다. 찬성파는 집회의 자유를, 반대파는 코로나19 방역을 근거로 내세우고 있다.'드라이브 스루' 집회란 참석자들이 차량에 탑승한 재 주차장과 공터 등 일정 구역에 모여 행진하는 방식의 집회를 뜻한다. 자동차에 탑승한 상태로 집회에 참여하기에 일반 집회보다 대면접촉이 덜 일어날 것이란 주장이 나오는 이유다.집회 찬성파는 ""방역에 문제가 될 것이 없다""며 ""집회 자유 권리를 보장해줘야 한다""고 주장하고 있다. 한 누리꾼(ilmd****) ""밖에 안 나오고 차 안에 있는다는데 왜 막느냐""며 ""그렇게 방역이 걱정되면 연휴에 예약 꽉 찬 관광지나 막아라. (관광지에) 한꺼번에 사람 몰리는 게 더 위험하겠다""라는 반응을 보였다.반면 반대파는 ""자유와 방종을 구분 못 하냐""는 비판을 가하고 있다. ""정말 무책임하기 그지없다""라며 보수단체를 비난한 한 누리꾼(alsd****)은 ""차에만 있지 않을 것 다 안다. 어떻게든 무대 만들어 마이크 잡고, 침 튀기며 선동할 것 아니냐. 이러다 제2의 '사랑제일교회 사태'가 되는 건 아닌지 걱정스럽다""는 속마음을 밝혔다.여론조사전문기관 리얼미터가 TBS 의뢰로 지난 23일 전국 18세 이상 500명을 대상으로 조사한 결과, 응답자의 70.9%가 '드라이브 스루' 집회를 코로나19 방역 차원에서 금지해야 한다고 답한 것으로 기록됐다. ""집회의 자유는 권리이기에 보장해야 한다""는 응답은 23.6%, ""잘 모른다""는 5.5%를 기록했다. 이 조사의 오차 범위는 95% 신뢰수준에서 ±4.4%p다.한편 집회 방식을 두고 보수단체들의 말이 엇갈리고 있다. 서경석 목사(새로운 한국을 위한 국민운동 대표)와 김문수 전 경기도지사 등은 24일 국회의사당 정문 앞에서 기자회견을 열고 ""10월 3일 광화문 집회를 개최하지 않을 것을 선언한다""고 했다. 대신 개천절 오후 1~5시 여의도 전경련 회관에서 광화문 광장을 거쳐 서초경찰서까지 차량 200대를 동원해 '카 퍼레이드' 방식의 집회를 할 계획이라 밝혔다. 반면 8·15 집회 참가자비상대책위원회는 1000명 이상이 모이는 개천절 집회를 강행하겠다는 태도다. 이에 일각에서는 단체들끼리 의견이 모이지 않으면 자칫 차량시위와 집회가 동시에 열리는게 아니냐는 우려도 나온다.[홍연우 인턴기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
1,MBN뉴스,"뉴스 > 정치[레이더P] 코로나 방역완화 불가피론…文 ""방역이 먹고사는 문제까지 해결 못해"""," 문재인 대통령은 14일 수도권 방역조치 완화에 대해 ""방역이 곧 경제지만, 방역이 먹고 사는 문제까지 해결해주지 않기 때문에 코로나가 완전히 종식될 때까지 방역과 경제의 아슬아슬한 균형을 잡아나갈 수밖에 없다""고 밝혔다. 앞서 정부는 음식점, PC방 등의 영업을 제한했던 사회적 거리두기 2.5단계를 2주전인 2단계로 완화하는 조치를 결정했다.이날 문대통령은 청와대에서 열린 수석보좌관회의에서 ""철저하고 엄격한 방역 기조를 유지하면서 경제적 타격을 최소화하기 위한 불가피한 선택""이라며 이같이 말했다. 이어 ""방역의 긴장을 지켜나가면서 한계 상황에 처한 중소상공인과 자영업자들이 생업을 포기하지 않고 생계를 유지할 수 있게 하는 최소한의 조치""라고 설명했다.  문 대통령은 ""장시간 영업 중지와 제한으로 생계의 위협에 직면한 분들에게 무작정 희생만을 강요할 수 없는 상황이 방역 조치를 조정할 수밖에 없는 또 다른 이유""라고 이해를 구했다. 그러면서 ""코로나 앞서 생활고 때문에 먼저 쓰러질 상황이라는 절박한 호소에 응답하지 않을 수 없다""며 ""이번 방역 조치 조정으로 영업에 조금이라도 숨통이 트이고 생업을 지켜나가는데 도움이 되길 기대한다""고 말했다. 최근 정부가 국회에 제출한 7조 8000억원 규모 4차 추가경정예산을 코로나19발 위기에 처한 한계 업종과 계층을 대상으로 마련한 것도 그때문이다. 문 대통령은 ""코로나와 전쟁은 장기전이고 긴시간 코로나와 함께 살아야 하는 상황에서 방역과 경제 어느 것 하나 소홀히 할 수없다""며 ""정부는 방역도 경제도 반드시 성공시키겠다""고 강조했다. 한편 문 대통령은 추석 명절을 앞두고 업무가 폭주하고 있는 택배기사들의 근로환경 개선을 정부에 지시했다. 문 대통령은 ""추석까지 겹쳐 업무량이 폭증하게 될 택배 노동자들의 과로와 안전 문제는 각별히 관심을 기울여야 한다""며 ""관련 부처는 택배 노동자들이 과중한 노동에 시달리지 않도록 근로감독을 강화하고 현장 점검을 통해 임시 인력을 늘려나가도록 노력해달라""고 당부했다. [임성현 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2,MBN뉴스,"뉴스 > 국제북한 ""코로나19 방역에 국경 차단·봉쇄 강화…0.001% 허점도 없어야""","북한이 신종 코로나바이러스 감염증(코로나19) 방역에 촉각을 세우며 국경과 해안지역 봉쇄를 강조했습니다.조선중앙통신은 26일 '각급 비상방역부문에서 방역 대책 계속 강화' 제목의 기사에서 ""대유행 전염병에 주동적으로 대처하기 위한 공격적인 방역전에 계속 강도 높이 전개되고 있다""며 ""국경·해안·분계 연선 지역들에서 방역사업의 핵심사항이 차단·봉쇄라는 것을 잘 알고 주민 교양과 통제를 강화하고 있다""고 밝혔습니다..이어 ""모든 일군(간부)들이 한순간의 실수도, 0.001%의 허점도 발로시키지 않도록 엄격한 장악·지도 체계를 세워나가고 있다""고 강조했습니다.방역 강화를 위해 소독 작업도 꾸준히 진행 중입니다.통신은 ""납입물자를 취급하는 단위에서는 전문소독시설을 갖추고 물자 소독과 자연방치를 과학화하기 위한 사업이 추진되고 있다""며 ""모든 기관·기업소·공장·농장에서 소독기재와 소독약, 체온계를 갖추고 손 소독과 체온 재기를 정확히 하도록 조직사업을 짜고 들고 있다""고 설명했습니다.전 주민이 청취하는 조선중앙방송에서도 적극적인 방역을 독려했습니다.방송은 ""뒤따라가면서 대책이라는 피동적인 사업 방법에서 대담하게 벗어나 방역전의 주도권을 확고히 틀어쥐고 외부로부터 악성 바이러스가 유입될 수 있는 공간을 모조리 찾아 철저히 차단하는 데 주된 힘을 넣고 있다""고 전했습니다.북한은 올해 초 코로나19가 유행하기 시작하자 방역을 위해 북중 접경지역을 비롯해 국경을 걸어 잠근 바 있습니다.지난 7월 개성에 탈북자가 재입북한 사실이 알려지자 코로나19 비상 방역체제로 돌입했으며, 8월부터는 국경 봉쇄선 1∼2㎞ 계선에 코로나 방역 완충지대를 설정하고 이 구간에 진입한 사람과 동물을 무조건 사살하도록 한 것으로 알려졌습니다.최근 북한군이 서해상에서 한국 국적의 실종 공무원을 사살하고 부유물을 불태웠다며, 소각은 국가 비상 방역 규정에 따른 것이라고 밝히기도 했습니다.[MBN 온라인뉴스팀]"
3,MBN뉴스,"뉴스 > 사회추석 연휴 코로나 방역 수칙은?…""버스에선 문자하세요""","정은경 중앙방역대책본부(방대본) 본부장은 오늘(28일) 정례 브리핑에서 추석 연휴(9.30∼10.4) 기간에 신종 코로나바이러스 감염증(코로나19) 확산을 방지하기 위해 개인방역 수칙을 철저히 준수할 것을 당부했습니다.정 본부장은 특히 귀성객과 여행객의 전국적인 인구 이동이 예상되는 만큼 대중교통 이용 시 또는 가족·친지 간 만남 시 지켜야 할 구체적인 방역 수칙을 강조하면서 국민적 협조를 요청했습니다.다음은 방대본의 설명을 질의응답 형식으로 정리한 것입니다.-- KTX나 고속버스에서 전화 통화를 할 땐 어떻게 하나.▲ KTX를 이용할 경우 객차 사이의 공간에서 통화하는 것이 안전합니다. 다만 버스는 그런 공간이 없기 때문에 가능한 한 문자로 연락하고, 어려울 경우에는 휴게소 등을 이용해 통화하는 것이 가장 좋습니다.긴급하게 필요한 통화일 경우에는 반드시 마스크를 쓰고 작은 목소리로 짧게 통화하는 차선책이 있지만, 가급적 휴게소에 내려 통화하는 방법을 권고합니다.-- 4인 가족이 개인 차량으로 이동할 때 마스크 써야 하나.▲ 함께 생활하는 가족이 개인 차량을 이용할 때는 굳이 마스크를 쓸 필요가 없습니다. 그러나 같이 살지 않는 가족과 차량을 공유할 경우에는 마스크를 반드시 착용하고 수시로 차 내부의 공기를 환기해야 합니다.-- 평소 같이 살지 않던 가족과 만날 때는 주의할 점은.▲ 어르신이 서울에 상경하거나, 가족이 지방에 내려가서 머무르는 경우에는 주의가 필요합니다. 앞서 지난 1∼3월 코로나19 확진자의 접촉자를 살펴보면 가정 내에서 감염된 비율(11.8%)이 지역 사회에서 감염된 비율(1.9%)보다 6배나 높았습니다.특히 마스크를 벗는 식사 시간이 위험한 감염 경로가 되고 있습니다. 가족 간 식사 시간은 가능한 한 짧게 줄여 대화보다는 식사에 집중하고 식사 전후로는 마스크를 쓰고 대화하는 수칙을 지켜야 합니다.-- 연휴 동안 가족끼리 집에서 머무는 시간이 길 텐데 집에서 지켜야 할 방역 수칙은 어떤 것이 있나.▲ 집 안에서 지켜야 할 가장 중요한 방역 수칙은 환기입니다. 요즘 기온이 높거나 낮지 않은 만큼 환기가 잘 되게끔 쌍방향으로 문을 조금 열어 환기되도록 하고, 그다음으로는 청소와 소독을 하며 외출 시에는 마스크를 쓰고 다중이용시설 방문을 주의하는 등 일반적인 방역 수칙을 지켜야 합니다.[MBN 온라인뉴스팀]"
4,MBN뉴스,"뉴스 > 사회""코로나19 우울증 고위험군 심리 방역 절실""","동영상이 보이지 않으십니까?  Adobe 에서 배포한 최신 'Adobe Flash Player' 를 설치하시기 바랍니다.※ 설치가 끝나면, 사용중인 브라우저를 닫고 새로 시작해 주시기 바랍니다.【 앵커멘트 】  코로나19 때문에 무기력감이나 불안함 등을 느끼는 '코로나 블루', 우울증이 사회적 문제로 떠오르고 있습니다.  확진자뿐 아니라 취업준비생, 장애인 등 우울증 고위험군에 대한 상담 같은 심리 방역이 절실하다는 전문가 지적이 나오고 있습니다.  강세현 기자가 취재했습니다.【 기자 】  현재 국내 코로나19 확진자 수는 2만 2천여 명.  코로나19에 감염돼 격리시설에 있었던 확진자 상당수는 신체적 고통 뿐 아니라 심리적인 문제도 심각하다고 입을 모읍니다.▶ 인터뷰(☎) : 코로나19 확진 환자- ""복도로도 나가는 게 금지돼 있고요. 할 수 있는 게 제한적이어서 밖에 많이 나가고 싶고 답답한….""취업준비생들은 기업 채용이 꽁꽁 얼어붙은 현실에 대해 답답함을 호소합니다.▶ 인터뷰 : 취업준비생- ""작년에 반 정도만 채용이 뜬 거 같고 작년에 (1차에) 붙었던 사람들이 올해 탈락하기도 하고. 답답한 거 같아요.""  코로나19 사태가 장기화되면서 경제적 어려움과 심리적 피로감으로 극단적 선택에 대한 상담까지 늘어나는 상황.  전문가들은 늦기 전에 고위험군을 파악하고 이들을 지원해야 한다고 조언합니다.▶ 인터뷰 : 백종우 / 경희대병원 정신건강의학과- ""대규모 구조조정이 발생하는 지역이나 회사에서는 상담이 꼭 이뤄질 필요가 있고. 실업 급여 신청하거나 취업을 지원하는 고용노동부 등에서도 상담에 대한 연결….""  음성 통화로 심리 상담을 받을 수 없는 청각장애인 등 서비스 사각지대도 살펴봐야 한다는 지적입니다.▶ 인터뷰 : 김철환 / 장애벽허물기 활동가- ""전화했더니 (수어 상담) 지원을 못 한다. 혼자 끙끙 앓거든요, 상담을 할 수 없으니까. 화상 (상담) 통로도 열고 문자라든가 다양한 채널을….""  '코로나 우울증'을 방치하면 심각한 상황으로 이어질 수 있는 만큼 고위험군에 대한 심리 방역 지원책이 그 어느 때보다 절실한 시점입니다.  MBN뉴스 강세현입니다."
5,MBN뉴스,뉴스 > 사회`대국민 사죄` 이만희 측 `코로나 방역방해` 혐의 모두 부인," 정부의 신종 코로나바이러스 감염증(코로나19) 방역활동을 방해한 혐의로 구속기소된 신천지예수교 증거장막성전 이만희(89) 총회장 측이 검찰의 공소사실을 모두 부인했다.수원지법 형사11부(김미경 부장판사) 심리로 17일 열린 이 사건 2차 공판준비기일에서 이 총회장 측은 변호인 의견서를 제출하며 ""혐의를 전부 부인한다는 취지로 의견을 정리했다""고 말했다.앞서 3일 비공개로 진행된 1차 공판준비기일에 출석해 ""국민들에게 건강상의 염려를 끼친 점에 대해 사죄의 말씀을 드린다""고 대국민 사죄를 했던 이 총회장은 방청이 허용된 이번 2차 준비기일에는 법정에 나오지 않았다. 공판준비기일은 피고인의 출석 의무가 없다.재판부는 당초 이번 기일을 끝으로 공판준비기일을 모두 마치려고 했으나, 변호인 측의 요청으로 오는 28일 마지막으로 한 차례 더 준비기일을 열기로 했다.이 총회장은 신천지를 중심으로 코로나19가 확산하던 지난 2월 신천지 간부들과 공모해 방역 당국에 신도 명단과 집회 장소를 축소해 보고한 혐의(감염병예방법 위반 및 위계에 의한 공무집행방해)로 기소됐다.[디지털뉴스국 news@mkinternet.com][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
6,MBN뉴스,뉴스 > 사회신천지 이만희 총회장 측 '코로나 방역방해' 혐의 전부 부인,"정부의 신종 코로나바이러스 감염증(코로나19) 방역활동을 방해한 혐의로 구속기소 된 신천지예수교 증거장막성전 이만희(89) 총회장 측이 검찰의 공소사실을 모두 부인했습니다.수원지법 형사11부(김미경 부장판사) 심리로 오늘(17일) 열린 이 사건 2차 공판준비기일에서 이 총회장 측은 변호인 의견서를 제출하며 ""혐의를 전부 부인한다는 취지로 의견을 정리했다""고 말했습니다.재판부는 ""피고인 측은 신천지 신도 명단과 집회 장소 등이 방역당국의 역학조사의 범위에 해당하는 것인지에 대해 법리적인 검토가 필요하다고 주장하고 있다""며 ""또 교인 명단을 임의로 변경한 것은 사실과 다르다고 밝히고 있다""고 전했습니다.이어 ""횡령과 관련해서는 피고인 측이 돈을 받고 건물을 완공한 후 신천지에 소유권을 넘겨주기로 했고, 스스로 책임져야 할 부분에 대해서는 반환을 완료했다는 의견을 밝혔다""고 덧붙였습니다.재판부는 이 같은 변호인의 의견을 앞으로의 재판 절차 진행에 참고하기로 했습니다.지난 3일 비공개로 진행된 1차 공판준비기일에 출석해 ""국민들에게 건강상의 염려를 끼친 점에 대해 사죄의 말씀을 드린다""고 대국민 사죄를 했던 이 총회장은 방청이 허용된 이번 2차 준비기일에는 모습을 드러내지 않았습니다. 공판준비기일은 피고인의 출석 의무가 없습니다.재판부는 당초 이번 기일을 끝으로 공판준비기일을 모두 마치려고 했으나, 변호인 측의 요청으로 오는 28일 마지막으로 한 차례 더 준비기일을 열기로 했습니다.이 총회장은 신천지를 중심으로 코로나19가 확산하던 지난 2월 신천지 간부들과 공모해 방역 당국에 신도 명단과 집회 장소를 축소해 보고한 혐의(감염병예방법 위반 및 위계에 의한 공무집행방해)로 기소됐습니다.그는 신천지 연수원인 평화의 궁전을 신축하는 과정에서 50여억 원의 교회 자금을 가져다 쓰는 등 56억 원을 횡령(특정경제범죄 가중처벌 등에 관한 법률 위반)하고, 2015년부터 지난해까지 지방자치단체의 승인 없이 해당 지자체의 공공시설에서 종교행사를 연 혐의(업무방해)도 받고 있습니다.[MBN 온라인뉴스팀]"
7,MBN뉴스,"뉴스 > 정치안철수 ""코로나19 최소 내년 말까지 이어져…새 방역지침 고민해야""","국민의당 안철수 대표는 27일 ""일상생활을 유지할 수 있는 사회적 거리 두기 방법을 정부가 개발해야 한다""고 밝혔습니다.안 대표는 이날 코로나19 집단감염으로 어려움을 겪었던 광주 북구 말바우시장을 찾아 상인들과 만난 자리에서 '무조건 금지·폐쇄하는 정부의 방역 지침이 과도하다'는 상인들의 호소에 이같이 말했습니다.안 대표는 ""많은 전문가에 따르면 신종 코로나바이러스 감염증(코로나19)은 최소 내년 말까지 이어질 것으로 보인다""며 ""외국 정부에선 지속 가능한 사회적 거리 두기 방법을 찾고 있다""고 설명했습니다.특히 독일의 사례를 들어 ""실내 공연을 계속 막을 수 없으니 정부에서 실내에 사람들이 앉아있을 때 공기 흐름을 조사하고, 어떤 형태로 공연을 열면 코로나 감염 가능성이 최소화되는지 방법을 찾고 있다""며 ""그러나 우리 정부는 그런 노력이 없다""고 지적했습니다.이어 ""우리 정부 역시 현장에서 느끼는 어려움을 고려해 지속 가능한 거리 두기 방법을 새롭게 개발하고 권고해야 한다""고 강조했습니다.상인회 관계자는 ""직장인과 공무원과 달리 서민들은 어쨌든 몸을 움직여야 먹고 살 수 있는데 코로나19 방역이라는 명목으로 무조건 움직이지 말라는 것은 행정 편의주의적인 것""이라며 ""바이러스 확산을 막으면서도 경제활동을 할 수 있는 한단계 높은 정책이 필요하다""고 말했습니다.간담회를 마친 안 대표는 추석 대목을 맞은 시장 곳곳을 돌아다니며 물건을 구매하는 것으로 '안심한 말바우시장'을 홍보했습니다.또 확진자가 나온 뒤 장사를 재개하지 못하고 있는 시장 밥집에서 식사를 하며 어려운 사정을 경청하고 위로했습니다.안 대표는 ""시장에 확진자가 나와 힘들다는 얘기를 듣고 꼭 와보고 싶었는데 오늘 와서 보니 손님들이 많아 다행""이라며 ""상인 전체가 코로나19 진단검사를 받는 등 상인들의 노력과 고생으로 극복한 것 같다""고 말했습니다.상인회 관계자는 ""확진자 발생으로 코로나19가 얼마나 무서운지 크게 느꼈다""며 ""상인들이 스스로 안전수칙을 지키고 방역 소독을 철저하게 하고 있다""고 설명했습니다.[MBN 온라인뉴스팀]"
8,MBN뉴스,"뉴스 > 사회정 총리 ""한글날 집회 불허…코로나 방역 상황 안심할 단계 아냐""","↑ 중대본 회의 주재하는 정세균 총리(서울=연합뉴스)정세균 국무총리는 4일 일부 보수단체가 한글날 집회를 예고한 것을 두고 ""정부는 국민의 생명과 안전을 위해 집회를 허용하지 않을 방침""이라고 말했다.정 총리는 이날 정부서울청사에서 주재한 코로나19 중앙재난안전대책본부 회의 모두발언에서 ""집회를 준비 중인 단체는 공동체 안전을 위해 불법집회 시도를 즉각 중단해 주기 바란다""며 이같이 밝혔다.정부는 앞서 보수단체 등의 광복절 집회 이후 코로나19 확진자가 급증했던 만큼 유사 사례의 재발을 막고자 지난 3일 개천절 집회를 불허한 바 있다.정 총리는 ""개천절인 어제는 서울 도심에서 대규모 집회가 열리지 않았고 일부 소규모 차량 집회도 큰 마찰 없이 마무리됐다. 불법집회 차단과 현장 관리에 총력을 다해준 경찰과 지자체 공직자 여러분에게 감사 말씀을 드린다""며  ""연휴 동안 국내에서 하루 평균 62명의 확진자가 발생하며 우려했던 것보다 상황이 호전됐는데 이는 국민이 이동을 자제하고 방역수칙을 지켜준 덕""이라고 강조했다.정 총리는 그러나 ""아직은 안심할 단계가 아니다""라며 ""코로나19 최대 잠복기간이 14일임을 고려하면 연휴 동안 조용한 전파가 진행돼 다시 확진자가 늘어날 가능성이 있다""고 지적했다.그러면서 ""특별방역기간이 아직 일주일이나 남은 만큼 확실한 안정세를 달성할 수 있게 긴장감을 늦춰서는 안 되겠다""고 덧붙였다.앞서 정부는 귀성객과 여행객이 대규모로 이동하는 추석 연휴가 방역의 중대한 고비가 될 것으로 보고 지난달 30일부터 이달 11일까지 2주를 '추석 특별방역기간'으로 지정했다.[디지털뉴스국 news@mkinternet.com][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
9,MBN뉴스,"뉴스 > 사회북한, 피격 공무원 사살 사건에 침묵…코로나 방역만 강조","북한이 서해상에서 남측 공무원을 사살한 뒤 불태운 사건에 대해 오늘(25일) 오전 7시까지 침묵으로 일관하고 있습니다.조선중앙통신과 노동신문, 조선중앙방송, 대외선전매체 등 북한 매체에서는 이날 남측 공무원 사살 사건을 일절 언급하지 않았습니다.전날 청와대가 북한을 강력히 규탄하며 책임자를 처벌하라고 요구했지만, 무시로 답한 모양새입니다.노동신문에는 신종 코로나바이러스 감염증(코로나19) 유입을 차단하기 위한 '방역 장벽'을 강조하는 기사만 실렸을 뿐입니다.신문은 '방역 부문 일군들이 무거운 책임을 다하자' 제목의 기사에서 ""방역 부문이야말로 인민보위, 조국보위의 전초선""이라며 ""일군(간부)들이 최대로 각성 분발하여 우리의 방역장벽을 더욱 철통같이 다져나가야 한다""고 독려했습니다.또 다른 기사에서는 ""강·하천에 대한 방역학적 감시를 보다 강화하여 물에 떠내려오거나 강 유역에 쌓인 물체, 오물 등을 철저히 방역학적 요구대로 처리하는데 깊은 관심을 돌리고 있다""며 ""강·하천들에 감시 초소가 증강되고 책임적인 일군들로 감시역량이 보강됐다""고 소개했습니다.이 같은 대응은 2008년 7월 금강산에서 발생한 '박왕자 피격 사건' 당시와는 정반대 모습입니다.북한은 박왕자씨 피격 사건 발생 다음날인 7월 12일 명승지종합개발지도국 대변인 명의로 담화를 내고 ""남조선 관광객이 우리 군인의 총에 맞아 사망하는 사고가 발생했다""며 ""이에 대해 유감스럽게 생각한다""고 밝힌 바 있습니다.금강산지역 군부대 대변인 역시 다음 달인 8월 3일 특별 담화를 통해 ""전투근무 중에 있던 우리 군인은 날이 채 밝지 않은 이른 새벽의 시계상 제한으로 침입대상이 어디서 나타났는지, 그가 남자인지 여자인지조차 식별할 수 없는 조건""이었다고 강조하기도 했습니다.당시에는 북한 신참 초병의 '근무경계수칙'에 따른 우발적 총격 사건이었다고 할 수도 있습니다.이 때문에 당시 북한은 사건의 책임을 남측에 돌리면서도 거듭 ""사고""라고 주장하며 신속히 수습하려는 속내를 드러냈습니다.그러나 이번에는 실종 공무원 식별 후 수 시간 뒤에 해군 계통의 상부 지시를 받아 사살하고 시신을 불태웠기 때문에 결이 다른 것으로 볼 수 있습니다.이에 따라 북한이 이번 사건과 관련해 묵묵부답으로 일관할지, 좀 더 고민 끝에 입장을 내놓을지 지켜봐야 할 것으로 보입니다.그러나 한국 정부가 이번 사건에 대해 강력히 규탄하며 북한의 책임론을 강조하고 있는 만큼 북한도 어떤 방식으로든 입장을 내놓을 가능성이 커 보입니다.하지만 비무장 민간인에 총격을 가했기 때문에 입장을 내놓더라도 국제사회의 인권 경시 책임은 피하기는 어려운 상황입니다.[MBN 온라인뉴스팀]"
