,Press,Title,Text
0,SBSCNBC,[오늘의 키워드] 서울 부동산 담는 중국인들…‘정책 사각지대’ 보여주나,"['- 서울 부동산 담는 중국인들…""수익률 높은 투자처""', '- SCMP ""서울부동산 매입 외국인 60% 中국적""', '- 전문가 ""코로나 대응 위한 부양책…부동산에 기름""', '- 중국인들, 용산 선호…상업시설 풍부해 임대 인기', '- 외국인 세입자, 이태원동·한남동·한강로동 등 선호', '- 외신 ""부동산정책 불확실한 성공…외국인에 매력적""', '(자세한 내용은 동영상을 시청하시기 바랍니다.)           ']"
1,SBSCNBC,[집중진단] 시급한 전세대책…“새로운 접근” 제시한 이낙연,"['최근 전세 물량 급감과 보증금 급등의 원인은 무엇일까요? 국토교통부는 임대차 3법이 아닌 저금리 때문이라고 주장했습니다. 어제(19일) 이낙연 더불어민주당 대표가 언급한 부동산 정책에 대한 반성은 그 어디에도 없었습니다. 부동산 정책을 두고 또다시 확대되는 당정의 엇박자 논란과 시장 상황, 가감 없이 살펴보죠.', 'Q. 전셋값 상승은 임대차3법 시행 전부터 예고됐던 상황이라고요. 그럼에도 당정이 추진한 이유는 뭡니까?', 'Q. 제도의 변화에 따른 과도기적 혼선은 불가피하더라도 장기적으로 실수요자에 꼭 필요한 정책이라고 보십니까?', 'Q. 문제는 당장의 피해자 확대입니다. 피해가 예견됐다면 이들에 대한 대책도 있어야 했던 것 아닌가요?', 'Q. 그런데 국토부는 전세난의 원인이 저금리라고 주장합니다. 근거가 뭡니까? 국토부 해명자료 내용은 뭔가요?', 'Q. 국토부 해명자료는 김현미 국토부 장관이 전세난과 관련해 유감을 표명 후 3일 만에 배포 됐죠?', 'Q. 집값 안정이 오히려 전셋값 상승을 야기할 가능성이 있다면 그 이유는 규제로 갭투자 수요가 감소했기 때문이라고 볼 수도 있을까요?', 'Q. 정부는 중산층도 입주 가능한 장기 공공임대주택의 도입을 결정하며 공급책을 지속했죠. 확인된 내용은 뭡니까?', 'Q. 당장 3기 신도시부터 중산층이 살 수 있는 30평대 공공임대아파트 들어갈 가능성, 평가가 궁금합니다.', 'Q. 정부는 중산층 공공임대가 전세난 해결의 실마리 될 수 있을 거라는 주장을 하고 있는데요. 근거가 뭡니까?', 'Q. 중산층이 30평대 공공임대주택 공급을 원하고 있을지도 의문입니다. 정책에 대한 중산층 반응은 어떤가요?', 'Q. 그동안 공공임대에 중형 평수 불포함한 이유가 궁금합니다. 당초 재정 우려한 기재부의 반대, 동의하십니까?', ""Q. 국토부는 '중산층 전용 임대'가 과거 뉴스테이와 시프트와 비슷한 유형으로 공공성이 떨어지고 사업자 부담이 커 이에 반대했다고요?"", 'Q. 공급대책이 시장에 즉각 효과 발휘하는 건 아니지 않습니까? 당장의 전세난, 해결할 수 있을까요?', 'Q. 특히나 지방자치단체도 임대주택 확대에 대해서는 소극적인 태도를 지속하고 있지 않습니까?', 'Q. 결국 근본적 문제 해결치 않는 한 전세 품귀는 지속될 텐데요. 최우선 해결 방법은 역시 공급인가요?', 'Q. 시장에서는 임대차3법 개정 필요성을 주장합니다. 국회에서 처리 가능성, 어떻게 보십니까?', 'Q. 민주당은 전셋값 상승 잡고자 전월세상한제를 신규 전세 계약으로 확대하자고 주장하고 있죠?', 'Q. 전세가 비율이 서울보다 높은 곳에서 매매 수요 발생은 불가피할 텐데요. 오히려 집값 상승 초래 가능성 있지 않겠습니까?', 'Q. 정부가 지금까지 전세대책을 낸 전례는 어떻습니까? 공급 일정 앞당기거나 전세 대출 금리 하향 정도인가요?', ""Q. 이낙연 민주당 당 대표가 전세난 확대를 의식한 듯 '부동산정책 새로운 접근' 언급했습니다. 의미가 궁금한데요?"", ""Q. 민주당 지도부에서 부동산정책 관련 '반성'이라는 단어가 나온 것은 이번이 처음인가요?"", 'Q. 문재인 정부의 부동산정책 실패를 인정한 건가요? 초대 총리 이낙연 당 대표도 책임론에서 자유롭겠습니까?', 'Q. 주목할 발언을 살펴보면 4.15 총선 이어 이번에도 ""1가구 장기 보유 실거주자에 \'안심\' 드리겠다""는 건데요. 어떻게 보십니까?', 'Q. 이낙연 당 대표의 언급이 정부 정책에 영향 미칠 가능성 있습니까? 1가구 장기보유자에게 세금 혜택을 준다면 강남도 포함인가요?', 'Q. 이낙연 당대표의 주장이 정부 대책에 영향을 미친다면 앞으로 시장은 어떻게 반응할까요?', '(자세한 내용은 동영상을 시청하시기 바랍니다.)     ']"
2,SBSCNBC,[오늘의 키워드] 이낙연 “부동산 정책 반성…새로운 접근에서 시작하겠다”,"['- 이낙연 ""부동산정책 반성…새로운 접근에서 시작""', '- 이낙연 ""주택 공급 확대방안 마련하겠다"" 언급', '- 1가구 실거주자 세부담 완화 정책 방향 설정', '- 과거 보수 정권 포함 지난 부동산 정책 점검 시사', '- 정부·여당, 향후 부동산정책 기조 변화 여부 주목', '- 당 관계자 ""큰 방향 설정…구체적 결정되지 않아""', '(자세한 내용은 동영상을 시청하시기 바랍니다.)           ']"
3,SBSCNBC,[조간브리핑] 윤석열·가족에 칼 겨눈 추미애…라임 사건 수사 지휘권 발동,"['오늘(20일) 자 조간신문 펼쳐보겠습니다.', '추미애 법무부 장관이 라임 로비 의혹 사건과 윤석열 검찰총장 가족 관련 사건에 대해 수사 지휘권을 발동했습니다.', '윤 총장 지휘를 받지 말고 결과만 보고하라는 건데요.', '추 장관은 이 두 사건에서 윤 총장의 관련성을 전혀 배제할 순 없다며 이유를 밝히고, 라임 로비의혹 사건은 서울남부지검이, 윤 총장 가족 사건은 서울중앙지검이 맡아 철저하게 수사하라고 지시했습니다.', '라임 사건과 관련해선 윤 총장이 야권정치인의 비위 사실을 보고 받았는데도 제대로 수사를 진행하지 않았는지, 보석을 대가로 김봉현 전 회장과 뒷거래한 과정에 개입했는지 규명하라고 했습니다.', '또 가족 사건에 대해선 윤 총장 아내가 미술전시업체를 통해 거액의 협찬금을 받았다는 의혹과 도이치모터스 주가 조작 의혹, 그리고 윤 총장 장모의 요양병원 불법 운영 의혹 등이 해당됩니다.', '추 장관의 이번 결정에 따른 검찰 내부의 반발이 적지 않을 것으로 보이는데요.', '야당에서는 명백한 수사지휘권 남용이자 직권 남용이라며 비판했습니다.', '감사원이 월성 원자력발전소 1호기 조기 폐쇄 결정이 적절성 여부를 담은 감사 결과를 의결했습니다.', '그리고 오늘 그 내용이 공개될 예정인데요.', '정부의 탈원전 정책과도 연계돼있는 만큼 발표 내용에 따른 파장이 클 것으로 보입니다.', '신문에 따르면 이번 보고서에서 감사원은 월성 원전 1호기의 경제성이 일부 저평가 됐다는 취지의 결론을 내린 것으로 알려집니다.', '하지만 원전 안전성과 주민 수용성 등을 고려해 조기 폐쇄 결정이 타당한 지에 대해선 평가를 내리기 어렵다고 본 것으로 전해지는데요.', '이에 따라 감사원은 산업통상자원부 등 조기 폐쇄에 관여한 관련 부처에 대한 징계 여부를 놓고 막판까지 논쟁을 거듭했지만, 조기 폐쇄에 대한 고위 공무원들의 외압 여부에 대해서는 결론 내리지 못했습니다.', '대신 감사 과정에서 자료를 삭제하는 등 감사를 방해한 행위에 대해 징계를 요구한 것으로 전해집니다.', '이낙연 더불어민주당 대표가 ""예전 부동산 정책에 대한 반성에서 새로운 접근을 해야한다""며 주거에 대한 획기적인 대안 마련을 주문했습니다.', ""이 대표는 어제 당내 부동산 태스크포스인 '미래주거추진단'을 출범시키고 이 같이 밝혔습니다."", '이 대표는 ""처음 집을 갖고자 하는 사람에겐 희망을, 1주태 장기 보유 실거주자에겐 안심, 큰돈 벌려는 사람에겐 책임""을 지우자고 말했는데요.', '1주택자 세부담 완화, 서울 시내 주택 공급확대 방안 등을 언급했습니다.', '이 대표가 강조한 정책들이 앞으로 추진단 논의 결과에 반영될지 관심이 모이고 있습니다.', '추진단 관계자는 대표가 말한 방향은 맞지만 구체적인 정책안은 나온 게 없다고 말했습니다.', '중국 경제가 빠른 회복세를 보이고 있습니다.', '중국은 지난 3분기 4.9% 성장을 기록하며 코로나19 충격에서 벗어나 경기회복에 속도를 내고 있는 것으로 나타났습니다.', '중국 경제성장률은 지난 1분기 -6.8%를 기록하며 1992년 이후 처음으로 마이너스를 기록했었죠.', '그러다 지난 2월부터 코로나19 방역과 경기부양에 매진해 회복을 꾀했는데요.', '그 결과 보시는 것처럼 V자 반등을 이뤄냈습니다.', '향후 중국의 경기 회복 추세를 둘러싸곤 낙관론과 신중론이 동시에 제기되고 있는데요.', ""최근 국제통화기금 IMF는 2021년 중국이 8.2%까지 성장할 수 있다는 깜짝 전망을 내놨고 반면에 올겨울 독감과 코로나19가 동시에 유행하는 '트윈데믹'에 대한 불안함, 미 대선 이후 미중 관계 불확실성 등이 중국 경제 방향에 중요한 변수가 될 수 있다는 관측이 나옵니다."", 'LG화학이 플라스틱을 대체할 신소재 개발에 성공했습니다.', ""LG화학은 옥수수 성분의 '포도당'과 '폐글리세롤'로 합성수지와 같은 품질과 물성을 낼 수 있는 100% 바이오 소재를 세계 최초로 개발했다고 발표했습니다."", '이 친환경 소재는 합성수지처럼 투명하고 유연한 게 장점으로, 이 소재를 상용화하면 비닐봉지 뿐 아니라 마스크 부직포 등 다양한 용도로 쓰일 수 있습니다.', 'LG화학은 오는 2025년부터 본격적인 양산에 나설 예정인데요.', ""최근 플라스틱 제품 사용에 대한 규제가 유럽 중심으로 확산하는 가운데 LG화학이 연간 10조원에 달하는 '생분해성 소재 시장'을 선점할 지 기대가 모아집니다. ""]"
4,SBSCNBC,"[집중진단] 홍남기, 대주주 기준 3억 고수…與, 급증한 개미 눈치보기?","['현재 주식양도차익에 세금을 매기는 대주주의 기준은 종목당 10억원이죠. 정부는 내년부터 이 기준을 3억원으로 낮추겠단 방침인데요. 더불어민주당은 반대의견을 내놨습니다. 국회와 정부 청와대 간 미묘한 대립전선이 형성되는 모양새입니다. 집권 여당인 민주당의 강력한 반발 배경은 무엇인지, 이와 관련해 과세 형평 원칙에 대해서도 짚어보겠습니다. ', ""Q. 정부와 청와대가 대주주 기준 '3억원'을 강행합니다. 배경은 뭔가요? 대표적으로 '공정 과세' 원칙 고수를 꼽을 수 있겠습니까? "", 'Q. 홍남기 부총리 발언대로 대주주 기준 강화, 지금이 아니라 2017년에 결정된 것 아닙니까? ', 'Q. 이미 개미 반발로 공매도 금지 유예, 정책 후퇴 반복도 문제입니다. 적절성 고민이 필요한 시점이죠?', 'Q. 정부가 등록임대사업자 문제로 부동산정책 신뢰를 잃었다는 지적도 나옵니다. 다른 경제정책에 신뢰 하락도 우려는 없습니까?', 'Q. 대주주 기준 3억원의 근거는 뭡니까? 대상자가 그리 많지 않아 혼란이 적을 것으로 예상한 건가요?', 'Q. 종목별 보유금액 3억 이상 주주는 0.36%라고요. 현행 기준인 10억 이상 주주도 0.05% 맞습니까?', 'Q. 주요국 상황도 궁금합니다. 주식 보유 금액으로 차등 과세하기보다 지분을 기준으로 과세하는 추세죠?', 'Q. 다른 국가는 이미 주식 양도세를 시행하고 있다고요. 한국은 이미 부작용 고려해 점진적 도입 방침 발표한 상황 아닙니까? ', 'Q. 민주당은 대주주 3억원 기준에 반발하는 모양새입니다. 급증한 개미 눈치 보기인가요? 또 실질적 효과는 2년에 불과하다는 지적을 내놨어요? ', 'Q. 2023년부터 5천만 원 넘는 주식 양도차익에 대한 양도소득세 부과가 전면 시행되기 때문인가요? ', ""Q. 정부가 세대합산은 '인별 기준'으로 전환 방침을 내놨습니다. 예상 효과는 어떻습니까? 과세 기준 6억~7억 정도로 상승한 효과가 있을까요?"", '(자세한 내용은 동영상을 시청하시기 바랍니다.)  ']"
5,SBSCNBC,국민의힘 “임대차 3법 ‘재산권 침해’ 위헌…헌법소원 추진”,"['            국민의힘은 24일 정부와 더불어민주당이 주도한 부동산 관련 입법에 대해 ""위헌성이 너무나 심각해 묵과할 수 없다""며 헌법소원에 나서겠다는 입장을 밝혔다.', '국민의힘 부동산시장정상화특별위원회 위원장인 송석준 의원은 이날 브리핑에서 ""문재인 정부의 부동산 정책 관련 입법이 국민의 기본권을 심각하게 침해하고 있다""고 밝혔다.', ""그러면서 최대 4년까지 임대차 계약을 보장하고, 재계약 시 임대료 인상률을 5%로 제한한 이른바 '임대차 3법'(주택임대차보호법, 부동산거래신고법)이 모두 위헌이라고 지적했다."", '특위는 ""정부가 국민의 사적인 생활 관계까지 간섭하는 것""이라며 ""자유민주 국가에서는 있을 수 없는 일""이라고 주장했다.', ""부동산 세제를 강화하는 종합부동산세법·법인세법·소득세법 등 이른바 '부동산 3법' 역시 국민의 재산권을 침해한다고 특위는 지적했다."", '종부세법에 대해서는 ""최고 세율을 6%로 인상해 18년이 흐르면 보유주택이 세금으로 박탈될 정도로 국민의 재산권을 과도하게 제한하고 있다""고 비판했다.', ""특위는 부동산 관련 입법으로 기본권을 침해당한 국민을 상대로 헌법소원 청구인단을 모집하고 있다며 '문재인 정부 부동산정책 피해 제보센터'에 접수된 피해 사례 581건을 참고해 헌법 소원을 추진할 계획이라고 밝혔다."", '특위는 또한 문재인 정부가 추진하는 \'부동산감독기구(부동산거래분석원)에 대해서도 ""민간 사찰기구로 전락해 국민의 자유를 침해할 가능성이 높다""며 반대 의견을 밝혔다.', '(서울=연합뉴스)           ']"
6,SBSCNBC,[집중진단] 실수요자 내 집 마련? ‘청약·매매’ 모두 어렵다,"['가파르게 우상향 곡선을 그리던 집값 그래프의 변화가 계속되는 양상입니다. 다만 강남권에선 신고가 거래가 여전히 속출하고 있는데요. 부동산정책 책임자들이 집값 안정을 언급해도, 시장의 불만이 계속되는 원인입니다. 다가오는 이사철, 현실적인 내 집 마련 방법 살펴보죠.', 'Q. 실제로 무주택자 실수요자는 당장 매매와 청약, 그 어느 것도 쉽지 않은 상황 아닌가요?', 'Q. 부동산 성수기인 가을을 맞아 청약시장에 관심이 나날이 확대되고 있죠?', ""Q. 김현미 국토부 장관의 '맞벌이 부부 소득요건 완화' 언급 논란이 지속되고 있습니다. 청약을 둘러싼 세대갈등이 원인인가요?"", 'Q. 최근 청약시장에서 심상찮게 확산되는 세대갈등입니다. 봉합시킬 대책 마련이 시급한 시점이죠?', 'Q. 청약 당첨을 기대하기 어려운 실수요자, 가을 이사 철에서 고려할 대안은 임대차시장 아니겠습니까?', 'Q. 임대차법 개정 이후 전세시장 상황은 어떻습니까? 이사비 관련 곳곳에서 집주인-세입자 갈등도 보인다고요?', ""Q. 집주인 불만은 '전세 낀 집 기피 현상'이라고요. 입주 가능 매물보다 낮은 시세 형성, 어떻게 보십니까?"", 'Q. 정부가 운영하는 콜센터가 위법 권유 논란에 휩싸였습니다. 임대차 제도 관련 문의를 위해 운영하는 곳인데, 해당 내용 짚어주시죠.', 'Q. 국토부 입장은 담당 직원용 매뉴얼에 따라 불법을 안내할 수 없다는 입장이라고요?', 'Q. 사실관계를 떠나 이같은 주장은 정부에 대한 실수요자의 불신을 부추길 가능성도 있죠?', 'Q. 임대사업자에 대한 정책 선회, 결론적으로 시장의 대정부 불신 확대에 기여했다 보십니까?', 'Q. 시장 혼란 문제 짚어볼까요. 신혼부부 결혼 연기, 월세 부담에 상가 매입하려던 상인의 종부세 고민 등이 있죠?', 'Q. 당장 내집마련을 해야하는 실수요자가 고민 상담을 요청한다면 현실적 내집마련 비법은 뭘까요?', 'Q. 결국 집값 향방에 주목할 필요성이 있죠? 통계상 우상향은 멈췄다고 하는데, 집값이 변곡점일까요? 아니면 상승 일시정지일까요?', 'Q. 서울 내 집값, 첫 마이너스 지역이 발생할 가능성에 관심이 갑니다. 발생해도 단기적 현상이라는 의견도 있어요?', 'Q. 만약 하락 본격화 때 시작은 중저가 아파트가 될까요? 내년 종부세 부과를 앞두고 다주택자 매물이 출회되겠습니까?', 'Q. 강남에선 신고가 속출이 계속되고 있습니다. 수요가 꾸준하기 때문에 안정화 수준에서 그칠 가능성이 있죠?', 'Q. 마지막으로 남은 변수는 3기 신도시 사전청약입니다. 분양가상한제의 적용을 받아 주변 시세보다 많이 저렴하죠. 청약시장 과열 우려도 있습니다?', '(자세한 내용은 동영상을 시청하시기 바랍니다.)           ']"
7,SBSCNBC,[집중진단] 김현미 “집값 상승세 멈춰”…시장 체감도 꺾였을까,"['가파르게 우상향 곡선을 그리던 집값 그래프의 변화가 계속되는 양상입니다. 다만 강남권에선 신고가 거래가 여전히 속출하고 있는데요. 부동산정책 책임자들이 집값 안정을 언급해도, 시장의 불만이 계속되는 원인입니다. 다가오는 이사철, 현실적인 내 집 마련 방법 살펴보죠. ', 'Q. 서울 집값 동향 먼저 짚어볼까요. 주요지 관련 총평이 궁금합니다. ', 'Q. 서울 전셋값 상황은 어떤가요? 여전히 상승 흐름 유지입니까? ', 'Q. 서울 집값 0.01% 상승, 시장도 공감할까요? ', 'Q. 장기적으로 보면 정부는 강남을 겨냥했는데요. 강남, 강북 격차가 확대되는 모양새입니다. 어떻게 봐야 할까요?  ', 'Q. 같은 맥락에서 부동산 관련 당정청 인식 논란이 계속되고 있습니다. 어제 대정부질문, 두 분은 어떻게 보셨습니까? ', 'Q. 정부의 부동산 시장 판단, 정말 문제 있는 건가요? 현실과 통계의 편차 발생 배경이 궁금합니다.', 'Q. 문제는 통계와 현실의 편차가 계속될 경우 국민적 반발이 심화될 가능성이 있지 않습니까? ', 'Q. 현실 반영한 시세 데이터가 정확히 수집되고 있는지 검증이 필요한 시점 아닐까요?', 'Q. 현행 부동산 통계를 개선하기 위한 현실적 대책은 뭡니까? ', 'Q. 집값이 안정화되고 있다면, 실수요자의 내 집 마련 비중도 증가해야 하는 것 아닌가요?', 'Q. 다주택자 증여와 신탁은 증가하고 있습니다. 무주택자의 부동산 매수 비중은 감소하고 있다고요? ', 'Q. 성인 절반가량이 내 집 마련 불가능 하단 의견이 있습니다. 가능해도 평균 10.3년 예상, 어떻게 봐야 할까요?', 'Q. 내 집 마련을 위해서 할 수 있는 선은 부담스럽지 않은 한도의 대출이라는 의견, 동의하십니까? ', 'Q. 정세균 국무총리가 1주택자의 LTV 규제 완화는 어렵다고 답변했습니다. 선의의 피해자가 유리할 시점이 올까요? 의견 어떻습니까?', ""Q. 내 집 마련을 위해 필요하다 답한 제도적 장치의 핵심은 '공급'이라는 시각, 어떻게 보십니까? "", '(자세한 내용은 동영상을 시청하시기 바랍니다.)              ']"
8,SBSCNBC,"[집중진단] 이재명, 기본주택 이어 ‘기본대출권’…은행권·KDI 반발","['지금 이 시각, 국회에선 경제 분야 대정부질문이 진행되고 있습니다. 핵심은 4차 추경안 내용과 정부의 부동산정책인데요. 특히나 선별성 지원 논란과 통신비 지원 부동산정책에 대해 치열한 각축전이 펼쳐지고 있습니다. 대정부질문부터 소상공인을 위해 시급한 대책, 짚어보겠습니다. ', 'Q. 지원 대상에서 제외된 유흥업에선 폐업이 속출하고 있습니다. 이들에 대한 정부의 대책이 절실한데요?', 'Q. 소상공인, 단순히 폐업만 하면 끝날 문제가 아니죠. 코로나19 장기화로 쌓인 부채는 어떻게 해결합니까?', 'Q. 코로나19 장기화로 소상공인이 진정 필요로 하는 대책이 무엇인지 고민해볼 시점입니다?', 'Q. 이재명 경기도지사가 기본대출권을 주장하고 나섰습니다. 적절한 주장이라고 보십니까?', 'Q. 부익부 빈익빈이란 말로 묘사되는 금융시장의 빈부 격차 구조, 개선 필요성에 동의하시나요?', 'Q. 사실상 금융 포퓰리즘이 아니냐는 의견, 어떻게 보십니까? KDI(한국개발연구원)조차 차주의 채무구조 개선에 효과가 없었다는 부정적 반응이에요?', 'Q. 그런데 서민금융, 지금도 이미 공급과잉 상황 아닌가요? 규모 확대보다 내실 다질 시점 아닙니까?', 'Q. 해외 사례 볼까요. 주요국 중에서 정부가 보증 넣어 근로자 저리 대출을 지원해준 국가가 있습니까?', 'Q. 이재명발 지역화폐 실효성 논란도 확대되고 있습니다. 이재명이 반발한 조세재정연구원의 발표 내용은 뭔가요?', 'Q. 한국지방행정연구원의 작년 12월 자료에선 지역화폐 경제효과가 크다고 하지 않았습니까?', 'Q. 불과 10개월 여 차이로 정부 연구기관 보고서 내용이 충돌했습니다. 일반적 상황인가요?', ""Q. 지역화폐 실효성 논란에 이재명 도지사는 '근거 없는 때리기'라 주장하며 국책연구기관 문책을 촉구했죠?"", 'Q. 경기연구원은 이재명 지사를 옹호하며 조세연 지역화폐 보고서 비판행렬에 가담하는 듯한 모습이에요?', 'Q. 이재명 지사의 경제정책 방향성에 대해 경제계의 비판은 갈수록 심화되고 있습니다. 어떻게 보십니까?', '(자세한 내용은 동영상을 시청하시기 바랍니다.)    ']"
9,SBSCNBC,[집중진단] ‘무료독감 접종·통신비 지원’ 투트랙안 여야 공방치열,"['지금 이 시각, 국회에선 경제 분야 대정부질문이 진행되고 있습니다. 핵심은 4차 추경안 내용과 정부의 부동산정책인데요. 특히나 선별성 지원 논란과 통신비 지원 부동산정책에 대해 치열한 각축전이 펼쳐지고 있습니다. 대정부질문부터 소상공인을 위해 시급한 대책, 짚어보겠습니다. ', 'Q. 정세균 국무총리와 홍남기 경제부총리 등에 대한 경제 분야 대정부질문이 진행 중입니다. 부동산 대책과 4차 추경안 관련 답, 어떻게 보셨습니까?', 'Q. 앞으로 이어질 대정부 질문 주요 쟁점과 전망은 짚어볼까요. 한국판 뉴딜, 홍수 때 정부 대처 적절성 등 어떤 문제 다뤄지겠습니까?', 'Q. 통신비 지원 논란 살펴봅니다. 4차 추경 관련 국민의 첫 번째 관심사는 신속한 국회 통과로 추석 전 지급이 가능할지 여부인데요? ', 'Q. 여야가 22일 4차 추경 처리를 합의했습니다. 여당도 독감백신 무료접종을 검토한다며 태세 전환을 했는데요. 이유가 뭔가요? ', 'Q. 통신비 지원 관련 부정적 여론이 절대적 영향을 미쳤을 가능성이 있죠?', 'Q. 앞으로 이어질 정기국회에서 야당과의 협치는 어떻게 이뤄질까요? ', 'Q. 그런데 현실적으로 국민 100% 대상에 접종할 독감백신 확보 가능성엔 의문입니다. 정세균 총리는 이를 근거로 어제 100% 국민 대상의 독감백신 접종에 대해 현실적인 아이디어가 아니라며 부정적 의사를 피력했다고요? ', 'Q. 통신비 지원을 받아도 절약된 금액으로 백신 맞으면 되는 것 아니냐는 지적도 있는데, 어떻게 보십니까? ', 'Q. 4차 추경 관련 국민의 두 번째 관심사는 국회에서 소상공인 지원 대상 확대 수정할 가능성이죠?', 'Q. 어제 정부의 가이드라인에서 수정된 부분이 있습니까? 유흥주점 등은 끝내 지원금 지급 대상에서 제외됐죠? ', 'Q. 정부가 법인택시에 저소득층 긴급생계지원이나 긴급고용안정지원금 활용을 추천한다고요? ', 'Q. 국민이 선별지원에 어느 정도 합의한 의미는 뭡니까? 소상공인 불공평지원에 동의한 건 아니지 않나요?', 'Q. 현금거래 위주로 하는 노점상은 지원한다고요. 소득감소 명확히 확인 가능한 겁니까? 형평성 논란 불가피할 것 같은데요? ', 'Q. 최소비용, 최대효과를 누리고자 했던 근본적 목적을 다시 짚어봐야 할 시점 같습니다?', 'Q. 지원 제외 소상공인에 대한 국민적 불만 고조되고 있습니다. 5차 추경 가능성도 배제할 수 없는 상황인가요?', 'Q. 정부가 소상공인 2차대출 한도를 2천만 원으로 상향했습니다. 이걸로 소상공인 슬픔 달랠 수 있을까요?', 'Q. 지원이 어려워서 대출을 받게 하는 건가요? 논란이 됐던 대출금리는 그대로인데, 어떻게 봐야 합니까?', 'Q. 1차 때 저금리 대출 부작용은 불필요한 부채 증가 아니었습니까? 정부 입장도 이해할 필요성이 있을까요? ', 'Q. 정부의 입장을 이해하기엔 소상공인의 처지가 최악에 있다는 점에 주목할 필요가 있죠? ', '(자세한 내용은 동영상을 시청하시기 바랍니다.) ']"
