,Press,Title,Text
0,SBSCNBC,LGU+ 아이들나라 누적 콘텐츠 시청 건수 10억 넘어서,"[""            LG유플러스는 유·아동 전용 미디어 플랫폼인 'U+아이들나라'의 누적 콘텐츠 시청 건수가 출시 3년 만에 10억6400만건을 돌파했다고 오늘(26일) 밝혔습니다."", '지난 2017년 7월부터 지난달 말까지 월평균 2800여만건을 시청한 셈입니다.', 'LG유플러스는 ""코로나19 영향으로 어린이집과 유치원이 문을 닫고 아이가 집에 머무는 시간이 많았던 올해 3월엔 월 시청건수 4200만으로 출시 이후 최대 수치를 기록했다""고 설명했습니다.', ""U+아이들나라에서는 누리교실 등 10개 카테고리를 통해 4만1000여건의 콘텐츠를 볼 수 있고 IPTV와 모바일 앱 플랫폼 사이의 연동을 통해 끊어짐이 없는 '심리스'(Seamless) 서비스도 제공 받을 수 있습니다."", ""LG유플러스가 이를 활용해 제작한 올바른 콘텐츠 시청 습관 캠페인 영상 <당신의 아이, 무엇을 보고 듣고 있나요?>는 '2020 부산국제영화제'의 이노베이션 부문에서 동상을 수상했습니다."", '이 영상은 국내 AI 업체 솔트룩스와 진행한 AI 실험 과정과 결과를 기반으로 8주 동안 실제 사례자의 5세 아이를 3D 모델링 기술로 복제하고 음성합성 기술로 대화가 가능한 두 명의 AI 아이를 구현해 만들어 졌습니다.', '실험 결과 아이들나라 콘텐츠를 꾸준히 접한 AI는 동화책 언어를 활용해 올바르고 창의적인 언어를 구사한 반면 무분별한 콘텐츠 환경에 노출된 AI는 성인들이 사용하는 비속어로 대화하는 내용이 담겼습니다.', '김희진 브랜드커뮤니케이션팀장은 ""캠페인 영상을 통해 무분별한 콘텐츠 노출이 아이에게 미치는 부정적 영향을 직관적으로 확인할 수 있다""며 ""사회에 유익한 영향을 주는 브랜드 활동을 지속 진행하겠다""고 말했습니다.          ']"
1,SBSCNBC,"우리금융 3분기 순익, 지난해 수준…“수익구조 개선·M&A 성과”","['            올해 3분기 우리금융그룹이 1년 전과 비슷한 수준의 당기순이익을 기록했습니다.', '우리금융은 3분기 당기순이익이 4798억원으로, 지난해 3분기(4860억원)와 비슷한 수준을 기록했다고 오늘(26일) 밝혔습니다.', '한 분기 전인 지난 2분기(1424억원)보다는 237% 증가한 규모로, 우리금융은 수익구조 개선과 건전성 관리 노력 등 금융환경 대처능력이 향상되고 지주 전환 후 실시한 인수합병(M&A) 성과가 더해진 결과라고 설명했습니다.', '이자이익과 비이자이익으로 구성된 순영업수익도 1조7141억원으로, 1년 전(1조7270억원)과 비슷한 수준을 나타냈습니다.', '이자이익은 1조4874억원으로, 상반기 중 두차례에 걸친 기준금리 인하에 따른 수익성 하락 우려에도 지난해 3분기(1조4858억원)보다 소폭 증가하는 모습을 보였습니다.', '이는 중소기업 중심의 대출성장과 핵심 저비용성예금 증가가 지속되며 이룬 수익구조 개선의 결과라는 설명입니다.', '우리금융은 자산건전성 부문에서 고정이하여신(NPL) 비율 0.4%, 연체율 0.32%를 유지하며, 코로나 위기속에서도 업계 최고 수준의 건전성 지표들을 달성했다고 강조했습니다.', '국제결제은행(BIS) 기준 자기자본비율 역시 지난 6월 감독당국의 내부등급법 승인에 이어 바젤Ⅲ 최종안을 조기 도입해 14% 수준으로 개선됐습니다.', '우리금융은 지난 23일 이사회를 열고 아주캐피탈 경영권 인수를 결의했습니다. 아주캐피탈 인수로 아주캐피탈의 100% 자회사인 아주저축은행은 손자회사로 편입될 예정입니다.', '우리금융은 이번 경영권 인수 결정으로 지난해 새롭게 편입된 자회사들과 함께 사업포트폴리오 라인업이 한층 강화되고, 비은행부문 손익 기여도가 더 확대될 것으로 기대했습니다.', '우리금융 관계자는 ""코로나19로 인한 국내 금융환경의 불확실성이 여전한 상황임을 감안해 견조한 펀더멘탈의 업그레이드와 그룹내 사업포트폴리오간 시너지 강화 등 그룹의 내실화에 주력할 것""이라며 ""\'디지털혁신은 그룹의 생존 문제\'라는 위기의식 속에 그룹내 관련 자원을 효율적으로 배치하고, 손태승 회장이 그룹 디지털부문을 직접 챙기기로 한 만큼 앞으로 우리금융의 디지털혁신은 더욱 속도감 있게 추진될 것""이라고 말했습니다.']"
2,SBSCNBC,국내 신규 확진자 119명…사흘 만에 다시 ‘세 자릿수’,"['이번엔 코로나19 상황 알아보겠습니다.', '코로나19 신규 확진자가 사흘 만에 다시 세 자릿수로 늘어났습니다.', '코로나19 신규 확진 상황 구체적으로 어떻게 나왔습니까?', '중앙방역대책본부는 오늘(26일) 0시 기준 국내에서 발생한 신규 코로나19 확진자 수가 119명이라고 밝혔습니다.', '국내 발생 확진자가 94명, 해외유입 확진자가 25명입니다.', '신규 확진자 수는 전날보다 58명 늘어났으며, 사흘 전인 지난 23일에 155명을 기록한 이후 사흘 만에 다시 세 자릿수로 올라섰습니다.', '최근 수도권에 있는 요양병원이나 재활병원, 가족모임, 발레학원 등에서 새로운 집단감염이 발생하면서 신규 확진자 수가 늘어나는 모습을 보였습니다.', '이런 상황에서 방역당국은 젊은 층을 중심으로 감염이 확산될 수 있다고 우려했어요?', '네, 조금 전 정부세종청사에서 열린 코로나19 대응 중앙재난안전대책본부 회의에서 강도태 중대본 1총괄조정관은 ""다가오는 31일 핼러윈 데이 때 젊은 층을 중심으로 클럽이나 유흥주점 이용이 늘어 감염이 확산할 우려가 있다""고 밝혔습니다.', '그러면서 ""지난 5월 이태원 클럽발 감염 확산을 기억해 주시고, 밀폐된 공간에서 밀접한 접촉이 발생하는 모임은 자제해달라""고 촉구했습니다.', '또 강 1총괄조정관은 사회적 거리두기를 1단계로 완화한 지 2주가 지났지만 요양시설과 재활병원 등 고위험시설에서 산발적인 집단감염이 일어나고 있다며 아직 안정화됐다고 평가하긴 어려운 상황이라고 설명했습니다.']"
3,SBSCNBC,故 이건희 회장 장례 이틀차…삼성그룹 사장단 조문 시작,"['국내 증시가 코스피는 2350선에서 보합, 코스닥은 2% 넘는 하락 흐름을 보이고 있습니다.', '삼성그룹주와 관련해서는 지배구조 개편 수혜 기대를 받는 삼성물산, 삼성SDS가 큰 폭으로 오르고 있습니다.', '고 이건희 삼성그룹 회장 장례 이틀차를 맞아 삼성그룹 사장단의 조문이 시작됐습니다.', '정의선, 최태원 회장 등 주요 그룹 총수와 여야 지도부도 조문 시간을 조율중인 것으로 알려졌습니다.', '이재용 삼성전자 부회장의 국정농단 파기환송심이 오늘(26일) 오후 다시 시작됩니다.', '9개월 만의 재개인데, 상중인 이 부회장은 법정에는 출석하지 않을 전망입니다.', '독감 백신과 사망간 연관성이 낮다는 질병관리청 판단에 따라 만 62세에서 69세 어르신을 대상으로 한 독감 무료접종이 시작됐습니다.', '어제 코로나19 신규 확진자는 119명으로 사흘 만에 다시 세자릿수로 올라섰습니다.']"
4,SBSCNBC,전세계 코로나19 신규확진 하루 50만명 육박…사흘째 역대 최다(종합),"['            미국과 유럽에서 신종 코로나바이러스 감염증(코로나 19)이 역대 최고 속도로 확산하면서 전 세계가 코로나19 2차 확산 태풍 속으로 빠져들고 있다.', '세계보건기구(WHO)가 집계한 전세계 코로나19 신규 확진자수는 24일(현지시간) 46만5천여명으로 50만명에 육박해 사흘 연속 역대 최다를 기록했다.', '미국에서는 최근 이틀간 코로나 19 신규확진자가 역대 가장 많은 수준으로 늘어나면서 중서부 일부 지역에서 의료대란 조짐이 나타나고 있다.', '프랑스에서는 하루 코로나 19 신규확진자가 5만2천명을 넘어섰고, 스페인과 이탈리아 정부는 강력한 봉쇄 카드를 꺼내들었다.', 'WHO의 집계에 따르면 24일 코로나19 신규 확진자는 46만5천319명으로 22일(43만7천247명), 23일(44만9천720명)에 이어 사흘 연속 하루 기준 역대 최다를 기록했다.', '너무 많은 국가에서 신규확진자수가 기하급수적으로 늘어나고 있다며 일부 국가들은 위험 경로에 있다고 WHO는 경고했다.', 'WHO에 보고되는 신규확진자수를 보면 금·토·일요일까지 치솟았다가 화·수요일에 바닥을 친다.', 'WHO 집계에 따르면 코로나19 누적 확진자수는 4천230만명을 넘어섰고, 누적 사망자수는 115만명에 육박한다.', '테워드로스 아드하놈 거브러여수스 WHO 사무총장은 이날 기자회견에서 ""우리는 특히 북반구에서 코로나19 세계적 대유행(팬데믹)에 있어 중대한 시점에 직면했다""면서 ""앞으로 수개월간은 매우 힘겨울 것이고, 일부 국가들은 위험경로에 있다""고 말했다.', '그는 ""너무 많은 국가들에서 신규 확진자수가 기하급수적으로 늘고 있어 아직 10월인데도 병원과 집중치료실이 수용한계에 다다르고 있다""면서 각국지도자들에게 즉각적 행동에 나서라고 촉구했다.', '24일 신규 확진자 중 절반 가까이는 유럽 지역(22만1천898명)에서 발생했다.', '유럽지역의 신규확진자수는 역대 최다를 기록했다.', '유럽의 누적 확진자수는 900만명을 넘어선다.', '프랑스 정부는 25일(현지시간) 최근 24시간 신규 확진자가 5만2천10명 늘어 24일의 역대 최대 기록인 4만5천422명을 넘어섰다고 밝혔다.', '최근 24시간 동안 사망자는 137명 늘어 누적 사망자 수는 3만4천761명에 달한다.', '프랑스의 누적 확진자 수는 113만8천507명으로 미국, 인도, 브라질, 러시아에 이어 세계 5위다.', ""코로나 19가 걷잡을 수 없는 속도로 확산하고 있는 스페인과 이탈리아 정부는 '봉쇄' 조처로 바이러스 확산 제동에 나섰다."", '스페인은 오후 11시부터 다음날 오전 6시까지 이동을 제한하는 국가경계령을 발동했다.', '지난 3월 13일부터 6월 21일까지 1차 봉쇄 이후 7개월 만이다.', '이탈리아에서도 25일 신규 확진자가 2만1천273명 늘어 2만명을 넘어섰다.', ""이탈리아 정부는 음식점·주점의 영업시간을 저녁 6시까지로 제한하고 영화관·헬스클럽·극장 등을 폐쇄하는 '준 봉쇄' 수준의 강도 높은 제한 조처를 이날 추가로 발표했다."", '이 조처는 26일부터 내달 24일까지 효력을 발휘한다.', '이탈리아 당국의 방역 대책은 이달 들어서만 네 번째로 그 강도 역시 횟수를 거듭할수록 높아지고 있다.', '코로나 19 폭풍에 휘말린 미국의 상황도 계속 악화하고 있다.', '미 존스홉킨스 집계에 따르면 미국 코로나19 확진자는 23일 8만3천757명, 24일 8만3천718명으로 역대 최대를 기록했다.', '코로나19로 인한 입원환자도 2개월 만에 최대 규모가 됐고, 사망자 수도 늘고 있다고 로이터는 전했다.', '이달 들어 미국 50개 주중 29개 주에서 신규 확진자 수가 역대 최대로 치솟았다.', '역대 최대 신규 환자 발생 주에는 오는 11월 3일 미국 대통령 선거의 향배를 결정할 오하이오, 미시간, 노스캐롤라이나, 펜실베이니아, 위스콘신 등 5곳도 포함된다.', '미국 중서부에서도 신규확진자 수가 24일 역대 최대치를 나타냈다.', '이 지역 코로나 19 입원환자 수는 9일 연속 최대치를 경신하고 있다.', '미국 노스다코타주를 비롯한 몇몇 주에서는 입원환자 수가 급격하게 늘면서 의료시스템이 받는 부담이 커졌다.', '최근 3주간 텍사스주 엘패소의 입원환자 수는 3배로 폭증했다.', '앤절라 모라 시 보건국장은 성명에서 ""이런 추세라면 우리는 조만간 보건 시스템 전반에 해로운 영향이 가는 위험을 감수해야 한다""면서 ""입원환자와 이들을 돌보기 위해 고군분투하는 일선 보건복지 노동자를 위해 향후 2주간 집에 머물고 외부인과 접촉을 줄여달라""고 호소했다.', '그레그 애벗 텍사스 주지사는 연방정부에 비 코로나 19 환자를 위해 군 병원을 활용할 수 있게 해달라고 요청했다.', '그는 엘패소 컨벤션 공연예술 센터에 50병상 규모의 임시병동을 만들겠다고 밝혔다.', '(서울=연합뉴스)          ']"
5,SBSCNBC,신규확진 119명 휴일임에도 세자리…요양병원-발레학원 감염확산(종합),"['            신종 코로나바이러스 감염증(코로나19) 집단발병이 수도권을 중심으로 확산하면서 26일 일일 신규 확진자는 120명에 육박했다.', '전날(61명)보다 배 가까이 늘어나면서 지난 23일(155명) 이후 사흘 만에 다시 세 자릿수로 올라섰다.', '코로나19에 취약한 요양병원, 요양시설, 재활병원뿐만 아니라 가족모임, 지인모임, 발레학원 등을 고리로 한 새로운 집단감염이 잇따르면서 신규 확진자가 증가했다.', ""특히 단풍철을 맞아 등산객과 나들이객이 늘어난 데다 이번 주 '핼러윈데이'(10.31)까지 앞두고 있어 코로나19가 더 확산하는 것 아니냐는 우려도 나온다."", '방역당국은 전날 휴일이라 검사 건수가 평일보다 크게 줄었음에도 확진자가 세 자릿수를 기록한 데 촉각을 세우며 환자 발생 추이를 주시하고 있다.', '중앙방역대책본부는 이날 0시 기준으로 코로나19 신규 확진자가 119명 늘어 누적 2만5천955명이라고 밝혔다.', '전날(61명)보다 신규 확진자 수가 58명 늘었다.', ""'사회적 거리두기'가 2단계에서 1단계로 완화된 지 2주가 지났음에도 코로나19는 진정세를 보이지 않고 계속 100명 안팎을 오르내리고 있다."", '지난 12일 이후 보름간 일별 확진자 수를 보면 98명→91명→84명→110명→47명→73명→91명→76명→58명→89명→121명→155명→77명→61명→119명이다.', '이날 신규 확진자 119명의 감염경로를 보면 지역발생이 94명, 해외유입이 25명이다.', '지역사회에서 감염된 것으로 추정되는 지역발생 확진자는 전날(50명)보다 44명 늘어나며 세 자릿수로 다가섰다.', '확진자가 나온 지역을 보면 서울 20명, 경기 65명, 인천 3명 등 수도권이 88명이다.', '수도권 이외 지역에서는 경남 3명, 대전·충남·충북 각 1명이다.', '주요 감염 사례를 보면 요양시설과 무용학원 등 수도권 지역을 중심으로 확진자가 속출했다.', ""경기 남양주시 '행복해요양원' 관련 누적 확진자는 전날 정오 기준으로 49명이 됐고, '군포시 의료기관·안양시 요양시설' 관련 확진자도 40명까지 늘었다."", ""또 '서울 구로구 일가족·경기 부천시 무용(발레)학원' 사례에서는 27명의 확진자가 발생했고, 경기 양주시 섬유회사 사례에서도 21명의 확진자가 나왔다."", '이밖에 충남 천안 지인모임과 관련해서는 지금까지 6명이 확진됐다.', '해외유입 확진자는 25명으로, 전날(11명)보다 14명 늘었다.', '해외유입 확진자 가운데 17명은 공항이나 항만 입국 검역 과정에서 확인됐고 나머지 8명은 경북(3명), 경기(2명), 울산·세종·충북(각 1명) 지역 거주지나 임시생활 시설에서 자가격리하던 중 양성 판정을 받았다.', '이들의 유입 추정 국가를 보면 러시아가 4명으로 가장 많고 이어 인도 3명, 필리핀·인도네시아·체코·폴란드 각 2명, 키르기스스탄·네팔·이라크·요르단·파키스탄·이란·우크라이나·터키·미국·코트디부아르 각 1명이다.', '확진자 가운데 내국인이 10명, 외국인이 15명이다.', '지역발생과 해외유입(검역 제외)을 합치면 서울 20명, 경기 67명, 인천 3명 등 수도권이 90명이다.', '전국적으로는 10개 시도에서 확진자가 새로 나왔다.', '한편 사망자는 전날 나오지 않아 누적 457명을 유지했다.', ""코로나19로 확진된 이후 상태가 위중하거나 악화한 '위중증' 환자는 전날과 같은 53명이다."", '이날까지 격리해제된 확진자는 36명 늘어 누적 2만3천905명이다.', '현재 격리돼 치료를 받는 환자는 하루새 83명 늘어 총 1천593명이 됐다.', '현재까지 국내에서 이뤄진 코로나19 진단 검사 건수는 총 255만2천264건으로, 이 가운데 250만5천546건은 음성 판정이 나왔고 나머지 2만763건은 결과를 기다리고 있다.', '전날 이뤄진 검사 건수는 6천118건으로, 전날(5천467건)보다 651건 늘었다.', '전날 검사 건수 대비 양성률은 1.95%(6천118명 중 119명)로, 직전일 1.12%(5천467명 중 61명)보다 대폭 상승했다.', '이날 0시 기준 누적 양성률은 1.02%(255만2천264명 중 2만5천955명)다.', '(서울=연합뉴스)           ']"
6,SBSCNBC,제사 때 수도권 가족 접촉한 창원 일가친척 6명 확진,"['            수도권에 거주하는 가족이 제사에 다녀갔다가 신종 코로나바이러스 감염증(코로나19)에 확진된 경남 창원지역 일가친척 6명이 잇따라 확진 판정을 받았다.', '경남도는 26일 코로나19 대응 브리핑에서 창원에 사는 30대 여성(경남 304번), 60대 여성(305번), 10세 미만 여아(306번), 50대 여성(307번), 60대 남성(308번), 50대 여성(309번)이 코로나19 양성 판정이 나왔다고 밝혔다.', '경기도에 사는 가족이 지난 18일께 창원에서 열린 집안 제사에 다녀간 이후 코로나19 확진판정을 받고 접촉자로 통보받았다.', '방역 당국은 이들의 동선과 접촉자 등을 파악 중이다.', '도내 누적 확진자는 306명으로 늘어났다.', '이 중 292명이 완치 퇴원하고 14명이 입원 중이다.', '(창원=연합뉴스)          ']"
7,SBSCNBC,트럼프 주말내내 유세 강행군…코로나 확산에도 “어쨌건 끝나가”,"['            도널드 트럼프 미국 대통령은 일요일인 25일(현지시간) 동북부 2개주를 방문하는 등 전날에 이어 유세 강행군을 펼쳤다.', '미 언론에 따르면 트럼프 대통령은 이날 오후 뉴햄프셔주 런던데리를 방문해 공항에서 유세를 벌였다.', '뉴햄프셔주는 2016년 대선 당시 트럼프 대통령이 근소한 차이로 패한 곳이다.', '트럼프 대통령은 이번 대선의 가장 큰 우려는 ""가짜 투표""라며 기존 주장을 되풀이하고, 조 바이든 민주당 대선 후보가 당선되면 세금을 인상할 것이라며 공격했다.', '트럼프 대통령은 신종 코로나바이러스 감염증(코로나19) 확진자 수가 최고치를 기록하는 등 심각한 재확산세를 보이고 있지만 ""어쨌건 그것은 끝나가고 있다""고 말했다.', '그는 백신이 개발되면 빠르게 보급될 것이라고 말하고, ""그것은 전염병을 빠르게 종식할 것""이라면서 이같이 말했다.', '트럼프 대통령은 이후 북단 메인주로 이동, 제2 하원의원 선거구의 한 과수원을 방문해 즉석 연설을 하고 지지를 호소했다.', '미 대선은 각 주에서 가장 많은 표를 얻은 후보가 선거인단을 차지하는 승자독식 방식이지만, 메인주와 네브래스카주는 예외다.', '이들 주는 상원 몫인 선거인단 2표는 주 전체 다득표자에게, 하원 몫 선거인단 표는 각 선거구에서 이긴 후보에게 배분된다.', '메인주 여론조사에서 트럼프 대통령은 바이든 후보에게 뒤지지만 2선거구는 격차가 좁다고 미 언론은 전했다.', '트럼프 대통령은 전날에는 플로리다주에서 사전 현장투표를 한 뒤 노스캐롤라이나, 오하이오, 위스콘신에서 3번의 유세를 벌이고 백악관으로 복귀했다.', '플로리다, 노스캐롤라이나, 위스콘신은 대선 승부처인 6개 경합주에 속한다.', '오하이오는 바이든 후보가 맹추격하며 경합하는 지역으로 평가된다.', '트럼프 대통령은 저녁에는 백악관에서 핼러윈 행사를 개최했다.', '코로나19 확산 우려 속에서도 예년과 같이 열린 행사에는 군 가족과 학생, 학부모 등이 초청됐다.', '바이든 후보는 유세 일정 없이 델라웨어주 자택에 머물렀지만, 트럼프 대통령 측의 코로나19 대응을 질타하는 성명으로 공격에 나섰다.', '그는 마크 메도스 백악관 비서실장이 이날 CNN 방송 인터뷰에서 ""우리는 대유행을 통제하지 못할 것""이라고 발언한 데 대해 ""(바이러스에) 패배했다는 백기를 흔든 것""이라고 비판했다.', ""바이든 후보는 이날 저녁 유권자들에게 조기에 사전투표할 것을 독려하는 '나는 투표할 것이다' 화상 콘서트에도 참여한다."", '(워싱턴=연합뉴스)          ']"
8,SBSCNBC,[이진우의 주간증시] 무기력증 美증시vs 韓증시는 삼성그룹株 강세 속 코스닥 800선 붕괴까지?,"[""- 방향성 잃은 시장…'무기력증' 美증시 진단은?"", '- 나스닥, 최근 부진한 양상…이번 주 1.4% 하락', '- S&P500 기업의 85%…시장 예상 웃도는 실적 내놔', ""- '서학개미 힘' 3분기 해외주식 거래 70조원"", '- 풀죽은 서학개미…美주식 매수 6월이후 최소 수준', ""- '불확실성' 변수 산재…시장 체크포인트는?"", ""- 대내외 악재에도 생각보다 '잠잠'…'태풍의 눈'인가?"", ""- 美대선 결과 주목…'불복' 가능성도 변수"", '- 美 경기부양책 협상 주시…규모·시기 중요', '- 국채 수익률 급등하고 인플레이션 시대 온다?', '- 美대선 앞 코로나19 재확산…백신·치료제 상황은?', ""- 美·유럽 휩쓰는 코로나 2차 팬데믹…커지는 '더블딥' 우려"", ""- 미중갈등 여전…이번주 中 '5중전회' 주목"", ""- 고개드는 투자 신중론…'빅테크' 투자 변곡점 왔나?"", '- 美 3분기 GDP·애플 실적 등 대형 이벤트 줄이어', '- IT기업, 반독점 소송 직면…기술주 향방은?', '- 테슬라, 서스펜션 결함…중국서 전기차 3만대 리콜', ""- 테슬라, 5분기 연속 흑자…기록적 판매에 '깜짝 매출'"", ""- 애플의 첫 5G폰 '아이폰12' 30일 국내 출시"", '- 제2의 IT 버블 공포...2000년 vs 2020년 무엇이 다른가', ""- '하일리온'도 이제 전기차 종목…SPAC '토토이스'와 합병"", ""- '전기차'만 붙으면 시장 환호?…투자 전략은?"", ""- 전기트럭회사 '하일리온' 주가 추이…전망은?"", '- 트럼프냐 바이든이냐…美대선 결과 예상은?', '- 바이든 굳히기 vs. 트럼프 뒤집기', '- 세계 이목 쏠린 美 대선…증시 변동 시나리오는?', ""- 바이든으로 기우는 美 대선…'샤이 트럼프' 변수 남아"", '- 트럼프- 바이든 대규모 법률팀 구성…벌써 불복 준비?', '- 4년전 패배 힐러리 ""트럼프가 이긴다는 생각하면 구역질 나""', '- 22일 TV토론 헌터 20만회로 반짝 검색 상승,', '- 23일 보랏2 아마존 상연 개시하자 200만회', '- 연관검색어 1위가 보랏딸 침대몰카 줄리아니', ""- 트럼프 '헌터 노트북' 한방 노렸지만 별 효과 없었다?"", '- 트럼프 바이든 공격 역풍…몰카에 딱 걸린 트럼프 측근', '- 바이든 前동업자 ""헌터 이메일 \'빅 가이\'는 바이든"" 폭로', '- 美백악관 ""코로나 대유행 통제하지 않겠다…억제는 노력""', '- 트럼프 ""美 코로나19 사망자 많은 것은 병원 집계방식 탓""', '- 美 하루 확진자 8만명, 佛 4만·伊 2만명 가을 재확산 심각', ""- 1130원도 '위험'…떨어지는 환율, 바닥은 어디?"", '- 달러 강세 vs 약세…금융권서 엇갈린 전망', '- NDF, 1,128.20/1,128.80원…4.55원 하락', '- 원화 강세 장기화…외국인 자금 끌어들여 증시 달굴까', ""- 달러약세→위안화 강세→원화강세…'달러'에게 달렸다?"", '- 가파른 원화 강세…연말 증시에 부담되나', '- 달러지수 0.2% 하락…PMI호조 속 유로강세 여파', '- 코스피 상승, 코스닥은 또 하락…국내증시 향방은?', '- 코스피, 2350선 횡보 전망…美 대선까지 대응 자제', ""- '동학 개미' 힘 빠졌나…이달 1조2700억 매도"", '- 지난주, 코스피 +0.6%·코스닥 - 2.5%…금융주 강세', '- 신용융자잔고 전년말 대비 77.5%↑…연중 최고치', '- 30세 미만 청년층, 신용융자 통한 주식투자 경향 확산', '- 증권가 ""단기적인 영향은 제한적"" 전망', '- 굵직한 이슈 많아 개별 종목 들썩일수도  ', '(자세한 내용은 동영상을 시청하시기 바랍니다.)             ']"
9,SBSCNBC,[현장연결] 이건희 회장 입관식…10시부터 본격 조문,"['고 이건희 삼성전자 회장의 입관식이 조금 전 진행됐습니다.', '입관식을 마친 이후에는 전·현직 삼성그룹 사장단들을 시작으로 본격적인 조문 행렬이 이어질 것으로 보이는데요 현장에 나가있는 김동우 기자 연결하겠습니다.', '이곳 삼성서울병원 장례식장에는 아직까지 본격적인 조문은 시작되지 않았습니다.', '조금 전 오전 9시부터 입관식이 시작됐는데요.', '전날부터 빈소를 지킨 상주 이재용 부회장을 비롯해 홍라희 전 리움미술관장, 이부진 호텔신라 사장, 이서현 삼성복지재단 이사장 등 삼성 오너일가가 참석했습니다.', '입관식이 끝나고 10시부터는 삼성 사장단 조문을 시작으로 본격적인 조문 행렬이 시작될 것으로 보입니다.', '코로나19로 50명 미만의 소규모 장례식으로 진행하기 때문에 가족과 측근 외에 조문객은 입장할 수 없습니다.', '다만 정·재계 인사들의 조문은 한 명씩 빈소에 입장하는 방식으로 진행되고 있습니다.', '어제(25일) 하루 동안은 여러 정재계 인사들의 조문이 이어졌는데 문 대통령도 위로 메시지를 전했죠?', '네, 문재인 대통령은 어제 노영민 대통령 비서실장과 이호승 경제수석을 통해 유족에게 위로의 뜻을 전했습니다.', '문 대통령은 ""한국 재계의 상징이신 이건희회장의 별세를 깊이 애도한다""며 ""유가족분들께 심심한 위로의 말씀을 전한다""고 밝혔습니다.', '이재용 부회장과 사촌인 이재현 CJ그룹 회장도 어제 오후 1시간30분가량 빈소를 지켰는데요.', '이 회장은 고인에 대해 ""국가 경제에 큰 업적을 남기신 위대한 분""이라며 ""저에게는 자랑스러운 작은아버지""라고 애도했습니다.', '오늘도 오전부터 여러 정·재계 인사들의 조문이 예상되는데요.', '장례는 오늘이 2일차로 4일장으로 치러지며 발인은 오는 28일에 이뤄집니다.', '지금까지 삼성서울병원에서 SBSCNBC 김동우입니다.              ']"
