,Press,Title,Text
0,TV조선,서울푸드페스티벌 폐막…코로나 의료진 피로감 날린 '맛의 향연',"           play-rounded-fillplay-rounded-outlineplay-sharp-fillplay-sharp-outline   pause-sharp-outlinepause-sharp-fillpause-rounded-outlinepause-rounded-fill   00:00              ShareTwitterEmbed      ▶  다음 동영상이 곧 재생됩니다. 취소    3분 미리보기가 종료되었습니다. 풀 영상을 감상하시려면 아래의 VOD 구매를 통해 이용하실 수 있습니다. VOD 구매       [앵커]TV조선 주최로 열린 서울푸드페스티벌이 대구·경북  의료진을 위한 도시락 전달을 끝으로 사흘 간의 일정을 마무리했습니다. 코로나 영웅을 위한 마지막 도시락은,  미슐랭  스타 셰프들이 재능 기부한 요리사 꿈나무들이 함께 해서 그 의미를 더했습니다.   윤서하 기자입니다. [리포트]조리복 차림의 학생들이 훈제 소고기를 가지런히 썰어냅니다. 미슐랭 스타 셰프로부터 전수받은 조리법대로, 인삼까지 얹어 풍미를 더합니다. 대구 경북지역 코로나19 방역 최전선에 있는 의료진을 위한 도시락입니다. 이준수 / 한국국제조리고 학생“의료진분들을 위해서 도시락을 준비하니까 너무 속으로 기쁘고…” 완성된 도시락 1000개는 코로나로 극심한 고통을 겪었던 경북 적십자사와 안동의료원 등 경북 거점 병원 의료진들에게 전달됐습니다.영주 한우와 풍기 인삼, 송이버섯 등 경북 특산물로 조리됐습니다. 이철우 / 경북도지사“우리 지역 특산물로 만들었습니다. 풍기 인삼이라던지 이런 것들로 만들었기 때문에 굉장히 맛이 있을 것으로 생각합니다.” 서울에서도 요리 장인들이 각자 선택한 재료로 수도권 의료진 550여명을 위한 '미슐랭 스타 도시락'을 선사했습니다. 이준 셰프는 닭과 문어로, 김성운 셰프는 직접 재배한 땅콩호박으로 라따뚜이 도시락을 만들었습니다. 김성운 / 테이블포포 셰프“따뜻한 한 끼를 준비했어요. 드시고 많이 힘내셨으면 좋겠습니다.” 코로나 장기화 속에 열린 2020 서울푸드페스티벌은 코로나 의료진을 위한 도시락 나눔 행사를 끝으로, 사흘간의 대장정을 모두 마무리했습니다. TV조선 윤서하입니다. "
1,TV조선,"""코로나 검사 거부하면 테러"" 민주당 개정안 '민변'도 반대","더불어민주당 이병훈 의원 등이 지난 달 발의한 국민보호와 공공안전을 위한 테러방지법(테러방지법) 일부개정 법률안에 대해 민주사회를 위한 변호사모임(민변)이 반대 성명을 냈다. 대표적인 진보성향 단체로 꼽히는 민변은 7일 ""개정안은 고의로 검사, 치료를 거부하고 확산을 의도하는 행위도 테러로 규정할 필요가 있다는 내용""이라며 ""코로나19 방역을 명목으로 '테러'의 개념을 무분별하게 확대하고 있어 기본권 침해가 심각하게 우려되는 법률안""이라고 지적했다. 민변은 ""개정안이 테러로 정의하려고 하는 '고의로 감염병에 대한 검사와 치료 등을 거부하는 행위'는 현행 감염병예방법으로도 충분히 처벌과 제재가 가능한 것""이라고 했다. 민변은 또 ""정보기관이 반(反)정권 인사를 포함한 시민들을 자의적으로 테러위험인물로 지정하고 정보를 무분별하게 수집""할 수 있는 우려도 제기했다. 민변은 또 ""지난 2016년 박근혜 정부 때는 민주당이 테러방지법 제정을 저지하려 필리버스터 운동을 펼쳤다""며 ""정권의 입장에 맞춰 테러방지법을 개악하려는 행위는 즉각 중단하라""고 했다. 테러방지법 상 정부기관은 위험인물의 정보를 수집하고 위험인물을 추적할 수 있다. 민주당 의원들은 그동안 8·15 집회를 주도한 전광훈 사랑제일교회 목사 등을 ""테러방지법 위반으로 구속해야 한다""고 주장해왔다. / 이채현 기자"
2,TV조선,"법무부, 변호사 시험장 전국으로 확대","내년부터 전국 25개 모든 법학전문대학원 소재 대학에서 변호사 시험을 응시할 수 있다 법무부는 현재 9개에 불과한 변호사 시험 시험장을 전국 25개 모든 법학전문대학원 소재 대학으로 확대하겠다고 7일 밝혔다. 이는 2021년 1월 초 시행되는 제10회 변호사시험부터 시행될 예정이다. 법무부는 원거리를 이동하여 시험을 응시해야 하는 수험생들의 불편을 해소하고, 코로나 방역 상황에 적극 대응하고자 시험장을 전면 확대하기로 했다. 따라서 전국 법학전문대학원의 졸업예정자 및 졸업생 약 3500명이 2021년부터 자신이 희망하는 시험장을 선택할 수 있게 됐다. 현재 전국에 있는 법학전문대학원은 수도권 14곳(서울대, 고려대, 성균관대, 연세대, 이화여대, 한양대, 경희대, 서울시립대, 아주대, 인하대, 중앙대, 한국외대, 건국대, 서강대), 지방권 11곳(경북대, 부산대, 전남대, 충남대, 동아대, 전북대, 영남대, 충북대, 원광대, 강원대, 제주대)이다. 법무부 관계자는 ""강원, 제주, 인천 등 시험장이 미설치된 지역의 수험생들은 원거리를 이동해 4일 동안 시험을 봐야 하는 불편을 겪었다""면서 ""수험생의 불편을 해소하고 시험장 선택의 폭을 넓혀 시험의 공정성을 확립하고자 했다""고 설명했다. / 변재영 기자"
3,TV조선,맛을 통해 나누는 연대의 힘…서울 푸드 페스티벌 개막 ,"           play-rounded-fillplay-rounded-outlineplay-sharp-fillplay-sharp-outline   pause-sharp-outlinepause-sharp-fillpause-rounded-outlinepause-rounded-fill   00:00              ShareTwitterEmbed      ▶  다음 동영상이 곧 재생됩니다. 취소    3분 미리보기가 종료되었습니다. 풀 영상을 감상하시려면 아래의 VOD 구매를 통해 이용하실 수 있습니다. VOD 구매       [앵커]TV조선이 주최하는  '2020 서울  푸드 페스티벌'이  시작됐습니다. 미슐랭 셰프  12명이 만든  도시락은 코로나  방역을 위해  애쓰는 의료진에  전달됩니다. 윤서하 기자입니다.[리포트]냄비 안  하얀 연기 사이로 먹음직스런 소고기가 모습을 드러냅니다.     버섯에 인삼까지 차례로 올리자  고급 메뉴 하나가 완성됩니다.    바스크 요리의 젊은 거장 신승환 셰프의 시연에 환호가 터져 나옵니다. 신승환 / 떼레노 셰프 “스모크하면은 약간 좀 질기고 스테이크로도 먹기 힘든 부위를 조금 더 먹기 쉽게 만들 수가 있고요.” 학생들은 TV에서만 보던 미슐랭 스타 셰프의  조리 비법을 받아 적느라 여념이 없습니다.모던 퀴진의 장인 박무현 셰프는 미슐랭 스타를 획득하기 위해  노력했던 과정을 학생들에게 설명합니다. 박무현 / 무오키 셰프""많이 요리연습을 하면 할수록 실력이 올라갈 수밖에 없는 구조거든요. 집에서 재료 사다들고 만들어 보는 거예요.”  박진주 / 한국국제조리고 학생""말로만 듣던 셰프를 직접 보게 되어서 신기하고 재밌었던 강의였어요.""표고마늘밥 위에 지단을 올리고, 갈비찜이 마르지 않게 양념을 부어 도시락을 완성합니다. 미슐랭 셰프 12명이  정성을 들여 만드는 도시락은 모두 3천여개, 코로나 방역 최전선에 있는 의료진들에게 전달해 연대의 의미를 되새길 예정입니다. TV조선 윤서하입니다. "
4,TV조선,"文 ""한반도 완전한 비핵화·항구적 평화 계속 노력""…우즈벡 대통령 ""계속 지지할 것""","문재인 대통령은 '샤브카트 미르지요예프' 우즈베키스탄 대통령과 오늘(6일) 오후 3시부터 35분간 전화 통화를 갖고, 양국 관계 발전 방안 등 상호 관심 사안에 대해 의견을 교환했다. 강민석 청와대 대변인은 서면 브리핑을 통해 한반도 평화 프로세스에 대한 대화도 오갔다며 이같이 밝혔다. 미르지요예프 대통령은 먼저 ""한반도 평화 구축을 위한 대통령의 노력을 높이 평가한다""며 ""남북 평화를 위한 문 대통령의 기원이 꼭 이뤄지기를 바란다""고 말했다. 이에 문 대통령은 ""우리 정부는 한반도의 완전한 비핵화와 항구적 평화를 위해 계속 노력할 것""이라며 ""그간 대통령께서 한결같이 우리의 한반도 평화 프로세스를 지지해 주셔서 감사하다""고 사의를 표했다. 미르지요예프 대통령은 ""앞으로도 계속 대한민국 정부를 지지할 것""이라고 덧붙였다. 두 정상은 코로나 방역과 공평한 백신 개발과 보급, 양국 간 고위급 교류 등에 대해서도 의견을 교환했다. 특히 경제 현안과 관련 한-우즈베키스탄 자유무역협정(FTA) 체결을 위한 협의의 조속한 개시 필요성에 공감대를 이뤘다. 문 대통령은 ""우즈베키스탄 정부가 추진 중인 무바렉 발전소 현대화 사업, 부하라 정유공장 현대화 사업 등 가스복합 발전소 건설과 신재생 에너지 분야 사업에 많은 한국 기업들이 참여하여 수르길 가스화학 플랜트 사업 같은 경제 협력 모범사례를 계속 만들어갈 수 있기를 기대한다""고 했다. 이에 미르지요예프 대통령은 ""꼭 그렇게 하도록 하겠다""고 화답했다. 문 대통령은 또 우리 정부가 연내 개최를 추진 중인 '제2차 북방포럼' 및 '제13차 한-중앙아 협력포럼' 등 국제행사에 우즈베키스탄 측의 적극적인 참여를 요청했다. 이에 미르지요예프 대통령은 ""제2차 북방포럼에 축하 메시지를 보내도록 하""고 ""한국의 한-중앙아 협력포럼 개최를 지지한다""고 답했다. 이날 통화에서 미르지요예프 대통령은 ""정상회담을 우선 화상회의 형식으로 진행하는 것이 어떠냐""고 제안했다. 문 대통령도 ""좋은 방안""이라며 ""외교채널을 통해 협의하도록 하겠다""고 말했다. 오늘 통화 첫머리에 문 대통령은 미르지요예프 대통령의 부인과 가족들, 특히 한국에서 태어난 셋째 손녀의 안부를 물었고, 미르지요예프 대통령은 ""손녀 말씀을 해 주셔서 감사하다. 손녀가 한국어를 아주 잘한다""고 했다. 미르지요예프 대통령의 차녀는 5년간 한국에서 거주(2011.11~2016.7)했으며, 셋째 손녀는 2015년10월 서울에서 태어났다고 청와대는 설명했다."
5,TV조선,[단독] 北이 안 받겠다는데…국민성금으로 산 곡물 2천톤 방치,"           play-rounded-fillplay-rounded-outlineplay-sharp-fillplay-sharp-outline   pause-sharp-outlinepause-sharp-fillpause-rounded-outlinepause-rounded-fill   00:00              ShareTwitterEmbed      ▶  다음 동영상이 곧 재생됩니다. 취소    3분 미리보기가 종료되었습니다. 풀 영상을 감상하시려면 아래의 VOD 구매를 통해 이용하실 수 있습니다. VOD 구매       [앵커]사랑의 열매로 잘 알려진 사회복지공동모금회가 국민성금으로 대북 지원을 위한 쌀을 구매했는데, 창고에 수개월째 방치돼 있는 걸로 저희 취재결과 확인됐습니다. 이미 통일부의 지원계획도 무산됐는데, 북한이 쌀 원조를 거부하는 상황에서 무리한 사업추진을 했다는 지적이 나옵니다. 차정승 기자의 보도입니다.[리포트]전남 영암의 한 저장창고입니다. 쌀가루가 포대째 쌓여있습니다. 창고 관계자""내용이 뭐 있는지도 모르겠어요. (누가 보러 오신 적은요?) 없었어요"" 사회복지공동모금회는 지난해 북한취약계층 지원을 위해 통일기금 40억을 편성했습니다. 이후 국제기구 등을 선정해 곡물구매 비용으로 20억원을 썼지만, 국회 보건복지위(국민의힘 이종성 의원) 확인 결과, 실제 집행하진 못한 걸로 나타났습니다. 모금회 기금으로 구입한 쌀가루는 이곳 영암과 나주에만 1100여 톤에 달합니다. 북한으로 보내지 못해 지난 6월부터 석달째 이런 창고에 보관돼 있습니다. 유엔세계식량계획을 통한 시리얼 10억원어치, 843톤 역시 중국 대련에서 북한 문턱을 넘지 못하고 있습니다.대북 제재가 여전한 데다 북한이 코로나 방역으로 국경을 원천봉쇄했기 때문입니다. 무엇보다 자력갱생을 내세운 북한이 쌀 지원을 거부하고 있어 기약이 없는 상태입니다. 이종성 / 국민의힘 의원(국회 보건복지위) ""수십억원의 국민의 소중한 후원금을 쓰면서 낭비하는 것 자체가 상당히 상황을 오판하는 것 아닌가 하는 문제가 있습니다."" 앞서 통일부도 같은 방식으로 쌀5만톤을 지원하려다 가로막혔던 만큼 애초부터 무리한 추진이었단 비판도 나옵니다. 김누리 / 사회복지공동모금회 마케팅본부장""사업을 기획하고 진행하던 단계에선 가능하다고 봤고요. 올해 안으로 가능한 지원될 수 있도록 지속적으로 협의를 진행하고 있습니다."" 모금회 측은 인도적 지원은 계속돼야 한단 입장이지만 국민성금으로 구입한 쌀 처리에 고심하는 상황입니다. TV조선 차정승입니다. "
6,TV조선,트럼프 확진 소식에 마스크 쓰기 시작한 '뉴요커'들,"[아침에 한 장] 오늘 아침 눈에 띄는 사진 한 장 살펴보시죠 아침에 한 장 입니다. 트럼프 대통령의 코로나 확진 소식이 전해진 다음날, 뉴욕 시내입니다. 시민들이 너나 할 것 없이 마스크를 썼습니다. 지난 2일 뉴욕 확진자 수가 넉달만에 최대를 기록하고 트럼프 대통령의 확진 소식까지 전해지면서 뉴욕은 마스크 쓰기와 사회적 거리두기 등 방역조치를 철저히 지켜나가는 분위기로 바꼈습니다. 식당들도 식당 내부를 열지 않고 야외 영업만 고수하는 식당들도 늘었다고 합니다. 트럼프 대통령의 코로나 확진 이후 초긴장에 빠진 미국 사회의 모습이 피부로 느껴지고 있다고하는데요. 워싱턴포스트와 NBC 방송등 주요매체들은 “코로나 방역 피로감에 느슨해졌던 미국인들에게 ‘트럼프 확진 쇼크’가 큰 경각심 을 불러일으키고 있다”고 보도하기도 했습니다. 아침에 한 장이었습니다. "
7,TV조선,10월 4일 '뉴스 7' 헤드라인 ,"           play-rounded-fillplay-rounded-outlineplay-sharp-fillplay-sharp-outline   pause-sharp-outlinepause-sharp-fillpause-rounded-outlinepause-rounded-fill   00:00              ShareTwitterEmbed      ▶  다음 동영상이 곧 재생됩니다. 취소    3분 미리보기가 종료되었습니다. 풀 영상을 감상하시려면 아래의 VOD 구매를 통해 이용하실 수 있습니다. VOD 구매       1. 코로나19 확진 판정을 받은 트럼프 대통령이 ""몸이 좋아지기 시작했다""고 자신의 SNS를 통해 밝혔습니다. 입원 직전엔 산소호흡기를 껴야 할 정도로 몸 상태가 좋지 않았던 것으로 알려졌습니다. 2. 미국 대법관 지명식에 참석했던 상원 의원들이 잇따라 감염되면서 상원 의회 일정이 2주간 중단됐습니다. 오는 8일로 예정됐던 폼페이오 미 국무 장관의 방한도 연기됐습니다. 3. 코로나19 방역을 위해 집회 예고된 광화문은 봉쇄한 데 반해 놀이공원엔 인파가 몰려 방역 차별 논란이 일고 있습니다. 일부 보수단체가 예고한 한글날 집회에 대해 정부는 원천 금지 입장을 밝혔습니다. 4. 산발적 집단 감염이 이어지면서 국내 코로나19 신규 확진자는 나흘째 두 자릿수를 기록했습니다. 정부는 오는 13일부터 버스와 병원 등에서 마스크 착용을 의무화하고 위반시 최고 10만원 과태료를 부과하기로 했습니다. "
8,TV조선,'상온노출 의심' 백신 접종자 2천명 육박…8명 이상반응,"           play-rounded-fillplay-rounded-outlineplay-sharp-fillplay-sharp-outline   pause-sharp-outlinepause-sharp-fillpause-rounded-outlinepause-rounded-fill   00:00              ShareTwitterEmbed      ▶  다음 동영상이 곧 재생됩니다. 취소    3분 미리보기가 종료되었습니다. 풀 영상을 감상하시려면 아래의 VOD 구매를 통해 이용하실 수 있습니다. VOD 구매       [앵커]상온 노출이  의심돼 접종이 중단된  독감 백신을 접종한 사람도 2000명에  육박하고 있습니다. 이 가운데 8명에서 이상반응이  나타났고, 직접 사인은  아니라고 하지만 사망한 사람도  나오면서 불안감이  커지고 있습니다. 하지만 방역당국과  전문가들은 11월 초까지는  백신을 맞으라고 권고하고 있습니다.   그 이유는 유지현 기자가 설명하겠습니다.[리포트]상온 노출 의심 독감 백신 접종자가 지난달 30일 기준, 1910명으로 집계됐습니다. 전국 15개 시도, 231개 의료기관에서 접종자가 나왔습니다.대부분 접종중단 후에도 무료백신을 유료백신으로 돌려 쓰는 등 지침을 위반한 사례입니다. 이상반응을 신고한 사람은 4명 더 늘어 모두 8명인데, 소아·청소년은 3명입니다. 독감 백신에 대한 불안이 이어지며 전체 접종률 감소까지 우려됩니다. 방역당국은 이상반응 대부분이 오한·메스꺼움 등 생명을 위협하는 증상은 아니라고 설명했습니다. 양동교 / 질병청 의료안전예방국장“8명에 대해서 증상들은 대부분 경미하고 현재는 호전돼 있다 말씀을 드리겠습니다.” 지난주 기준 독감 의심환자는 아직 작년의 3분의1 수준이나 올해는 트윈데믹이 우려돼 독감백신 접종이 더욱 필요합니다. 정은경 / 질병청장 (지난달 22일)“면역이 생기는 데는 한 2주 정도가 소요되는 것으로 되어 있기 때문에 11월 초 정도까지는 접종을 하는 게 적절하겠다고….” 방역당국은 코로나·독감 통합 감시체계를 운영하고 있다고 밝혔습니다. TV조선 유지현입니다."
9,TV조선,"유시민 ""계몽군주? 고급스러운 비유""…野 ""천지분간 못해""","           play-rounded-fillplay-rounded-outlineplay-sharp-fillplay-sharp-outline   pause-sharp-outlinepause-sharp-fillpause-rounded-outlinepause-rounded-fill   00:00              ShareTwitterEmbed      ▶  다음 동영상이 곧 재생됩니다. 취소    3분 미리보기가 종료되었습니다. 풀 영상을 감상하시려면 아래의 VOD 구매를 통해 이용하실 수 있습니다. VOD 구매       [앵커]공무원 피격사건 이후 유시민 노무현 재단  이사장이 김정은 위원장을 ""계몽군주 같다""고 해서 비판을 받은바 있습니다. 그런데 유시민 이사장이  어제 한 방송에서 ""너무 고급스런 비유를 해서 이런 논란이  생긴것 같다""고  또 말을 붙이면서  파장이 일고 있습니다.     김보건 기자입니다. [리포트]유시민 노무현재단 이사장이 김어준 씨가 진행하는 유튜브 방송에서 밝힌, '김정은 계몽군주' 발언에 대한 해명은 이렇습니다. 유시민 / 노무현재단 이사장 (유튜브 '김어준의 다스뵈이다') ""계몽군주 때문에 되게 시끄럽더라고요. 내가 너무 고급스러운 비유를 했나봐요"" 유 이사장은 자신이 '배운 게 죄'라며, 자신을 비판하는 사람들은 소크라테스를 고발했을 사람들이라고 지적했습니다. 김어준 / 방송인 ""아는 게 너무 많다보니까."" 유시민 / 노무현재단 이사장 (유튜브 '김어준의 다스뵈이다') ""배운 게 죄야. 그렇게 떠드는 분들이 어떤 사람이냐 하면, 2500년 전에 아테네에 태어났으면 소크라테스를 고발했을 그런 사람들이에요"" 유 이사장은 역사적 인물들을 거론하며, 김 위원장이 독재자이지만 계몽군주라는 뜻을 굽히지 않았습니다. 앞서 유 이사장은 북한이 미안하다는 통지문을 보내자, 김정은 위원장이 계몽군주 같다고 해, 강한 비판을 받았습니다. 김종인 / 국민의힘 비상대책위원장 (지난달 29일) ""여러가지 듣기가 매우 거북스러운 소리들을 많이 하는데…"" 안철수 / 국민의당 대표 (지난달 28일) ""정신 나간 여권 떨거지들이야 어쩔 수 없다지만…""  유 이사장의 해명에 대해 국민의힘 김근식 당협위원장은 ""천지분간을 못하는 비유라 욕먹는 것""이라고 비판했고,  진중권 전 동양대 교수는 ""어느 나라 계몽군주가 고모부를 처형하고, 이복형을 암살하고, 코로나 방역에 소총을 사용하냐""고 지적했습니다. TV조선 김보건 입니다."
