,Press,Title,Text
0,MBC,추석 연휴 가족모임 관련 감염 6건…4건은 '추가 전파',"이번 추석 연휴 기간 동안 가족 만남을 통해 코로나19가 전파된 사례가 지금까지 6건으로 파악됐습니다.곽진 중앙방역대책본부 환자관리팀장은 ""각 지방자치단체와 역학조사 정보를 확인한 결과, 추석 연휴 가족 간 만남을 통한 감염 사례는 6건""이라고 밝혔습니다.이 중 4건은 추가 전파가 이뤄진 것으로 파악됐습니다.구체적으로는 경기도 거주자가 경남으로 이동해 어머니가 감염된 경우와 전북 정읍에서 일가족 8명이 감염된 사례, 경기도 화성시 가족 모임 관련 6명이 확진된 사례와 '대전 일가족 모임' 관련 18명이 확진된 사례입니다.                      "
1,MBC,확진자 동선 시간순 대신 장소 기준 공개…성별·나이 비공개,"앞으로 각 지방자치단체가 코로나19 확진자의 동선을 공개할 때, 성별이나 나이 등 개인정보 공개가 금지됩니다.중앙방역대책본부는 '감염병예방법' 개정에 따라 코로나19 확진자의 이동 경로 등 정보 공개 지침을 마련해 지자체에 배포했다고 밝혔습니다.현행 동선 공개 방식은 확진자가 다녀간 장소를 시간대별로 나열해 게시했지만, 앞으로는 확진자가 다녀간 장소를 기준으로 노출 일시를 공개해야 하며, 해당 장소의 모든 접촉자가 파악되면 장소명도 비공개로 전환해야 합니다.정은경 방역대책본부장은 ""개인정보보호위원회와 협력을 통해 정보 공개 범위와 삭제 시기 준수 등을 지속해서 점검하겠다""고 설명했습니다.                      "
2,MBC,"당국 ""방역수칙 준수로 감기 등 감염성 질환 발병 줄어""","최근 코로나19의 유행으로 국민들이 손 씻기와 거리두기 같은 방역수칙을 생활화하면서, 감기 등 다른 감염성 질환 발병이 줄어든 것으로 나타났습니다.정은경 중앙방역대책본부장은 ""'코로나의 역설'이라고 할 만큼 코로나19의 유행 이후 수족구병과 결막염 등 다른 감염성 질환의 유행이 크게 줄었다""며 ""현재까지 독감이나 감기 환자도 전년 동기 대비 감소한 상황이지만, 아직 더 모니터링해야 한다""고 설명했습니다.정 본부장은 이어 ""손 씻기만 잘해도 설사 질환을 30% 줄일 수 있으며, 감기나 인플루엔자 등 호흡기 질환 발병률도 크게 줄일 수 있다""고 덧붙였습니다.                      "
3,MBC,"정은경 ""추석감염 여파·한글날 연휴 등 위험 요인 지속""","방역당국은 오늘부터 시작되는 한글날 연휴 동안 대규모 인구 이동으로 코로나19가 확산할 가능성을 우려하며 국민들에게 방역수칙 준수를 당부했습니다.정은경 중앙방역대책본부장은 ""명절 때 접촉으로 인한 감염 여파와 한글날 연휴 등의 위험 요인이 추석 이후 계속 이어지는 상황""이라며 ""특별방역기간인 오는 11일까지 마스크 착용과 손 씻기, 거리두기 등 방역수칙에 경각심을 가져달라""고 말했습니다.정 본부장은 이어 ""연휴기간 모든 종교활동은 비대면으로 진행하고, 많은 사람이 밀접하게 모여 방역수칙을 준수하기 어려운 대규모 집회나 각종 소모임도 자제해 달라""고 요청했습니다.                      "
4,MBC,서울·대전·부산서 코로나19 확산 지속…부산 방문주사 관련 12명 확진,"수도권과 대전, 부산 등을 중심으로 코로나19 산발적 감염이 잇따르고 있습니다.중앙방역대책본부는 오늘 정오 기준 서울 강남구 '승광빌딩'과 관련해 지금까지 5명이 확진 판정을 받아 감염 경로를 조사 중이라고 밝혔습니다.이 건물에서는 지난 4일 첫 확진자가 나온 뒤, 방문자 등 4명이 연이어 양성 판정을 받았습니다.대전에서는 일가족 식사 및 지인 모임과 관련해 접촉자 6명이 추가로 확진돼 누적 환자는 모두 18명으로 늘었습니다.부산에서는 방문 주사 업무를 하던 간호조무사 사례를 조사하는 과정에서, 사상구 일가족 등과의 연관성이 확인돼, 누적 확진자가 12명으로 집계됐습니다.한편 방대본은 지난달 26일부터 오늘까지 신규 확진자 1천21명 중 아직 감염 경로를 조사 중인 사례는 194명으로, 19%를 차지했다고 덧붙였습니다.                      "
5,MBC,"신규 확진 54명…""전파력 1 이하로 떨어져""","                                                                                                                    중앙방역대책본부는 오늘 0시 기준 코로나19 확진자가 54명 추가돼, 누적 확진자는 2만 4천476명이라고 밝혔습니다.신규 확진자 수는 어제에 이어 이틀 연속 두 자릿수를 유지했습니다.감염 경로는 해외 유입 16명, 국내 지역 발생 38명입니다.어제 사망자는 1명 추가돼, 지금까지 코로나19 사망자는 428명, 치명률은 1.75%입니다.한편, 방역당국은 확진자 1명이 몇 명을 감염시키는지 보여주는 '감염 재생산지수'가 1 이하로 떨어졌고, 감염경로 불분명 확진자 비율도 개선되고 있다고 판단했습니다.다만 추석연휴 이후 아직 잠복기가 충분히 지나지 않은 만큼 좀 더 추이를 지켜보면서 추석 연휴로 인한 영향을 평가하겠다고 덧붙였습니다.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
6,MBC,"당국 ""코로나19 감소 추세 판단, 전파력 1 이하로 떨어져""","정부가 추석연휴 이후 코로나19 확진자가 증가하는 양상은 보이지 않았다고 평가했습니다.윤태호 중앙사고수습본부 방역총괄반장은 ""추석 연휴 국민들의 이동량 증가에도 아직 국내 환자 발생 수가 크게 증가하는 양상은 보이지 않고 있다""고 밝혔습니다.윤 반장은 ""연휴로 검사량이 줄었던 지난주와 비교해 이번 주에는 검사량이 회복됐음에도, 환자 수가 거의 비슷한 점을 고려하면 환자 발생 감소 추세가 이어지고 있다""고 설명했습니다.방역당국은 특히 확진자 1명이 몇 명을 감염시키는지 보여주는 '감염 재생산지수'가 1 이하로 떨어졌고, 감염경로 불분명 확진자 비율도 개선되고 있다고 판단했습니다.윤 반장은 다만 ""아직 잠복기가 충분히 지나지 않은만큼 좀 더 추이를 지켜보면서 추석 연휴로 인한 영향을 평가하겠다""고 덧붙였습니다.                      "
7,MBC,"한글날 도심행사 놓고 여 ""방역방해""…야 ""반헌법""","오늘 한글날을 맞아 일부 보수단체가 도심 행사를 계획하고 경찰은 이를 원천 봉쇄하고 있는 것에 대해, 여야는 정반대의 입장을 내놓으며 맞섰습니다.더불어민주당 최인호 수석대변인은 구두논평을 통해 ""법원이 집회금지 처분을 인정한 것은 코로나19 감염 예방과 확산 방지 차원""이라며 ""불법 집회를 계획하는 방역방해 세력은 법원 판결대로 즉각 불법 집회를 철회해야 한다""고 말했다.최 수석대변인은 차량 집회를 허용해야 한다는 국민의힘을 향해 ""집회 강행 세력을 비호하거나 두둔해서는 절대 안 된다""며 ""만약 집회를 강행하고 방역을 방해하는 세력에 대한 정치적 비호가 있다면 국민이 좌시하지 않을 것""이라고 주장했습니다.반면 국민의힘 배준영 대변인은 논평에서 여권의 집회 금지 주장에 대해 ""코로나19를 핑계로 정권에 반하는 목소리를 아예 차단하겠다고 하는 반헌법적 억지""라고 비판했습니다.배 대변인은 국민의힘이 광화문에 나가지 않는다고 강조하면서도 ""정부는 연휴에 인산인해를 이루는 다른 곳에 대한 대책 정도는 밝혀야 한다""고 지적했습니다.                      "
8,MBC,"정부, 오늘 불법집회 강제해산 방침…""코로나19 확산 시 배상 청구""","정부가 한글날인 오늘 서울 도심에서 불법 집회를 강행할 경우, 신속하게 해산조치 하고, 코로나19 환자가 발생하면 손해배상을 청구하겠다고 밝혔습니다.경찰청과 서울시는 중앙재난안전대책본부 회의에 이 같은 내용의 '한글날 집회 대응방안'을 보고했습니다.중앙방역대책본부는 오늘 서울 시내에 신고된 1천220건의 집회 가운데 10명 이상 규모, 또는 금지구역과 관련된 139건에 대해 경찰이 금지 통고를 내렸다고 설명했습니다.윤태호 중앙사고수습본부 방역총괄반장은 ""집회 주최자들은 계획을 가급적 취소해주길 바라고, 불법적인 사항이 있으면 엄정 대응할 수밖에 없다""며 ""집회로 인한 확진자 발생 시 집회참가자에게 손해배상을 청구할 계획""이라고 말했습니다."
9,MBC,코로나19 신규 확진 54명…이틀째 두 자릿수,"                                                                                                                    중앙방역대책본부는 오늘 0시 기준 코로나19 확진자가 54명 추가돼, 누적 확진자는 2만4천476명이라고 밝혔습니다.신규 확진자 수는 어제에 이어 이틀 연속 두 자릿 수를 유지했습니다.감염 경로는 해외 유입 16명, 국내 지역 발생 38명입니다.국내 발생 사례는 서울 17명, 경기 9명 등 수도권이 26명이며, 부산과 대전 각각 5명, 충북과 전남 각각 1명입니다.어제 사망자는 1명 추가돼, 지금까지 코로나19 사망자는 428명, 치명률은 1.75%입니다."
