,Press,Title,Text
0,한겨례,"코로나19 방역, 로봇이 한다","26일 서울 을지로 에스케이텔레콤 사옥 출입구에 방역 로봇이 배치돼, 출입자들을 대상으로 체온 검사를 하고 있다. 에스케이텔레콤 제공코로나19 방역 활동을 하는 로봇이 개발됐다.에스케이텔레콤(SKT)은 공장 자동화 전문업체 한국오므론제어기기와 함께 코로나19 방역 로봇을 개발했다고 26일 밝혔다. 이 로봇은 이날부터 서울 중구 을지로 에스케이텔레콤 본사(T타워)에 배치돼 출입자 체온 검사, 방역 활동, 마스크 착용과 사회적 거리 두기 실천 권유 등 코로나19 확산 방지 활동을 벌인다.에스케이텔레콤과 오므론은 코로나19 방역 로봇을 각각 자사 건물에 우선 배치해 활용하며 기능을 개선한 뒤 하반기 공식 출시할 예정이다. 에스케이텔레콤 윤태구 매니저는 “체온 검사, 유브이(UV)램프 이용 방역 등 사람이 하던 업무를 로봇이 대신함으로써 좀 더 체계적이고 효율적인 코로나19 대응이 가능해질 것으로 기대한다”며 “내년에는 해외시장 공략에도 나설 계획”이라고 말했다. 코로나19 방역 로봇에는 5세대(5G) 이동통신과 인공지능(AI) 같은 첨단 정보통신기술(ICT)과 로봇 자율주행, 사물인터넷(IoT), 센싱 같은 공장 자동화 제어 기술 등이 적용됐다. 로봇은 5세대 이동통신 네트워크를 이용해 서버와 실시간으로 데이터를 주고받으며 자율주행, 체온 검사, 방역 등의 활동을 한다. 예를 들어, 로봇이 체온 검사 데이터를 5세대 이동통신 네트워크로 서버에 보내면, 서버가 데이터를 분석해 체온이 기준보다 높은 것으로 판단되면 로봇에게 출입을 제한시키라고 명령한다. 또한 낮에는 건물 구석구석을 돌아다니며 스프레이로 방역하고, 방문객이 없는 밤에는 유브이램프를 이용한 방역을 진행한다. 방역 로봇에는 인공지능 기반 인식 기술이 적용돼, 출입자들에게 사회적 거리 두기와 마스크 착용을 권하는 역할도 한다. 몰려 있는 사람들에게 다가가 사회적 거리 두기 실천을 요청하고, 마스크를 쓰지 않은 사람이 발견되면 다가가 마스크 착용을 권유한다.김재섭 선임기자 jskim@hani.co.kr"
1,한겨례,"울산시, 코로나 ‘방역 안심음식점’ 지정","방역 안심음식점. 울산시 제공울산시가 코로나19 관련 방역 수칙을 잘 지키는 ‘방역 안심음식점’을 지정해 지원하고 나섰다. 울산시는 28일 “감염병에 취약한 식사문화 개선을 목적으로 ‘울산 방역 안심음식점 지정 운영계획’을 만들었다. 먼저 방역 수칙을 잘 지키는 음식점 31곳을 방역 안심음식점으로 지정했다”고 밝혔다.방역 안심음식점으로 지정되면 출입문에 인증 스티커를 붙이고 누리집 등에 소개해 홍보하며, 방역 수칙을 지키는 데 필요한 덜어 먹는 용기, 위생 마스크, 손 소독제 등 물품을 지원한다. 울산시는 방역 안심음식점을 300곳까지 늘릴 예정이다. 방역 안심음식점으로 지정되려면 먼저 정부가 제시한 전국 공통 방역 3대 수칙 △덜어 먹기 도구 비치 △위생적 수저 관리 △종사자 마스크 착용 등을 지켜야 한다. 여기에 울산시가 제시한 방역 7대 수칙도 지켜야 한다. 울산시의 7대 수칙은 △유증상자 출입 금지 △마스크 미착용 때 출입 금지 △손 소독제 비치 또는 손 씻는 시설 설치하기 △탁자 간격 최소 1m 이상 배치하기 △이용자 식사 전후 마스크 착용 후 대화하기 △매일 종사자 위생교육 실시 △매일 3회 이상 출입문·탁자·의자·조리기구 소독제로 닦기와 매주 수요일 울산시민 방역의 날 참여하기 등이다.이들 10가지 방역 수칙의 실천기준 평가에서 80점 이상 받으면 방역 안점음식점으로 지정된다. 방역 안점음식점 지정 신청은 구·군 위생과로 하면 된다. 울산시 식의약안전과 담당자는 ""방역 안심음식점 운영으로 안전한 먹거리에 대한 관심과 외식문화 품격을 높이는 좋은 기회가 되길 기대한다""고 말했다.신동명 기자 tms13@hani.co.kr"
2,한겨례,코로나 방역에 남반구 독감이 사라졌다...북반구에도 통할까,"코로나19 방역 대책이 독감 발생도 차단하는 효과를 보고 있다. 픽사베이계절성 호흡기 바이러스 감염 질환인 인플루엔자(독감)로 인한 사망자 수는 한 해 30만~65만명에 이르는 것으로 추정한다. 인플루엔자를 비롯한 호흡기 질환은 심혈관 질환, 암에 이어 사망 원인 3위에 올라 있기도 하다. 인플루엔자는 남반구에선 5~6 월에 유행이 시작돼 7~8월에 절정에 이른다. 반면 북반구에선 10~11월에 시작해 12~2월에 정점을 맞는다. 따라서 7~8월의 남반구 인플루엔자 유행 상황은 북반구의 올 겨울 인플루엔자 유행 가능성을 미리 짐작해 볼 수 있는 지표다. 세계보건기구에 따르면 최근 올해 인플루엔자 시즌을 보낸 남반구에선 우려와 달리 인플루엔자 감염 환자가 이례적으로 적게 나타났다. 칠레의 경우 3주 동안 호흡기 질환 환자로부터 채취한 3391개의 표본 중 인플루엔자 양성 반응을 보인 것이 전혀 없을 정도였다. 칠레뿐 아니라 아프리카, 호주, 뉴질랜드 등 남반구 전체에 걸쳐 인플루엔자 바이러스 활동이 미미했다. 영국 경제 주간지 '이코노미스트'에 따르면 올해 호주와 뉴질랜드에서 독감과 유사한 증상을 보인 인구는 전체의 약 0.4%에 그쳤다. 지난해 대비 80%가 줄었다. 특히 2015~19년 5~8월 중순 매년 평균 8만6000명이 독감에 걸려, 이 가운데 130명이 사망했던 호주는 올해는 감염 건수 627건에, 사망자는 단 한 명에 그쳤다. 세계보건기구가 운영하는 플루넷(FluNet)에 보고된 59개국의 8월3~16일 데이터를 보면, 이 기간 중 실시한 19만8148건의 검사 중 인플루엔자 바이러스에 양성 반응을 보인 사례는 46건이었다. 이는 예년의 3500건과 비교할 때 1.3%에 불과하다._______이동제한, 마스크 착용 등 코로나 방역 수칙이 독감 차단보건기구는 마스크 착용과 손씻기, 사회적 거리두기 등 코로나19 확산 억제를 위한 행동 수칙, 특히 강력한 이동제한 조처가 큰 역할을 한 것으로 추정한다. 사회적 봉쇄와 위생 수칙이 코로나19를 넘어 인플루엔자 확산도 억제하는 효과를 냈다는 것이다.호주 멜버른의 세계보건기구 인플루엔자협력센터 부소장 이안 바는 ""항공기가 멈춘 것이 인플루엔자 유행을 차단했다""며 ""이는 다른 호흡기 질환에도 마찬가지 효과를 보였을 것""이라고 말했다. 호주 보건부는 8월 하순 발표한 보고서에서 이번 겨울에 인플루엔자가 유행하지 않은 것에 대해 ""다수의 사람들이 코로나19 확산 차단을 위해 취한 공중보건 대책과 수칙을 준수한 것이 독감을 포함한 급성 호흡기 감염 확산에 영향을 줬을 가능성이 높다""고 지적했다. 독감 백신 접종이 크게 늘어난 것도 한몫했다는 평가를 받는다. 호주의 경우 독감 백신 접종자 수가 지난해에 비해 150% 증가했다. 이는 기록적인 증가율이라고 한다._______코로나19 사망자 빼면 오히려 총 사망자 수 감소도혹시 방역 대책이 코로나19에 집중됨에 따라 인플루엔자 검사 건수 자체가 줄어들었기 때문은 아닐까? '이코노미스트'는 일부에서 제기하는 이런 의문에 대해 남반구 6개국(호주, 아르헨티나, 남아프리카공화국, 파라과이, 뉴질랜드, 칠레)의 경우 검사 건수는 20% 감소한 반면 양성 반응은 사상 최저치를 기록했다고 보도했다.독감 감염자 감소는 일부 나라에서 총 사망률 증가 추세가 약해진 이유도 설명해준다. 예컨대 칠레에선 6월~8월25일 코로나19로 약 9800명이 사망했다. 이는 2015~19년 같은 기간에 비해 약 8800명이 늘어난 것이다. 코로나19 사망자 수를 빼면 오히려 줄어들었다는 계산이 나온다. 독감 환자가 거의 발생하지 않은 것이 주효한 것으로 분석됐다. 그러나 감염자 감소는 항체 보유자의 감소를 뜻하기도 한다. 따라서 앞으로 다시 감염자가 늘어날 가능성은 얼마든지 있다.인플루엔자 계절이 다가오고 있는 북반구 나라에서도 코로나 방역 수칙이 독감을 막아줄까? 픽사베이남반구의 독감 감소는 자연스럽게 북반구의 독감 유행 가능성도 약화시킨다. 국가간 이동이 제한되면서 독감 바이러스가 다른 나라로 전파되는 기회가 줄어들었기 때문이다. 북반구 국가 내의 사회적 거리두기 정책도 바이러스 확산 가능성을 줄여준다.물론 그렇다고 해서 이번 겨울철 독감 유행을 걱정할 필요가 없다는 건 아니다. 그러나 코로나19 방역 대책에서 권고하는 생활 속 방역 수칙을 지키면 독감까지 막아주는 일석이조의 효과를 누릴 수 있다는 것을 최근 겨울을 겪은 남반구 사례가 말해준다.곽노필 선임기자 nopil@hani.co.kr, ▶곽노필의 미래창 바로가기"
3,한겨례,"트럼프, 김정은에 친서…""코로나 방역 협조할 생각 있다""","북한 평양시 만경대구역에 있는 룡악산비누공장에서 19일 직원들이 소독수를 생산하고 있다. 북한도 코로나19 방역에 힘을 쏟고 있다. 연합뉴스도널드 트럼프 미국 대통령이 김정은 북한 국무위원장에게 친서를 보내 북-미 관계 추동을 위한 구상을 설명하며 코로나19 방역을 위해 협조할 의향을 표시했다고 김여정 노동당 제1부부장이 22일 담화를 통해 공개했다. 김 제1부부장은 ‘미국 대통령이 보내온 친서는 조미 두 수뇌분들 사이의 특별한 개인적 친분관계를 잘 보여주었다’는 제목의 담화에서 “우리는 김정은 국무위원장 동지에게 보내온 도널드 트럼프 미합중국 대통령의 친서를 받았다”고 밝혔다. 그는 “트럼프 대통령이 친서에서 북-미 관계를 추동하기 위한 구상을 설명했다”며 코로나19 방역에서 협조할 의향도 표시했다고 전했다. 친서를 받은 날짜는 공개하지 않았다.앞서 지난 4일에는 김 위원장이 문재인 대통령에게 친서를 보내 코로나19 피해에 위로를 전하자, 이튿날 문 대통령이 감사의 뜻을 담은 답신을 전한 바 있다. 코로나19가 기승을 부리는 와중에 남·북·미 정상들의 ‘친서 외교’가 재현된 셈이다. 정상들 사이의 신뢰를 유지함으로써 ‘비핵화 협상의 공백’을 관리하려는 것으로 보인다.김 제1부부장이 개인 명의의 담화를 낸 건 이번이 두 번째다. 그는 지난 3일 ‘청와대의 저능한 사고방식에 경악을 표한다’는 제목의 담화를 통해 전날 실시한 인민군 전선 장거리 포병부대의 화력훈련에 강한 우려를 표명한 청와대를 거칠게 비난한 바 있다. 청와대와 백악관을 향해 개인 담화를 낼 만큼 정치적 위상이 높다는 것을 보여준다.김 제1부부장은 담화에서 “트럼프 대통령이 김 위원장과 최근 의사소통을 자주 하지 못해 자기 생각을 알리는 데 어려움이 있었다는 점을 언급하면서 앞으로 국무위원장과 긴밀히 연계해 나가기 바란다는 뜻을 전해왔다”고 소개했다. 그러면서 “트럼프 대통령의 이같은 친서는 김정은 위원장과의 특별하고도 굳건한 친분을 잘 보여주는 실례”라며 김정은 위원장도 친분관계를 확언하고, 친서에 사의를 표했다고 전했다.그러나 김 제1부부장은 북-미 관계를 두 정상 간 개인적 친분에 따라 기대해서는 안 된다고 강조했다. 그는 “공정성과 균형이 보장되지 않고 일방적이며 과욕적인 생각을 거두지 않는다면 두 나라의 관계는 계속 악화일로로 줄달음칠 것”이라며 “두 나라 사이에 역학적으로나 도덕적으로 평형이 유지되고 공정성이 보장돼야 두 나라 관계와 그를 위한 대화도 생각해볼 수 있을 것”이라고 밝혔다. 그러면서 “두 나라의 관계가 수뇌들 사이의 관계만큼이나 좋아질 날을 소원하지만, 그것이 가능할지는 시간에 맡겨두고 지켜봐야 할 것”이라고 덧붙였다.앞서 미국은 북한의 코로나19 대응을 돕기 위해 인도적 지원을 할 의사가 있음을 공개적으로 표명해 왔다. 마이크 폼페오 미 국무장관은 지난 18일(현지시각) <폭스뉴스> 인터뷰에서 “코로나19와 관련해 북한과 이란에 대해 인도적 지원을 제안했다”고 밝힌 바 있다. 유강문 선임기자 moon@hani.co.kr"
4,한겨례,신천지 이만희 총회장 코로나 방역 방해 혐의 등으로 구속,"이만희 신천지 총회장. <한겨레> 자료 사진.정부의 코로나19 방역 활동 방해 등의 혐의로 영장이 청구된 이만희(89) 신천지예수교 증거장막성전(신천지) 총회장이 1일 새벽 구속됐다. 신천지예수교 쪽은 “재판에서 진실을 밝힐 것”이라고 밝혔다.수원지법 이명철 영장전담판사는 하루 전날인 31일 감염병예방법 위반, 특정경제범죄가중처벌법 위반(횡령) 등 혐의를 받는 이 총회장에 대한 구속 전 피의자 심문(영장실질심사)을 연 뒤 이날 새벽 영장을 발부했다.이 판사는 “범죄사실에 대해 일부 다툼의 여지가 있으나, 일정 부분 혐의가 소명됐다”고 밝혔다. 이 판사는 특히 “수사 과정에서 조직적으로 증거를 인멸한 정황이 발견되며, 종교단체 내 피의자 지위 등에 비춰볼 향후 추가적인 증거인멸의 염려를 배제하기 어렵다”고 영장 발부 사유를 밝혔다.이 판사는 이 총회장이 고령에 지병이 있다는 사실을 인정했지만 “수감생활이 현저히 곤란할 정도라고 보이지는 않는다”고 설명했다.이 총회장은 신천지를 중심으로 코로나19가 확산하던 지난 2월 신천지 간부들과 공모해 방역 당국에 신도 명단과 집회 장소를 축소하는 등 방역활동을 방해한 혐의를 받고 있다.또 신천지 연수원인 가평 평화의 궁전을 신축하는 과정에서 50억여원의 교회 자금을 가져다 쓰는 등 56억원을 횡령한 혐의와 함께 2015년부터 지난해까지 지방자치단체의 승인 없이 해당 지자체의 공공시설에서 종교행사를 연 혐의도 있다.이 총회장은 앞서 불구속기소 된 신천지 과천총회 본부 소속 총무 등 3명, 불구속 기소된 다른 간부 4명 등과 한 법정에서 재판을 받게 될 것으로 보인다.전국신천지피해자연대 회원들이 31일 오전 경기도 수원시 영통구 수원지방법원 앞에서 이만희 신천지 예수교 증거장막성전(신천지) 총회장 구속을 촉구하는 기자회견을 열고 있다. 수원지법 이명철 영장전담판사는 이날 오전 10시 30분 감염병예방법 위반, 특정경제범죄가중처벌법 위반(횡령) 등의 혐의를 받는 이 총회장에 대한 구속 전 피의자 심문(영장실질심사)을 열었다. 연합뉴스검찰은 지난 2월27일 전국신천지피해자연대로부터 이 총회장에 대한 고발장을 접수해 고발인 조사를 벌였으며 지난 5월 22일에는 과천 총회본부와 가평 평화의 궁전 등 신천지 관련 시설을 압수수색 하는 등 강제수사로 전환했다.신천지예수교회 쪽은 이날 오전 알림을 통해“신천지예수교회는 방역당국에 적극 협력해왔고 이 총회장은 다만 방역당국의 과도한 개인정보 요구에 우려를 표시했을 뿐 명단 누락 등 방역방해를 지시하지 않았고 당국 조치에 협조를 독려했다”며 “구속 영장이 유죄판결을 의미하는 것이 아닌 만큼 향후 재판에서 진실을 밝힐 것”이라고 밝혔다.홍용덕 기자 ydhong@hani.co.kr"
5,한겨례,"북, “신종 코로나 방역 위해 ‘금강산 철거' 연기” 통보","김정은 북한 국무위원장이 금강산 관광지구를 현지 지도하고 금강산에 설치된 남측 시설 철거를 지시했다고 <조선중앙통신>이 지난해 10월23일 보도했다. 연합뉴스  북한이 신종 코로나바이러스 감염증 방역에 집중하기 위해 금강산 시설 철거를 당분간 연기하겠다고 통보해왔다.  여상기 통일부 대변인은 31일 정례 브리핑에서 “북측이 전날 오후 23시께 개성공동연락사무소 가동 중단으로 새로 설치한 서울-평양 간 직통 전화로 연결된 팩스를 통해 이같이 알려왔다”고 밝혔다. 팩스는 ‘금강산 국제관광국’ 명의로 들어왔다고 여 대변인은 설명했다. 남북은 앞서 30일 신종 코로나바이러스 방역 조처의 하나로 개성공동연락사무소 운영을 잠정 중단하고, 서울-평양 간 직통 전화와 팩스를 각각 1대씩 운영하기로 합의했다. 새로 설치한 서울-평양 간 직통 전화와 팩스는 30일 오후 10시30분께 시험 통화를 완료했다. 직통 전화와 팩스가 개통된 지 30분 만에 북쪽이 금강산 시설 철거 연기 통보문을 보내온 셈이다. 북한은 지난해 10월23일 김정은 국무위원장이 금강산 시찰 과정에서 “보기만 해도 기분이 나빠지는 너절한 남측 시설을 싹 들어내도록 하라”고 지시했다고 관영매체를 통해 보도한 이후 ‘시설 완전 철거’와 ‘문서 협의’를 요구해왔다. 지난달 말에는 개성 남북공동연락사무소를 통해 2월까지 금강산에 있는 남쪽 시설물을 모두 철거할 것을 요구하는 통지문을 발송하기도 했다. 남쪽은 금강산 시설 철거와 관련해 ‘일부 노후시설 정비’와 ‘대면협의’ 입장을 견지하고 있다. 남쪽은 입장 차이가 좁혀지지 않는다고 보고, 북쪽의 지난달 말 통지문에 대해서도 회신하지 않은 것으로 알려졌다. 여 대변인은 금강산 시설 철거 문제에 대한 논의 재개와 관련해선 “추가적인 협의가 필요하다""고 말했다. 남북은 서울-평양 직통 전화로 오전 9시부터 오후 5시까지 연락체계를 운영하기로 하고, 이날 오전 9시께 통화를 했다고 통일부는 밝혔다. 여 대변인은 “(개성공동연락사무소를 통한) 접촉 방식하고 다소 다를 수 있지만, 아침과 저녁으로 통화를 할 것으로 보인다”고 설명했다.유강문 선임기자 moon@hani.co.kr"
6,한겨례,홍남기 “신종 코로나 방역예산 208억원 신속 집행”,"홍남기 부총리 겸 기획재정부 장관이 28일 서울 광화문 정부서울청사에서 '신종 코로나바이러스 관련 방역예산지원 및 경제영향 최소화 점검을 위한 긴급 관계장관회의'를 열고 모두발언을 하고 있다. 기획재정부 제공  홍남기 부총리 겸 기획재정부 장관이 신종 코로나바이러스 감염증(우한 폐렴) 방역 대응을 위한 예산 208억원을 신속히 집행하겠다고 밝혔다. 홍 부총리는 28일 서울 광화문 정부서울청사에서 ‘신종 코로나바이러스 관련 방역예산 지원 및 경제영향 최소화 점검을 위한 긴급 관계장관회의’를 열어 이같이 말했다. 그는 “이미 올해 예산에 반영돼있는 방영대응체계 구축운영비 67억원, 검역·진단비 52억원, 격리치료비 29억원 등 총 208억원의 방역 대응 예산을 신속히 집행해 선제 방역을 뒷받침하겠다”고 말했다. 또 재외국민 보호를 위한 전세기 파견 예산도 10억원이 이미 올해 예산에 반영돼있어 우한 교민을 국내로 송환하기 위한 전세기 파견 결정 시 곧 집행할 수 있도록 준비 중이라고 했다. 그는 이미 확보된 예산이 부족한 경우에는 목적 예비비 2조원을 지원하는 등 예산 측면에서 한 치의 차질 없이 지원할 것이라고 강조했다. 홍 부총리는 신종 코로나바이러스 감염증 확산이 실물경제에 미치는 부정적 영향을 최소화하는 데 주력할 것이라고 했다. 그는 “2003년 사스, 2015년 메르스 등 과거 사례들을 참고해 관광·서비스업 등 내수 경기에 미치는 영향을 시나리오별로 철저히 점검·분석하고 필요한 조치를 사전준비할 것”이라고 말했다.  우한 폐렴 영향으로 국제금융시장은 위험 회피 심리가 커지면서 변동성이 확대되는 모습을 보이며, 국내 금융시장도 주가가 일부 하락하고 환율도 약세 흐름을 나타냈다. 홍 부총리는 “우리 금융시장의 복원력과 탄탄한 대외건전성을 고려할 때 금융시장에 미칠 과도한 우려는 경계할 필요가 있다”고 했다. 그는 “정부는 신종 코로나바이러스 감염 우려가 완전히 종식될 때까지 모든 정책역량을 동원해 국민 안전 확보에 총력을 기울일 것”이라며 “국민은 과도한 불안감 없이 정상적으로 경제활동을 영위해주길 요청한다”고 말했다. 이경미 기자 kmlee@hani.co.kr"
7,한겨례,대구 코로나19 방역대책 오락가락,"6일 문을 연 국립대구박물관 안 고대문화실.  정부가 6일부터 생활 속 거리두기(생활방역)를 시작한 가운데 대구시가 운영중인 공공시설은 문을 닫고 국가와 기초자치단체가 운영중인 공공시설은 문을 열어 방역대책이 엇박자를 내고 있다는 비판이 나온다. 대구시는 6일 “정부가 이날부터 생활 속 거리두기로 방역대책을 전환했지만 대구는 코로나19 확진자가 6850명을 웃돌 만큼 대유행을 겪었고, 아직도 감염경로가 불분명한 확진자들이 산발적으로 생겨나 정부방침보다 훨씬 강화된 코로나19 대책을 펴기로 했다”고 밝혔다. 이런 방침에 따라 대구시가 운영하는 공연장·도서관·미술관·체육관 등 실내 공공시설은 19일까지 2주일 더 휴관한다. 축구장·테니스장·파크골프장 등 실외 체육시설은 1주일 더 늦춰 13일 문을 열 예정이다. 하지만 문화체육관광부 소속 국립대구박물관은 정부의 코로나19 방역대책이 생활 속 거리두기로 바뀐 것에 발맞춰 6일 오전 9시부터 다른 곳의 지역국립박물관과 함께 문을 열었다. 지난 2월24일 문을 닫고 72일 만이다. 다만, 국립대구박물관은 6일부터 조건부 개관을 했다. 인터넷 사전예약과 현장신청을 받아 시간당 200명만 입장이 가능하도록 했다. 관람객들은 마스크를 써야 하며, 출입구에서 발열 검사와 손 소독을 해야 한다.대구 달서구청이 운영중인 달서별빛캠핑장 모습.   대구시의 일부 기초단체도 관람객 맞기에 가세했다. 달서구청은 6일 달서구 송현동 옛 예비군훈련장에서 운영하는 달서별빛캠핑장을 개방했다. 이 캠핑장은 이날 밤 예약한 100여명이 찾아와 오토사이트, 데크사이트 등에서 1박2일 동안 캠핑을 한 뒤 집으로 돌아간다. 캠핑장 관계자는 “주말인 15∼17일은 한꺼번에 6명이 들어갈 수 있는 숙박시설 49곳 모두 예약이 끝났다”고 말했다. 박희준 대구시 문화체육관광국장은 “정부와 대구시의 방역대책이 차이가 나면서 빚어진 일이다. 국립대구박물관에 대구시 방침에 따라 휴관에 참여해 달라고 요청해 보겠다. 달서별빛캠핑장은 야간에 야외에서 진행되기 때문에 참가자들이 사전에 마스크를 쓰고 손 소독을 거치면 별문제가 없다고 판단했다”고 말했다.     구대선 기자 sunnyk@hani.co.kr 사진 대구시 제공"
8,한겨례,경기도민 60% “코로나 방역수칙 위반자 처벌규정 강화해야”,"경기도청사.경기도민 10명 중 6명은 코로나19 방역수칙 위반자에 대한 처벌 규정을 강화해야 한다고 생각하고 있는 것으로 나타났다.경기도는 지난달 29일 도민 1천명을 대상으로 진행한 코로나19 관련 여론조사에서 응답자의 60%가 코로나19 방역수칙 위반 시 처벌 규정을 현행보다 강화해야 한다고 답했다고 6일 밝혔다. 현행 규정이 ‘적절하다'는 30%, ‘완화해야 한다'는 7%에 그쳤다.감염병예방법에는 △자가격리 위반 시 1천만원 이하 △집합금지 행정명령 위반 시 300만원 이하 △진단검사 이행 행정명령 위반 시 200만원 이하 벌금으로 처벌할 수 있다.감염확산 피해 발생 시 전파자에 대한 구상권 청구와 관련해서는 ‘피해 책임을 묻는 것이니 적절하다'(57%)는 응답이 ‘고의가 없으면 무리한 처벌이 될 수 있어 적절하지 않다'(39%)는 응답보다 많았다.사회적 거리두기 2단계 격상 후 사람들이 방역수칙을 잘 지키냐는 물음에는 65%가 ‘잘 지킨다'고 답했고, ‘잘 지키지 않는다'는 32%였다. 사회적 거리두기를 3단계로 격상하는 데 대해서는 63%가 찬성, 31%는 반대라고 답했다.경기도가 지난달 18일 전국 지자체 중 처음으로 발동한 마스크 착용 의무화 행정명령에 대해서는 88% ‘잘했다'고 답했으며 부정적 평가는 9%였다. 이번 조사는 도가 여론조사기관인 케이스탯리서치에 의뢰해 전화 면접 조사 방식으로 진행됐으며, 신뢰수준 95%에 표본오차는 ±3.1%포인트다.박경만 기자 mania@hani.co.kr"
9,한겨례,"문 대통령, 코로나 방역 의료진 등 1만5천명에 추석 선물","문재인 대통령 내외는 추석 명절을 맞아 코로나19 대응 등 각 분야에서 국가와 사회를 위하여 헌신하는 분들과 사회적 배려계층 등 약 1만 5천여 명에게 선물을 보낼 예정이다. 추석 선물에는 전남 담양의 댓잎술(또는 꿀), 충북의 홍삼양갱, 강원 원주의 건취나물, 경남 거제의 표고채, 제주의 건고사리 등 각 지역의 특산물 세트로 구성되어 있다. 청와대 제공문재인 대통령이 추석을 맞아 코로나19 방역 의료진을 포함한 각계 1만5천여명에게 지역 특산물로 꾸려진 선물을 보낸다. 청와대는 23일 “문재인 대통령 내외가 추석 명절을 맞아 코로나19 대응 등 각 분야에서 국가와 사회를 위하여 헌신하는 분들과 사회적 배려계층 등 약 1만5천여 명에게 선물을 보낼 예정”이라며 “선물은 전남 담양의 댓잎 술(또는 꿀), 충북의 홍삼양갱, 강원 원주의 건취나물, 경남 거제의 표고채, 제주의 건고사리 등 각 지역의 특산물 세트로 구성되었다”라고 설명했다. 청와대는 “코로나19 관련 방역 현장의 의료진, 역학조사관 및 집중호우 대응 등 현장에서 최선을 다하는 분들과 국가와 사회발전을 위해 헌신한 각계 원로, 애국지사, 국가유공자, 민주주의 발전 유공 수훈자 및 다양한 사회적 배려계층 등에게 전달될 예정”이라고 했다. 성연철 기자 sychee@hani.co.kr"
