,Press,Title,Text
0,CHANNELA,[종합뉴스]13년 만의 대규모 의사 집회…“정부 의료정책 실패”,"['의사들이 13년 만에 대규모 집회를 열었습니다.', ' 정부의 의료정책 실패를 명분으로 내세웠지만,', '실제로는 의사들의 이익을 늘리기 위한 것이라는', '의사들이 관을 들고 광장으로 나왔습니다.', '의사와 병원이 고사 위기에 처했다는 점을', '이어 정부 의료정책 상징물을 포크레인으로', '전국 16개 시도 의사 약 2만 명이 모인', '정부가 추진 중인 원격의료, 영리병원 도입을', ' 사실상 실패했다고 목소리를 높였습니다.', '[싱크: 방상혁 대한의사협회 기획이사]', '""원가에도 턱없이 못 미치는 낮은 수가로 의료계의 숨통을 조여 왔다. ', '잘못된 의료제도를 개혁하기 위한 대 정부 투쟁의 깃발을""', ' 2000년 의약분업 반대 이후 13년 만입니다.', '""원격진료와 영리병원 문제는 의사들이 의료적으로 판단하고 결정할 문제입니다. ', '정부부처가, 경제부처가 나서서 판단할 문제가 아닙니다.""', '하지만 병원에서도 약 제조를 가능하게 하고,', '진료수가를 정상화해달라는 요구를 앞세우고 있어', ' 의사들이 밥그릇 싸움에 나선 것이 아니냐는']"
1,CHANNELA,[굿모닝!]엇갈린 무상의료 정책 등 대선후보 10대 공약 첫 공개,"['왜 우리는 정책 대결을 안하나 답답하셨죠.', ' 경제민주화는 세 명 모두 일치했지만,', '무상의료에서 세 후보가 극명하게 엇갈렸습니다.', '각 후보들이 선관위에 제출한 10대 공약을 공개했습니다.', '경제민주화, 한국형 복지체계, 창조경제를,', '일자리 혁명, 복지국가 건설, 경제민주화를', '무소속 안철수 후보는 경제민주화, 국민의 일할 권리,', '자영업자·중소기업·대기업 간 상생생태계 조성을', '세 후보 모두 경제민주화와 일자리 창출이란', '두 마리 토끼를 동시에 잡겠다고 약속한 겁니다.', '주요 정책 10가지에 대한 찬반 의견도 물었습니다.', '세 후보가 가장 분명히 엇갈린 분야는 무상의료였습니다.', '새누리당 박근혜 후보는 재원을 이유로 반대한 반면,', '필요한 의료서비스를 받아야 한다며 찬성했습니다.', ' 무소속 안철수 후보는 입원의료에 대해서만', '실질적 무상의료를 보장하겠다고 약속했습니다.', '박 후보는 조건부 찬성, 문 후보는 반대했습니다.', '안 후보는 공공성 정도를 감안해 판단해야 한다며', '일제고사 폐지에 대해선 박 후보만 반대했습니다.', '인도적 차원의 대북지원에는 모두 긍정적이었습니다.']"
2,CHANNELA,정부 “의료 정책 보류” vs 의협 “총파업 예정대로”,"['코로나19 상황은 심각해지는데 정부와 의료계 갈등은 더 악화되고 있습니다. ', '정부가 코로나19 안정될 때까지 의료계가 반발하는 정책을 미루겠다, 한 발 물러섰는데 의료계는 그 말 못 믿겠다, 파업 강행을 고수한 겁니다. ', '최종 책임자인 정부든, 파업 당사자인 의사들이든, 지금은 볼모로 잡힌 국민들 생각부터 해야 할 때 아닐까요. ', '정부는 의대 정원 확대 등 관련 정책을 미루겠다며 의료계에 파업을 멈춰달라고 요구했습니다. ', '어제까지만 해도 정책 철회는 물론 유보도 없다는 입장에서 한발 물러선 겁니다. ', '코로나19 상황이 그만큼 심각하다는 판단에서입니다. ', '""의과대학 정원 확대와 공공의대 신설에 대해서는 수도권 코로나19 상황이 안정된 이후 의료계와 논의하며 추진해 나가겠습니다. 자신의 자리에서 진료현장을 지켜주십시오.” ', '이번달까지 교육부에 넘기기로 한 의대 정원 규모도 통보하지 않기로 했습니다. ', '하지만 의료계는 정부의 ""당분간 유보”는 어차피 정책을 추진한다는 뜻이라며 반발했습니다. ', '개원의들까지 가세한 오는 26일 총파업도 예정대로 강행하겠다고 맞섰습니다. ', '의사협회 측은 “의료계 반발이 심해 잠시 숨을 고르겠다는 것“이라며 ""정책 유보가 아닌 완전 철회해야 한다”고 주장했습니다. ', '어제부터 파업에 들어간 수도권 인턴, 레지던트 등을 상대로 현장으로 복귀하라는 업무개시 명령을 곧 발동할 계획입니다. ', '이 명령을 정당한 이유 없이 따르지 않으면 면허정지 처분까지 받을 수 있습니다. ', '의료계는 정부가 공권력을 통해 힘으로 제압하려는 의도라며 의료계 전체의 분노를 일으킬 것이라고 반발했습니다.', '양측이 접점을 찾지 못하면서 다음주에는 수술과 진료에 본격적인 차질을 빚을 것으로 보여 우려가 커지고 있습니다. ']"
3,CHANNELA,정부 “의사증원 정책 보류…의료진 복귀해달라”,[]
4,CHANNELA,의사 2차 총파업 예고…‘의료 공백’ 현실화 위기,"['안녕하십니까. 뉴스A 동정민입니다. ', '생명보다 소중한 건 없습니다. 코로나 공포로 전 세계가 떠는 이유죠. ', '코로나 확진자, 특히 중증환자가 늘어나는데, 병상도 의료인력도 점점 바닥을 보이고 있습니다. ', '이 와중에 내일 모레 의사 총파업이 예고돼 있어 국민들 걱정이 큽니다. ', '오늘 국무총리가 대한의사협회장과도 만났지만 별 소득이 없었고, ', '전공의에 이어 전임의까지 파업에 동참했습니다. ', '눈 앞으로 다가온 의료 공백 상황을 집중 전해드립니다. ', '의료계 파업 사태를 풀기 위해 정부와 대한의사협회가 머리를 맞댔습니다. ', '""정부는 의대정원 확대, 공공의대 설립 등 보건의료 현안정책에 대해 의료계와 열린 자세로 진지하게 논의하겠습니다."" ', '오후 2시에 시작된 면담은 1시간 10분 정도 진행됐지만 양측은 입장 차이를 좁히진 못했습니다. ', '의협은 모레부터 사흘간 예고한 2차 총파업 계획에 변함이 없다는 입장입니다.', '다만, 보건복지부와 의협이 실무협의를 이어가는 등 대화 필요성엔 공감하고 있어 ', '파업 전에 극적으로 타협점을 찾을 가능성도 있습니다. ', '어제 정부와 만난 전공의들은 코로나19 대응을 위한 진료에는 참여하기로 결정했습니다. ', '[박지현 / 대한전공의협의회 회장(어제)] ', '""오늘로부터 시작이 돼서 더 많은 걸 함께 논의하고 진정성 있는 대화를 할 수 있는 자리가 계속 마련됐으면 좋겠습니다."" ', '하지만, 정부가 의대 확대 등 정책을 철회하지 않으면 집단 휴진은 변함없이 이어간다는 방침입니다. ', '게다가, 의료 공백을 메우던 일부 전임의들까지 오늘부터 파업에 돌입했습니다. ', '전임의들은 파업 기간 코로나 19 장기화로 어려움을 겪는 혈액 공급에 도움을 주는, 헌혈 릴레이에 나서기로 했습니다. ', '정부와 의협이 절충점을 찾지 못한 채 의료계 총파업이 진행될 가능성도 있어, 의료 공백은 현실화할 것이란 위기감이 증폭되고 있습니다. ']"
5,CHANNELA,최대집 의협 회장 “정책 철회하면 오늘 즉각 파업 중단”,"['최대집 대한의사협회(의협) 회장은 오늘(23일) 자신 페이스북에 게시글에 ""(정부가) 의대 정원 확대, 공공의대 설립, 한약 첩약 급여화 시범사업, 비대면 진료 육성 등 4개 의료 정책을 철회하면 금일 중이라도 의협은 파업을 중단하고 즉각 진료 현장으로 복귀할 것""이라고 밝혔습니다. ', '최 회장은 ""코로나19 재확산 속 의사 총파업 사태는 전적으로 정부가 일으킨 것이다. 진료에 매진해야 할 의사들이 진료의 현장을 벗어나 길바닥으로 내몰렸다""며 ""불통과 독선, 무지와 독단에 근거한 \'4대악\' 의료정책을 강행한 정부, 바로 지금 결자해지하길 바란다""고 했습니다.', '이어 ""파국적 고집을 꺾지 않고 국민의 건강과 생명을 흥정거리로 삼는 것은 바로 정부""라며 ""면허 정지, 형사처벌 협박은 사태를 악화시킬 뿐이다. 한 명의 의사 회원, 의대생이라도 피해를 입는다면 이번 4대악 의료정책 저지 투쟁의 성격이 근본적으로 달라질 것이다. 모든 실정법 상 책임은 회장인 내가 질 것""이라고 했습니다.', '앞서 인턴, 레지던트 등 전공의들을 대표하는 대한전공의협의회(대전협)는 이날 정부 정책에 반대하는 무기한 전면 파업에 돌입했습니다. 전임의(펠로)들을 대표하는 대한전임의협의회는 오는 24일, 의협은 오는 26일부터 3일간 총파업을 강행할 예정입니다.']"
6,CHANNELA,전공의 무기한 파업 시작…정세균 “의료현장 지켜달라”,"['Q. 정부가 의사 집단행동 중단하면 정책 유보한다고 밝히자 잠시 후 3시 의협에서 대국민 담화문을 발표한다고 한다. 어떤 내용 담길까?', 'Q. 코로나19 신규 확진자 324명 그 중에 315명이 지역발생, 이런 상황 어떻게 보시나?', 'Q. 의사출신이다 보니, 오늘 직접 의료현장 가신다고 들었다. 현장은 어떤 상황인가?', 'Q. 오늘부터 전공의들 무기한 파업을 한다고 하는데, 이유가 뭔가? ', '- 현장 상황 더 힘들어 지는 것 아닌가?', 'Q. 오늘 정세균 총리는, 집단행동 멈추고 의료현장 지켜달라고 얘기하기도 했다, 이런 시기에 파업을 하는 것이 이기적인 것 아니냐는 시각도 있는 것 같다. 의사이자 여당 국회의원으로 어떤 입장? ', '- 정부, 의협과 협상 계속 하고 있는 것?']"
7,CHANNELA,전국 병원 전공의 집단 휴진…의료대란 없어  ,"['정부의 의대 정원 확대에 반발하며 전국 대형병원의 전공의들이 오늘 하루 집단 휴진에 들어갔습니다.', '응급실과 수술실 인력까지 휴진에 동참하면서 의료 공백은 없을지 걱정되는데요. ', '자세한 소식 취재기자 연결해 알아보겠습니다.', '집단행동에 들어간 전공의 규모 얼마나 됩니까?', '네 전국 250개 병원의 인턴과 레지던트 1만6천명으로 구성된 대한전공의협회는 80% 약 1만3천명 정도가 오늘 오전 7시부터 24시간 동안 집단 휴진에 들어간다고 밝혔는데요.', '일단 복지부는 연가를 내고 참여한 전공의가 50% 정도 되는 걸로 파악하고 있습니다.', '조금 전 2시부터는 서울 여의도 공원 등지에서 전국의 전공의들이 권역별로 집회를 시작했습니다.', '앞서 정부는 의대 정원을 10년간 4천명 늘리겠다고 밝혔는데요.', '전공의들은 정부 방안이 지역 의료 격차를 해소하는 근본적인 대안이 될 수 없다며 파업에 나섰습니다.', '응급실, 수술실 인력까지 파업에 동참하면서 전국 수련병원들은 교수나 부교수 등 대체 인력을 동원했습니다. ', '일부 인력이 부족한 병원의 경우 수술실 마취과에서 업무 과중을 호소하는 등 어려움을 겪고 있지만 우려했던 의료대란은 벌어지지 않았습니다. ', '하지만 병원에 방문한 환자와 보호자들은 코로나19와 수해로 힘든 시기에 의료인들마저 파업을 하면서 진료를 제대로 받지 못할까봐 불안하다고 호소하기도 했습니다.', '아직까지 파업으로 인한 직접적인 환자 피해가 접수되진 않았지만 복지부는 국민 피해가 생길 경우 법적 대응을 하는 등 엄중 조치할 방침입니다.', '또 응급의료 진료상황을 응급의료정보제공 앱과 온라인 홈페이지를 통해 확인할 수 있도록 했습니다.', '지금까지 경제정책산업부에서 전해드렸습니다.']"
8,CHANNELA,美 병원마다 의료장비 부족으로 난리…돈 있어도 못 산다,[]
9,CHANNELA,[순간포착]‘던질까 말까’ 교육정책? ,[]
