,Press,Title,Text
0,MBN뉴스,뉴스 > 사회'질병관리청' 12일 공식 출범…정원 42% 순증·복수차관제 도입,"질병관리본부가 오는 12일부터 질병관리청으로 승격됩니다. 감염병 대응 총괄 기관으로서 위상이 강화될 뿐만 아니라 정원도 기존 대비 42% 순증하며 1천476명 규모로 커질 예정입니다.또 보건복지부는 보건 분야를 전담하는 차관을 신설해 복지·보건 복수차관제를 도입하면서 44명을 보강합니다.행정안전부는 오늘(8일) 국무회의에서 이런 내용을 담은 '질병관리청과 그 소속기관 직제' 제정안과 '보건복지부와 그 소속기관 직제' 개정안이 의결됐다고 밝혔습니다.◇ 질병관리청 정원 42% 순증…감염병 종합 대응체계 구축이번 제·개정안은 지난달 4일 국회 의결을 거쳐 같은 달 11일 공포된 정부조직법 일부개정법률의 후속 조치를 담고 있습니다.차관급 외청으로 감염병 정책 수립·집행에 독자적 권한을 행사하게 되는 질병관리청은 청장과 차장을 포함한 5국·3관·41과와 소속기관으로 구성됩니다. 초대 청장에는 중앙방역대책본부장으로 신종 코로나바이러스 감염증(코로나19) 대응을 이끌고 있는 정은경 현 질병관리본부장이 유력하게 거론되고 있습니다.정원은 본청 438명과 소속기관 1천38명 등 모두 1천476명으로 질병관리본부 정원 907명에서 569명이 늘어납니다.질병관리청과 보건복지부 간 기능 이관으로 재배치하는 인원을 제외하고 새로 보강하는 순수 증원 인력은 384명으로 기존 정원의 42%에 해당합니다.정부가 지난 6월 발표한 당초 개편안은 질병관리청의 연구기능을 보건복지부로 이관하며 정원을 대폭 축소해 '무늬만 승격'이 아니냐는 논란이 일었으나, 이번 제·개정안은 질병관리청 정원을 크게 늘렸습니다.본청에는 감염병 유입·발생 동향을 24시간 감시하는 종합상황실과 감염병 정보를 분석해 예측하는 위기대응분석관을 신설해 위기 상황 감시 기능을 강화했습니다.또 감염병관리센터는 감염병 제도를 총괄하는 감염병정책국으로, 긴급상황센터는 감염병위기대응국으로 각각 재편했습니다.아울러 백신 수급·안전관리와 일상적 감염병 예방기능을 맡는 의료예방안전국, 원인불명 질병 발생 시 대응을 위한 건강위해대응관을 신설해 감염병 발생 감시부터 조사·분석, 위기대응·예방까지 전 주기에 걸친 대응망을 구축했습니다.◇ 감염병 R&D기능 강화…권역별 질병대응센터로 지역 맞춤형 대응질병관리청 승격과 함께 감염병 연구를 포함한 보건의료 연구개발(R&D) 조직도 강화했습니다.질본 산하 국립보건연구원 소속이던 감염병연구센터를 확대 개편해 국립감염병연구소를 신설했습니다.연구소는 3센터·12과, 100명 규모로 감염바이러스에 대한 연구는 물론 임상연구, 백신개발 지원 등 감염병 전반에 대한 연구개발 체계를 갖추도록 했습니다. 연구소장은 민간부문 우수 전문가를 영입하기 위해 개방형 직위로 임명할 예정입니다.국립보건연구원에는 연구기획조정부를 신설해 R&D 전략 수립과 성과관리를 담당하게 했습니다.질병관리청 산하에는 지역 특성을 고려한 체계적 감염병 대응을 위해 수도권·충청권·호남권·경북권·경남권 등 5개 권역별로 질병대응센터를 설치합니다. 서울·대전·광주·대구·부산에 사무소를, 제주도에 출장소를 두며 총 155명 규모로 만들어집니다.질병대응센터는 평상시에는 지역 내 취약지 및 고위험군 조사·감시·대비, 지방자치단체 감염병 대응 역량 강화 지원 등을 수행하고, 위기 시에는 지자체 혼자 감당하기 어려운 역학조사와 진단·분석 등을 지원합니다.정부는 또한 질병대응센터 신설과 연계해 지자체에 감염병 대응 인력 1천66명을 보강하기로 했습니다.시·군·구 보건소에 역학조사와 선별진료소 운영, 환자 이송 등을 담당할 인력 816명을 증원하며 시·도 본청(140명)과 시·도 보건환경연구원(110명)에도 감염병 조직을 설치하고 인력을 추가합니다.이재영 행안부 차관은 이날 오전 브리핑에서 ""감염병은 현장 대응이 가장 중요한데 권역별 질병대응센터는 질병관리청 입장에서 현장의 손과 발 역할을 하게 된다""고 말했습니다.이 차관은 질병대응센터와 지자체 간 기능 중복이나 비효율 발생 우려에 대한 질문에 ""질병대응센터는 지자체와 상호 협력하는 이웃""이라며 ""정책정보 공유, 상시협의체 운영, 위기 대응 공동훈련 등으로 협력 시너지가 높아질 것""이라고 답했습니다.◇ 보건복지부 보건 담당 2차관 신설…'실' 추가 없어정부조직법 개정에 따라 복지부에는 보건·의료분야를 담당하는 2차관이 신설됩니다. 보건업무 전문성 강화를 위해 복수차관제도를 도입한 것으로, 1차관은 기획·조정과 복지를 맡습니다.복수차관제 도입으로 보건의료정책 분야에서 1관·3과, 44명이 보강됩니다.의료인력정책과를 신설해 공공의료 인력 수급과 보건의료인력 처우개선 기능을 강화하고, 혈액 및 장기이식 수급 관리를 담당하는 혈액장기정책과도 새로 만듭니다.정신건강정책을 전담하는 정책관과 정신건강관리과도 신설합니다. 정신건강 관련 문제와 그에 따른 사회적 비용 증가 추세를 고려한 것입니다.다만 '실'이 새로 만들어지지는 않았습니다. 복지부는 당초 보건의료정책실 산하 공공보건정책관을 '실'로 승격하고 인력도 100명가량을 증원하는 방안을 요청했으나 반영되지 않았습니다.이 차관은 ""(100명은) 실 설치를 전제로 요구한 것인데 우리는 국 수준으로 판단했다. 질병관리청 기능과 중복되는 부분을 조정하면서 차이가 생겼다""며 ""복수차관제는 규모와 관계없이 의료보건 분야 전문성을 높이기 위한 것이며, 업무량을 기준으로 관계기관과 충분히 협의해 실이 아닌 국을 설치하게 됐다""고 설명했습니다.그는 김강립 현 보건복지부 차관이 1차관이나 2차관이 되는지, 아니면 신임 차관이 임명되는지에 대해서는 ""대통령 고유 권한 사항""이라며 즉답을 피했습니다.제·개정안은 이밖에 R&D와 관련해 보건의료 빅데이터와 의료 인공지능 정책 기능을 보강하고, 보건복지부와 질병관리청 간에 상호 파견하는 협업정원을 운영해 협력하도록 했습니다.이날 국무회의에서 의결된 조직개편 사항은 정부조직법 일부개정법률 시행일인 내달 12일에 맞춰 시행됩니다.진영 행안부 장관은 보도자료를 통해 ""이번 조직개편은 감염병 위기에 철저히 대비하고 국가·지자체의 방역역량을 획기적으로 높이기 위한 것""이라며 ""강화된 감염병 대응 체계가 원활하게 작동해 코로나19 위기를 극복하고 국민을 안전하게 보호할 수 있기를 기대한다""고 밝혔습니다.[MBN 온라인뉴스팀]"
1,MBN뉴스,뉴스 > 사회[속보] 초대 질병관리청장 정은경…신설 보건담당 2차관 강도태," 문재인 대통령은 8일 질병관리본부에서 '청'(廳)으로 승격된 질병관리청의 초대 청장으로 정은경 질병관리본부장을 내정했다.또, 신설된 보건복지부 제2차관에 강도태 보건복지부 기획조정실장을, 여성가족부 차관에는 김경선 고용노동부 기획조정실장을 각각 발탁했다. 강민석 청와대 대변인은 이날 브리핑에서 이같은 인선 결과를 발표했다. 정 신임 청장은 서울대 의학과 출신으로 질병관리본부 질병예방센터장, 긴급상황센터장 등 요직을 두루 거쳤으며, 코로나19 사태를 맞아 방역 최일선에 서 왔다.강도태 신임 보건복지부 제2차관은 고려대 무역학과와 행시 35회 출신으로, 보건복지부 복지행정지원관, 보건의료정책관, 보건의료정책실장 등 보건 분야 전문 관료다. 보건복지부 제2차관은 보건 분야를 전담한다. 앞서 정부는 이날 오전 문 대통령 주재 국무회의에서 질병관리본부를 질병관리청으로 승격하고 보건복지부에 보건 분야 차관을 신설하는 내용의 직제 개편안을 처리했다. 김경선 여성가족부 차관은 서울대 영문학과와 행시 35회 출신으로, 노용노동부 여성고용과장, 청년여성고용정책관, 고령사회인력정책관 등을 거쳤다.. [전종헌 기자 cap@mkinternet.com][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2,MBN뉴스,뉴스 > 정치초대 질병관리청장에 정은경…신설 보건담당 2차관에 강도태,"문재인 대통령은 어제(8일) 질병관리본부에서 '청'(廳)으로 승격된 질병관리청의 초대 청장으로 정은경 질병관리본부장을 내정했습니다.또한 신설된 보건복지부 제2차관에 강도태 보건복지부 기획조정실장을, 여성가족부 차관에는 김경선 고용노동부 기획조정실장을 각각 발탁했습니다.강민석 청와대 대변인은 이날 브리핑에서 이 같은 인선 결과를 발표했습니다.정 청장과 강 차관의 임명일은 복지부 조직개편일 및 질병관리청 출범일인 12일이며, 김 차관의 임명일은 오늘(9일)입니다.정 신임 청장은 서울대 의학과 출신으로 질병관리본부 질병예방센터장, 긴급상황센터장 등 요직을 두루 거쳤으며, 신종 코로나바이러스 감염증(코로나19) 사태를 맞아 방역 최일선에 서 왔습니다.문 대통령의 이번 인선은 코로나19 방역을 책임져온 정 청장의 노고를 격려하는 동시에 방역 대책의 연속성을 갖고 코로나19 확산 차단에 주력해 달라는 당부를 담은 것으로 보입니다.문 대통령은 2015년 메르스(중동호흡기증후군) 사태 당시 야당 대표로서 질병관리본부를 찾아 당시 질병예방센터장이었던 정 청장의 보고를 받았고, 정 청장은 문재인 정부 출범 후 질병관리본부장에 올랐습니다.질병관리청장은 질병관리본부장과 같은 차관급이긴 하지만, 질병관리청이 독립된 행정기관으로 승격된 만큼 정 청장의 실질적 권한은 한층 강해질 것으로 보입니다.문 대통령은 이날 국무회의에서 질병관리청 승격에 대해 ""감염병 대응체계에 있어 획기적 진전""이라며 정 청장의 역할에 기대감을 드러냈습니다.강 대변인은 ""정 본부장은 우리나라가 코로나19 방역 모범국가로 자리매김하는 데 큰 역할을 했다""고 평가했습니다.강도태 신임 보건복지부 제2차관은 고려대 무역학과와 행시 35회 출신으로, 보건복지부 복지행정지원관, 보건의료정책관, 보건의료정책실장 등 보건 분야 요직을 두루 거친 관료입니다.강 대변인은 ""첫 도입된 복지부 제2차관은 공공보건의료체계 확충 및 건강보험 보장성 강화 등 핵심 정책을 힘있게 추진할 것으로 기대한다""고 말했습니다.김경선 여성가족부 차관은 서울대 영문학과와 행시 35회 출신으로, 고용노동부 여성고용과장, 청년여성고용정책관, 고령사회인력정책관 등을 지냈습니다.[MBN 온라인뉴스팀]"
3,MBN뉴스,"뉴스 > 정치文대통령, 오전엔 질병관리`청` 승격…오후엔 정은경 발탁","↑ 왼쪽부터 정은경, 강도태, 김경선. 문재인 대통령이 8일 초대 질병관리청장에 정은경 질병관리본부장(55)을 발탁했다. 질병관리본부를 '청'으로 승격하는 시행령이 이날 국무회의를 통과하면서 질병관리청은 오는 12일 공식 출범한다. 신설된 보건복지부 2차관에는 강도태 복지부 기획조정실장(50), 여성가족부 차관에는 김경선 고용노동부 기획조정실장(51)이 임명됐다. 이날 강민석 청와대 대변인은 이같은 차관급 인사안을 발표했다. 정 신임 청장은 국내 코로나19 진화의 주역으로 그동안 정부조직개편에 따라 질병관리본부가 질병관리청으로 승격하면 초대 청장 '1순위'로 유력하게 거론돼왔다. 정 신임 청장은 지난 1월 20일 국내 첫 코로나19 확진자 발생뒤 중앙방역대책본부장으로서 8개월간 주말도 없이 국내 코로나19 상황을 점검하고 국민에게 알리는 역할을 도맡았다. 차분한 대응과 뛰어난 소통 능력으로 국민들의 전폭적인 신뢰를 얻었다. 지난 2월 감염병 위기경보가 '심각' 단계로 격상된 뒤 그가 머리를 자르고 나타나 ""머리 감을 시간도 아껴야 한다""고 말한 내용이 회자되기도 했다. 브리핑에서 ""1시간보다는 더 잔다""라고 말한 게 화제가 되기도 했다. 외신에서도 그의 리더십을 조명할 정도로 K-방역의 상징적 인물이 됐다. 정 신임 청장은 1965년 광주 출생으로, 서울대 의과대학을 졸업하고 보건복지부에서 근무하다 질병관리본부 질병예방센터장과 긴급상황센터장을 역임한뒤 지난 2017년부터 질병관리본부장을 맡아왔다. 코로나19와 같은 감염병 대응의 '콘트롤타워'를 맡을 질병관리청은 기존 복지부 산하 기관에서 차관급 외청으로 승격됐다. 질병관리청은 2004년 국립보건원에서 질병관리본부로 개편된 이후 16년 만에 다시 조직이 대폭 확대됐다.  이번 승격으로 감염병 재난관리 주관기관으로 추가 지정돼 독자적인 권한을 갖게 됐다. 예산 편성과 집행, 인사, 조직 운영 등을 독립적으로 수행하게 되고, 감염병 정책 수립과 집행에서도 독자적인 권한을 부여받는다. 지역조직도 만들어져 전국에 권역별 질병대응센터가 들어선다. 특히 치료제나 백신 개발을 수행할 연구기능인 국립보건연구원도 질병관리청 내에 유지된다. 당초 정부의 초안은 보건연구원을 복지부로 이전하는 것이었지만, 문재인 대통령이 직접 나서 원점 재검토를 지시한바 있다. 당시 정 신임 청장은 ""질병관리청에 연구조직과 인력 확충이 필요하다""며 우려했고 문 대통령이 즉각 재검토를 지시하면서 '정은경의 힘'으로 불렸을 정도다. 복수차관제 도입으로 복지부 보건 분야를 전담할 강도태 2차관은 1970년 서울 출생으로 고려대 무역학과를 졸업하고, 행시 35회로 공직에 입문했다. 복지부 보건의료정책실장과 기조실장 등을 역임했다. 김경선 여가부 차관은 1969년 경북 출생으로 서울대 영문학과를 졸업하고, 행시 35회로 공직에 들어왔다. 고용부 청년여성고용정책관과 고령사회인력정책관 등을 역임했고 고용부 최초로 여성 기조실장을 지냈다. [임성현 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
4,MBN뉴스,"뉴스 > 사회의대생들, 단체행동 중단한다…국시 재응시는 '미지수'","정부의 의료정책에 반대해왔던 의대생들이 동맹휴학과 국가고시 거부 등 단체행동을 중단합니다.오늘(14일) 의대생들을 대표하는 대한의과대학·의학전문대학원 학생협회(의대협)는 성명문을 내고 ""이날 오전 보건의료정책 상설감시기구의 발족으로 협회의 목표를 달성했기에 모든 단체행동을 공식적으로 중단한다""고 밝혔습니다.의대협은 ""대한의사협회가 정부·여당과 공공의대 및 의대정원확대의 원점 재논의 명문화를 이룬 과정은 유감이지만, 이에 대한 우리의 실망보다 더 나은 의료와 국민의 건강이 우선이라 판단했다""고 말했습니다.의대협은 ""숙의 끝에 선배 의료인과 합심해 의·정 합의문의 성실한 이행을 지켜봐야 한다는 데 뜻을 모았다""고 말했습니다.아울러 ""(단체행동 중단이) 우리의 연대가 멈춘다는 것을 의미하지는 않는다""며 ""또다시 국민의 건강권을 위협하는 정책이 강행된다면 언제든 단체행동을 불사할 것""이라고 강조했습니다.이에 따라 동맹휴학에 나섰던 예과 1학년생부터 본과 3학년생들은 휴학계를 철회하고 학교로 돌아갈 전망입니다.주요 대학 개강일이 2주나 지난 시점이지만, 신종 코로나바이러스 감염증(코로나19)으로 휴학계 수리 및 철회 기간이 평소보다 길어졌기 때문입니다.한양대 관계자는 ""원래 휴학계 관련 행정처리 기간은 개강 후 일주일 정도까지였는데, 개강 후 뒤늦게 비대면 강의의 질을 문제 삼으며 휴학하겠다는 학생들이 많아 지난 학기부터 이 기간을 늘렸다""고 말했습니다.애초부터 의대생들의 휴학계가 행정상으로 접수되지 않은 대학도 있습니다.성균관대 관계자는 ""개인적으로 휴학 의사를 표시했을 경우처럼 바로 처리한 게 아니고, 집단행동인 만큼 학생들의 휴학계를 의과대학 차원에서 보류하고 있었다""고 설명했습니다.다만 본과 4학년생들이 국가시험을 다시 볼 수 있을지는 여전히 미지수입니다.손영래 보건복지부 대변인은 이날 브리핑에서 ""당사자들이 자유의지로 시험을 거부하는 상황에서 추가시험을 검토할 필요성은 떨어진다고 보고 있다""고 말했습니다.의대협도 '집단행동 중단'이 국시를 응시하겠다는 의미는 아니라는 입장입니다.조승현 의대협 회장은 ""국가고시 거부를 포함한 단체행동을 중단하는 건 맞지만, 지금 국시를 볼 수 있는 상황은 아니기 때문에 재응시 뜻을 표한 건 아니다""라고 말했습니다.[MBN 온라인뉴스팀]"
5,MBN뉴스,"뉴스 > 사회전공의 복귀 일주일째…대형병원 ""미뤘던 수술 일정 소화""","정부 의료정책에 반대해 진료 현장을 떠났던 전공의·전임의들이 병원에 복귀한 지 일주일째에 접어들면서 의료 현장이 서서히 정상화의 가닥을 잡아가고 있습니다.오늘(16일) 의료계에 따르면 서울 시내 주요 대학병원의 수술·입원 일정은 집단휴진 사태 이전 수준으로 회복되고 있습니다.삼성서울병원 관계자는 ""전공의들이 지난주 화요일(8일)에 복귀 선언을 했으나 이들의 신종 코로나바이러스 감염증(코로나19) 검사와 환자 일정 조정 등 절차로 즉각 진료가 정상화하지는 못하고, 금요일(11일)부터 평소 1일 평균 190건에 달하던 수술 건수를 회복했다""고 말했습니다.이 관계자는 ""입원도 수술 환자가 대부분을 차지하기에 80∼90%대로 회복했다""고 덧붙였습니다.서울성모병원의 외래와 수술량도 집단휴진 이전의 90% 이상으로 돌아왔습니다. 입원 병동도 외래나 수술과 연계해서 가동하는 만큼 입원환자도 상승세에 있다고 병원 측은 설명했습니다.서울대병원의 진료 현장도 정상화됐습니다.서울대병원 관계자는 ""하루에 8천건에 달하던 외래진료는 어느 정도 정상 궤도를 회복했고, 하루에 60∼65건으로 조절했던 수술도 집단휴진 이전인 130여건으로 회복했다""고 설명했습니다.다만 환자들이 진료 정상화를 체감하기에는 더 시간이 필요할 것으로 보입니다.병원계 관계자는 ""집단휴진 동안 밀렸던 수술을 먼저 소화하는 중이라, 1일 평균 수술 건수 회복과는 별개로 완전한 '진료 정상화'에는 시간이 다소 걸릴 것""이라고 말했습니다.이에 앞서 인턴, 레지던트 등으로 불리는 전공의들은 의대 정원 확대, 공공 의대 신설 등 정부 의료정책에 반대하며 지난 8월 21일부터 순차 파업에 들어갔습니다. 같은 달 24일부터는 임상강사, 펠로에 해당하는 전임의 일부도 휴진에 가담했습니다. 이들은 의료계와 정부·여당 간의 합의문이 타결되고, 대한전공의협의회(대전협)가 업무 복귀를 선언하면서 이달 8일 진료 현장으로 돌아왔습니다.[MBN 온라인뉴스팀]"
6,MBN뉴스,뉴스 > 경제`의사국시 거부 의대생에 응시 기회부여` 의정 물밑접촉," 의과대 본과 4학년생들이 24일 의사 국가고시 실기시험에 응시하겠다고 의사를 표명한 가운데, 이들의 '응시기회 구제'에 대한 물밑접촉이 의료계와 정부 간에 활발하게 이뤄지고 있는 것으로 알려졌다. 의사국시 주무부처인 보건복지부는 국가시험의 형평과 공정성이 맞물려 국민의 이해와 양해가 필요하다는 전제조건을 달고 있지만, 내년 의료인력 수급문제를 어떻게든 해결해야할 입장이고, 의료계 역시 약 2700명의 의료인력이 배출되지 않으면 의료공백이 우려되기 때문이다. 25일 저녁 한 의료계 모임에서 서울 주요 대학병원장은 ""의대생 국시거부와 관련해 싸늘한 여론을 의식해 어떤 식으로든 의료계 대표들이 대국민 사과 및 양해를 구해 의대본과 4학년생들에게 재시험 기회를 주는 방안를 놓고 정부와 물밑접촉을 진행하고 있다""면서 ""의사국시 일정을 고려하면 가급적 1주일안에 해결책을 내놓겠다""고 말했다. 정부는 의사국시 응시기회를 두차례 연기해 이달 6일 밤 12시까지 신청을 받았다. 하지만 의사국시 응시대상 3172명 중 14%인 446명만이 신청했다. 나머지 2726명은 지난달 정부의 의대증원, 공공의대 설립 등에 반대하는 단체행동을 벌이면서 국시 응시를 거부했다. 지난 4일 대한의사협회와 정부, 여당이 문제가 된 정책을 원점에서 재논의하기로 합의한 후에도 국시 거부 의사를 철회하지 않았다. 실기시험은 지난 8일 시작됐고 11월 20일까지 분산돼 진행된다. 의료계는 실기시험 및 내년 1월 필기시험 일정, 2700명에 달하는 수험생 숫자를 고려하면 추석전에 해결점을 찾고 추석이후 곧바로 시험을 시작해야 한다는 입장이다. 한 병원장은 ""요즘 젊은 세대의 세태인지 몰라도 병원 내부에서도 의대생들의 모호한 입장표명에 실망하는 사람들이 적지 않다""면서 ""당사자들이 명확하게 '응시하겠다'고 밝히지 않고 '응시하겠다는 의사표명'이라는 성명서만 달랑 1장 내놓은 것은 무책임하다는 느낌이 들었다""고 말했다. 그는 이어 ""아직 의사도 아닌 배우는 학생들이 정부 의료정책에 반발해 의사면허 시험의 첫 관문까지 거부한 것은 오버한 측면이 있다""고 덧붙였다. 이와 관련해 한 의료계 인사는 ""상당수 의대생 부모가 의사이거나 부유층 자녀들이 많아서 일부 1년동안 쉬고 싶어하는 학생들도 있다""고 귀뜸했다. 최근 흐름을 보면 의대생 본인들보다 의료계가 더 안달이 난 모습이다. 이 때문에 부정적인 여론이 더욱 악화되는 측면이 있다. 스스로 성적 1등이라는 학생들이 명확하고 강한 의사표명도 하지 않고 교수들에게 문제해결을 떠넘기는 듯한 모습에 실망했기 때문이다. 국립·사립대병원 등 25일 대국민 호소문을 통해 ""당장 내년에 2700여명의 의사가 배출되지 못할 심각한 상황이다. 부족한 인원 탓에 응급환자가 많은 외과 등 비인기과 전공의 모집은 더욱 어려워지고 의료 취약지역과 군대의 의무 영역에 매우 큰 공백이 생길 것""고 밝혔다. 호소문은 사립대의료원협의회, 국립대병원협회, 사립대병원협회, 상급종합병원협의회, 대한수련병원협의회 등 5개 단체가 공동작성했다. 이들은 ""국민의 아픔과 고통에 민감하지 못했던 부족함은 스승과 선배들을 책망해주시고, 청년들을 넓은 마음으로 이해해주기를 부탁한다""고 호소했다. 대한민국의학한림원도 호소문을 내고 ""의대생들이 국가고시를 치르지 못함으로써 발생할 진료공백 사태는 저희 원로 의학자이자 의료인들은 도저히 상상할 수도 없는 최악의 상황이라고 판단된다. 정부가 의대생들에게 기회를 줄 수 있도록 국민들께서 지지해 달라""고 밝혔다.  최대집 의협 회장도 강도태 보건복지부 제2차관과 긴급 면담을 통해 ""의대·의전원생들의 의사 국가고시 실기시험 응시를 위해 협조해달라. 신규 의사인력이 의료기관으로 투입되지 못하면 결국 국민 건강에까지 악영향을 미칠 것""이라며 정부의 조치를 촉구했다. 만약 의·정 타협에 의해 의사 국시 거부자들에게 추가 응시기회를 준다면, 정상적으로 진행되고 있는 시험은 그대로 치르면서 응시거부자 구제 차원의 시험을 별도 진행하는 '투트랙' 의사국시의 첫 사례가 될 수 있다. 그러나 69년의 의사국시 역사상 집단으로 시험을 거부한 의대생들에게 추가 응시를 허용한 전례가 없고, 국민의 여론이 여전히 비판적이어서 귀추가 주목된다.[이병문 의료선임기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
7,MBN뉴스,뉴스 > 경제최대집 의협 회장 탄핵 위기 모면했다,"  이달 4일 여당 및 정부와 '의정합의한'을 체결해 전공의의 집단파업을 끝낸 최대집 대한의사협회 회장이 탄핵(불신임)위기에서 벗어났다. 이에 따라 전공의 중심의 젊은 의사들로 부터 맹공을 받아온 의정합의안은 '연명'하게 됐다. 집권 여당과 의협은 10월 협의체를 구성해 의대증원, 공공의대 신설 등 의료정책을 원점에서 재논의를 본격 시작할 것으로 보인다. 의협 대의원회는 27일 오후 임시 총회를 열고 최 회장에 대한 불신임안을 투표한 결과 대의원 203명 중 3분의 2 이상인 136명이 찬성하지 않아 부결됐다. 불신임안에 대한 찬성은 114명, 반대는 85명이었다. 기권 4명이었다. 의협 정관에 따라 불신임안은 이날 총회에 재적 대의원 3분의 2 이상이 출석하고, 출석 대의원 3분의 2 이상이 찬성하면 가결된다. 그 동안 의료계는 의정합의 이후에도 '정책 철회'를 명문화하지 않았다는 이유로 최 회장을 비롯한 의협 집행부가 ""독단적인 졸속 합의를 했다""고 규탄하며 이들의 탄핵을 주장했다. 이 때문에 의정합의서는 '반쪽자리 합의'라는 비판이 의료계에서 줄곧 제기됐다. 지난 19일 최 회장 및 현 집행부에 대한 불신임안에 상정된 이후에도 의료계는 찬반논쟁이 치열했다. 대한전공의협의회(대전협)가 '최대집 회장 및 의협 임원 불신임의 건'에 대한 회원들의 의견을 조사한 결과, 88.4%가 최대집 회장의 불신임을, 85.3%가 의협 임원의 불신임을 찬성한다고 답했다. 대전협은 ""최대집 회장은 크레인에 올라타는 보여주기식 쇼맨십 이외에 투쟁 지속을 위해 기여한 것이 과연 무엇이었나. 오히려 젊은 의사들의 피와 눈물을 통해 이룩한 단결 마저 가짜 뉴스로 분열시키고, 비겁한 졸속 합의로 대한민국 13만 의사들을 기만했다""면서 ""최 회장과 임원진 불신임에 찬성한다. 이것이 젊은 의사들의 뜻이며, 처절한 분노가 담긴 결과""라고 밝혔다. 전국의사총연합(전의총)은 ""최 회장에 대한 회원들의 기대를 생각하면 이번 투쟁의 준비와 과정, 결과가 모두 미흡했던 건 사실""이라면서도 ""대안이 없는 최 회장의 탄핵에는 반대한다""고 밝혔다. 전의총은 ""최 회장 탄핵시 외부에서 이를 의사회 분열로 판단해 정부가 약속한 합의안마저 부정하고 새로운 공격을 할 것으로 예상된다""고 밝혔다. [이병문 의료선임기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
8,MBN뉴스,"뉴스 > 사회의대생들 학교로 돌아간다…""동맹휴학 중단"""," 의대생들이 의사 국가고시 거부를 잠정 유보한 데 이어 동맹휴학을 중단하겠다고 밝혔다.전국 의대생들을 대표하는 대한의과대학·의학전문대학원 학생협회(의대협)는 대의원회 회의를 통해 이같이 의결했다고 14일 밝혔다.이에 따라 국시 응시자인 본과 4학년생을 제외한 전국 의대생 1만5524명 중 휴학계를 제출했던 91%인 1만4090명이 학교로 돌아갈 것으로 보인다.의대협은 동맹휴학 중단의 조건으로 내걸었던 '보건의료정책 상설감시기구'를 구성해 활동에 들어갈 방침이다.해당 기구에는 의대협과 전국의과대학교수협의회가 참여한다.상설감시기구는 정부의 합의안 이행 감시와 지역의료 불균형 및 필수·기피 과목 등 의료문제 해결을 위해 운영된다.의대협은 ""이 기구는 두 단체를 시작으로 계속 규모를 키우며 대한전공의협의회 등 젊은의사 단체를 넘어 의료계 내 여러 지역과 연대할 예정""이라고 설명했다.조승현 의대협 회장은 ""기존에 진행한 단체행동보다 더욱 능동적으로 보건의료체계를 감시하겠다""며 ""정부가 또 국민의 건강권을 위협하는 정책을 강행한다면 전 의료계와 함께 단체행동을 불사할 것""이라고 말했다.전날 전국 40개 의과대학·의학전문대학원 본과 4학년 국시 응시자 대표들은 국시 거부를 유보하겠다고 밝혔다.[최유빈 인턴기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
9,MBN뉴스,뉴스 > 사회의대생들 동맹휴학 '계속'…국시거부 지속 여부는 미정,"의대생들이 정부 의료정책에 반대해 집단행동의 일환으로 택했던 동맹휴학을 계속하기로 결정을 내린 것으로 알려졌습니다.오늘(11일) 의료계에 따르면 의대생들을 대표하는 대한의과대학·의학전문대학원 학생협회(의대협)는 전날 오전 10시부터 동맹휴학 지속 여부를 논의한 결과 휴학을 유지하기로 한 것으로 전해졌습니다.대한의사협회와 정부 간 합의가 타결되고, 전공의·전임의들이 모두 진료 현장으로 복귀하며 '투쟁' 동력이 상실된 상황에서도 의대생들은 여전히 휴학을 고수하기로 한 것입니다.다만 이날 회의에서 본과 4학년들이 국가고시 거부를 지속할지는 정해지지 않았습니다.의대협은 현재 국시 응시자인 본과 4학년을 대상으로 응시거부에 대해 설문조사를 하고 있습니다.의대협은 이런 설문조사 결과를 바탕으로 이르면 이날 회의를 열어 국시거부 방침에 대해서도 재논의에 들어가 결론을 낼 예정인 것으로 알려졌습니다.이에 앞서 의대생들은 의대정원 확대 및 공공의대 신설 정책에 반대해 예과 1학년부터 본과 3학년까지는 동맹휴학을, 본과 4학년은 의사 국가고시 응시 거부를 집단행동 방침으로 정했습니다.[MBN 온라인뉴스팀]"
