,Press,Title,Text
0,SBSCNBC,"정부, 의대생 국시 강경 입장…“조건부 조치 부적절”","['의대생의 국시 재응시 허용에 대한 정부 방침이 여전히 강경한 것으로 나타났습니다.', '정부는 오늘(9일) 코로나19 정례브리핑에서 국시 재응시 허용이 불가능하다는 입장을 재확인했습니다.', '이창준 보건복지부 보건의료정책관은 ""국시 문제는 협상의 대상이 아니""라면서 ""의대생들의 직접 사과 여부 등 조건부에 대한 사항은 적절하지 않다""고 강조했습니다.', '이 정책관은 ""국민의 건강을 책임질 예비 의사들이 그러한(공익적인) 기준과 판단에 따라 행동할 수 있을지, 그리고 국민들이 양해할지 등의 기준을 가지고 종합적으로 판단할 사항""이라고 말했습니다.            ']"
1,SBSCNBC,[핫이슈 키워드] 논란의 34시간·월북 어불성설·독감 유료 접종·새희망자금·이상직 탈당,"['이슈의 흐름을 살펴보는 핫이슈 키워드 시간입니다.', '인터넷과 SNS를 뜨겁게 달군 오늘(25일)의 키워드 알아봅니다.', '소연평도 인근 해상에서 실종된 우리 공무원 A 씨가 북한군의 총에 맞아 숨지고 시신이 불에 타버리기까지 34시간입니다.', '그리고 문재인 대통령에게 사살 첩보가 도달하고, 이후 정부가 공식 발표하는 데까지는 37시간이 걸렸습니다.', '정부와 청와대의 대응이 30시간 넘게 걸린 데 대해 여러 의혹이 제기되면서 논란이 커지고 있는데요.', '국민의 힘은 이번 사건을 문 대통령 유엔연설 전까지 의도적으로 숨기려 했다고 주장했습니다.', '청와대는 대통령의 유엔연설은 이미 15일에 녹화해 유엔으로 발송됐었고, 정부의 발표는 정확한 사실관계를 파악하는 데 시간이 걸렸다고 해명했습니다.', '군 당국은 이번 사건에 대해 A 씨가 자진해서 월북을 시도한 거라고 설명합니다.', '배에 신발을 벗어놨고, 구명조끼를 입었으며 그쪽 바다 상황을 잘 안다는 점, 그리고 평소 채무 등으로 고통을 호소했다는 점을 근거로 제시했는데요.', '하지만 일각에서는 40대 가장이 월북을 시도했을 가능성에 의구심을 제기하고 있습니다.', 'A 씨의 형은 정부가 명확한 근거 없이 월북으로 몰고 가려고 자신 월북을 했다는 건 어불성설이라고 말했습니다.', '실제 A 씨는 SNS에 자녀들의 사진을 올리며 활발히 소통해왔는데요.', '해양경찰은 A 씨가 탔던 어업지도선을 상대로 본격적인 조사에 착수했습니다.', '독감 백신이 유통 과정에서 상온에 노출돼 무료 접종이 중단되자 백신 품귀 현상에 대한 우려가 커지고 있습니다.', '무료접종을 기다리느니 차라리 돈을 주고서라도 백신을 빨리 맞겠다는 사람이 늘고 있습니다.', '품질 검사 중인 백신이 폐기될 경우, 그만큼 물량이 부족해져서 유료접종이 지금보다 더 비싸지는 게 아니냔 얘기도 나오는데요.', '이에 일부 병·의원에서는 백신을 맞기 위해 건물 밖으로 줄을 서는 진풍경이 연출되기도 했습니다.', '백신 품귀 현상에 대한 불안이 확산하는 가운데, 의료계는 백신이 부족하다고 해서 단기간에 가격을 올리는 곳은 많지 않을 거라고 내다봤습니다.', '코로나19로 어려움을 겪은 소상공인에게 최대 200만 원을 지원하는 새희망자금이 오늘부터 지급됩니다.', '어제는 사업자등록번호 끝자리가 짝수인 소상공인이 지원금을 접수했고, 오늘은 홀수인 소상공인의 신청을 받습니다.', '그리고 내일부터는 홀짝 구분 없이 신청이 가능한데요.', '오늘 신청자는 28일쯤 지급받을 수 있을 것으로 예상됩니다.', '한편 정부는 새희망자금을 비롯해 4차 추경 지원금 신청을 안내하는 것처럼 속이는 스미싱 문자에 대해 주의를 당부했습니다.', '정부의 의료정책에 반대하며 의사 국가고시 응시 거부에 나섰던 의대생들이 국시에 응하겠다는 의사를 공식적으로 밝혔습니다.', '이들은 공동성명서를 발표하고, 학생 본연의 자리로 돌아가 옳은 가치와 바른 의료를 위해 노력하고자 한다고 전했습니다.', '보건복지부는 의대생들이 응시 의사를 밝힌 데 대해 형평성과 공정성에 대한 문제를 종합적으로 고려해야 한다는 입장을 밝혔는데요.', '사과 한마디 없는 의대생들이 발표에 여론은 싸늘합니다.', '일각에선 의대생들의 시험을 치르지 못하게 해야 한다는 청와대 국민청원까지 올라왔습니다.', '상가임대차보호법 개정안이 어제 국회를 통과했습니다.', '개정안에는 코로나19로 피해를 입은 임차인을 보호하는 감액청구권이 통과돼 건물주에게 임대료를 낮춰달라고 요구할 수 있습니다.', '또 기존 3개월에 더해서 6개월 동안은 임대료를 연체해도 계약 해지를 못 하는 내용도 포함됐습니다.', '다만 임대인이 임차인의 임대료 감액 요구를 받아들일 의무는 반영되지 않아 임대료를 두고 혼란이 불가피해 보입니다.', '정부는 개정법이 현장에서 원활하게 작용하도록 최선을 노력을 다하겠다고 밝혔습니다.', '이스타항공 대량해고 사태 책임자로 지목돼 온 더불어민주당 이상직 의원이 어제 스스로 탈당했습니다.', '민주당 윤리감찰단 조사에 따라 이르면 추석 전 고강도 징계를 받을 것으로 예상됐는데, 먼저 탈당을 선언 한 겁니다.', '이 의원은 어제 기자회견을 열고 당에 폐 끼치지 않고 잠시 당을 떠나있겠다며, 이스타 항공 일자리를 되살려놓고 되돌아오겠다는 복당 의지를 밝혔습니다.', '하지만 정치권 안팎에선 이 의원의 갑작스러운 탈당에 대한 비판이 쏟아지고 있고요.', ""특히 전날 국민의 힘 박덕흠 의원 탈당에 대해 '꼬리 자르기'라며 의원직 사퇴를 요구했던 민주당은 민망해진 상황입니다."", '귀여운 외모와 거침없는 입담으로 모두에게 사랑받고 있는 펭수.', '그런데 펭수 캐릭터 연기자의 신상이 공개될 수 있어 네티즌들이 반발하고 있습니다.', '국민의 힘 황보승희 의원이 다음 달 15일 진행될 예정인 EBS 국감에 펭수를 불러 출연료와 수익 등이 공정하게 배분됐는지 묻겠다고 밝혔는데요.', '이와 관련해 펭수 연기자의 신상이 공개되면 지금까지 이어져 온 펭수 정체성에 타격이 있다며 반발하는 목소리가 나옵니다.', '일부 네티즌들은 펭수는 펭수일 뿐, 정치적인 이슈 거리로 펭수를 이용하지 마세요라며 펭수의 국감 출석을 반대하고 있습니다.           ']"
2,SBSCNBC,[조간브리핑] 文 어제 스가와 전화 통화…“강제징용 최적의 해법 찾자”,"['오늘(25일) 자 조간신문 펼쳐보겠습니다.', '오늘 자 조간신문 북한군이 소연평도 인근 해상에서 실종된 우리 공무원 A씨를 총으로 사살 한 뒤 불에 태운 것으로 알려졌습니다.', '문재인 대통령은 이번 사건에 대해 어떤 이유로든 용납할 수 없다며 북한 당국은 책임 있는 답변과 조치를 취해야 한다고 말했습니다.', '군 당국에 따르면 A씨는 실종 다음 날 오후 3시 30분 북측 선박에서 처음 발견됐습니다. ', '그리고 6시간 뒤인 밤 9시 40분쯤 북한군이 A씨에게 총격을 가한 것으로 확인됩니다.', '그리고 우리 정부는 A씨가 숨지고 나서 약 37시간 만에 공식 발표를 내놨는데요.', '청와대는 정확한 사실관계를 파악하는 데 시간이 걸렸다고 설명했습니다.', '하지만 청와대의 해명에도 30시간 넘게 걸린 데 대해 계속해서 논란이 일고 있고요. ', '월북으로 추정된다는 국방부에 설명에 유족들은 크게 반발하고 있고 있습니다.', '문재인 대통령은 어제 새로 취임한 스가 요시히데 일본 총리가 첫 전화 통화를 가졌습니다.', '20분간 이뤄진 이번 전화회담에서 문 대통령과 스가 총리는 양국 현안에 대해 의견을 교환했는데요.', '문 대통령은 한국과 일본은 친구이자 동반자라며 강제징용 등 현안 해결을 위해 새롭게 노력하자고 제안했습니다.', '이에 스가 총리도 현재 매우 어려운 상황에 있는 양국 관계를 이대로 방치해선 안된다고 말한 것으로 전해집니다.', '두 정상은 코로나19 위기 극복에도 힘을 모으기로 했습니다.', ""하지만  스가 총리가 '일본의 일관된 입장'이라는 말을 한 점을 미루어볼 때 한일 관계 개선은 여전히 쉽지 않아보입니다."", '정부의 의료정책에 반대하며 의사 국가고시 응시 거부에 나섰던 의대생들이 국시에 응하겠다는 의사를 공식적으로 밝혔습니다.', '이들은 공동성명서를 발표하고 학생 본연의 자리로 돌아가 옳은 가치가 바른 의료를 위해 노력하고자 한다고 전했습니다.', ""보건복지부는 의대생들이 응시 의사를 밝힌 데 대해 '국민들의 이해가 필요한 사안'이라며 아직 결정된 것 없다는 입장을 밝혔는데요."", '올해 국시는 지난 8일부터 이미 시작돼 진행 중인 상태라 만약 추가시험이 실시되더라도 최소 11월 11일 이후에나 가능할 것으로 보입니다.', '뉴욕증시가 기술주를 중심으로 급락하면서 국내증시도 코스피가 한 달여 만에 2200선으로 주저앉고 코스닥지수도 800 초반대까지 밀렸습니다.', '아시아 증시 가운데는 코스피 지수 낙폭이 가장 컸는데요.', '코로나19 사태 이후 가장 빠르게 회복했고 미국 증시의 조정에도 상대적으로 조정을 덜 받았던 한국증시의 낙폭이 유독 큰 상황입니다.', '전문가들은 그동안 계속 올랐던 증시에 대한 차익 실현 욕구가 커졌다며 2100 후반대까지는 조정 받을 것으로 내다봤는데요.', '유럽에서 코로나19 재확산 흐름이 이어지고 미국의 추가 경기부양책 합의 불발 가능성과 대선에 따른 불확실성이 투자심리를 위축시키는 것으로 분석됩니다.', '이스타항공 창업주로 대량 해고 사태 책임자로 지목돼 온 더불어민주당 이상직 의원이 어제 스스로 탈당했습니다.', '이 의원은 민주당 윤리감찰단 조사에 따라 이르면 추석 전 제명과 같은 고강도 징계를 받을 것으로 예상됐었는데요.', '이에 먼저 탈당을 선언한 것으로 보입니다.', '이 의원은 어제 기자회견을 열고 당에 폐 끼치지 않고 잠시 당을 떠나있겠다며 이스타 항공 일자리를 되살려놓고 되돌아오겠다는 복당 의지를 밝혔습니다.', '하지만 정치권 안팎에선 이 의원의 갑작스러운 탈당에 대한 비판이 이어집니다.', ""특히 전 날 국민의 힘 박덕흠 의원 탈당에 대해 '꼬리자르기' 라며 의원직 사퇴를 요구했던 민주당은 민망해졌습니다.      ""]"
3,SBSCNBC,정부 “의사국시 재응시 기회 어렵다”,"['정부가 의대생 국가고시 거부와 관련해 기존 입장을 재확인했습니다.', '손영래 보건복지부 대변인은 오늘(13일) 정례브리핑에서 “정부 입장은 이미 밝혀드린 바와 동일하다”면서 “본과 4학년 학생이 단체 행동을 잠정적으로 중단하기로 한 결정은 환영하는 바”라고 밝혔습니다.', '앞서 전국 의대 본과 4학년 학생들은 오늘 오후 공동 성명서를 통해 단체행동을 잠정적으로 중단한다고 밝혔습니다. ', '전국 40개 의대 본과 4학년 대표 40인은 ""옳은 가치와 바른 의료를 지키겠다는 마음에는 일말의 변함도 없다""며 ""정부가 법안을 재검토하고 진정 국민을 위한 의료정책을 펼치는지 선배 의사들과 함께 계속 지켜볼 것""이라고 설명했습니다.           ']"
4,SBSCNBC,의대 4학년들 국시거부 행동 유보…“방침 추후 발표”,"['전국 의대 본과 4학년 학생들이 정부 정책에 반대해 나섰던 단체행동을 잠정 유보하기로 했습니다.', '전국 40개 의대 본과 4학년 대표 40인은 오늘(13일) 공동 성명서를 내고 ""어제(12일) 응시자 대표 회의 결과, 단체행동을 잠정 유보하기로 했다""며 ""추후 행동방침을 발표할 예정""이라고 밝혔습니다.', '본과 4학년 학생들이 단체행동 방식으로 의사 국가고시를 거부했던 만큼, 의료계에서는 이들이 사실상 국시에 응시하겠다는 뜻을 밝힌 것으로 해석하고 있습니다.', '대표 40인은 ""옳은 가치와 바른 의료를 지키겠다는 마음에는 일말의 변함도 없다""며 ""정부가 법안을 재검토하고 진정 국민을 위한 의료정책을 펼치는지 선배 의사들과 함께 계속 지켜볼 것""이라고 설명했습니다.']"
5,SBSCNBC,‘독자노선’ 의대협 “동맹휴학 유지…의대생 낙동강 오리알 됐다”,"['전국 의대생들이 동맹휴학 등 집단행동을 계속하기로 결정했습니다.', '의사협회와 정부 합의로 진료 현장에 복귀한 전공의들과는 다른 노선을 걷겠다는 건데요.', '자세한 내용 신윤철 기자 연결합니다.', '대한의과대학·의학전문대학원 학생협회는 오늘(11일) 정부 의료정책에 반대해 동맹휴학 방침을 유지하겠다고 밝혔습니다.', '의협과 정부 간 합의안을 받아들일 수 없다는 게 이유인데요.', '의대협은 성명서를 내고 ""학생들은 홀로 남아 낙동강 오리알 신세가 됐다""며 ""국가고시 거부에 대해선 이번주 내 결론을 낼 것""이라고 말했습니다.', '다만 의료계 안에서도 의견이 갈리고 있는데요.', '의사 출신인 정의화 전 국회의장은 본인 페이스북에서 ""평지풍파를 일으킨 정부가 학생들을 포용해야 한다""고 말한 반면, 한국의과대학·의학전문대학원협회, KAMC는 ""의대생들이 본연의 자리로 돌아올 때""라며, 단체행동을 중단해야 한다는 내용의 호소문을 발표했습니다.', '관건은 구제방안인데, 정부는 입장 변화가 없죠?', '정부는 추가 시험은 없다는 입장입니다.', '이미 시험을 2차례 연장했음에도 의대생들 스스로 국시를 거부한 것이고, 국민 반발도 큰 상황이라고 설명했는데요.', '실제로 의대생 구제를 반대하는 청와대 국민청원에 50만 명 이상이 찬성했고 한 여론조사에서도 응답자 절반 이상이 구제에 반대한다고 밝히기도 했습니다.', '변수는 의협과 복지부가 서명한 5개 조항 합의문 중 4번 조항입니다.', '""의료인 보호에 구체적인 대책을 마련하여 시행한다""는 내용인데, 의료계는 이 \'의료인\'에 대정부 투쟁에 나선 의대생 구제도 포함된다고 보는 반면, 정부는 ""코로나19 대응 중 발생할 수 있는 위험요소에 대해 의료인을 보호하겠다는 뜻""으로 해석하고 있습니다.', '이런 입장차가 정부와 의료계 갈등에 다시 불을 지필 수 있다는 관측도 나옵니다.', 'SBSCNBC 신윤철입니다.           ']"
6,SBSCNBC,[인사] 보건복지부,['▲손호준 인사과장 ▲김국일 보건의료정책실 보건의료정책과장 ▲김현숙 보건의료정책실 의료자원정책과장 ▲진영주 건강보험정책국 보험정책과장 ▲배경택 건강정책국 건강정책과장 ▲정태길 보건산업정책국 보건산업진흥과장 ▲유보영 인구정책실 치매정책과장 ▲최봉근 연금정책국 국민연금재정과장 ▲조우경 질병관리본부 미래질병대비과장 ▲노정훈 보건의료정책실 공공의료과장 ▲설예승 사회복지정책실 기초생활보장과장          ']
7,SBSCNBC,[핫이슈 키워드] 추미애·카투사 규정·당직병의 반격·윤영찬·국내 코로나 치료제,"['이슈의 흐름을 살펴보는 핫이슈 키워드 시간입니다.', '인터넷과 SNS를 뜨겁게 달군 오늘(9일)의 키워드 알아봅니다.', '추미애 법무부 장관의 아들 군대 특혜 의혹이 연일 불거지고 있습니다.', '가장 큰 쟁점은 추 장관 아들 서 모 씨의 군 시절 휴가 미복귀, 탈영 의혹입니다.', '추 장관 측은 아들이 카투사로 복무해 미군 규정을 적용받는다면서, 전혀 문제가 없다고 거듭 해명했습니다.', '하지만 군은 카투사 병사도 육군 병사와 동일한 규정을 적용한다고 밝혔는데요.', '단, 부득이한 경우 예외 규정이 있다고 했는데 서 씨의 사례가 이 규정에 해당하는지는 아직 밝혀지지 않았습니다.', '추 장관의 자녀 특혜 의혹에 대한 야당의 공세 속에 더불어민주당 일부 의원들은 강한 어조로 반박했습니다.', '민주당 정청래 의원은 한 라디오 인터뷰에서 추 장관 측 보좌관이 군에 청탁 전화를 했다는 의혹과 관련해 아들과 보좌관이 친하니까 엄마가 아니라 보좌관 형한테 어떻게 해야 하는지 물어본 것이라며, 식당에 가서 김치찌개 시킨 걸 빨리 달라고 하면 이게 청탁이냐, 민원이냐고 되물었습니다.', '또 김남국 의원도 자신의 SNS에 군대를 갔다 왔으면 이런 주장을 못 한다는 내용의 글을 올렸습니다.', '추 장관 아들 군 휴가 특혜 의혹과 관련해 당시 당직병이었던 A 씨는 서 씨가 병가 이후 부대로 복귀하지 않아 전화했고, 군 관계자가 휴가로 처리하라 지시했다고 밝혔었죠.', '이에 추 장관 측은 A 씨가 당직을 섰다고 주장한 요일에 서 씨는 이미 휴가 처리돼서 통화할 일도 없었고, 통화한 사실도 없다며 해당 의혹을 반박했는데요.', '국민의 힘 윤한홍 의원실에 따르면 A 씨는 서 씨가 자신의 어머니를 믿고 거짓말을 하고 있다며, 국회에 나가 말하겠다 밝힌 것으로 알려집니다.', ""어제 민주당 윤영찬 의원이 보내던 휴대전화 메시지 '카카오 들어오라 하세요'라는 내용이 논란이 되고 있습니다."", '누군가 윤 의원에게 포털사이트 다음에 국민의 힘 주호영 원내대표의 연설이 메인 화면에 떴다고 하자 이런 반응을 보인 건데요.', '국민의 힘은 포털 장악 시도라며 비판했고, 윤 의원은 불공정에 대한 항의였을 뿐이라고 말했습니다.', '국산 코로나19 치료제가 곧 나올 예정입니다.', ""방역 당국은 코로나19를 치료하기 위한 '항체 치료제'를 이번 달 안으로 대량생산할 계획이라고 밝혔습니다."", ""다만 대량 생산할 항체치료제는 임상용으로 쓰이는 '생산 공정 검증용'으로, 추후 추가 임상시험을 거쳐 허가를 받아야 상업용으로 판매가 가능합니다."", '당국은 필요할 경우, 임상 3상이 끝나기 전이라도 긴급승인 형식을 통해 위중한 환자들에겐 쓸 수 있게 할 방침입니다.', '정부의 의료정책에 반발해 무기한 파업에 나섰던 전공의들이 진료에 복귀하고 있습니다.', '이제 남은 건 의대생들의 의사 국가 고시인데요.', '정부는 의대생들에게 국가고시 추가 접수 기회를 부여하는 방안은 생각하고 있지 않다고 밝혔습니다.', '정부의 강경한 방침에 맞서 학생들도 학생들대로 단호한 입장을 유지하고 있는데요.', '새 집행부를 꾸린 대한전공의협의회는 이 문제가 해결되지 않으면 복귀를 철회할 수 있다는 뜻을 내비쳤습니다.', '의대생들의 의사 국가고시 시험 거부가 새로운 뇌관이 될 것으로 보입니다.', ""사회적 거리두기 격상 이후 사람이 몰리며 '방역의 허점'이라는 지적까지 나온 한강공원이 결국 폐쇄됐습니다."", '서울시는 어제부터 한강공원의 3개 공원을 일부 통제하고, 밤 9시부터는 11개 한강공원 안에 있는 매점과 카페, 주차장까지 모두 문을 닫기로 했습니다.', '하지만 통제 첫날에도 여전히 한강공원에서 음식을 먹거나 통제선을 넘나드는 시민들이 있었는데요.', '단속 잘 지키면서 모두가 코로나 방역에 신경 써야겠습니다.', ""코로나19 사태 이후 직원 없는 '나 홀로' 자영업자가 늘고 있는 것으로 나타났습니다."", '한 사람 이상 직원을 둔 자영업자 수는 코로나19가 본격 확산된 이후 크게 줄어들었는데요.', '중소기업연구원과 통계청에 따르면, 한 사람 이상 직원을 둔 자영업자 수는 올해 7월 지난해 같은 달보다 17만 5천 명 줄어들었습니다.', '인건비와 임대료가 부담돼 고용했던 직원을 해고하거나 1인 창업에 나선 사람들이 많아진 것으로 풀이됩니다,          ']"
8,SBSCNBC,[조간브리핑] 추미애 아들 ‘군 특혜’ 의혹…20·30 지지층 이탈 불가피,"['오늘(9일)자 조간신문 펼쳐보겠습니다.', '정부의 의료정책에 반발해 무기한 파업에 나섰던 전공의들이 진료에 복귀하고 있습니다.', ""국내 '빅 5'로 꼽히는 상급종합병원 소속 전공의들이 모두 복귀하기로 하면서 전공의들의 업무 불참 비율도 32.7%로 크게 낮아졌습니다."", '다만 코로나19 검사를 받아야 하고 그동안 밀린 수술과 외래진료 일정 등을 감안할 때 의료 정상화까지는 다소 시간이 걸릴 것으로 보입니다.', '또 새로 꾸려진 비대위가 파업 중단을 계속할 의사를 내비쳐 이 점이 변수로 꼽히고요.', '의대생들의 의사 국가고시 시험 거부도 새로운 불씨가 되고 있습니다.', '추미애 법무장관의 아들 군대 특혜 의혹이 연일 불거지고 있습니다.', '가장 큰 쟁점은 추 장관 아들 서모씨의 군 시절 휴가 미복귀, 탈영 의혹입니다.', '추 장관 측은 아들이 카투사로 복무해 미군 규정을 적용받는다면서 전혀 문제가 없다고 거듭 해명했습니다.', '하지만 군은 카투사 병사도 육군 병사와 동일한 규정을 적용한다고 밝혀 논란이 커지고 있고요.', '서 씨가 평창 동계올림픽의 통역병이 되도록 압력이 있었다는 의혹 서 씨의 부대 배치 청탁 여부도 논란거리입니다.', '야권에선 젊은층에게 분노와 절망을 안겨주고 있다며 연일 공세를 퍼붓고 있는데요.', '불법여부를 떠나서 20~30대 지지 이탈로 여권에 타격이 불가피하다는 관측도 나옵니다.', ""코로나19 사태 이후 직원 없는 '나홀로' 자영업자가 늘고 있는 것으로 나타났습니다."", '고용했던 직원을 해고하는 경우가 많고 창업을 하더라도 운영 부담 때문에 1인 창업에 나서기 때문으로 보입니다.', '동아일보가 통계청 자료를 분석한 결과 자영업자 가운데 한 사람 이상의 유급 직원을 둔 자영업자 수는 코로나19가 본격 확산된 이후 크게 줄었습니다.', '코로나 사태로 손님 수는 줄어드는 데 인건비와 임대료가 부담돼 직원을 내보낸 경우가 많아졌기 때문으로 풀이됩니다.', ""반면 유급 직원 없이 1인 또는 무급 가족 종사자와 사업체를 운영하는 '고용원 없는 자영업자'는 7월 420만 3천 명으로 2월보다 17만 9천 명 증가했습니다."", '한 전문가는 자영업자에게 고용된 직원 대부분은 학생이나 저소득층 같은 취약계층으로 코로나19가 사회적 약자에게 더 큰 타격을 주고있다는 뜻이라고 지적했습니다.', '9월에도 국내 개인투자자들은 미국 주식을 공격적으로 사들이고 있습니다.', '한국예탁결제원에 따르면 한국 투자자들은 이달 들어 지난 4일까지 해외주식을 9억 4796만 달러 , 우리돈으로 약 1조 1267억 원 어치를 사들였습니다.', '나스닥 지수가 이 기간 동안 6% 넘게 빠졌고 애플과 테슬라 같은 대형 기술주가 조정을 받자 기회라고 판단한 건데요.', ""국내 '개미'들은 주가가 하락하면 매수해 오르면 차익을 실현하는 '저가매수 전략'을 미국 시장에도 그대로 활용하고 있습니다."", '다만 이 전략이 계속 맞아 떨어질 지 우려의 목소리도 나오는데요.', '특히 테슬라는 조정의 폭과 기간을 가늠하기 어렵다는 분석이 이어지고 있어 신중한 투자가 필요해 보입니다.', ""사회적 거리두기 격상 이후 사람이 몰리며 '방역의 허점'이라는 지적까지 나온 한강공원이 결국 폐쇄됐습니다."", '서울시는 어제부터 한강공원의 3개 공원을 일부 통제하고 밤 9시 부터는 11개 한강공원 안에 있는 매점과 카페, 주차장까지 모두 문을 닫기로 했습니다.', '출입통제 첫 날, 한강공원 분위긴 어땠을까요?', '금지구역에서 음식을 먹는 사람들이 여전히 나타나면서 구멍이 드러났다는 지적입니다.', '일부 시민들은 통제선 안쪽을 자유롭게 드나들고 심지어 마스크를 쓰지 않은 시민들도 있었다는데요.', '단속 잘 지키면서 모두가 코로나 방역에 신경써주기기 바랍니다.                ']"
9,SBSCNBC,[2보] 초대 질병관리청장 정은경…신설 보건담당 2차관 강도태,"[""            문재인 대통령은 8일 질병관리본부에서 '청'(廳)으로 승격된 질병관리청의 초대 청장으로 정은경 질병관리본부장을 내정했다."", '또한 신설된 보건복지부 제2차관에 강도태 보건복지부 기획조정실장을, 여성가족부 차관에는 김경선 고용노동부 기획조정실장을 각각 발탁했다.', '강민석 청와대 대변인은 이날 브리핑에서 이 같은 인선 결과를 발표했다.', '정 신임 청장은 서울대 의학과 출신으로 질병관리본부 질병예방센터장, 긴급상황센터장 등 요직을 두루 거쳤으며, 신종 코로나바이러스 감염증(코로나19) 사태를 맞아 방역 최일선에 서 왔다.', '문 대통령의 이번 인선은 코로나19 방역을 책임져온 정 청장의 노고를 격려하는 동시에 방역 대책의 연속성을 갖고 코로나19 확산 차단에 주력해 달라는 당부를 담은 것으로 보인다.', '문 대통령은 2015년 메르스(중동호흡기증후군) 사태 당시 야당 대표로서 질병관리본부를 찾아 당시 질병예방센터장이었던 정 청장의 보고를 받았고, 정 청장은 문재인 정부 출범 후 질병관리본부장에 올랐다.', '강도태 신임 보건복지부 제2차관은 고려대 무역학과와 행시 35회 출신으로, 보건복지부 복지행정지원관, 보건의료정책관, 보건의료정책실장 등 보건 분야 요직을 두루 거친 관료다.', '보건복지부 제2차관은 보건 분야를 전담한다.', '청와대는 ""보건복지부 제2차관은 보건의료 분야의 전문성 강화와 국민 및 의료계와의 원활한 소통을 통해 보건의료 관련 현안을 슬기롭게 해결해 나가는 역할을 할 것""이라고 설명했다.', '앞서 정부는 이날 오전 문 대통령 주재 국무회의에서 질병관리본부를 질병관리청으로 승격하고, 보건복지부에 보건 분야 차관을 신설하는 내용의 직제 개편안을 처리했다.', '김경선 여성가족부 차관은 서울대 영문학과와 행시 35회 출신으로, 노용노동부 여성고용과장, 청년여성고용정책관, 고령사회인력정책관 등을 지냈다.', '(서울=연합뉴스)          ']"
