,Press,Title,Text
0,news1,"정부 의료정책 '브레이크 안 밟는 버스기사'에 빗댄 의대생 글 논란 현직 버스기사 ""존중 받으려면 다른 직업도 존중해야""'단순 비유일 뿐 명예훼손 맞나' 의견도(부산=뉴스1) 박세진 기자|2020-08-31 11:13 송고기사보기네티즌의견인쇄확대축소","논란이 된 게시글(커뮤니티 캡쳐)© 뉴스1부산의 한 의과대학 학생이 사회관계망서비스(SNS)에 의료정책을 추진하고 있는 정부를 '벼랑 끝으로 몰고가는 버스기사'에 빗대어 비판했다가 논란이 일자 사과하는 일이 벌어졌다.정부의 의료정책 반대활동을 위해 개설한 것으로 보이는 인제대학교 의과대학 SNS 'DO RIGHT'에는 최근 한 의과대생이 정부를 '브레이크를 밟지 않는 버스기사'로 빗대는 글을 올렸다.그는 ""당장 좋아보이는 듯한 프레임에 가두고 수만가지의 사실을 감춘 채 국민의 생명을 위협할 것이 뻔한 이 정책을 미친 듯이 몰고가고 있다""며 ""온 국민을 태운 이 버스 기사는 브레이크를 밟을, 핸들을 돌릴 생각도 없다""고 적었다.이어 ""당장 버스를 멈출 방법을 도저히 찾을 수 없어 손에 손 잡고 진을 치고 있는 어떤 사람들이 있다""며 ""당신의 원망은 브레이크를 밟지 않는 버스기사에게 향할 것인가 그 버스를 멈추려는 어떤 사람들을 향할 것인가""라고 말했다.이 게시글을 두고 자신이 현직 버스기사임을 인증한 한 커뮤니티 이용자가 ""이번 의사파업 정말 실망입니다""라는 글을 올리면서 논란이 수면위로 올라왔다.그는 ""이번 의사협회 파업에서 매우 언짢은 내용을 봐서 이런 글을 올리게 됐다""며 ""본인들이 파업하는데, 왜 다른 직업군을 빗대어 자신들과 반대입장을 비하하는데 이용하는지 의문이다""고 불편한 심기를 내비췄다.이어 ""일전에 '덕분에'수어를 뒤집어서 농인분들께 큰 실례를 했던적이 있는데, 이번 내용은 버스 운전을 직업으로 가진 사람들이 불쾌할 수 밖에 없는 내용""이라며 ""자신들의 직업이 존중받고 싶으면 타 직업을 존중해주길 바란다""고 강조했다.그러면서 ""이번 파업을 비난할지라도 모든 의사를 비난해선 안된다고 생각한다""며 ""마찬가지로 다른 직업군도 이유없이 비난 받아서는 안된다""고 말했다.게시글에는 ""빗길에 미끄러져서 버스가 낭떠러지로 구르는 사고 심심찮게 나오고, 버스기사가 상상도 하기 싫은 끔찍한 상황인데 저렇게 그려대니 화가나는 것""이라는 등의 댓글이 달렸다. 논란이 확산되자 'DO RIGHT' 측은 31일 ""어제 오전 올린 게시글에 다른 직업군에 비유한 표현이 불편함을 줄 수 있다는 의견이 있었다""며 ""해당 게시글을 통해 불쾌함을 느꼈을 분들께 사과의 말을 전한다""는 내용의 글을 게시했다.한편 이를 두고 ""비유인데 이게 무슨 버스 기사분들의 명예까지 훼손한건지 잘 모르겠다"", ""주관적인 감정, 느낌은 모두 존중받을 수 있고, 이는 감성의 영역이기 때문에 뭐라할 건 없다"" 등의 반응도 나오고 있다.sjpark@news1.kr"
1,news1,"문대통령 지지율 2%p 하락해 45%…의료정책 지적 늘어 부동산정책, 부정평가 이유 9주 1위…코로나 대처는 '긍정'의료정책, 부정평가 이유 비중 2%→7% 확대(서울=뉴스1) 박주평 기자|2020-09-04 10:32 송고기사보기네티즌의견인쇄확대축소","문재인 대통령이 3일 오전 청와대 영빈관에서 제1차 한국판 뉴딜 전략회의를 주재하고 있다. 2020.9.3/뉴스1 © News1 박정호 기자문재인 대통령의 국정수행 지지율이 지난주(47%)보다 2%포인트(p) 하락한 45%를 기록했다. 의료계가 이날 정부·여당과 협상을 타결했지만, 그간 대치가 장기화하면서 관련 부정평가가 늘었다. 여론조사 전문업체 한국갤럽은 지난 1~3일 전국 18세 이상 성인 1002명을 대상으로 '문 대통령이 직무를 잘 수행하고 있다고 보는지' 물은 결과, 긍정 평가는 지난주(47%)보다 2%p 하락한 47%를 기록했다고 4일 밝혔다.부정평가는 44%로 지난주(43%)보다 1%p 늘었고 10%는 의견을 유보했다. 연령대별 긍정률과 부정률은 △18~29세(이하 '20대') 30% 대 54% △30대 58% 대 33% △40대 55% 대 37% △50대 49% 대 45% △60대 이상 39% 대 49%다. 지난주와 비교할 때 20대에서 변화가 상대적으로 크다(20대 남성 28%/61%→18%/68%, 20대 여성 53%/27%→43%/39%).더불어민주당 지지층의 81%가 대통령 직무 수행에 대해 긍정적으로 평가했고, 미래통합당 지지층은 87%가 부정적이다. 현재 지지하는 정당이 없는 무당층에서도 부정률이 앞섰다(긍정 24%, 부정 55%).긍정평가 이유로는 '코로나19 대처'(44%)가 29주째 1위를 차지했고, '전반적으로 잘한다'(9%), '최선을 다함/열심히 한다'(6%), '국민 입장을 생각한다'(5%), '복지 확대'(4%), '기본에 충실/원칙대로 함/공정함', '주관·소신 있다'(이상 3%) 순으로 나타났다.부정 평가 이유로는 '부동산 정책'(19%)이 9주째 1위다. 다만 부동산 문제는 최근 코로나19 재확산으로 주목도는 낮아졌다(33%→19%). 이어 '전반적으로 부족하다', '독단적/일방적/편파적'(이상 9%), '코로나19 대처 미흡', '경제/민생 문제 해결 부족'(이상 8%), '의료 정책'(7%), '인사(人事) 문제', '국론 분열/갈등'(이상 4%), '소통 미흡'(3%) 등을 지적했다. '의료 정책' 응답은 지난주 처음 등장했고, 응답률도 2%에서 7%로 늘었다. 정부·의료계 대치 장기화에 따른 파급력이 커진 것으로 보인다. 정당 지지도는 더불어민주당이 39%로 지난주(38%)보다 1%p 올랐다. 이어 미래통합당(국민의힘)은 지난주와 같은 20%를 기록했다. 갤럽은 ""미래통합당은 이번 조사 기간 중인 9월2일 당명을 '국민의힘'으로 변경했다. 현재 정당 지지도를 포함한 언론 공표용 조사는 중앙선거관리위원회에 사전 신고한 질문 그대로 진행해야 한다""며 ""따라서 미래통합당으로 묻되, 국민의힘을 지지한다고 답한 사례도 미래통합당으로 집계했다""고 설명했다. 무당층은 29%, 정의당과 국민의당 각각 4%, 열린민주당 3% 순이며 그 외 정당들의 합이 1%다. 정치적 성향별로 보면 진보층의 69%가 민주당, 보수층의 50%가 통합당을 지지한다고 밝혔다. 성향 중도층이 지지하는 정당은 민주당 34%, 통합당 16% 순이며, 36%가 지지하는 정당을 답하지 않았다. 연령별 무당층 비율은 20대에서 54%로 가장 많았다.이번 조사는 전화조사원 인터뷰 형식으로 진행됐으며 표본오차 ±3.1%p(95% 신뢰수준)에 응답률은 18%다. 자세한 사항은 중앙선거여론조사심의위원회 홈페이지에서 확인할 수 있다. jupy@news1.kr"
2,news1,"문대통령 국정지지율 47% 유지…'의료정책' 부정평가 이유 등장 부정평가 45%→43%, 지난주 8%p 급등한 지지율 숨고르기전공의 등 집단휴진 여파로 '의료정책' 부정평가 등장(서울=뉴스1) 박주평 기자|2020-08-28 10:32 송고기사보기네티즌의견인쇄확대축소","문재인 대통령이 27일 청와대 본관에서 김태영, 류정호, 문수석 한국교회총연합 공동대표회장과 이홍정 한국기독교교회협의회 총무 등 한국 교회 지도자들과 간담회를 하고 있다. 2020.8.27/뉴스1 © News1 박정호 기자지난주 급반등했던 문재인 대통령의 국정수행 지지율이 47%를 유지했다. 최근 진행 중인 의료계 파업 영향으로 '의료 정책'이 부정평가 이유로 처음 등장했다. 여론조사 전문업체 한국갤럽은 지난 25~27일 전국 18세 이상 성인 1002명을 대상으로 '문 대통령이 직무를 잘 수행하고 있다고 보는지' 물은 결과, 긍정 평가는 지난주와 같은 47%를 기록했다고 28일 밝혔다. 부정 평가는 43%로 지난주(45%)보다 2%p 하락했고 9%는 의견을 유보했다. 문 대통령의 직무 긍정률은 지난 5월부터 하락세를 거듭했고 8월 둘째 주에 39%로 취임 후 최저치를 기록했으나, 신종 코로나바이러스 감염증(코로나19)이 다시 급격히 확산하면서 지난주 47%로 8%p 반등한 바 있다. 코로나19 재확산 직전인 지난 8월 둘째 주의 대통령 직무 긍정률은 남성 37%, 여성 40%로 비슷했으나 지난주부터 성별 차이가 벌어졌다. 이번 주 남성의 직무 긍정률은 43%, 여성은 52%로 두 주간 상승폭이 각각 6%p, 12%p로 차이를 보였다.연령대별 긍정률과 부정률은 △18~29세(이하 '20대') 40% 대 45% △30대 54% 대 39% △40대 59% 대 35% △50대 47% 대 49% △60대 이상 41% 대 46%다. 현재 지지하는 정당이 없는 무당층에서도 부정률이 앞섰다(긍정 30%, 부정 51%).(한국갤럽 제공) © 뉴스1긍정평가 이유로는 '코로나19 대처'(44%)가 28주째 1위를 차지했고, '최선을 다함/열심히 한다'(9%), '전반적으로 잘한다'(6%), '복지 확대'와 '서민 위한 노력'(이상 4%) 등이 뒤를 이었다.부정 평가 이유로는 '부동산 정책'(33%)이 8주째 1위다. 이어 '경제·민생 문제 해결 부족'(11%), '독단적/일방적/편파적'과 '코로나19 대처 미흡'(이상 10%) '전반적으로 부족하다'(9%), '공정하지 못함/내로남불', '북한 관계', '인사(人事) 문제', '주관·소신 부족/여론에 휘둘림'(이상 3%) 등을 지적했다. 이번 주 새로 등장한 '의료 정책'(2%) 응답은 최근 의료계 파업 영향으로 보인다.8월 월간 통합 대통령 국정수행 지지율은 44%로 지난달(46%)보다 2%p 하락했다. 정당지지도는 더불어민주당이 38%로 지난주(37%)보다 1%p 하락했다. 미래통합당은 20%로 지난주보다 3%p 떨어졌다. 이외 무당층 30%, 정의당 7%, 국민의당과 열린민주당 각각 2% 순이다. 무당층 비율 30%는 4월 총선 이후 최대치다.정치적 성향별로 보면 진보층의 59%가 더불어민주당, 보수층의 51%가 미래통합당을 지지한다고 밝혔다. 성향 중도층이 지지하는 정당은 더불어민주당 40%, 미래통합당 16% 순이며, 31%가 지지하는 정당을 답하지 않았다. 연령별 무당층 비율은 20대에서 44%로 가장 많았다.8월 통합 기준 정당 지지도는 더불어민주당 37%, 무당층 27%, 미래통합당 24%, 정의당 7%, 국민의당과 열린민주당 각각 3% 순이다. 정당 지지도를 성·연령별로 보면 40·50대에서는 남녀가 대체로 비슷한 분포를 보이지만, 20·30대 여성은 같은 연령대 남성보다 여당과 제1야당 지지도 차이가 크다. 이번 조사는 전화조사원 인터뷰 형식으로 진행됐으며 표본오차 ±3.1%p(95% 신뢰수준)에 응답률은 18%다. 자세한 사항은 중앙선거여론조사심의위원회 홈페이지에서 확인할 수 있다.전국의사 2차 총파업(집단휴진) 이틀째인 27일 오후 서울 종로구 서울대병원 응급의료센터 입구에 응급실 진료 지연 안내문이 붙어 있다.대한전공의협의회(대전협) 등에 따르면 업무개시 명령으로 중앙대병원 전공의 170명, 고려대 안산병원 전공의 149명, 신촌 세브란스 병원 응급의학과 전공의 29명 전원이 사직서를 썼다고 밝혔다.보건복지부는 사직서 제출 역시 의료법 위반이며 업무개시를 거부한 기관에는 업무정지 처분이, 의사 개개인에게는 최대 3년 이하 징역 또는 3000만원 이하 벌금형을 비롯해 1년 이하 의사 면허정지가 내려질 수 있다고 밝혔다. 2020.8.27/뉴스1 © News1 김진환 기자 jupy@news1.kr"
3,news1,"의협 ""정부, 의료정책 철회 의사 없어…파업 예정대로""(종합) ""정부의 '협의' 제안 구체성 없어…의사들 기만하는 행위""""국민들 불편은 죄송…필수의료는 멈추지 않을 것""(서울=뉴스1) 박동해 기자|2020-08-21 15:56 송고 | 2020-08-21 16:08 최종수정기사보기네티즌의견인쇄확대축소","최대집 대한의사협회 회장이 21일 오후 서울 용산구 의사협회 용산임시회관에서 대국민 담화를 발표한 후 취재진 질문에 답변하고 있다.2020.8.21/뉴스1 © News1 김진환 기자대한의사협회(의협)가 '집단행동을 중단하면 의대정원 확대 등 공공의료 확대정책을 유보하겠다'는 정부의 제안을 거부하고 파업을 예정대로 진행하겠다는 의사를 밝혔다.최대집 의협 회장은 오후 3시쯤 서울 용산구 의협임시관에서 긴급 기자회견을 열고 ""정부가 의대 정원확대, 공공의대 설립, 첩약 급여화 시범사업, 비대면 진료 육성 등 4대악 의료정책을 철회 시 파업을 잠정 유보한다""고 밝혔다.정부가 먼저 공공의료 확대 정책을 철회하고 원점에서 재논의하겠다는 의견을 밝혀야 파업계획을 중단할 수 있다는 것이다.최 회장은 정부가 정책을 철회하지 않고 있기 때문에 26일부터 3일간 예정된 총파업 집단행동을 계획대로 진행할 것이라고 밝혔다. 의료계에서는 이날부터 전공의를 중심으로 한 무기한 집단휴진이 이뤄지고 있다.앞서 정부는 의협과 대한전공의협의회에 집단행동을 중단할 경우 모든 가능성을 열어두고 관련 협의를 진행해 나갈 것이며 협의 기간 중에는 정부 정책 추진을 유보할 것이라는 제안을 한 바 있다.최 회장은 '협의'를 하자는 정부의 제안에 대해 협의의 기간, 형식, 내용이 불명확하다고 지적했다.그는 ""협의 기간이 지나면 얼마든지 유보된 정책이 추진될 수 있다""라며 ""어떤 형식으로 협의할 것인지, 협의 내용은 뭔지, 협의는 합의가 돼야 끝나는 것인지 전혀 알 수 없다. 협의 기간에만 정부 정책이 유보된다는 것은 의사협회의 의사들을 기만하는 것이다""라고 주장했다.이어 최 회장은 ""의사협회가 이런 문제의 논의에 대해서 반대하는 것은 아니다""라며 신종 코로나바이러스 감염증(코로나19) 사태가 안정되면 협의체를 구성해서 심도있는 연구를 진행하고 그 결과를 가지고 의논을 하자는 것이라고 설명했다.의협은 이날 단체행동에 대한 대국민 담화문도 발표했다. 담화문에서 의협은 단체행동으로 인해 ""국민께 불안을 드리는 것에 대해 죄송하다""면서도 ""의사들이 왜 단체행동에 이를 수밖에 없었는지 그 과정을 살펴달라""고 밝혔다.이어 의협은 정책 추진 과정에서 소통과 협치의 부재를 인정하고 정책을 철회한 뒤 의료계와 협력해 코로나19 대응에 총력을 다하자는 제안을 정부가 받아들이지 않고 있다고 지적했다.아울러 의협은 앞서 두 차례 단체행동에서도 분만, 응급, 중환자 치료 등의 필수적인 기능들은 그대로 유지되었다며 향후 집단행동에서도 필수의료 유지원칙을 지켜나갈 것이라고 말했다.potgus@news1.kr"
4,news1,"전공의 ""의료정책 전면 폐기를"" vs 정부 ""법 위반하라는 요구""(종합) 정부 ""공공의대·첩약은 수용 불가, 의사수는 대안 제시 땐 함께 논의""전공의 ""전임의·의대생과 비대위 구성, 잘못된 정책 끝까지 저항""(서울=뉴스1) 이형진 기자, 온다예 기자, 황덕현 기자, 강수련 기자|2020-09-01 13:30 송고 | 2020-09-01 22:25 최종수정기사보기네티즌의견인쇄확대축소","1일 오전 서울 영등포구 서울특별시의사회에서 열린 젊은의사 비상대책위원회 출범식에서 비대위원장을 맡은 박지현 대한전공의협의회 비대위원장(왼쪽 셋째)이 기자들의 질문에 답하고 있다. 왼쪽 둘째부터 조승현 대한 의과대학교 의학전문대학원 학생협회 회장, 박 위원장, 김지성 전임의 비상대책위 위원장. 2020.9.1/뉴스1 © News1 허경 기자대한전공의협의회(대전협)가정부의4대 의료 정책 철회를 요구하며 무기한 집단휴진을 강행하고 있지만 해결의 실마리가 보이지 않고 있다.전공의 파업으로 진료차질 장기화가 우려되고 있지만정부와 의료계는 타협점을 찾지 못하고 있다.정부는대전협이철회를 요구하는 정책 중에는법을 위반해야 하는 사항들이 포함되어 전면 수용이 불가하다면서대전협의 요구가 의대정원 확대 철회뿐이라면 정부를 믿고 논의에 임해야 한다는 입장이다.이에 반해 대전협은 전임의(임상강사), 의대생들은 함께 비상대책위원회를 구성하고, 정책 전면 철회를 서면으로 못 박아야 한다는 주장이다. 정부의 4대 의료 정책을 철회하고합의서에 '원점 재검토'를 명문화해야 한다는것이다.보건복지부와 대전협은 1일 오전 11시 정례브리핑과 기자회견을 각각 진행했다.◇ 복지부 ""첩약·공공의대 요구는 위법, 의사 수는 논의 가능""복지부는 대전협 측이 철회를 요구하는 의사 정원 확대·공공의대 신설·한방첩약 건강보험 시범적용 중공공의대 신설·한방첩약 건강보험 시범적용 정책은 법을 위반하거나 정부의 권한을 넘어서는 요구라고 반박했다.윤태호 복지부 공공보건정책관은 ""한방첩약 건강보험 시범사업은 국민건강보험법에서 정한 의결기구에서 논의해 결정된 사안이다. 정부에게 국민건강보험법을 위반하라는 요구""라며 ""공공의대 설립 철회 요구는 입법권에 관여된 사항""이라고 선을 그었다.그러면서 ""위법적 사유로 정부의 정책 철회가 불가능한 요구는 남는 것은 의사 수 확대 문제""라며 ""전공의 단체가 제기하는 3가지 정책 철회가 정부에게 권한을 넘어서거나 위법적 권한 행사를 요청하는 것인지, 의사 수 확대만을 문제 삼는 것인지 전공의 단체의 분명한 입장 정리가 필요하다""고 지적했다.윤 정책관은 의사 수 확대에 대해서는 ""정부는 이미 어떠한 조건도 걸지 않고 교육부 정원 통보 등 의사 수 확대 정책의 추진을 중단해 둔 상태""라며 ""이 과정에서 전공의단체가 의료전문가로서 새로운 정책 대안을 제시한다면 정부도 진정성을 가지고 함께 논의에 임할 것""이라고 강조했다.이어 ""문재인 대통령께서도 코로나19의 위기가 해소된 이후 정부가 약속한 협의체와 국회의 협의기구 등을 통해 의료계와 충분한 협의를 추진할 것이라고 말씀하셨다""며 ""국회, 의료계 원로 등에 대해 대통령까지 약속한 협의를 믿고 이제 전공의단체는 조속히 진료현장으로 돌아올 것을 요청 드린다""고 덧붙였다.아울러 최근 공공의대 설립이 현대판 음서제라는 일부 보도와 관련 ""모두 사실이 아니며 괴담에 불과하다""고 부연했다.◇ 전공의협의회 ""정책 철회 서면 합의문 작성 때까지 끝까지투쟁"" 반면, 전공의들과 전임의, 의대생들은 '젊은의사 비상대책위원회'를 구성하고 정책 철회가 서면 합의문으로 작성할 때까지 끝까지 대정부 투쟁을 이어가겠다는 방침이다.박지현 대전협 비대위원장은 ""우리는 의사가 아니라 대한민국 청년들로서 모든 청년들과 함께 연대하려 한다""며""선배, 후배의사가 하나 돼 잘못된 정책에 저항해 끝까지 맞서고 단일 협의체를 구성해 서면 합의문 작성이 이뤄질 때까지 함께 하겠다""고 밝혔다.조승현 대한의과대학 의학전문대학원 학생협회장은 ""우리는 국시를 미뤄 달라 주장하는 것이 아니라 처음부터 줄곧 정책의 정상화만을 요청했다. 정부의 입장에 변화가 있을 때까지 국시거부, 동맹휴학 등은 변화 없이 지속할 것""이라고 강조했다.전임의비대위는 ""전임의와 교수들은 여러분(의대생 등)이 단 하나의 불이익이라도 받지 않도록 온몸으로 막아내겠다""며 ""특히 의과대학생들이 소중한 인생을 허비하는 일까지 발생한다면 결코 좌시하지 않을 것""이라고 밝혔다.아울러 젊은의사 비대위는 정부와 소통창구를 대한의사협회가 중심으로 구성된 범의료계투쟁위원회로 단일화한다는 방침이다.박 위원장은 ""밤새워 수술하던 전공의를 고발하는 등 공권력 남용과 불통으로 매번 상황을 악화하고 있다""며 ""정부는 이제부터라도 폭압적 공권력 남용을 멈추고 범의료계투쟁위원회의 성실한 대화에 임해야 할 것""이라고 주장했다. hjin@news1.kr"
5,news1,"서울대 의대생 83% 휴학계 냈다…""일방적 의료정책 추진 분노"" ""1년 쉬게 될 수도 있으나 '서울대 의대' 이름 가볍지 않다""30일 기준 전국 의대생 1만4090명 휴학 동참…전체 91%(서울=뉴스1) 박동해 기자|2020-08-31 19:02 송고기사보기네티즌의견인쇄확대축소","서울대 정문 전경 2020.6.18/뉴스1 © News1 황덕현 기자정부의 의료정책에 반발해 전공의들이 무기한 파업을 진행하고 있는 가운데 서울대 의과대학 학생 80% 이상이 전공들의 파업을 지지하는 동맹휴학에 나선 것으로 확인됐다.서울대 의대 총학생회는 예과 학생 235명과 본과 학생은 375명이 지난 28일 휴학계를 제출했다고 31일 밝혔다. 본과 4학년을 제외한 학생 83%가 동맹휴학에 참여했다.김지현 서울대 의대 총학생회장은 동맹휴학 취지에 대해""이번 정부가 일방적으로 추진하는 정책에 대해 의료계의 아무런 협의도 하지 않은 것에 대해 학생들도 분노했다""고 밝혔다.휴학계 제출에 앞서 서울대 의대 학생회는 결의문을 통해 ""정부의 마음을 바꾸지 못한 채 1년을 쉬게 될지도 모르는 두려움도 생긴다""면서도 ""'서울대학교 의과대학'이라는 이름이 가지는 의미는 결코 가볍지 않다""라고 밝히기도 했다.한편 대한의과대학·의학전문대학원학생협회(의대협)은30일 기준 본과 4학년을 제외한 전국의 의대생 1만5542명 중 91%인 1만4090명이 집단휴학에 동참했고 밝힌 바 있다. potgus@news1.kr"
6,news1,"국민의힘 ""협상 타결 다행…파업 원인 의료정책 철저히 검증"" ""정부가 갈등 부추겨…같은 잘못 되풀이 않게 정기국회에서 복기""(서울=뉴스1) 이균진 기자|2020-09-04 10:59 송고기사보기네티즌의견인쇄확대축소","김은혜 국민의힘 대변인 © 뉴스1 송영성 기자국민의힘(옛 미래통합당)은 4일 ""정기국회 과정에서 의료계 파업의 원인이 된 공공의대, 의대 증원 등 4대 정책에 대해 면밀히 검토하고 철저히 검증할 계획""이라고 밝혔다.김은혜 대변인은 이날 구두 논평을 통해 ""정부·여당과 의료계의 협상이 드디어 타결됐다""며 이렇게 말했다.김 대변인은 ""진료 현장으로의 복귀를 결정한 의료진은 물론, 정부와 의료진 사이에서 조정을 위해 애써주신 모든 분께 국민을 대신해 감사의 말씀을 드린다""며 ""위기 때 더 뭉쳤던 우리 국민의 저력 그대로 이제 코로나19 위기 극복에 한층 힘을 모을 수 있게 돼 정말 다행""이라고 말했다.이어 ""다만 코로나19라는 중차대한 시기에 의료진을 자극한 정부의 밀어붙이기식 정책추진, 되레 정부가 사회적 갈등을 부추긴 데에 대해서는 같은 잘못이 되풀이되지 않도록 복기하고 개선이 돼야 한다""고 강조했다.김 대변인은 ""반복되는 폭염과 호우 속에서도 코로나19와 사투를 벌이고 있는 의사와 간호사, 자원봉사자, 구급대원께 다시 한번 위로와 감사의 말씀을 전한다""라며 ""한 분 한 분, 모두가 소중한 국민이다. 코로나19는 우리의 힘으로 극복될 것이다. 국민의힘도 더 노력하겠다""고 했다.asd123@news1.kr"
7,news1,"의협 ""정부, 의료정책 철회 의사 없어…파업 예정대로 진행"" (서울=뉴스1) 박동해 기자|2020-08-21 15:25 송고 | 2020-08-21 15:26 최종수정기사보기네티즌의견인쇄확대축소","최대집 대한의사협회 회장이 지난 19일 오후 서울 중구 세종대로 코리아나호텔에서 열린 보건복지부-대한의사협회 긴급 간담회에서 모두발언을 하고 있다. 2020.8.19/뉴스1 © News1 사진공동취재단대한의사협회(의협)가 '집단행동을 중단하면 의대정원 확대 등 공공의료 확대정책을 유보하겠다'는 정부의 제안을 사실상 거부했다.최대집 의협 회장은 오후 3시쯤 서울 용산구 의협임시관에서 긴급 기자회견을 열고 ""정부가 의대 정원확대, 공공의대설립, 첩약 급여화 시범사업, 비대면 진료 육성 등 4대악 의료정책을 철회 시 파업을 잠정 유보한다""고 밝혔다.정부가 먼저 공공의료 확대 정책을 철회하고 원점에서 재논의하겠다는 의견을 밝혀야 파업을 계획을 중단할 수 있다는 것이다.최 회장은 정부가 정책을 철회하지 않고 있기 때문에 26일부터 3일간 예정된 파업 등의 집단행동을 계획대로 진행할 것이라고 밝혔다.한편, 이날 오전 정부는 의협과 대한정공의협의회에 집단행동을 중단할 경우 모든 가능성을 열어두고 관련 협의를 진행해 나갈 것이며 협의 기간 중에는 정부 정책 추진을 유보할 것이라는 제안을 한 바 있다. potgus@news1.kr"
8,news1,"내일 젊은 의사들, 파업 이유 밝힌다…""의료계 쏙 뺀 정책 추진 부당"" 1일 오전 기자회견 갖고 파업 입장 발표 예정(서울=뉴스1) 김태환 기자|2020-08-31 18:43 송고기사보기네티즌의견인쇄확대축소","31일 오후 대구 남구 영남대학교병원 본관에서 보건복지부의 전공의 근무 실태 조사에 반발하는 영남대 의과대학 교수들이 병원을 찾은 보건복지부 조사관을 상대로 피켓시위를 하고 있다. 2020.8.31/뉴스1 © News1 공정식 기자전공의들이오는 1일 오전 집단 휴진에 대한 입장을 공식 발표한다. 신종 코로나바이러스 감염증(코로나19) 상황 속 정부가 추진하는의대정원 확대 등 의료정책 추진의 부당함을 알릴 예정이다.대한전공의협의회 비상대책위원회는 젊은 의사 파업에 대한 입장 발표 기자회견을 1일 오전 11시 서울시의사회관 5층 대강당에서 연다고 31일 밝혔다.이번 기자회견은 지난 28일부터 발령된 정부의 전국 전공의 업무개시명령 조치 이후전공의 파업 강행 결정에 대한 젊은 의사들의 의견을 밝히는 자리다. 특히 의대 정원 확대와 공공의대 설립 등 의료정책의 불합리성으로 발생할 수 있는 국민 피해를 호소한다.대전협은 이날 홈페이지에 '대통령께 간곡히 부탁드립니다'라는 글을통해 ""젊은 의사들은 누구보다 진료현장에 복귀하고 싶다""면서 ""총파업을 이어오는 동안 돌아온 답변은 '여러 이해당사자들과 논의된 사항을 철회할 수 없다', '합의안을 명문화하기어렵다'는 것 뿐""이라고 밝혔다.이어 ""의료계와 상의없이 일방적으로 추진된 의료정책을 철회해 달라""면서 ""두려움에 떨며 대한민국 의료를 바로잡기 위해 목소리를 내고 있는 의과대학생들과 전공의 및 전임의를 공권력으로탄압하는 것을 멈춰달라""고 했다.call@news1.kr"
9,news1,"전북도, 음압격리시설 추가 확보…공공의료 정책·기반 강화  도, 코로나19 대응 능력과 필수의료 제공 기반 확충(전북=뉴스1) 유승훈 기자|2020-08-20 17:32 송고기사보기네티즌의견인쇄확대축소","전북 군산의료원 전경. 전북도는 코로나19 등에 대한 효과적 대응과 지역의료격차 해소를 위해 공공의료 강화 대책을 발표했다.(전북도 제공)2020.8.20 /© 뉴스1전북도가 신종 코로나바이러스 감염증(코로나19) 등 여러 감염병에 대한 효과적 대응과 취약지 필수 의료서비스 제공을 위해 공공의료 강화 대책을 마련했다.도는 20일 감염병 대응 시설과 인력 확충, 취약계층 필수의료 제공 등의 의료시스템 보강을 중심으로 하는 ‘공공의료 강화 정책’ 방향 수립을 완료했다고 밝혔다.우선 도는 중증·고위험군 환자에 대한 적정 치료와 치명률 최소화를 위해 131억원의 예산을 투입, 53개의 음압격리병상을 추가 확보할 계획이다. 또 역학조사관을 현재 2명(전북도)에서 6명으로 4명 증원해 9월 중 전주와 군산, 익산, 정읍에 각각 배치할 예정이다.취약계층 대상 필수의료 제공을 위한 기반도 확충된다. 도는 72억원의 사업비를 들여 전주에 공공어린이재활의료센터(예수병원 위탁 운영)를 건립한다.무주에는 130병상 규모의 동부권 공립요양병원이 들어선다. 2023년 개원을 목표로 136억원이 투입된다.군산의료원은 2022년까지 220억원을 들여 5층 규모의 급성기 진료시설을 조성한다. 남원의료원에는 40세대의 의료인력 숙소가 들어선다. 사업비 80억원이 투입되고 2021년 완공된다.한편 도는 공공의료정책 역량을 강화하고 공공의료서비스의 의료기관-지역사회 연계, 협력 시스템도 구축할 방침이다.전북도 보건당국 관계자는 “코로나19 확산에 따라 공공의료의 필요성과 역할이 어느 때보다 중요하게 떠오르고 있다”면서 “필수 의료기반과 역량을 강화하고 지역공공의료체계를 확립해 공중보건 위기 대응과 지역격차 해소에 힘쓰겠다”고 말했다.9125i14@news1.kr"
