,Press,Title,Text
0,문화일보,범법자만 양산하는 부동산정책… 올 규제위반 1625건,"8월까지 3년간 1927건의 84%   6·7월 대책 발표뒤 신고 급증  시장 옥죄자 규제피하려 편법 “비현실적 단속이 집값 부추겨”정부의 과도한 부동산 규제로 시장교란 행위 신고 접수 건수는 크게 늘어난 것으로 파악됐다. 형사처벌을 전제로 한 비현실적 단속 강화로 부동산 정책실패에 따른 가격 상승 책임을 국민들에게 돌리고 있다는 비판이 나오는 이유다.5일 국회 국토교통위원회 소속 송석준 국민의힘 의원이 국토교통부·한국감정원으로부터 제출받은 자료에 따르면 정부가 2018년 10월 집값 담합센터와 2020년 2월 부동산거래질서 교란행위 신고센터를 운영하기 시작한 이후 집값 담합과 부동산거래질서 위반으로 신고접수건수는 총 1927건(2020년 8월말 기준)에 달한다. 송 의원은 “정부가 소수의 투기세력을 잡겠다고 규제일변도의 부동산 정책을 사용한 결과 부동산 시장의 편법만 양산해 극심한 혼란으로 몰아넣고 있다”며 “빈대 잡겠다고 초가삼간 다 태우지 말고, 지금이라도 부동산 시장을 정상화시키는 방법으로 정책을 전환해야 한다”고 밝혔다.자료에 따르면, ‘공인중개사법’ 개정 전 임시적으로 운영된 집값 담합센터(2018년 10월~2020년.2월 20일)까지 집값담합으로 신고접수 건수는 530건이었고, 공인중개사법 개정 이후 확대 설치된 ‘부동산거래질서 교란행위 신고센터’(2020년 2월 21일~8월 말)로 접수된 건수는 1397건(전체의 84%)이었다. 신고센터 설치 뒤 6개월 가량 접수된 건수가 종전 집값 담합센터 운영기간 16개월 동안 접수된 건수의 2.6배에 달하는데, 이는 정부의 부동산 규제 강화 추세와 궤를 같이 하고 있다.월별 증가 추이를 분석해 볼 때, 집값 담합센터가 운영되던 2019년 1~12월 월 평균 신고접수는 15건이었다. 하지만 부동산거래질서교란행위 신고센터로 확대 개편된 이후인 2020년 2월엔 216건, 3월 278건, 4월 161건, 5월 112건, 6월 147건, 7월 189건, 8월 294건이었다. 6·17, 7·10 대책 등 올해 부동산 규제대책이 연이어 발표되며 대출·세제 규제가 강화될 때 담합신고 접수도 동시에 늘어나고 있는 모습이다. 정부가 규제로 시장을 옥죌수록 시장이 규제를 피할 방법을 찾아가는 것이 아니냐는 분석이 가능하다. 정부가 편법을 부추기고 있다는 지적이 나오는 대목이다.실제로 집값 담합의 경우 적발하더라도 물증 확보가 어려워 처벌도 쉽지 않다. 주로 아파트 부녀회 등 커뮤니티를 중심으로 매도자 가격담합이 주로 이뤄졌지만 최근엔 정부의 강화된 규제를 피해 더 지능적인 담합행위가 가 이뤄진다는 게 시장관계자들의 설명이다. 매도인 중심의 담합 뿐만 아니라 매수인들이 고가담합(향후 양도차익에 따른 세금을 줄이기 위해 업계약서를 쓰는 경우) 행위도 늘어나고 있는 상황이다. 특히 집값담합 신고센터가 지난 3년간 신고 530건을 접수 받았지만 법원에서 확정된 형사처벌은 단 한 건도 없는 것으로 알려졌다. 불법행위를 입증도 못하면서 국민들을 범법자로 모는 현 정부의 부동산 규제 강화에 책임이 크다는 지적이다.박정민 기자 bohe00@munhwa.com"
1,문화일보,부동산정책 주무르는 39명이 52채… 3년간 한채당 4.3억 ↑,"- 국토·기재부·韓銀 등 고위직 분석재산 상위 10명 주택 52% 뛰어기재부 前 2차관 16억 올라 ‘최고’대부분 강남·세종시에 집 보유문재인 정부는 최근 8·4 대책을 포함해 ‘집값 안정’과 ‘투기 방지’의 두 마리 토끼를 다 잡겠다며 출범 후 부동산 대책을 쏟아내고 있지만, 정작 부동산 정책을 수립하는 국토교통부·기획재정부 등의 고위공직자들 상당수가 다주택자이며, 이들이 보유한 주택 가격이 역시 급등한 것으로 나타났다. 부동산 정책과 관련된 고위공직자 중 부동산 재산 상위 10명이 보유한 부동산 가치는 문 정부 출범 후 평균 52%, 부동산·금융정책을 직접 다루는 39명의 주택 가격은 51%나 뛰어 ‘내로남불’ 대책이라는 비판이 쏟아지고 있다. 6일 경제정의실천시민연합(경실련)이 발표한 ‘부동산정책 수립 고위공직자 부동산 분석’ 자료에 따르면 현 정부 부동산·금융정책 입안과 관련된 고위공직자 107명 중 부동산 재산 상위 10명이 보유한 아파트·오피스텔 시세는 문 대통령이 취임한 2017년 5월 당시 평균 14억9800만 원이었으나, 올해 6월에는 22억8000만 원으로 뛰었다. 불과 3년 새 52.2%(7억8200만 원)나 상승한 셈이다. 구윤철 前 기재부 제2차관 소유의 서울 강남구 개포동 재건축 아파트는 무려 16억 원(107%)이 올라 가장 높은 상승액을 보였다. 김우찬 금융감독원 감사가 보유한 강남구 대치동 아파트도 51.1%(12억 원)가 상승한 것으로 나타났다. 김채규 국토부 교통물류실장 소유의 아파트 2채(서울 강남구 삼성동, 세종시 다정동)와 오피스텔 1채(서울 중구 신당동)는 모두 합쳐 약 10억5000만 원 상승한 것으로 조사됐다.부동산 재산 상위 10명을 포함해 부동산·금융정책을 직접 다루는 국토부, 기재부, 금융위, 한국은행 등 소속 39명 공직자가 보유한 아파트·오피스텔 총 52채의 가격도 같은 기간 1채 평균 8억5000만 원에서 12억8000만 원으로 오른 것으로 분석됐다. 1채당 평균 4억3000만 원(50.6%)의 시세차익을 거둔 것이다. 부처별로는 국토부에선 김 교통물류실장, 기재부에선 구 2차관, 금감원 및 금융위 소속으론 김 감사가 보유한 부동산 가격이 가장 많이 오른 것으로 나타났다. 경실련은 공직자 39명의 부동산 재산 상승에 대해 “국토부가 발표한 서울 아파트값 상승률 14%의 3.6배 수준으로 나타나 정부 집값 통계가 왜곡돼 있음이 재확인됐다”고 강조했다. 107명 중 유주택 고위공무원 99명은 총 147채의 주택을 보유하고 있었다. 또 이들 주택이 위치한 곳은 강남 4구(42채)가 가장 많았으며, 비(非)강남 4구 서울(26채), 수도권(26채), 세종(22채) 순이었다. 이들 지역 외 기타 지역은 31채였다. 서울과 세종은 문재인 정부 이후 부동산 가격이 급등하면서 자산 가치 역시 큰 폭으로 상승하고 있다.김성훈 기자 powerkimsh@munhwa.com"
2,문화일보,文대통령 이어 與의원들도 ‘부동산정책 자화자찬’,"‘임대차3법 개정 의의’ 토론회“투기 관행 벗을 역사적 계기”문재인 대통령이 “(부동산) 종합대책의 효과가 서서히 나타나고 있다”고 말한 데 이어 더불어민주당 의원들은 11일 토론회를 열고 7월 임시국회에서 통과된 주택임대차보호법 개정안의 의의를 강조했다. 향후 입법 과제로는 현재 최대 4년(2+2)인 임대차 계약갱신청구 횟수를 늘리고 최초 임대료 인상을 제한하는 법안이 필요하다고 밝혔다. 법 통과 후 서울을 포함해 수도권 전셋값이 폭등하고 있는 현실을 외면하고 자화자찬을 하고 있다는 지적이 나온다.윤호중 국회 법제사법위원장은 이날 민주당 을지로위원회 주최로 국회 의원회관에서 열린 ‘임대차 3법 개정의 의의와 과제 모색을 위한 토론회’ 서면 인사말에서 “법사위원장을 맡고 있을 때 부동산 투기, 특히 주택을 투기의 대상으로 또 재산 축적의 대상으로 삼아온 대한민국의 잘못된 관행에서 벗어날 수 있는 역사적 계기를 만들어낸 것에 대해 큰 의미를 두고 있다”고 했다. 을지로위원장인 박홍근 의원은 “개정된 주택임대차보호법은 임대인과 임차인 간의 기울어진 운동장을 바로잡기 위한 정치권과 시민사회의 오랜 노력의 결실로 임차인의 주거권 실현뿐 아니라 주택시장의 체질을 바꾸는 중대한 전환점”이라고 밝혔다. 여당 의원들은 계약갱신청구권 보장과 전월세 신고제, 갱신 계약 시 보증금 5% 이내 인상 등을 토대로 임차인들의 주거권이 안정됐다는 점과 1989년 이후 멈춰 있었던 제도 개선을 이뤄냈다는 점을 강조했다. 이날 토론회에서는 향후 보완과제로 임대차 계약 기간을 6년(2+2+2)으로 늘리는 계약 갱신 횟수 확대 등 다양한 입법 과제가 제시됐다. 토론 발제를 맡은 이강훈 참여연대 민생희망본부 실행위원은 “해외에서 주택임차인에게 갱신요구권을 부여할 때 갱신 횟수에 제한을 두는 나라는 찾기 어렵다. 계약 갱신 횟수는 확대하는 것이 바람직하다”고 밝혔다. 이 위원은 신규 임대차를 통한 전월세 가격 상승 압박을 막기 위해 최초 임대료 인상 제한 추진도 향후 입법과제로 꼽았다.  윤명진 기자 jinieyoon@munhwa.com"
3,문화일보,"당정청, 부동산정책 경쟁적 쏟아내기… 여권 내부부터 ‘혼선’","중구난방식 공급확대방안 내놔 그린벨트 해제案 놓고 ‘딴소리’ 태릉 골프장·용산 정비창 활용 정부 “검토한 적 없다” 뒤집어부동산 시장 불안이 이어지며 여론이 악화하자 여당이 중구난방으로 방안을 내놓는다는 비판의 목소리가 커지고 있다. 성난 민심을 달래려 온갖 대책을 내놓으려 하다 보니 정부와 청와대, 심지어는 당내에서조차 조율되지 않은 대안이 나오고 있다는 지적이다. 박주민 더불어민주당 최고위원은 17일 국회에서 열린 최고위원회의에서 “7·10 부동산 대책은 다주택자에 대해 역대 가장 강력한 대책이라는 점과 서울 아파트값 폭등을 제어한다는 점에서 메시지가 명확하다”면서도 “(종합부동산세율 과세구간 등) 세부 부분에서 아쉽다는 평이 나온다. 입법 과정에서 이런 주장이 함께 검토돼 대책 실효성을 높여야 할 것”이라고 말했다. 대책에 구멍이 상당하다는 지적을 의식한 발언으로 해석된다. 이와 관련해 김태년 민주당 원내대표는 전날 “집값 안정을 위해 어떤 성역도, 한계도 두지 않고 쓸 수 있는 모든 정책 수단을 동원할 준비가 돼 있다”고 으름장을 놓기도 했다.실제 민주당은 대책 발표 직후 실효성 있는 공급 확대 방안이 필요하다는 지적이 잇따르자 15일 당정 협의에서 서울 지역 개발제한구역(그린벨트) 해제 카드를 본격적으로 꺼내고 논의를 시작했다. 정부에선 부정적인 기류가 강했지만, 여권의 압박이 이어지며 결국 같은 날 진행된 ‘주택공급확대 태스크포스(TF)’ 1차 회의를 기점으로 그린벨트 활용 가능성이 공식화됐다. 이 과정에서 그린벨트 해제를 검토하겠다는 홍남기 부총리 겸 기획재정부 장관의 발언을 박선호 국토교통부 1차관이 다시 뒤집는 등 혼선에 혼선이 이어지기도 했다.16일에는 김진표 민주당 의원이 국방부가 보유한 태릉 골프장 등 공공부문이 보유한 수도권 골프장 부지를 활용하는 방안을 당과 정부에 제안했다는 사실이 알려지며 논란이 일기도 했다. 김 의원은 그린벨트를 훼손하지 않고도 골프장 1곳당 최대 2만 가구 공급이 가능하다는 주장을 했지만, 협의 당사자인 국방부는 “논의된 바가 없다”며 부인했다. 윤관석 민주당 정책위 수석부의장은 “군이 갖고 있는 모든 것을 검토해 보겠다”면서도 “쉽지는 않을 것”이라고 밝혔다. 이날 서울 용산 정비창 부지가 용적률 완화 대상지 중 하나로 거론된다는 사실이 보도되기도 했지만, 정부는 “검토한 적 없다”는 입장이다.당 일각에선 그린벨트와 유휴지 개발 대신 재건축·재개발 용적률 상향 등 규제 완화를 해야 한다는 목소리도 나오고 있다. 김수현 기자 salmon@munhwa.com"
4,문화일보,“못살겠다 세금폭탄” 잇단 고강도 부동산정책에 반발 집회,"  “임차인만 국민이냐 임대인도 국민이다”, “정부를 믿고 주택을 임대했는데 돌아온 건 세금폭탄이라니…….”18일 서울 종로구 예금보험공사 앞에서는 6·17대책, 7·10대책 등 투기수요를 차단하려는 정부의 고강도 부동산 규제에 항의하는 집회가 열렸다.‘6·17 규제 소급적용 피해자 구제를 위한 시민모임’, 7·10 취득세 소급적용 피해자 모임‘ 등은 이날 “규제 소급적용은 명백한 위헌”이라며 “일반 서민인 임대사업자와 다주택자를 정부가 범죄자로 만들었다”고 규탄했다.현재 무주택자로 2개 분양권을 가지고 있다는 한 시민은 “비규제지역 LTV 70% 대출을 믿고 계약했는데 규제책 발표로 한순간에 다주택자, 투기꾼이 됐다”며 “3년 전매 제한 때문에 (분양권을) 팔지도 못한다”고 분통을 터뜨렸다.그는 “이대로 집을 포기하면 중도금 이자가 날아가는데, 신혼부부에게는 2년간 모은 전부와도 같은 돈”이라며 “정책 실수 때문에 많은 사람이 고통스러워하고 있다”고 비판했다.또 다른 시민은 “기존 계약에도 임대차 3법을 소급 적용하겠다는 정부 탓에 세입자와의 계약 기간이 끝나도 내 집에 들어가서 살지 못하게 될까 두렵다”며 “이는 엄연한 재산권 침해”라고 주장했다.사회를 맡은 이형오(48)씨는 “지금은 다주택·1주택·무주택자 모두 무분별한 규제의 피해자가 된 상황”이라며 “우리가 내야 하는 것은 세금이 아니라 벌금과 같다”고 말했다.이어 “앞으로 얼마나 많은 피해자가 생길지 가늠도 되지 않는다”며 “서민이 집을 사는 것, 부모님 집을 내 명의로 대 주는 일이 잘못된 것이냐”고 목소리를 높였다.이들은 정부 대책의 위헌성을 따지는 헌법 소원을 제기하고 포털사이트에 6·17 대책을 비판하는 내용의 실시간 검색어를 올리는 등 행동을 이어갈 예정이라고 밝혔다.<연합뉴스><저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"
5,문화일보,부동산 정책 실패의 해괴한 종착점,"표학길 서울대 경제학부 명예교수홍남기 부총리 겸 기획재정부 장관은 2일 부동산 시장 교란 행위를 차단하기 위해 ‘불법행위 대응반’(7개 기관 13명으로 구성된 국토교통부 내의 임시조직)을 가칭 ‘부동산거래분석원’으로 확대 개편해 이상 거래 분석 기능을 강화하겠다고 말했다. 그러나 더불어민주당의 진성준 의원은 이날 자신의 페이스북에서 “부동산거래분석원의 역할은 … 시장 교란이나 불법행위를 예방할 수 있는 항구적인 시장관리 체계를 갖춰야 한다”고 강조했다. 진 의원은 금융감독원과 유사한 기능의 ‘부동산감독원’ 설치를 주장해 왔다.한 가지 분명한 점은, 이번 부동산거래분석원 설립안(案)도 여야 간 협치(協治)는 고사하고 당·정 협의(協議)도 제대로 거치지 않은 채 발표된 ‘규제를 위한 규제 정책’으로 전락할 가능성이 있다는 점이다. 지난 3년간 현 정부의 부동산 정책은 왜곡이 있는 부분은 그 부분만을 바로잡는 것이 최상이라는 경제정책 원칙으로부터 계속 일탈하면서 한 부문의 왜곡이 다른 부문의 왜곡을 낳는 부산물적 왜곡 효과가 창출되고 있다.더 기가 막힌 것은, 엄청난 규모의 부동산 가격 앙등, 임대차 시장의 붕괴에도 불구하고 누구 하나 책임지는 정책 당국자가 없다는 사실이다. 부동산 거래와 관련해 정부는 세금·대출·실거래가 여부, 임대차 거래 현황들을 국세청·금융감독원· 한국감정원과 금융정보원을 통해 이미 모니터링하고 있다. 매매가격은 등기부등본에 명시돼 법원에 등록되며, 전세가액은 동사무소에서 확정일자를 받는 과정에서 파악된다. 월세 계약도 세입자의 월세 세액공제 신청을 통해 확인할 수 있다. 이와 같은 감독 기능이 산처럼 첩첩인데도 부동산거래분석원이나 부동산감독원의 신설을 주장하는 것은 지금까지의 부동산 정책에 대한 실패의 책임을 회피하려는 것으로 해석할 수밖에 없다.그러면 현 정부에서의 부동산정책은 왜 규제에서 시작해 규제와 감독으로 끝내면서도 실패의 터널에서 빠져나오지 못하는가? 그것은 정부는 물론 시장 참가자들이 아직도 개발시대의 ‘로또 심리’에서 벗어나지 못하고 있기 때문이다. 부동산 문제의 핵심에 자리잡고 있는 건 두 가지다. 그 하나는 정부와 지방자치단체에 의한 재개발·재건축 규제이며, 두 번째는 분양가격 상한제라는 개발시대의 부동산 가격 규제 정책에서 아직 한 치도 벗어나지 못했다는 점이다. 이 같은 시장원리를 부정하고 로또 심리에 편승하는 인기영합적인 부동산 정책으로는 오늘의 부동산 문제를 영원히 해결할 수 없게 된다.정부는 공공주택에만 분양권 상한제를 적용하고 민간의 모든 주택 분양을 분양가 상한제를 단계적으로 철폐함으로써, 또한 사후분양 제도를 인기 지역부터 차례로 도입함으로써 부동산시장의 시장 기능을 회복시켜 나가지 않으면 안 된다. 경찰국가 식 부동산 거래 감시 제도와 임대차 보호라는 미명 아래 저소득 임차인들의 부담만 가중시키는 정책으로는 해결의 실마리를 찾을 수 없을 것이다. ‘전월세 전환율’을 정부에서 정해주는 나라는 사회주의 국가에서도 찾아볼 수 없다.전월세 규제 속에서 서민들의 삶이 얼마나 피폐해지고 있는지, 전월세 가격의 문제를 떠나 전세는 아예 구하기 어렵다는 사실을 정책 당국은 알고나 있는지 묻고 싶다. 서민과 약자를 돕는다고 시작한 부동산 규제 정책이 오히려 이들을 옥죄는 정책으로 둔갑해서 돌아왔다. 정부의 계속되는 부동산 정책도 이제 출구가 보이지 않는 종착역에 도달하고 있다."
6,문화일보,"국민 65% “부동산 정책, 정부가 잘못하고 있다”","갤럽, 정책 여론조사 “잘하고 있다”는 18%에 불과  58% “향후 1년 집값 오를것”  응답자 66% “임대료도 상승”문재인 정부의 ‘7·10 부동산 대책’ 발표 36일째인 14일 한국갤럽의 정부 부동산 정책 평가 여론조사에서 응답자 65%가 “정부가 잘못하고 있다”고 답한 것으로 나타났다. 향후 1년간 집값 및 전·월세 임대료가 오를 것이라는 부정적 전망 역시 각각 절반 이상이었다. 정부가 문 대통령 취임 이후 23개의 부동산 대책을 내놨지만, 여전히 신뢰를 받지 못하는 것으로 풀이된다.한국갤럽이 지난 11∼13일 전국 만 18세 이상 1001명을 대상으로 진행한 8월 2주차 조사(95% 신뢰수준에 표본오차 ±3.1%포인트)에서 현 정부가 부동산 정책을 ‘잘하고 있다’는 응답은 18%에 불과했다. ‘잘못하고 있다’가 65%였고, 평가를 유보한 응답은 18%였다. 지역별로는 대구·경북에서 79%로 부정평가가 가장 높았고, ‘여권발 수도이전’ 이슈가 엮여 있는 대전·세종·충청(71%), 서울(68%)이 뒤를 이었다. 연령대별로는 50대(68%)와 30대·60대 이상(각 67%)에서 부정평가가 높았다. 부동산 정책 부정평가자들은 그 이유로 집값 상승과 비싼 집값(23%)을 가장 많이 들었으며, 일관성 없고 오락가락함(13%), 효과 없음·근본적 대책 아님(8%) 등의 답을 내놓았다.향후 1년간 집값이 오를 것이란 전망은 58%에 달했다. 지역별로는 서울(66%)에서 오를 것이라는 전망이 가장 높았고, 그 뒤로는 대전·세종·충청(64%), 대구·경북(62%), 인천·경기(59%) 순이었다. 연령대별로는 18∼29세가 75%나 ‘오를 것’이라고 응답했으며, 30대(67%)도 뒤를 이었다. 집값이 내릴 것이란 전망은 13%에 불과했으며, ‘변화 없을 것’이란 응답이 20%, ‘모름·응답 거절’이 9%였다.응답자 66%는 향후 1년간 주택 임대료 역시 ‘오를 것’이라고 답했다. 이는 2019년 6월 2주차 조사에서 35%, 9월 3주차 조사에서 40%가 ‘오를 것’이라고 응답한 것과 비교해 확연히 오른 수치다. 임대료가 ‘내릴 것’이라는 응답은 8%였으며, ‘변화 없을 것’이 16%, ‘모름·응답 거절’이 10%였다. 임대료 역시 18∼29세(72%)와 30대(73%)에서 오를 것이란 부정적 전망이 다수였다. 김현아 기자 kimhaha@munhwa.com"
7,문화일보,부동산 정책 고위공직자 107명중 39명 다주택,"- 경실련 공직재산 분석 국토부·기재부 등 1급이상 총 147채…강남4구만 42채 김조원수석 ‘22억 매물’ 삭제부동산·금융·세제 정책 등을 다루는 국토교통부, 기획재정부, 한국은행 등 주요 부처와 산하기관 1급 이상 공직자 107명의 부동산재산을 분석한 결과, 99명이 유주택자이며 이들이 보유한 총 147채의 주택 중 약 절반은 강남4구(강남·서초·송파·강동)를 비롯한 서울에 위치한 것으로 나타났다. 정부가 앞으로 시세 9억 원 이상 주택 매매와 관련해 자금 출처 의심 거래를 상시 조사한다는 방침을 세운 가운데 부동산 정책 관련 고위공무원 상당수가 시세 9억 원을 훌쩍 넘는 ‘알짜 지역’에 주택을 보유하고 있다.경제정의실천시민연합(경실련)은 6일 서울 종로구 경실련 강당에서 기자회견을 열고 “부동산·금융·세제 정책 관련 부처 산하 1급 이상 공직자 107명의 부동산 재산은 1인 평균 12억 원”이라며 “국민 평균 3억 원의 4배”라고 밝혔다. 경실련 조사·분석에 따르면 올 3월 기준 107명의 관련 고위공무원 중 99명(92.5%)이 유주택자였으며, 다주택자는 39명(36.4%)이었다. 3주택 이상 보유자도 7명이었다. 또 107명 중 99명의 유주택 고위공직자가 보유한 총 147채 가운데 약 절반인 68채(46.3%)는 서울 내에 위치해 있었다. 이 가운데 42채(28.6%)는 강남4구에 있었다. 나머지 주택은 세종시(22채)와 수도권(26채), 기타 지역(31채) 등이었다. 한편 다주택 청와대 참모에 대한 주택 매각 권고에 따라 서울 송파구 잠실동 아파트를 매각하겠다는 입장을 밝혔던 김조원 청와대 민정수석이 시세보다 2억 원가량 비싸게 매물을 내놓은 것으로 전해졌다. 김 수석이 내놓은 것으로 알려진 아파트 매물 정보는 주요 부동산 사이트에서 6일 오전까지는 검색됐지만 오전 9시쯤부터 삭제됐다. 노영민 대통령 비서실장은 7월 말까지 다주택 상태를 해소하라고 강력히 권고했지만 김 수석을 포함 8명은 여전히 다주택 상태를 유지하고 있다. 윤도한 청와대 국민소통수석은 8월 말까지 모두 매각을 완료한 뒤 매매계약서를 제출할 것이라고 설명했다.    김성훈·민병기 기자"
8,문화일보,임대차법 이어 세금폭탄… “反시장정책에 부동산 왜곡 심화”,"내일 본회의서 관련세법 처리  종부세율 최대 6%로 인상 등 “세금은 전가의 보도”비판 봇물  부동산 시장 풍선효과만 반복‘7·10 부동산’ 대책과 ‘임대차 3법(전월세 신고제·계약갱신청구권제·전월세 상한제)’, 3∼4일 국회 상임위와 본회의에서 잇달아 처리되는 부동산 관련법은 곳곳에 ‘반(反)시장경제’ 요소를 담고 있다는 지적이 나온다. 수요와 공급에 따른 가격 결정이라는 시장 원리를 이해하지 못하고 이념에만 치우쳐 세금 중과, 대출 제한, 전세가 상한 설정 등을 수단으로 시장가격을 통제하는 경제 정책을 추진하고 있다. 이는 “대한민국의 경제 질서는 개인과 기업의 경제상 자유와 창의를 존중함을 기본으로 한다”는 우리 헌법(119조1항)에 명시된 경제작동의 원리와는 사뭇 거리가 있다는 평가다.3일 정부와 국회에 따르면 더불어민주당은 이날 법제사법위원회 전체회의에서 부동산 관련 세법을 처리하고 4일 본회의에서 통과시킬 계획이다. 종합부동산세법·법인세법·소득세법 개정안은 3주택 이상 또는 조정대상지역 2주택 소유자에 대해 종부세율을 최대 6.0%까지 올리고, 다주택자 양도소득세 중과 시 분양권도 주택 수에 포함하는 내용인데, 전형적인 세금을 통한 시장 왜곡 정책이다. 세제는 특히 문재인 정부의 ‘전가의 보도’다. 공급이 부족해 서울·수도권 등에서 발생한 가격폭등을 투기세력 탓으로만 돌렸다. 결국 지난 7·10 대책에서는 거래단계의 세금인 양도세와 취득세까지 대폭 올렸다. 2주택 이상 보유자를 투기세력으로 간주하고 이들에 대한 징벌적 차원의 중과세를 적용했다. 반면, 정부는 공급을 사실상 포기했다고 말해도 과언이 아닐 정도로 이를 무시했다. 정부가 7·10 대책을 발표하고, 조만간 공개될 공급대책으로 ‘10만 가구 공급’ 등의 소문이 여권 일각에서 흘러나오고 있지만, 시장은 반응하지 않고 있다.세금이 간접적인 가격통제라면 임대차 3법은 직접적인 통제다. 정부·여당은 최근 임대차 3법을 국회에서 밀어붙이면서 수요와 공급이 가격을 결정하는 시장 경제 원리를 근본적으로 부정하는 행태를 보였다. 시장경제에서 ‘가격(price)’을 인위적으로 통제하는 방식은 가장 위험한 형태의 정책으로 평가된다. 임차인 서민을 위한다는 명분으로 계약갱신을 의무화하고 임대료 상승 폭을 5%로 제한하는 식은 아주 극단적인 가격통제 행위이자 시장을 부정하는 행위다. 임대차 계약 기간을 정하는 정도는 서민 주거안정을 위해 정부가 취할 수 있는 최소한의 규제로 보는 시각도 있지만, 강제로 계약을 갱신하고, 가격을 제한하는 것은 사회주의적 혹은 전체주의적 발상이다. 조동근 명지대 경제학과 명예교수는 “부동산 교환 이익을 환수한다는 사고방식 자체가 시장경제 원리를 벗어난 반시장적, 반헌법적 사고로 실물경제 흐름과도 동떨어져 있다”며 “부동산 정책은 6·17, 7·10 부동산 대책 이전으로 완전히 되돌려야 한다”고 주장했다.박정민·이정우 기자"
9,문화일보,與野 부동산 정책 대립에… 일정도 못잡은 국토위·기재위,"민주 “관련 법안 이달내 처리” 통합 “세부담·규제 완화 먼저”이번 주부터 국회 상임위원회별 법안 심사가 시작됐지만, 부동산 대책을 다루는 국토교통위원회와 기획재정위원회는 이를 둘러싼 여야 간 의견차가 커 파행을 빚고 있다. 여당은 7월 임시국회 안에 부동산 관련 법안을 반드시 처리한다는 방침이라 향후 충돌 가능성도 제기된다.27일 국회에 따르면 국토위는 이날부터 28일까지 업무보고를 진행하고 29일 전체회의를 열어 법안을 상정할 계획이었다. 하지만 지난 24일 여야 간사 간 협의가 불발되면서 일정이 잡히지 않고 있다. 기재위도 이날 전체회의 후 28일 조세소위 등을 진행할 계획이었지만 마찬가지로 협의가 되지 않아 일정이 미정인 상태다. 더불어민주당 관계자는 “야당이 부동산 관련 법안을 일절 상정하지 않겠다는 입장이어서 연관된 상임위가 일정을 전혀 잡지 못하고 있다”면서 “일정 합의가 이뤄져 심사가 시작됐거나 예정된 법제사법위원회나 행정안전위원회도 안심하지 못하는 상황”이라고 말했다. 여당은 주택시장 안정화를 위해선 종합부동산세율을 최고 6%로 인상하는 내용 등 세제 강화 방안을 담은 ‘7·10 부동산 대책’ 후속법안을 조속히 처리해야 한다고 주장하고 있다. 하지만 야당인 미래통합당은 부동산세 부담 완화와 재건축·재개발 규제 완화가 우선이라며 법안 상정부터 원천 반대하고 있다. 민주당은 법안 심사 진행을 위해 협의를 이어간다는 계획이지만, 부동산 관련 법안 처리는 이번 임시국회 회기를 넘길 수 없다는 강경한 입장이다. 김태년 민주당 원내대표는 이날 국회에서 열린 최고위원회의에서 “7월 국회에서 다주택자 및 법인에 대한 종부세·양도세를 강화하는 법안과 임대차 3법을 최우선 민생과제로 추진할 것”이라며 “통합당 등 야당도 7월 국회에서 부동산 법안이 반드시 처리될 수 있게 협력해 달라”고 말했다. 민주당 내부에서 부동산 관련 법안만큼은 표결에 부쳐야 한다는 기류가 우세한 것으로 전해진다.한편 7월 말 공개를 목표로 준비되고 있는 주택공급방안 발표 시점이 8월로 밀릴 가능성이 제기되고 있다. 당정이 서울 지역 유휴지에 태릉골프장을 포함하기로 하면서 관련 협의가 지연되고 있는 것으로 관측된다.  김수현 기자 salmon@munhwa.com"
