,Press,Title,Text
0,문화일보,‘방역 독재’로는 코로나 못 이긴다,"김용호 경희대 평화복지대학원 특임교수개천절 집회 막은 살벌한 풍경 시민 자율 빛났던 K-방역 먹칠 康외교 남편은 방역 僞善 상징통제와 감시에서 자발성 유도 격리 방식 바꾸고 사생활 배려 창의적 민주적 방역 추구해야정부가 개천절 집회를 막기 위해 지난 3일 300대 이상의 경찰차와 1만2000여 명의 경찰을 동원해 광화문 일대를 철통같이 에워싼 모습이 2008년의 ‘명박산성’과 흡사해 ‘재인산성’이란 비난이 쏟아지고 있다. 더구나 지하철역을 폐쇄하고, 오가는 시민들을 검문하는 등 살벌한 분위기를 조성했다. 정부가 코로나19 확산 방지를 이유로 개인의 자유와 프라이버시를 심대하게 침해한 ‘방역 독재’라는 비판이 커지고 있다. 이것이 2020년 대한민국 민주주의의 현실이라는 외신 보도를 보니 창피하기 그지없다.공권력을 동원해 시민의 이동을 원천적으로 막는 바람에, 시민사회의 자율적 참여를 통해 ‘K-방역’에 성공했다는 정부의 자랑을 스스로 부정해 버렸다. 정부가 ‘재인산성’을 쌓아 정치적 억압과 통제를 통해 코로나 방역을 한다면 중국 공산정권과 무슨 차이가 있는가? 이런 과잉 통제는 ‘우파는 틀렸고, 좌파는 옳다’는 집권 세력의 이분법적 사고에서 나온 것이라 매우 우려스럽다.그동안 집권 세력은 운동권 사고에서 우파를 공존이 아니라 타도의 대상으로 보기 때문에 사회의 정치적 양극화를 부추기고 있다. 민주주의는 다원주의적 사고 아래 견해의 차이를 인정해야 하는데, 집권 세력은 오직 자기들만이 옳다는 생각에서 우파를 ‘적폐(積弊)’로 몰아붙이고 있다. 걸핏하면 우파가 발목 잡아서 개혁이 안 되고, 과거 우파의 잘못된 정책 때문에 국정이 어렵다고 강변한다. 이런 관점에서 정부는, 전·현직 법무부 장관의 가족과 아들의 비리를 포함한 국정 난맥상을 광화문광장에서 비판하려는 우파 세력을 코로나 방역을 내세워 수단과 방법을 가리지 않고 탄압한다.지난 추석 연휴에 또 다른 이상한 일이 벌어졌다. 외교부의 특별여행주의보(여행 취소나 연기 권고)에도 불구하고 주무장관의 남편이 이를 무시하고 미국으로 떠난 사건은 정부의 ‘K-방역’ 체제가 허상임을 말해 준다. 장관이 배우자를 설득하지 못하는데, 어찌 국민에게 ‘K-방역’ 가이드라인을 따르라고 말할 수 있겠는가? 이미 국민은 정부의 추석 고향 방문 자제 캠페인을 보고 정부의 방역 정책에 대해 심각한 의구심을 갖고 있었다. ‘관광지는 괜찮고, 고향 가는 것은 안 된다’니 이런 이중잣대가 어디 있나? 관광지는 모두 청정지역이고. 고향은 온통 코로나 창궐지역이란 말인가?이제 정부는 기존의 ‘K-방역’ 체제를 전면적으로 재검토해야 한다. ‘마스크를 쓰지 않으면 큰일 난다, 격리하지 않으면 가족과 이웃들이 모두 감염된다’는 식으로 겁주기와 공포 분위기 조성만으론 ‘K-방역’의 효과를 거둘 수 없다. 코로나 사태의 장기화로 인해 국민의 피로감과 불만이 날로 증폭되고 있기 때문이다. 코로나 위기 극복은 장기전이고, 또 정치·경제·사회적 고통을 종합적으로 해결해야 하는 만큼 초기의 방역 성공에 계속 머물러 있어선 안 된다.코로나 초기 단계에서는 강제 검사나 완전 격리가 불가피했지만, 코로나 사태가 장기화하는 현실에서는 방역 효과를 장담할 수 없다. 예컨대, 양성 판정을 받은 후 가족이나 접촉자와 함께 2주간 강제 격리됐으나 아무런 증상도 못 느끼는 사람이 많아지고 있다. 이들은 검사 자체를 불신하고 2주 강제 격리에 대해서도 불만을 토로한다. 사실, 감염병 전문가들은 체내에 죽은 바이러스의 찌꺼기가 남아 있더라도 양성 반응이 나온다고 한다. 이 경우 감염 위험이 없는데도 본인과 접촉자들이 짜증스러운 2주간의 사회적 격리라는 고통을 겪고, 또 거주지와 동선이 노출돼 프라이버시를 침해당하는 것은 물론 주위 사람들로부터 왕따를 당하기도 한다.따라서 앞으로는 정부 주도의 통제와 감시 위주의 코로나 방역 체제를, 시민의 진정한 자발과 책임에 기반을 둔 방역 체제로 전환해 나가야 한다. 특히, 방역 당국이 현장의 목소리를 많이 들어야 한다. 지난 일요일에 이낙연 더불어민주당 대표가 돌봄 취약 관련 현장 간담회에서 “사회적 단절을 극복할 수 있는 장기적인 방안을 마련해 달라”는 참석자의 요청에 긍정적으로 화답한 것은 좋은 출발이다. 정부는 현행 방역 체제가 무오류라는 태도를 버려야 한다. 정부가 장기적이고 종합적인 관점에서 새로운 코로나 방역 정책을 개발할 때다. 우파의 집회를 중단시키면 코로나를 잡을 수 있다는 단순 논리에서 벗어나야 ‘K-방역’이 성공할 수 있다."
1,문화일보,"잉글랜드축구대표팀 코로나19 방역 지침 위반, 경찰조사 없을 듯","  잉글랜드 축구대표팀의 태미 에이브러햄과 벤 칠웰(이상 첼시), 제이던 산초(도르트문트)가 신종 코로나바이러스 감염증(코로나19) 방역 지침을 위반했지만 경찰 조사를 면할 것으로 내다보인다.7일 오전(한국시간) 영국 매체 스카이스포츠에 따르면 런던 경찰은 코로나19 관련 사안을 소급해 조사하지 않는다고 방침을 밝혔다. 에이브러햄과 칠웰, 산초는 지난 3일 영국 런던의 에이브러햄의 자택에서 열린 생일파티에서 어울렸고, 이 자리엔 지인과 가족 20명가량이 참석했다. 잉글랜드 지역에선 코로나19 확산 방지를 위해 사회적 모임을 6명 이내로 제한하고 위반하면 1만 파운드(약 1500만 원)의 벌금을 부과한다.경찰은 “방역 지침 위반이 발생하면 경찰이 개입해 시민에게 규칙을 설명하고 이를 이행해 달라고 요청한다. 강제력 동원은 최후의 수단”이라면서 “행사가 이미 끝난 뒤에 위반 사실이 알려지면 경찰이 현장에서 직접 안내할 수 없고, 그 자리에 참석한 사람들도 일반적인 절차에 따라 문제를 해결할 수 없다. 따라서 사건에 대해 조사하거나 강제력을 행사하는 것이 적절하지 않다고 판단한다”고 설명했다.잉글랜드축구협회는 그러나 에이브러햄과 칠웰, 산초에 대한 조사를 이어갈 계획이다. 잉글랜드축구협회는 세 선수가 방역 지침을 어긴 경위를 조사하고 있으며 코로나19 예방을 위해 이들의 대표팀 소집을 연기했다. 잉글랜드대표팀은 8일 웨일스와 평가전을 치른 뒤 11일 벨기에, 14일 덴마크와 유럽축구연맹(UEFA) 네이션스리그 경기를 진행한다. 이에 따라 에이브러햄과 칠웰, 산초는 웨일스전에 출전하지 못할 가능성이 크다. 지난달엔 메이슨 그린우드(맨체스터 유나이티드)와 필 포든(맨체스터시티)이 코로나19 방역 지침을 어겨 퇴출됐다.  허종호 기자"
2,문화일보,코로나19 확진자 100명 안팎서 등락…오늘부터 ‘추석 특별방역’,"추석 연휴 인구이동량 많아 재확산의 ‘기폭제’ 될 우려 제기민속놀이 포함 대규모 모임-행사 금지…고위험시설 운영중단 추석 연휴(9.30∼10.4)가 이틀 앞으로 다가온 가운데 국내 신종 코로나바이러스 감염증(코로나19) 확산세는 좀처럼 꺾이지 않고 있다. 수도권의 집단감염이 본격화한 이후 지난달 하순 400명대까지 치솟았던 일일 신규 확진자가 최근 여러 차례 두 자릿수까지 떨어지기도 했지만 지하철 역사, 요양시설, 어린이집 등 일상 곳곳의 산발적 집단감염 여파로 여전히 100명 안팎에서 등락을 거듭하는 불안한 상황이다.오히려 인구이동량이 많은 추석 연휴를 고리로 코로나19가 다시 재확산하는 것 아니냐는 불안감이 커지고 있다.방역당국도 추석 연휴가 코로나19 재확산의 기폭제가 될 수도 있다는 우려 속에 방역에 총력을 기울이고 있다.28일 중앙방역대책본부(방대본)에 따르면 전날 코로나19 일일 신규 확진자 수는 95명으로, 26일(61명)에 이어 이틀 연속 두 자릿수를 유지했다.하지만 확진자 숫자가 직전일 대비 34명이나 늘면서 100명에 육박했다.무엇보다 지역사회 내에서 감염된 것으로 추정되는 지역발생 확진자 증가 흐름이 심상치 않다. 지역발생 확진자는 지난 24일부터 사흘간 109명→95명→49명 등으로 감소하며 지난달 13일(47명) 이후 44일 만에 50명 아래로 떨어지기도 했다. 그러나 전날 73명을 기록하며 하루 만에 다시 70명대로 증가했다. 특히 주말인 26일 하루 코로나19 검사 건수가 6천172건으로 직전일(1만69건)보다 3천897건이나 감소했음에도 확진자 수는 오히려 늘어 방역당국이 촉각을 세우고 있다. 통상 주말과 휴일에는 민간 의료기관 등의 검사 건수가 줄어들면서 신규 확진자도 감소하는 추세를 보여왔기 때문이다. 이처럼 신규 확진자가 늘어난 것은 수도권을 비롯해 곳곳에서 산발적 집단감염이 잇따른 영향으로 보인다.실제 서울 도봉구 ‘예마루데이케어센터’(누적 24명), 관악구 ‘삼모스포렉스’(24명), 동대문구 성경 모임(누적 22명) 관련 사례에서 확진자가 추가로 나왔다.여기에다 서울지하철 1·2호선과 경부선의 환승역인 신도림역 환경미화원 등이 포함된 ‘신도림역사’(9명), 경북 포항시 어르신모임방(8명) 등 새로운 집단감염 사례도 발생했다. 이런 상황에서 정부는 일단 추석 연휴가 최대 위험요인이 될 것으로 보고 방역 대응에 총력을 기울일 방침이다. 우선 연휴 기간을 포함해 이날부터 다음 달 11일까지 2주간을 ‘추석 특별방역기간’으로 정해 그간 전국적으로 실시해오던 ‘사회적 거리두기’ 2단계에 준하는 핵심 방역 조처들을 계속 유지하기로 했다. 이에 따라 추석 연휴를 맞아 열리는 마을 잔치, 지역 축제, 민속놀이 등은 ‘실내 50인·실외 100인 이하’로 인원수를 제한해서 진행해야 한다. 명절에 인기가 높은 씨름을 포함한 야구, 축구 등 스포츠 행사도 관중 없이 열린다. 수도권과 비수도권은 현재의 코로나19 유행 상황과 위험 요인 등을 종합적으로 고려한 ‘맞춤형’ 방역 조처가 각각 적용된다. 예컨대 수도권의 일반음식점·휴게음식점·제과점(커피전문점 포함) 가운데 매장 내 좌석이 20석을 넘는 업소는 테이블 간 간격이 1m 이상 되도록 해야 한다. 사람들이 많이 찾을 것으로 예상되는 만큼 2단계 때보다 방역 수위를 조금 높인 것이다.만약 이를 지키기 어렵다면 좌석 한 칸 띄어 앉기, 테이블간 띄어 앉기, 테이블 간 칸막이·가림막 설치하기 중에서 한 가지는 반드시 따라야 한다. 좌석이 20석 이하인 경우에는 의무 사항이 아닌 권고 조치다. 수도권 내 영화관, 공연장 역시 좌석을 한 칸씩 띄어 앉아야 한다. 놀이공원이나 워터파크 등에서는 사전 예약제 시스템을 통해 이용 인원을 절반 수준으로 제한하고 마스크 착용, 출입자 명부 관리 등의 방역 수칙을 꼼꼼히 지켜야 한다. 아울러 정부는 수도권 소재 ▲ 클럽·룸살롱 등 유흥주점 ▲ 콜라텍 ▲ 단란주점 ▲ 감성주점 ▲ 헌팅포차 ▲ 노래연습장 ▲ 실내 스탠딩 공연장 ▲ 실내집단운동(격렬한 GX류) ▲ 뷔페 ▲ 방문판매 등 직접판매홍보관 ▲ 대형학원(300인 이상) 등 11개 고위험 시설 및 업종에 대한 집합금지 조처를 다음 달 11일까지 2주간 계속 유지하기로 했다. 다만 비수도권에서는 직접판매 홍보관만 2주간 집합금지가 계속되고 ▲ 유흥주점 ▲ 콜라텍 ▲ 단란주점 ▲ 감성주점 ▲ 헌팅포차 등 5개 업종은 일단 이날부터 다음 달 4일까지 1주간만 영업이 금지된다.거리두기 2단계 때와는 달리 방역 수칙이 다소 완화되는 곳도 있다. 2단계 상황에서 운영이 중단됐던 실내 국공립시설은 다시 문을 열지만, 이용 인원을 평시 대비 절반 수준으로 낮춰야 한다. 그간 금지됐던 PC방의 음식 판매 및 섭취도 가능해진다. <연합뉴스><저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"
3,문화일보,"北, 남측 공무원 사살·불태운 사건에 침묵…코로나 방역만 강조","‘박왕자씨 피격’ 당시에는 다음날 담화 발표북한이 서해상에서 남측 공무원을 사살한 뒤 불태운 사건에 대해 25일 오전 7시 현재 침묵으로 일관하고 있다.조선중앙통신과 노동신문, 조선중앙방송, 대외선전매체 등 북한 매체에서는 이날 남측 공무원 사살 사건을 일절 언급하지 않았다.전날 청와대가 북한을 강력히 규탄하며 책임자를 처벌하라고 요구했지만, 무시로 답한 모양새다.노동신문에는 신종 코로나바이러스 감염증(코로나19) 유입을 차단하기 위한 ‘방역 장벽’을 강조하는 기사만 실렸을 뿐이다.신문은 ‘방역 부문 일군들이 무거운 책임을 다하자’ 제목의 기사에서 “방역 부문이야말로 인민보위, 조국보위의 전초선”이라며 “일군(간부)들이 최대로 각성 분발하여 우리의 방역장벽을 더욱 철통같이 다져나가야 한다”고 독려했다.또 다른 기사에서는 “강·하천에 대한 방역학적 감시를 보다 강화하여 물에 떠내려오거나 강 유역에 쌓인 물체, 오물 등을 철저히 방역학적 요구대로 처리하는데 깊은 관심을 돌리고 있다”며 “강·하천들에 감시 초소가 증강되고 책임적인 일군들로 감시역량이 보강됐다”고 소개했다.이 같은 대응은 2008년 7월 금강산에서 발생한 ‘박왕자 피격 사건’ 당시와는 정반대 모습이다.북한은 박왕자씨 피격 사건 발생 다음날인 7월 12일 명승지종합개발지도국 대변인 명의로 담화를 내고 “남조선 관광객이 우리 군인의 총에 맞아 사망하는 사고가 발생했다”며 “이에 대해 유감스럽게 생각한다”고 밝힌 바 있다.금강산지역 군부대 대변인 역시 다음 달인 8월 3일 특별 담화를 통해 “전투근무 중에 있던 우리 군인은 날이 채 밝지 않은 이른 새벽의 시계상 제한으로 침입대상이 어디서 나타났는지, 그가 남자인지 여자인지조차 식별할 수 없는 조건”이었다고 강조하기도 했다.당시에는 북한 신참 초병의 ‘근무경계수칙’에 따른 우발적 총격 사건이었다고 할 수도 있다.이 때문에 당시 북한은 사건의 책임을 남측에 돌리면서도 거듭 “사고”라고 주장하며 신속히 수습하려는 속내를 드러냈다.그러나 이번에는 실종 공무원 식별 후 수 시간 뒤에 해군 계통의 상부 지시를 받아 사살하고 시신을 불태웠기 때문에 결이 다른 것으로 볼 수 있다.이에 따라 북한이 이번 사건과 관련해 묵묵부답으로 일관할지, 좀 더 고민 끝에 입장을 내놓을지 지켜봐야 할 것으로 보인다.그러나 한국 정부가 이번 사건에 대해 강력히 규탄하며 북한의 책임론을 강조하고 있는 만큼 북한도 어떤 방식으로든 입장을 내놓을 가능성이 커 보인다.하지만 비무장 민간인에 총격을 가했기 때문에 입장을 내놓더라도 국제사회의 인권 경시 책임은 피하기는 어려운 상황이다.<연합뉴스><저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"
4,문화일보,"홍남기 “코로나 방역, 경제 유지에 중점 둬야”","G20 재무 보건회의서 강조홍남기 부총리 겸 기획재정부장관은 18일 신종 코로나바이러스 감염증(코로나19) 대응과 관련해 “철저한 방역 조치를 바탕으로 적정 경제 활동을 유지하는 것에 중점을 둬야 한다”고 말했다.  홍 부총리는 주요 20개국(G20) 재무 보건장관 합동회의에서 “코로나19와 관련한 국제 공조에 있어서 재원적 공조뿐 아니라 비재원적 공조도 중요하다”며 이렇게 밝혔다.G20은 이번 회의에서 코로나19 대응과 관련한 공동선언문을 채택했다. 특히 “백신이 특정 국가의 독점 없이 공평하고 충분하게 보급돼야 한다”는 한국의 주장이 반영됐다.홍 부총리는 코로나19 팬데믹(세계적 대유행)에 따른 국제 공조를 강조하며 “방역·보건 대응에 필요한 재원 조달 협력과 함께 제도 구축, 지식·기술 공유, 역량 강화, 창조적·획기적 공조 방안을 모색해야 한다”고 강조했다.홍 부총리는 또 포스트 코로나 시대에 대응하기 위한 준비로 ‘한국판 뉴딜’ 정책을 소개하기도 했다. 이정우 기자 krusty@munhwa.com"
5,문화일보,"방역당국, 코로나19 국민항체 2차 조사결과 발표 12일로 연기","발표 10분 앞두고 연기 통보…“일정 조정 중”우리나라 국민이 신종 코로나바이러스 감염증(코로나19)에 어느 정도 면역을 형성했는지를 가늠해볼 수 있는 2차 ‘항체가(抗體價) 조사’ 결과 발표가 12일로 미뤄졌다.중앙방역대책본부(방대본)는 앞서 지난 8일 국민 1440명을 대상으로 한 2차 조사 결과를 10일 발표하겠다고 공지했으나, 발표일인 이날 정례 브리핑을 10분 앞두고 연기를 통보했다.방대본은 문자를 통해 “금일 발표 예정이던 ‘항체보유율 조사 결과’는 전문가 및 내외부 검토의견 취합 중으로 발표 일정을 조정 중에 있다”면서 “12일 토요일 (발표) 예정”이라고 밝혔다. 발표 연기 이유는 구체적으로 확인되지 않았다.항체가 검사란 특정 감염병에 대해 항체가 형성됐는지를 확인하는 검사다. 보통 바이러스성 감염병에 걸린 뒤에는 몸속에 바이러스를 무력화하는 항체가 형성된다. 항체가 검사를 해보면 자신도 모르게 감염병을 앓고 지나간 환자를 포함해 전체 환가 규모를 가늠해볼 수 있다.방역당국이 앞서 지난 4월 21일부터 6월 19일에 실시한 1차 항체가 조사에서는 국민 3055명 가운데 단 1명(0.03%)만 항체를 보유하고 있는 것으로 나왔다. 이 1명은 코로나19 확진 사실이 없는 일반 국민이다. 1차 조사 때는 코로나19가 대규모로 유행했던 대구가 빠졌으나 이번 2차 조사에는 포함돼 항체 보유율이 올라갈 가능성이 있다.방역당국은 현재 실질적인 항체 보유율을 파악하기 위해 코로나19 집단감염 지역인 대구·경산에서 일반인과 의료진 등 3300명을 대상으로 항체가 추가 조사에 나섰고, 지역별 항체 보유율을 보기 위해 군 입소 장정 1만 명에 대해서도 항체가를 확인하고 있다.  최재규 기자 "
6,문화일보,방역당국 “이달 코로나19 상업용 항체치료제 대량 생산 계획”,"  방역당국이 이달 중 신종 코로나바이러스 감염증(코로나19)에 대한 항체 치료제를 대량 생산하겠다고 계획을 밝혔다.권준욱 중앙방역대책본부(방대본) 부본부장은 8일 정례 브리핑에서 “현재는 식품의약품안전처에서 임상 2상과 3상을 심사 중이며, 9월 중에는 상업용 항체 치료제 대량생산을 계획하고 있다”고 말했다. 권 부본부장은 “지난 7월 17일 식품의약품안전처로부터 국내 임상 1상에 대한 승인을 받은 뒤 1상에 대한 결과를 완료하고 분석하는 중이고, 7월 29일에는 영국에서 임상 1상을 승인받고 환자 모집 후 현재 임상시험을 진행하고 있다”고 설명했다.또 “국내 경증환자를 대상으로 한 임상 1상도 지난 8월 25일에 승인을 받아서 현재 환자 모집 중에 있다”고 부연했다. 항체 치료제는 코로나19 바이러스를 무력화하는 ‘항체’ 자체를 이용하는 약물이다. 정부는 내년 개발을 목표로 올 하반기 임상시험을 추진해왔다.  최재규 기자"
7,문화일보,코로나 방역 지침 어긴 美 정치인들…‘내로남불’ 비판 쏟아져,"필라델피아 시장은 실내 영업 금지 후 식당 방문, 펠로시 하원의장은 영업 중단 미용실 방문미국 정치인들이 시민들에게 신종 코로나바이러스 감염증(코로나19) 방역 수칙을 철저하게 지킬 것을 주문하면서 자신들은 그러지 않는 ‘내로남불’(내가 하면 로맨스고 남이 하면 불륜) 태도를 보여 비판을 받고 있다.2일 CNN 등에 따르면 짐 케니 펜실베이니아주 필라델피아 시장은 최근 관내를 벗어난 메릴랜드주 체사피크만의 한 식당에서 밥을 먹는 모습이 사진에 찍혔다. 필라델피아시는 코로나19 여파로 지난 3월 16일부터 식당의 실내 영업을 금지한 상태다. 현지 식당을 운영하는 마크 베트리는 문제의 사진을 인스타그램에 공유하며 “필라델피아에선 식당들이 살기 위해 고군분투할 때 당신이 메릴랜드에서 마스크도 쓰지 않고 사회적 거리도 지키지 않은 채 식사를 즐기고 있다”고 비꼬았다. 이어 “실내 식사는 위험하다는 당신의 말과 그간 모든 기자회견 내용이 스스로에겐 적용되지 않나 보다”며 “이 모든 걸 명확하게 해 줘서 감사하다”고 말했다. 케니 시장은 온라인상에서 자신에 대한 비판이 거세지자 지난달 29일 해당 식당을 방문한 사실을 인정하며 사과했다.낸시 펠로시 미국 하원의장은 당국의 방역 지침을 어기고 미용실을 방문한 모습이 포착돼 빈축을 사고 있다. 폭스뉴스는 펠로시 하원의장이 지난달 31일 샌프란시스코에 있는 미용실을 방문해 헤어 드라이 서비스를 받았다고 보도했다. 당시 감시 카메라 영상을 보면 펠로시 하원의장은 미용실 안에서 머리가 젖은 채 걸어 다니며 마스크를 착용하지 않았다. 샌프란시스코시는 코로나19 확산 방지를 위해 지난 3월부터 모든 미용실을 폐쇄한 상태다. 당국은 이날부터 미용실 운영을 재개해도 된다고 밝혔으나 야외 서비스만 허가했다. 해당 미용실 주인인 에리카 카이우스는 당시 소속 스타일리스트가 펠로시 하원의장의 서비스 예약 사실을 알려왔다고 전했다. 그는 “뺨을 한 대 맞은 기분이었다”며 “나는 일도 못하고 다른 손님들도 미용실에 오지 못하는데, 그 사람은 자신은 그저 들어가서 볼일을 봐도 된다고 생각한 듯했다”고 토로했다. 펠로시 하원의장 측은 “당국이 손님을 한 번에 한 명씩은 받을 수 있도록 허가해줬다고 업소 측에서 전해왔다”고 해명했다.  정유정 기자 "
8,문화일보,전국서 모이고 5400명 상주하는데… 국회 ‘코로나 방역’ 무방비,"확진자 동선 넓어 접촉자도 많아국회는 최근 2주 동안 출입기자 2명과 국민의힘 당직자가 신종 코로나바이러스 감염증(코로나19) 확진 판정을 받으며 3차례 일부 건물을 폐쇄했다. 국회는 특성상 회의 등이 수시로 열리고, 대면 취재가 이뤄지는 탓에 확진자 발생 시 접촉자가 많을 수밖에 없다.8일 오전에 예정됐던 주호영 국민의힘 원내대표의 교섭단체 대표 연설, 상임위원회 회의, 정당별 회의 등은 모두 오후로 연기됐다. 전날(7일) 국회 출입기자가 코로나19 확진 판정을 받은 데 따른 조치다. 국회는 지난달 26일 더불어민주당 최고위원회의를 취재했던 사진기자가, 지난 3일에는 국민의힘 당직자가 확진 판정을 받아 폐쇄된 바 있다.국회에서 확진자가 나올 경우 동선이 다양해 방역 범위가 넓어질 수밖에 없다. 이번에 확진 판정을 받은 출입기자는 동선이 국회 소통관, 본관, 의원회관 등 광범위하고, 접촉자도 정치인을 비롯해 수십 명에 달했다. 회의장과 기자회견장이 다른 곳에 위치해 방역에 하루 이상의 시간이 필요하다. 국회 상주 인원이 약 5440명에 달해 접촉 대상자도 넓다. 사실상 비대면 업무가 불가능한 것도 이유 중 하나로 꼽힌다. 코로나19가 전국적으로 확산하면서 각 정당의 회의는 소수 인원으로 출입이 제한되지만, 정치인, 당직자, 취재기자 등 필수 인원이 모이게 된다. 국회는 정부의 강화된 거리두기 2단계 조치 연장에 맞춰 의원회관 세미나실 예약 및 이용 제한, 외부인 청사출입 제한 등 방역 조치를 오는 13일까지 연장할 방침이다. 확진자와 접촉했던 한정애 더불어민주당 정책위의장과 홍정민 민주당 원내대변인 등도 선제적으로 검사를 받아 음성판정을 받았다.  윤명진 기자 jinieyoon@munhwa.com"
9,문화일보,프로야구 2군 코로나 방역 ‘구멍’… 1군까지 ‘불안’,"경기중 침 뱉고 숙소 무단 이탈 타구단과 식사 KBO 보고 안해 류중일 감독 “확진자 선수 나와 염경엽 감독에게 전화로 안부”한화 2군에서 신종 코로나바이러스 감염증(코로나19) 확진자가 나오면서 프로야구계가 뒤숭숭하다.1일 인천 SK행복드림구장에서 열린 2020 신한은행 쏠(SOL) KBO리그. 류중일 LG 감독은 이날 맞대결을 펼치는 염경엽 SK 감독에게 전화했다. 염 감독이 68일 만에 컴백했지만, 전화로 안부를 물었다. 류 감독은 “코로나19 확진 선수가 나와 대신 염 감독에게 전화해 응원했다”면서 “염 감독에게 아프지 말고 많이 먹으라고 전했다”고 지척에 있지만 대면하지 않은 이유를 설명했다. 지난달 31일 한화 재활군에 있던 투수 신정락이 국내 프로스포츠 선수로는 처음으로 코로나19 확진 판정을 받은 데 이어 1일에는 한화 육성군 소속의 투수가 양성 반응을 보였다. 퓨처스리그(2군)는 곧바로 중단됐다. 평소처럼 류 감독과 염 감독, 양 팀 선수단은 더그아웃에서 마스크를 착용했다. 선수들은 하이파이브를 하는 대신 팔꿈치를 맞대는 등 접촉을 자제했다. 이날 전국 5개 구장에서는 마스크를 쓰고 경기를 하는 선수들도 눈에 띄었다. 그런데 보이지 않는 곳에선 방역 수칙이 제대로 지켜지지 않고 있다. 두산 1군 투수 2명은 7월 중순 원정경기가 끝난 뒤 술을 마신 사실이 알려져 벌금 300만 원 징계를 받았다. 경기 중 금지된 침을 뱉는 선수들도 종종 있다. 그리고 1군에 비해 2군은 통제가 허술하다. 2군에선 관리 감독이 소홀하기에 다른 팀 선수들과 자유롭게 접촉하기도 한다. 지난달 SK의 2군 선수단 내 폭행 사실을 조사하는 과정에서 선수들이 무단으로 숙소에서 이탈한 사실이 드러났다. 신정락은 LG와의 퓨처스리그 경기를 앞두고 LG 구단 버스를 찾아갔고, LG 선수와 식사를 함께한 것으로 알려졌다. 한화 구단은 한국야구위원회(KBO)의 지침을 어겼다. 신정락이 지난달 31일 오전 코로나19 검사를 받았는데, 이때까지 한화는 KBO에 보고하지 않았다. 발열 등 유증상 선수가 있을 경우 구단은 즉시 KBO에 알려야 한다.프로야구는 코로나19 탓에 지난 5월 5일 뒤늦게 개막했고, 그동안 별 탈 없이 진행됐다. 하지만 확진자가 나오면서 상황은 달라지고 있다. 확진자가 더 나오면 리그가 중단될 수도 있다. 그동안 별일 없었다면서 방심하는 순간, 걷잡을 수 없이 감염자가 증가할 수 있다. 특히 보이지 않는 곳에서 계속 방역수칙에 어긋나는 행동을 하게 되면 그 시기는 빨라질 수 있다.  정세영 기자 niners@munhwa.com"
