,Press,Title,Text
0,연합뉴스,"노영민 ""부동산정책 서서히 효과""…野는 비판","닫기노영민 ""부동산정책 서서히 효과""…野는 비판[뉴스리뷰][앵커]청와대는 정부 8·4 대책으로 집값 상승세가 서서히 잡혀가고 있다고 밝혔습니다.하지만 야당은 정부 대책으로 시장이 더 혼란해졌는데도 청와대가 눈과 귀를 막고 있다고 비판했습니다.방현덕 기자입니다.국회 운영위에 출석한 노영민 대통령 비서실장은 부동산 시장이 안정세로 접어들었다고 밝혔습니다.[기자]<노영민 / 대통령 비서실장> ""부동산 안정화 정책에 따라서 그 효과가 서서히 현재 나타나고 있다…서울과, 특히 강남 지역에 있어서는 현재 아파트 가격 상승은 거의 없는 것으로, 2주 연속…""국민 다수가 정부 정책을 지지하고 있다며, 민심 악화를 불렀던 청와대 참모들의 다주택 문제도 이달 말까지는 다 해소될 것이라는 입장을 밝혔습니다.김상조 청와대 정책실장도 정부의 부동산 정책 기조에 변화가 없을 것이란 점을 분명히 했습니다.<김상조 / 청와대 정책실장> ""문재인 정부 하에서는 이러한 안정화 기조를 일관되게 유지할 겁니다…기조를 변화시키는 일은 없을 거라 생각합니다.""통합당은 부동산 시장 혼란이 이어지는데도 청와대가 자화자찬만 하고 있다고 공세를 폈습니다.<김정재 / 미래통합당 의원> ""이쯤되면 국민의 눈과 귀를 가린 게 아니라 정권 스스로 눈을 감고 귀를 막고 있는게 아닌가 의심스럽습니다.""통합당은 민주당이 임대차 3법을 제대로 검토도 안하고 밀어붙이다 집 주인의 임대료 인상 권리를 보장하는 조항을 누락하며, 세입자가 거부하면 임대료 인상이 아예 불가능하게 된, 졸속 입법이 됐다고 집중 비판했습니다.<주호영 / 미래통합당 원내대표(당 원내대책회의)> ""지금이라도 민주당은 잘못을 솔직히 시인하고, 사과하고, 조속히 법 개정 절차에 돌입해야 할 것입니다""국회 국토위에 출석한 김현미 국토부 장관은 이러한 지적에 '임대인과 임차인이 조화롭게 합의해나가기를 바란다'고 밝혔습니다.연합뉴스TV 방현덕입니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
1,연합뉴스,"황교안 ""文대통령, 부동산정책 실패 인정하고 사과해야""","닫기황교안 ""文대통령, 부동산정책 실패 인정하고 사과해야""자유한국당 황교안 대표는 문재인 대통령을 향해 부동산 정책 실패를 인정하고 국민 앞에 사과하라고 촉구했습니다.황 대표는 오늘(22일) 페이스북 글을 통해 최근 정부가 발표한 부동산 대책은 과연 누구를 위한 대책이냐며 대책 없는 정권이라고 비판했습니다.이어 집 가진 분들은 세금 폭탄으로, 집 없는 분들은 집값 폭등으로 괴롭다며 제발 정상으로 돌아오라고 덧붙였습니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
2,연합뉴스,"블룸버그 ""한국정부 부동산정책이 경제 성장률 압박""","닫기블룸버그 ""한국정부 부동산정책이 경제 성장률 압박""한국 정부는 문재인 대통령의 2017년 취임 이후 고삐 풀린 주택 가격 상승을 억제하겠다고 약속했지만, 그 목표 달성을 위한 과정이 경제 성장 둔화라는 의도치 않은 결과를 불러왔다고 블룸버그 통신이 보도했습니다.통신은 오늘(3일) '문 정부의 부동산 정책이 한국의 성장을 짓누른다'라는 제목의 기사에서 이같이 진단했습니다.통신은 경제 성장률 둔화의 원인으로 수출 부진이 지목되는 경향이 있지만 ""지난 3분기에 더 큰 장애물은 건설 부문의 약세였다""고 지적했습니다.한국은행이 발표한 3분기 실질 국내총생산, GDP 증가율은 전분기 대비 0.4%였지만, 건설투자는 6%나 감소한 것으로 나타났습니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
3,연합뉴스,"박원순 ""부동산 개혁 필요""…국민공유제 제안","닫기박원순 ""부동산 개혁 필요""…국민공유제 제안[앵커]박원순 서울시장은 정부의 12·16 부동산 대책을 환영하며 더 강력한 개혁도 함께 진행돼야 한다고 말했습니다.특히 부동산 불로소득을 철저히 환수할 필요가 있다고 강조했는데요.이를 위한 '부동산 국민공유제'를 제안하기도 했습니다.팽재용 기자의 보도입니다.[기자]국회 부동산정책 토론회에 참석한 박원순 서울시장은 부동산에 기반을 둔 성장은 경제를 파국으로 이끈다고 비판했습니다.그러면서 서울 부동산 가격 상승의 원인으로 지난 보수정부의 무분별한 규제 완화 정책을 지목했습니다.<박원순 / 서울시장> ""'빚내서 집사라' 그 당시 구호였죠. 부동산 시장을 무리하게 키워갔던 부동산 부채 주도의 토건성장 체제의 결과입니다.""박 시장은 조선시대 정도전의 토지개혁과 같은 과감한 정책 전환이 필요하다며 부동산의 불로소득을 철저하게 환수하는 국민공유제 도입을 주장했습니다.개발이익을 환수해 공공임대주택 건설 등 국민 전체가 혜택을 누리는 사업에 투자하자는 것입니다.또 다주택 보유자에 대한 종부세를 훨씬 더 강화하고 부동산 공시가격 현실화율도 높여야 한다고 덧붙였습니다.<박원순 / 서울시장> ""서울시는 '부동산가격공시지원센터'를 만들어 중앙정부와 자치구가 공시가격 산정업무에 최선을 다해서 필요한 사항을 적극적으로 지원할 생각입니다.""토론회에는 양정철 민주연구원장 등 여권 인사가 다수 참여해 불평등 해소를 위한 부동산 정책에 힘을 보탰습니다.다만 자유한국당 등 야권에서는 정부의 부동산 정책은 집값 상승만 부채질 한다며 규제일변도가 아니라 필요한 곳에 양질의 주택을 공급하는 것이 중요하다고 반박했습니다.연합뉴스TV 팽재용입니다. (paengman@yna.co.kr)연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
4,연합뉴스,"부동산, 총선 최대이슈 부상하나…정치권 촉각","닫기부동산, 총선 최대이슈 부상하나…정치권 촉각[앵커]수도권 집값 폭등으로 민심이 요동치면서 부동산 문제가 4월 총선의 최대 이슈가 될 조짐을 보이고 있습니다.민주당은 규제 강화를 통해 집값을 안정화시킨다는 계획이지만 야권에서는 정부 심판론을 적극 부각하고 있습니다.정영빈 기자가 보도합니다.[기자]노무현 정부 당시 부동산 정책에 발목이 잡혔던 악몽이 있는 민주당은 민심의 향방에 촉각을 곤두세우고 있습니다.정춘숙 원내대변인은 지난 화요일 원내대책회의 직후 기자들과 만나 부동산 때문에 민심이 좋지 않은 것 같다며 대책 마련을 논의했다고 말했습니다.투기지역 2가구 이상 주택을 보유한 총선 후보자들에게 2년 내 매각 서약서를 받기로 하고 김의겸 전 청와대 대변인의 자격 심사를 엄격히 진행하는 것도 이런 기류가 반영된 것으로 풀이됩니다.민주당은 문재인 대통령이 신년 기자회견에서 부동산 가격 원상회복을 강조한 만큼 고강도 규제로 집값 안정에 주력한다는 방침입니다.반면 한국당은 부동산 문제를 고리로 정부여당을 강하게 몰아붙이고 있습니다.한국당은 주택담보대출과 재개발, 재건축 규제 완화 등을 골자로 하는 주택 공약을 발표했습니다.<김재원 / 자유한국당 정책위의장> ""문재인 좌파정권의 반시장 독재적 부동산정책에 맞춰 정상적인 시장기능 복원을 추진하겠습니다.""향후 선거과정에서도 부동산 문제를 적극 부각시킨다는 계획입니다.정의당은 집값 폭등에 서민들이 피눈물을 흘리고 있다면서 여당 심판론을 제기했습니다.<심상정 / 정의당 대표> ""서울에서 서민들이 맘 편히 살 수 있도록 대한민국 불평등 주범인 부동산 가격 폭등에 대해 민주당을 심판하는 선거를…""평화당은 1호 공약으로 20평 아파트 100만호를 분양가 1억원에 공급하는 방안을 내놨습니다.연합뉴스TV 정영빈입니다. (jyb21@yna.co.kr)연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
5,연합뉴스,[일요와이드] 21대 국회 본격 시작…'부동산·박원순' 쟁점,"닫기[일요와이드] 21대 국회 본격 시작…'부동산·박원순' 쟁점<출연 : 유용화 한국외대 초빙교수·장성호 건국대 행정대학원>[앵커]21대 국회 첫 임시국회가 내일부터 본격적인 의사일정에 들어갑니다.원구성 갈등으로 47일 만에 개원했지만 여러 현안을 두고 여야 의견차가 커 파열음이 빚어질 것으로 보이는데요.<질문1> 7월 임시국회가 내일부터 본격 의사일정에 들어갑니다. 민주당과 통합당 원내대표의 교섭단체 대표연설이 이틀간 열리는데요. 여야 각각 어떤 현안에 방점을 찍을 것으로 전망하시나요?<질문2> 최대 쟁점은 부동산 관련 입법이 될 전망입니다. 문 대통령도 개원 연설에서 ""부동산 투기로는 더는 돈을 못 벌게 하겠다""고 했죠. 당정은 7·10 후속 입법과 부동산세법, 임대차 3법을 개정할 계획인데 부동산 진정국면에 들어설까요?<질문3> 야당은 세금으로는 집값을 잡을 수는 없다고 말합니다. 어제 서울 도심에서 일부 시민들의 부동산정책 반발 집회도 있었고요. 민주당 진성준 의원의 ""집값 안 떨어진다""는 발언 등 논란이 계속되고 있는데요. 이 문제, 여야가 입법과정에서 어떻게 풀어가야 한다고 보시나요?<질문4> 정부는 규제만으로는 한계가 있다며 공급 확대에도 눈을 돌리고 있습니다. 관련해 최근 서울의 그린벨트 해제를 놓고 격론이 벌어지고 있는데요. 김상조 정책실장은 당정 사이 이견은 정리됐다고 하는데 문제는 서울시를 어떻게 설득 하냐는 문제 아니겠습니까?<질문4-1> 이례적으로 추미애 법무부 장관도 그린벨트 해제는 안 된다며 입장을 냈는데요. 발언의 의도를 두고 정치적인 해석이 나오는 것 같습니다<질문5> 대법원 파기환송 판결로 기사회생한 이재명 경기지사, 핵심 현안에 대한 목소리가 더 또렷해졌습니다. ""비싼 집 사는 게 죄냐""며 부동산 대책에 자신의 입장 개진하는가 하면 '수술실 CCTV 설치' 법안을 만들어달라며 국회의원 전원에 편지를 보냈는데요. 정치적 행보 본격 신호탄이 켜졌다고 보시나요?<질문6> 하지만 이재명 지사의 당내 지지세는 약해 보이고, 여전히 대세는 총리 출신 이낙연 의원으로 보입니다. 이 의원은 대권에 앞서 당권부터 도전하는데 현안 언급을 자제 중이죠. 여권 지지율 흔들리는 상황에다가 이재명 지사, 김부겸 전 의원의 연대설도 흘러나오는데 '이낙연 대세론'에 영향 줄까요?<질문7> 이번 주 청문회도 잇따라 열립니다. 내일 김창룡 경찰청장 후보자 청문회에서는 박원순 전 서울시장 관련 의혹이 집중 추궁 대상 될 것으로 보이는데요. 민주당은 거듭 사과하면서도 서울시에 진상규명을 요구했지만 통합당은 특검이나 국정조사도 거론하고 있어요?<질문8> 통합당은 이인영 통일부 장관 후보자 청문회도 벼르고 있습니다. 이 후보 아들의 스위스 유학자금 출처와 병역면제 의혹에 대한 공세를 예고했고요. 박지원 국정원장 후보자는 대북송금 문제와 학위 문제가 제기됩니다. 그럼에도 두 사람 모두 다선 의원 출신이죠. 청문회 무난한 통과 예상하세요?연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
6,연합뉴스,"[현장연결] 이재명 ""경기 4급이상 공무원, 거주용 1주택외 처분""","닫기[현장연결] 이재명 ""경기 4급이상 공무원, 거주용 1주택외 처분""이재명 경기지사가 4급 이상 고위공직자들의 주택보유현황을 인사에 반영하는 내용을 골자로 하는 부동산 정책을 발표합니다.현장연결해 함께 보시겠습니다.[이재명 / 경기도지사]부동산 폭등에 따른 자산가치 왜곡과 무주택자들의 상대적 박탈감은 우리 사회의 해묵은 문제입니다. 토지의 유한성에 기인한 수요공급 불균형이 주원인이지만, 부동산정책에 대한 불신이 문제를 키우고 있습니다.'부동산으로 돈 벌 수 없게 하겠다'는 문재인 대통령님 말씀에 부동산 문제 해결에 대한 정책의지와 지향이 담겨 있습니다. 대통령님의 정확한 진단과 신념을 실현하고 부동산 광풍을 잠재우려면 확실하고 치밀하면서도 국민 수용성이 높은 정책을 만들고 실행해야 합니다.경기도는 부동산투기 근절과 도민주거생활 안정을 위한 대책을 꼼꼼히 준비하고 시행해 왔습니다. 지방정부 역할의 한계로 근본적 대책을 만들기는 어렵지만, 망국적 부동산투기를 막기 위해 할 수 있는 일은 무엇이든 해야 한다는 의지로 도민 여러분께 경기도의 '부동산 주요대책'을 몇 가지 설명드리겠습니다.첫째, 부동산정책에 대한 신뢰회복 방안을 마련하겠습니다. 국민적 관심사인 부동산정책의 입안과 시행은 이해관계자로부터 자유로워야 합니다. 부동산에 이해관계를 가진 사람이 부동산정책 결정에 관여하게 되면 좋은 정책이 만들어지기 어렵습니다. 또, 부동산시장은 심리에 영향을 크게 받기 때문에 좋은 정책과 더불어 정책에 대한 신뢰확보가 무엇보다 중요합니다. 따라서 정책결정권자가 주가에 영향을 미치는 것을 막기 위해 주식백지신탁제가 있는 것처럼 고위공직자는 주거나 업무용 필수부동산 이외 일체 부동산을 보유하지 못하게 하는 부동산백지신탁제가 도입되어야 합니다.경기도는 조속한 부동산백지신탁제 도입을 위해 국회와 중앙정부에 협조를 구하는 한편 도민과 함께 입법실현에 힘쓰겠습니다. 그러나 입법만을 기다릴 수 없기에 임시방편으로 투기투자 목적의 다주택 보유 고위공직자에 대한 대처방안을 마련하였습니다. 4급 이상 도소속 공무원(시군 부단체장 포함)과 산하 공공기관의 본부장급 이상 상근 임직원에게 금년 연말을 시한으로 거주용 1주택을 제외한 나머지 주택을 모두 처분하고, 부득이한 사유로 다주택을 보유하더라도 사유 발생일로부터 6개월 내 해소할 것을 강력 권고합니다. 경기주택도시공사는 주택정책에 직접 관여한다는 소관업무의 특성을 고려하여 처장급 간부까지 적용대상에 포함시켰습니다.권고 위반시 2021년 인사부터 주택보유 현황을 승진, 전보, 성과평가에 반영하고, 다주택자는 관련 업무에서 배제하며, 공공기관 임직원에 대해서는 재임용(임기연장), 승진, 공공기관 경영평가에 반영합니다. 이미 금년 인사에서 고위공무원이 다주택자여서 승진에서 배제된 일이 있다는 점을 알려 드립니다.실제로 경기도는 지난 7월 1일 기준으로 공직자윤리법상 재산등록대상자인 4급 이상 공무원과 공공기관 임원급 이상을 대상으로 주택 보유현황을 조사하였습니다. 조사 결과, 경기도 4급 이상 공직자와 시군 부단체장, 공공기관 임원 332명 중 2주택 이상을 소유한 다주택자는 조사 대상의 28.3%인 94명으로 나타났습니다. 2주택 소유자가 69명으로 가장 많았고 3주택 소유자는 16명, 4주택 이상 소유한 공직자와 임원도 9명이나 있었습니다.소속기관별로 보면, 도청 소속 4급 이상 공직자는 201명으로, 이중 다주택자는 23.4%인 47명으로, 2주택은 36명, 3주택은 8명, 4주택 이상은 3명입니다. 시군 부단체장 31명 중 다주택자는 25.8%인 8명으로, 2주택은 6명, 4주택 이상이 2명입니다. 소방재난본부 소속 4급 이상 공직자 56명 중 다주택자는 37.5%인 21명으로 조사되었으며, 2주택이 17명, 3주택이 2명, 4주택 이상은 2명입니다.공공기관 등의 임원은 총 44명이며, 이 중 다주택자는 40.9%인 18명으로 2주택은 10명, 3주택은 6명, 4주택 이상은 2명입니다. 지난번 실태조사에 포함되지 않은 공공기관 본부장급 이상 공직자에 대한 주택보유현황 실태조사는 현재 진행 중입니다.둘째, 주택 공급확대와 수요축소를 통한 주택시장 안정 방안을 추진합니다. 주택은 투기나 투자 수단이 아니라 거주수단이어야 합니다. 집값도 수요와 공급에 의해 결정되며, 집값 안정을 위해서는 적정한 공급과 투기수요 억제로 실거주 수요자가 주택을 보유하게 하는 것이 정책의 핵심입니다. 신축공급은 제한적일 수밖에 없습니다. 주택보급율이 100%를 오르내리고, 자가보유율이 절반을 조금 넘는 상태에서는 비거주용 다주택자가 실거주용 주택 외 주택을 모두 시장에 공급하도록 하는 것이 공급확대 정책의 핵심입니다.주택정책은 가격, 다주택, 비거주 억제를 목적으로 금융, 조세, 규제 등의 정책을 필요에 따라 강도를 정하여 시행하는데, 가격억제보다는 다주택규제에, 다주택규제보다는 비거주억제에 중점을 두어야 합니다. 즉, 투기투자 자산인 비거주용은 불로소득 환수를 위해 취득, 보유, 양도과정에서 강력한 징벌과세를 가하는 대신, 무주택자의 실거주용 주택취득과 보유를 돕기 위해 실거주 1주택에는 세제 금융 우선순위 등 혜택을 주는 것이 마땅하고 가격을 이유로 징벌과세를 하면 안 됩니다. 주택 사재기와 조세회피 수단으로 전락한 주택임대사업자에 대한 조세 및 금융특혜를 전면 폐지하되 유예기간을 일정하게 허용함으로써 시장에 주택이 공급될 수 있도록 유도해야 하고, 법인의 비업무용 부동산에 대한 조세 및 금융혜택을 폐지하고 오히려 강력하고 원칙적인 과세를 통해 법인의 주택 및 비업무용 부동산 사재기를 근절해야 합니다.주택의 신규공급만큼 중요한 것이 주택매입수요를 줄이는 것입니다. 안정적이고 필요한 수준의 장기공공임대주택을 충분히 공급하여 매입 대신 임차를 선택할 수 있게 해야 합니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
7,연합뉴스,"경실련 ""청와대 참모진 부동산 3년새 3억원↑""","닫기경실련 ""청와대 참모진 부동산 3년새 3억원↑""문재인 정부, 전·현직 청와대에 근무한 참모진이 보유한 부동산이 지난 3년간 평균 3억원 정도 올랐다는 분석이 나왔습니다.경제정의실천시민연합은 어제(11일) 전·현직 1급 공무원 이상 65명의 재산 신고 내역을 바탕으로 아파트와 오피스텔 실거래가 변동을 분석한 결과, 최근 3년간 평균 3억2,000만원 올랐다고 밝혔습니다.가장 많이 오른 참모는 주현 전 청와대 중소벤처비서관으로 13억 8,000만원이 올랐고, 부동산정책을 관할하는 청와대 전·현직 정책실장 모두 지난 3년 사이 4억에서 10억원 넘게 주택가격이 상승한 것으로 조사됐습니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
8,연합뉴스,"통합 ""부동산 정책 실패""… 대여 총공세","닫기통합 ""부동산 정책 실패""… 대여 총공세[뉴스리뷰][앵커]국회에 복귀한 미래통합당은 연일 문재인 정부의 부동산 정책을 겨냥해 맹공을 퍼붓고 있습니다.부동산 가격 상승은 일관성 없는 정책 탓이라며, 문 대통령이 국회에 책임을 떠넘기려는 건 정책 실패를 시인하는 것이라고 비판했습니다.이승국 기자입니다.[기자]부동산 정책 진단 긴급 간담회를 연 미래통합당은 ""문재인 정부의 갈지자 부동산 정책이 가격 상승을 불러왔다""고 지적했습니다.특히 정책 효과를 거두기 위해선 국회 입법이 뒷받침돼야 한다는 문 대통령의 발언을 정면 비판했습니다.<김종인 / 미래통합당 비상대책위원장> ""대통령이 국회에 책임을 미루는 거 같은데 이건 정부의 부동산 정책에 대한 완전한 실패라는 것을 솔직하게 시인하는 거라고 봅니다.""주무 장관인 김현미 국토부 장관을 향해서도 ""정책 수단이 제대로 작동하고 있다는 가상현실 같은 인식을 보였다""며 자신이 없으면 빨리 그만두라고 사퇴를 촉구했습니다.통합당은 윤석열 검찰총장과 갈등을 빚고 있는 추미애 법무부 장관의 배후에 청와대가 있다는 의혹도 제기했습니다.수사 지휘권 발동에 앞서 법무부가 민정수석실을 통해 청와대의 승인을 받은 정황을 파악했다는 겁니다.<주호영 / 미래통합당 원내대표> ""'윤석열 죽이기'가 추미애 장관의 독단적인 행동이 아니라 청와대의 배후 조종과 협력에 의해서 치밀하게 진행되고 있다는 것을 의미합니다.""통합당 내 인천국제공항공사 공정 채용 TF 위원들은 현장을 찾아 코로나19로 매출이 반토막 난 상황에서 비정규직의 정규직화는 무모한 결정이라며, 유보할 것을 촉구했습니다.통합당은 원내 복귀와 동시에 정부와 여당의 '약한 고리'로 꼽히는 부동산 정책 등을 집중 공격하며 제1야당으로서의 존재감 부각에 나서는 모습입니다.연합뉴스TV 이승국입니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
9,연합뉴스,"야권, 파상공세 ""부동산 정책 실패…김현미 경질해야""","닫기야권, 파상공세 ""부동산 정책 실패…김현미 경질해야""[앵커]야권은 일제히 문재인 정부의 부동산 정책을 실패로 규정하고 강도 높게 비판했습니다.주무 장관인 김현미 국토부 장관에 대한 책임론도 커지고 있는데요.야권뿐 아니라 여당 일각에서도 교체론이 불거지는 모습입니다.이승국 기자입니다.[기자]미래통합당은 정부가 다주택 고위 공직자들에게 주택 처분을 요구하는 것을 여론 무마용이라고 규정했습니다.그러면서 경제 논리에 맞지 않는 반헌법적인 조치로 성난 민심을 수습하려 하지 말라고 비판했습니다.<김종인 / 미래통합당 비상대책위원장> ""(고위 공직자의) 재산 등록 상황을 일반 국민들에게 공표해 왔습니다. 그런데 이제 와서 무슨, 정책의 실패를 호도하기 위해서 엉뚱한 소리를 하지 않느냐 하는 생각이 듭니다.""주무 장관인 김현미 국토교통부 장관에 대한 경질도 거듭 촉구했습니다.<주호영 / 미래통합당 원내대표> ""문재인 대통령은 조속히 김현미 국토부 장관 해임하십시오. 그렇지 않으면 국회에서 해임 건의권을 행사할 것입니다.""국민의당도 3년간 22번의 부동산 대책이 나온다는 자체가 정책 실패를 의미한다며, 문재인 대통령의 사과와 책임자 문책을 요구했습니다.<안철수 / 국민의당 대표> ""야구에서 어떤 타자가 내리 21타수 무안타를 기록하면 4번 타자라도 대타를 내는 것이 기본입니다. 정책 실패의 주범, 당연히 교체해야 합니다.""경실련과 부동산 정책 간담회를 연 정의당도 철학 부재와 관료들의 무능, 그리고 신뢰를 상실한 고위 공직자를 문재인 정부 부동산 정책 실패의 세 가지 요인으로 꼽았습니다.야권이 한목소리로 정부 부동산 정책에 대한 비판의 수위를 높이고 있는 가운데 여당 일각에서도 김현미 장관을 교체할 타이밍 아니냐는 목소리가 나오고 있습니다.연합뉴스TV 이승국입니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
