,Press,Title,Text
0,한겨례,“부동산 정책 흔들림 없다”,"홍남기 경제부총리(왼쪽 둘째)가 12일 오전 서울 종로구 정부서울청사에서 열린 제2차 부동산시장 점검 관계장관회의에서 머리발언을 하고 있다. 김정효 기자 hyopd@hani.co.kr청와대가 공급 확대와 투기 억제를 뼈대로 지금의 부동산 정책 기조를 계속 밀고 나가겠다는 뜻을 분명히 했다.이호승 청와대 경제수석은 12일 <시비에스>(CBS) 라디오 인터뷰에 나와 “7·10 부동산 대책 발표 뒤 서울의 주택 가격 상승률이 0.11에서 지난주 0.04 수준까지 (떨어져) 하향 안정 흐름을 보인다”며 “조세, 대출 규제, 공급 확대 등 정책 패키지가 완성됐기 때문에 조만간 시장 안정 효과는 더 확실하게 확인할 수 있을 것이고 반드시 이뤄질 것이다”라고 호언했다. 앞서 김상조 정책실장도 전날 <문화방송>(MBC) 인터뷰에서 “6월부터 적극적인 정책을 하면서 7월 하순부터는 강남 4구를 포함한 서울의 주택 가격 상승폭이 뚜렷이 축소됐다”며 “모레(13일) 한국감정원 발표에서 강남 4구 주택 가격 상승률은 사실상 0에 근접할 것으로 생각한다”고 말했다. 문재인 대통령이 지난 10일 수석·보좌관회의에서 “부동산 종합대책의 효과가 서서히 나타나면서 과열됐던 주택 시장이 안정화되고, 집값 상승세가 진정되는 양상을 보이기 시작했다”고 말한 것의 연장선이다.강력한 후속 조처도 예고했다. 이호승 수석은 “고가 다주택을 보유하거나 단기·갭 투자 혹은 법인을 이용한 우회 투자 등을 통해 불로소득을 실현하기가 불가능해졌다”며 “후속 조처도 강한 의지를 갖고 할 것”이라고 말했다. 문 대통령이 언급한 부동산 시장 감독기구와 관련해선 “기구가 설치되면 여러 기관에 흩어진 부동산 시장 안정 기능들을 통합하게 될 것”이라고 말했다.홍남기 경제부총리 겸 기획재정부 장관도 이날 ‘2차 부동산시장 점검 관계장관회의’를 주재하며 부동산 시장 안정화에 대한 강한 의지를 드러냈다. 그는 “올해 초 신고분에 대한 고가주택 실거래 조사 결과 다수의 이상거래 의심 사례가 추출돼 불법행위 해당 여부를 검토해 8월 중 최종 결과를 발표하고 국세청 통보, 과태료 부과 등을 추진할 예정”이라고 했다. 이어 “수도권과 세종 지역에 대해서는 지난 7일부터 진행 중인 경찰청 ‘100일 특별단속’과 국세청 ‘부동산거래 탈루 대응 태스크포스’의 점검·대응 역량을 한층 강화할 예정”이라고 홍 부총리는 덧붙였다.청와대가 지금 부동산 정책 틀을 유지하겠다는 뜻을 명확히 한 만큼, 미래통합당 등 야당이 요구하는 청와대 정책라인 교체도 없을 것으로 보인다. 청와대 관계자는 “지금은 부동산 시장에 준 정부의 정확한 시그널(신호)을 일관성 있게 유지해 나가는 게 중요하다. 공연히 사람을 바꾸면 시장에 잘못된 시그널을 줘 혼선만 초래한다”고 말했다.성연철 이정훈 기자 sychee@hani.co.kr"
1,한겨례,부동산 정책 고위공직자 36%가 다주택,"윤순철 경실련 사무총장(오른쪽)과 김헌동 경실련 부동산건설개혁본부장(왼쪽) 등이 6일 종로구 경실련 회관에 서 열린 국토부와 기재부 등 고위공직자 부동산재산 분석 발표 기자회견에서 고위공직자들의 부동산재산 상황 과 시세 상승 그래프를 보여주고 있다. 연합뉴스부동산 정책 관련 주요 부처 고위공직자의 부동산 재산이 국민 평균보다 4배나 많고, 이들의 36%가 다주택자로 나타났다. 문재인 정부의 부동산 정책이 신뢰를 얻기 힘든 이유라는 지적이 나온다.경제정의실천시민연합(경실련)은 6일 국토교통부와 기획재정부, 금융위원회 등 부동산·금융·세제 정책을 다루는 주요 부처 1급 이상 고위공무원 107명의 부동산 보유 현황을 발표했는데, 이들 중 39명(36.4%)이 다주택을 보유한 것으로 조사됐다. 이는 21대 국회의원의 다주택자 비율(29.3%)보다 높은 수치다. 이들의 1인당 평균 부동산 재산은 12억원으로 우리나라 가구당 평균인 3억원보다 4배나 많은 것으로 조사됐다. 상위 10명의 부동산 재산 평균은 33억원이었다. 이들 중 7명은 전·현직 국토부·기재부 공무원 출신이었다. 부동산 재산이 가장 많은 공직자는 김상균 한국철도시설공단 이사장으로 경기 고양시 덕양구 일대에 창고·대지 등 75억2천만원의 부동산을 보유하고 있다. 2위는 부동산 정책을 관장하는 박선호 국토부 제1차관으로 서울 서초구에 주상복합아파트 등 39억2천만원의 부동산을 가지고 있다. 상위 10명이 가진 아파트와 오피스텔 가격은 문재인 정부가 출범한 2017년 5월부터 올해 6월 사이 1인당 평균 7억8천만원(52%) 상승한 것으로 조사됐다. 김헌동 경실련 부동산건설개혁본부장은 “고위직 공무원들이 월급은 월급대로 받고 3년간 불로소득 약 6억원을 챙긴 것”이라며 “이 관료들은 23번의 맹탕 대책을 내놓고 결국 정권을 이용해 자신의 집값을 올리고 있다”고 비판했다.윤순철 경실련 사무총장은 “부동산 정책을 23번이나 발표해도 집값을 잡지 못하는 배경은 고위공직자의 재산이 국민 평균보다 훨씬 많은 것과 무관하지 않다”고 지적했다. 국민 전체 이익을 위해 일해야 하는 공직자 다수가 종합부동산세를 내는 상위 1%에 속해 있는데, 이들이 과연 자기 재산 가치를 떨어뜨리는 정책을 추진할 수 있겠느냐는 것이다.부동산 정책 결정자들이 ‘부동산 부자’들로 구성돼 있는 한 정부 정책은 신뢰를 얻기 어렵다는 지적이 나온다. 시장에서는 ‘고위공무원들이 강남에 모여 사는데 강남 집값이 떨어질 리 있겠느냐’는 말이 나돈다. 경실련은 부동산 정책을 다루는 부처에는 다주택 보유자나 부동산 부자를 업무에서 제외해야 한다고 주장한다. 또 1급 공무원뿐 아니라 재산신고 대상인 4급 이상 공직자들까지 부동산 재산 실태를 조사해 부동산투기 근절 의지를 확실히 보이라고 주문했다.강재구 이경미 기자 j9@hani.co.kr"
2,한겨례,정부 부동산 정책 ‘잘못’ 64%…현 정부 들어 최고치,"문재인 대통령이 9일 오전 경기도 이천시 SK하이닉스 이천 캠퍼스를 방문, 소재·부품·장비 관계자들과 대화하고 있다. 연합뉴스문재인 대통령의 국정수행 지지율이 6주 연속 하락해 50%선이 무너졌다. 이번 정부 들어 처음으로 ‘부동산 정책’이 대통령 직무 부정평가 1순위 요인으로 지목됐다. 한국갤럽이 지난 7~9일 전국 성인 1001명을 대상으로 조사(신뢰수준 95%, 표본오차 ±3.1%포인트)한 결과, 문 대통령이 직무를 ‘잘 수행하고 있다’는 응답은 지난주보다 3%포인트 내린 47%로 나타났다고 10일 밝혔다. ‘잘못하고 있다’고 평가한 응답자는 44%였다. 문 대통령의 40%대 지지율은 3월 3주차(49%) 이후 16주 만이다. 코로나19 방역에 성공했다는 평가를 받으면서 5월 첫째주 71%까지 올랐던 지지율이 5월 넷째주부터 6주 연속 하락해 이번 주 40%대로 내려앉은 것이다. 특히 이번 주 긍정률 하락과 부정률 상승은 수도권과 50대에서 두드러졌고, 성향별로는 성향 보수층보다 중도·진보층에서 변화가 크게 나타났다고 한국갤럽은 분석했다.지지율 하락은 부동산 정책 논란이 주요 원인이 된 것으로 보인다. 직무 수행 부정 평가자는 부정 평가 이유로, 부동산 정책(25%)을 가장 많이 꼽았고, 경제·민생 문제 해결 부족, 전반적으로 부족하다(이상 11%), 북한 관계(9%), 독단적·일방적·편파적(5%), 인사 문제(4%), 과도한 복지, 코로나19 대처 미흡(이상 3%) 등이 언급됐다. 부동산 문제가 직무 부정 평가 이유 1순위에 오른 것은 이번 정부 들어 처음이다.정부의 부동산 정책에 대한 평가를 묻는 질문에서도 ‘잘하고 있다’는 응답은 17%에 불과했다. 64%는 ‘잘못하고 있다’고 답했고, 20%는 평가를 유보했다. 한국갤럽이 문재인정부 초반부인 2017년 8월부터 지금까지 실시한 14번의 부동산 정책 평가에서 ‘잘못하고 있다’는 응답은 이번이 가장 높다. 자세한 내용은 한국갤럽이나 중앙선거여론조사심의위원회 누리집을 참조하면 된다.장나래 기자 wing@hani.co.kr"
3,한겨례,경실련 “부동산 정책 관련 고위공직자 36%가 다주택자”,"경제정의실천시민연합(경실련)이 6일 서울 종로구 경실련 강당에서 부동산 정책 고위 공직자 관련 부동산 재산 분석 기자회견을 얼였다. 강재구 기자.국토교통부와 기획재정부 등 부동산 정책 수립에 관여하는 고위 공직자의 36%가 다주택자인 것으로 드러났다.경제정의실천시민연합(경실련)은 6일 서울 종로구 경실련 강당에서 기자회견을 열고 국토부와 기재부, 공정거래위원회, 한국은행, 금융위원회, 금융감독원 산하기관 등 부동산과 금융 세제 정책을 다루는 주요부처 1급 이상 고위 공무원 107명의 부동산 보유 현황을 발표했다.분석 결과를 보면, 107명 중 39명(36.4%)이 다주택 보유자였다. 21대 국회의원의 다주택자 비율(29.3%)보다 높은 수치다. 서울 강남 지역 주택 편중도 심했다. 주택을 가진 고위 공직자 99명이 보유한 147채의 지역을 보면, 강남 4구에 42채(28.6%)가 있었다. 서울 주택은 68채(46.3%)에 이른다. 부동산 재산 또한 국민 평균보다 높았다. 부동산 정책 수립 관련 고위공직자 1인당 부동산 재산 평균은 12억원으로 우리나라 가구당 부동산 재산 평균인 3억원보다 4배 많았다. 부동산 재산 상위 10명의 부동산재산 평균은 33억5천원이었다. 주택과 비주택, 토지를 포함해 1인당 보유한 부동산 재산 건수는 모두 7.5건이었고 상위 10명 중 7명은 전·현직 국토부·기재위 출신 공무원이었다. 부동산 재산이 가장 많은 공직자는 김상균 한국철도시설공단 이사장으로 경기 고양시 덕양구 일대에 창고·대지 등 75억 2천만원의 부동산을 보유했다. 김 이사장은 국토부 서울지방국토관리청장 출신이다. 2위는 부동산 정책을 관장하는 박선호 국토부 제1차관이었는데 서울 서초구에 주상복합 아파트 등 39억2천만원의 부동산 재산을 가졌다. 부동산 재산 상위 10명이 가진 아파트와 오피스텔 가격은 문재인 정부가 출범한 2017년 5월부터 올해 6월 사이 3년 동안 1인당 평균 7억8천만원(52%)이 상승한 것으로 조사됐다. 같은 기간 국토부 등 부동산 정책과 직접 관련된 고위공직자 39명의 아파트 재산도 1인당 평균 5억8천만원(51%)이 상승했다. 경실련은 “집권여당 등의 다주택 매각이 이뤄지고 있지만 여전히 차관, 실장, 공기업 사장 등 공직자들은 다주택을 보유하고 있다”며 “부동산 정책을 다루는 국토부·기재부 등에서는 다주택 보유자나 부동산 부자를 업무에서 제외시킬 것을 강력히 촉구한다”고 말했다. 강재구 기자 j9@hani.co.kr"
4,한겨례,심상정 “정부 부동산 정책 실패 인정하고 사과해야”,"심상정 정의당 대표가 2일 오전 서울 여의도 국회에서 열린 상무위원회에서 발언하고 있다. 연합뉴스심상정 정의당 대표가 “정부의 부동산 정책은 신뢰를 잃었다”며 “지금까지 부동산 정책의 실패를 인정하고 국민에게 사과해야 한다”고 말했다. 심 대표는 2일 오전 정의당 상무위원회 회의에서 “김현미 국토교통부 장관은 6월30일 열린 국회 예산결산특별위원회 질의에서 ‘정부의 부동산 정책이 실패한 것이 아니냐’는 지적에 ‘아니다. 정책은 다 종합적으로 작동되고 있다’고 답했다”며 “치솟는 집값에 고통 받는 서민들에게는 분통이 터질 이야기다. 이 발언이 문재인 정부의 전반적 인식을 반영한 것이라면 큰일이 아닐 수 없다”며 이렇게 말했다. 또 “문재인 대통령이 부동산 투기와의 전쟁에서 절대 지지 않을 것이라고 언명했지만 현실은 정반대로 가고 있다”며 “전국이 투기판으로 변하고 있는데 언제까지 뒷북정책을 이어가려고 하느냐”고 지적했다. 심 대표는 “정부가 보유세 강화의 입장을 밝힌 만큼 이제 더불어민주당이 보유세 인상에 대한 확고한 입장과 의지를 보여주길 바란다”며 “당장 지금의 부동산 가격 폭등을 선도하고 있는 임대사업자에 주어진 모든 세제 특혜를 폐지하는 것과 또 2018년 기준 161조원에 달하는 부동산 펀드에 대한 세제 혜택 중단을 서둘러 세금을 물지 않는 부동산을 없애주기 바란다”고 촉구했다. 이어 “지난해 12월 노영민 비서실장은 6개월의 시한을 두고 청와대 참모들에게 다주택 처분을 권고했지만 거의 이행되지 않았다”며 “청와대 고위 참모들은 물론, 국회의원과 장차관, 그리고 부동산 정책에 직접 연관돼있는 1급 이상 고위관료들이 다주택을 일정 기간 내에 처분할 수 있도록 대통령이 특단의 조치를 추진해주기 바란다”고 밝혔다. 정환봉 기자 bonge@hani.co.kr"
5,한겨례,"부동산 정책의 위선, 해도 해도 너무해?","부동산 약탈 국가 강준만 지음/인물과사상사·1만6000원1989년 택지소유상한제, 토지초과이득세, 개발이익환수제 토지공개념 3법이 도입됐다. 노태우 정부 당시 청와대 경제수석이 “토지공개념을 도입하지 않으려다가는 혁명이 일어난다”고까지 했던 때 나온 ‘부동산 대책’이었다. 택지소유상한제는 김대중 정부 때 폐지됐고, 개발이익환수제는 노무현 정부 때 효력이 자동 정지됐다. 역대 가장 진보적인 부동산 대책을 노태우 정부가 입안하고, 진보 정부가 후퇴시켰다는 역설은 문재인 정부 부동산 대책에 대한 불신이 정점에 달한 요즘 더욱 주목받는다. 2003년 이명박 당시 서울시장이 아파트 분양 원가를 공개하겠다 하고, 노무현 대통령이 이를 반대한 사실에 이르면, 정말 진보 정부 때문에 집값이 폭등한 것만 같다. 강준만 교수의 <부동산 약탈 국가>에 실린 몇몇 글도 진보 정부 또는 진보 세력의 부동산 정책에 대한 무능 또는 위선을 겨냥한다. 집값 폭등의 원인을 정부 부동산 정책에서 찾는 것은 정확하다기보다 쉬운 방법이다. 그러다 보니 2008년 미국발 금융위기 이후 오래 지속된 부동산 경기 침체가 ‘부동산 가격 안정’으로 둔갑해 이명박 정부가 ‘성공사례’로 소환되는 ‘웃픈’ 일이 벌어진다. 뉴타운 사업으로 아파트를 전 국민의 투자상품으로 만든 게 이명박 정부 시절임을 모두 잊은 걸까. 노무현 정부 때부터 4번의 정부를 거치며 부동산 경기의 냉온탕을 모두 경험한 국토교통부의 고위 관계자는 부동산 경기를 띄우는 것보다 부동산 경기를 안정시키는 게 몇 배 더 어렵다고 했단다. 아무 집이나 사지 않고 오를 집을 골라 사는 실수요자들만으로도 가격이 뛰는 부동산 시장은 풀기 어려운 고차방정식이다. 부동산 정책 탓만 하는 건 왠지 산수 같다. 진명선 기자 torani@hani.co.kr"
6,한겨례,심상정 “국민의 부동산정책 불신은 노영민 처신 탓”,"심상정 정의당 대표가 2일 오전 서울 여의도 국회에서 열린 상무위원회에서 발언하고 있다. 연합뉴스정의당 심상정 대표는 7일 국민의 부동산 정책에 대한 불신 원인으로 '청주 아파트 매도'로 논란이 된 노영민 청와대 비서실장을 지목했다.심 대표는 이날 국회 의원총회에서 ""종합부동산세 강화 등 정부 여당의 강력한 의지 표명에도 국민은 좀처럼 신뢰를 보내지 않는다""며 ""국민은 문재인 대통령의 지시나 집권 여당의 정책추진 의사보다 '똘똘한 한 채'를 챙기겠다는 노 실장의 처신을 더 강력한 신호로 받아들이고 있기 때문""이라고 말했다.그러면서 ""국민들이 정치권의 부동산 정책을 말뿐인 선언으로 생각하는 이유는 청와대, 국회의원, 장·차관, 고위공직자들이 다주택을 보유하고 있는 현실과 관계가 있다""며 ""청와대와 여당이 1가구 1주택 정책에 행동으로 솔선수범해달라""고 촉구했다.심 대표는 ""정의당 제안대로 청와대 참모, 의원, 장·차관은 물론 1급 이상 고위공직자들이 거주목적 이외 주택을 강제로 처분하는 법을 제정해 정치가 국민들의 주거 문제를 책임 있게 해결하겠다는 의지를 함께 보여 나가야 한다""고 강조했다. 연합뉴스"
7,한겨례,부동산 정책 ‘키맨’이 부동산 부자…집값 못잡는 이유였나,"6일 경제정의실천시민연합(경실련)은 서울 종로구 경실련 회관에서 고위공직자 부동산 재산 분석 결과 발표 기자회견을 열었다. 연합뉴스부동산 정책 관련 주요 부처 고위공직자의 평균 재산이 국민 평균보다 4배 많고, 이들의 36%가 다주택자라는 경제정의실천시민연합(경실련)의 조사 결과는 집값을 잡겠다는 정부 정책이 신뢰를 얻기 힘든 근본적인 원인을 드러내고 있다. ※ 이미지를 누르면 크게 볼 수 있습니다.윤순철 경실련 사무총장은 6일 부동산 정책 수립 고위공직자 보유 부동산 분석 기자회견에서 “부동산 정책을 23번이나 발표해도 집값을 잡지 못하는 배경은 고위공직자의 재산이 국민 평균보다 훨씬 많은 것과 무관하지 않다”고 지적했다. 조사 대상이 된 국토교통부·기획재정부·금융위원회 등(산하기관 포함) 소속 고위공무원 107명 가운데는 부동산 및 금융 정책의 전반을 관장하는 핵심 책임자들이 두루 포함돼 있다. 경실련은 국민 전체 이익을 위해 일해야 하는 이들의 다수가 종합부동산세를 내는 상위 1%에 속해 있는데, 과연 이들이 자기 재산 가치를 떨어트리는 정책을 추진할 수 있겠느냐고 반문한다.경실련의 분석 결과를 보면, 조사 대상 107명 가운데 부동산·금융정책과 직접 관련이 있는 국토부 등 소속 고위공무원이 39명이다. 이들이 보유한 아파트·오피스텔 등 52채의 시세는 문재인 대통령 취임 초인 2017년 5월에는 1명당 평균 11억3천만원이었다가 2020년 6월에는 17억1천만원으로 5억8천만원(51%) 올랐다. 김헌동 경실련 부동산건설개혁본부장은 “고위직 공무원들이 월급은 월급대로 받고 3년간 불로소득 약 6억원을 챙긴 것”이라며 “이 관료들은 23번의 맹탕 대책을 내놓고 결국 정권을 이용해 자신의 집값을 올리고 있다”고 비판했다.부동산 정책 결정자들이 ‘부동산 부자’들로 구성돼 있는 한 정부 정책은 신뢰를 얻기 어렵다는 지적이 나온다. 시장에서는 ‘고위공무원들이 강남에 모여 사는데 강남 집값이 떨어질 리 있겠느냐’는 말이 회자된다. “다주택자는 집을 팔고 한채만 남기라”는 대통령 비서실장의 요구에 일부 고위공직자들이 이런저런 이유를 대며 머뭇거리는 모습도 정책의 권위를 떨어트린다.경실련은 부동산 정책을 다루는 부처에는 다주택 보유자나 부동산 부자를 업무에서 제외하는 게 첫번째 해법이라고 강조했다. 또 1급 공무원뿐 아니라 재산신고 대상인 4급 이상 공직자들까지 부동산재산 실태를 조사해 부동산투기 근절 의지를 확실히 보이라고 주문했다.경실련은 이날 기자회견에서 정부가 지난 4일 발표한 수도권 주택 13만호 공급대책도 결국은 집값 상승을 부추기고 집 가진 사람들만 수혜를 볼 것이라고 지적했다. 공급하려는 주택이 서민을 위한 장기공공임대주택 비중은 적고 대부분 판매용 아파트라는 이유에서다. 경실련은 “정부는 8·4 공급대책을 철회하고, 대신 공기업의 땅장사·집장사 차원의 공급시스템을 개혁해야 한다”며 “후분양제 및 분양원가공개제 등을 도입하라”고 주장했다. 이경미 기자 kmlee@hani.co.kr"
8,한겨례,"부동산 정책 연일 때리는 통합당, 다주택 처분엔 “반헌법적”","미래통합당 김종인 비상대책위원장, 주호영 원내대표, 지상욱 여의도연구원장 등이 7일 국회에서 미래통합당정책위·여의도연구원 공동 주최로 열린 ‘부동산정책 진단’ 긴급간담회에서 기념사진을 찍고 있다. 연합뉴스미래통합당이 세금을 늘려 부동산 가격을 잡으려는 더불어민주당에 맹폭을 퍼붓고 있다. 통합당은 7일 국회에서 ‘내 집 마련의 꿈이 사라졌습니다’라는 펼침막을 걸고 ‘부동산 정책 진단 긴급 간담회’를 열었다. 김종인 비상대책위원장은 “다른 생각이 없으니까 (부동산 정책을) 세금으로 할 수 있다고 생각하는 건데 그것은 근본적 대책이 아니다”라고 비판했다. 이어 “집값은 한번 올라가면 안 내려간다. 지금보다는 가격이 오르지 않도록 진정시키는 것이 목표가 될 수밖에 없다”고 덧붙였다.주호영 원내대표는 “노무현 정부 말기에 (부동산) 세금 폭탄 쏟아내다가 민심을 다 잃지 않았나. 실패한 정책을 돌아보고 통합당이 제시하는 대안도 들어서 제대로 (부동산 정책을) 해달라”고 주문했다. 주 원내대표는 김현미 국토교통부 장관을 향해 “전혀 전문성이 없다. 제대로 할 자신 없으면 빨리 그만두고 나와달라”고 날을 세웠다.그러나 통합당은 ‘통합당 의원들도 다주택을 처분하라’는 박원순 서울시장의 제안엔 강하게 반발했다. 주 원내대표는 원내대책회의 뒤 기자들과 만나 “사유재산 처분은 헌법에 보장된 것으로 시장 원리에 따라 작동해야지, (무작정 처분하라는 것은) 시장 원리에 맞지 않는 반헌법적 발상”이라고 쏘아붙였다.경제정의실천시민연합이 지난달 3일 발표한 제21대 국회의원 부동산 보유 현황을 보면 통합당의 다주택 소유 의원은 41명(39.8%)이다. 민주당의 다주택자 의원은 39명(22.1%)이다.이주빈 기자 yes@hani.co.kr"
9,한겨례,심상정 “정부 부동산 정책 ‘오답 노트’ 그만 내려놔야”,"정의당 심상정 대표가 18일 오전 서울 여의도 국회 의원회관에서 열린 상무위원회에서 발언하고 있다. 연합뉴스심상정 정의당 대표가 18일 “정부 부동산 정책의 근본적인 재검토를 요청한다. 이제 오답노트를 그만 내려놔야 한다”고 강조했다. 심 대표는 이날 페이스북을 통해 “어제 정부가 22번째 부동산 대책을 발표했다. 근본적 처방이 담기길 바랐는데, 또다시 투기 규제지역만 확대됐다”며 “다주택자 투기세력을 잡기는커녕 1가구 1주택을 갈망하는 국민의 꿈마저 가로막지 않을까 걱정된다”고 밝혔다. 이어 “정부가 투기세력의 발자취를 뒤쫓으면서 규제지역을 확대하는 핀셋 규제방식을 지속하는 한, 전 국토를 다 찍을 때까지 부동산 대책을 발표한다 해도 투기를 억제하지 못할 것”이라며 “투기세력들은 오늘 규제지역으로 묶인 지역을 벗어나 다른 지역에 집을 사들일 것”이라고 우려했다. 부동산 투기를 막기 위해선 보유세 강화 등 보다 근본적 조치들이 필요하다는 것이다. 심 대표는 “투기수요의 억제 대책의 핵심은 투기 세력에게 보장되고 있는 기대이익을 철폐하는 것”이라며 “무엇보다 주택임대사업자 등록만 하면 주어지는 파격적인 세제 혜택(재산세, 양도소득세, 종부세 등)을 전면 폐지하길 바란다”고 했다. 또 “그 밖에도 정의당이 일관되게 주장해 온 보유세 강화, 분양가상한제 민간 택지 아파트 일괄 적용, 전·월세 상한제 및 계약갱신청구권 도입과 같은 근본적인 조치들을 실시할 것을 다시 한 번 정부에 촉구한다”고 말했다. 심 대표는 “3년 전 “집을 투기 수단으로 전락시키는 일을 용납하지 않겠다”던 김현미 국토부 장관의 각오를 기억한다. 투기세력과 두더지 게임을 반복한다면 그 각오는 헛된 외침이 될 것”이라고 서영지 기자 yj@hani.co.kr"
