,Press,Title,Text
0,JTBC,"""공공의료정책 논의할 의정 협의체 조속히 구성해야""","['  정세균 국무총리가 공공의료 정책을 논의할 의료계와 정부 협의체를 조속히 구성하라고 지시했습니다.  ', ' 정 총리는 오늘(15일) 국정 현안 점검 조정 회의에서 ""지난달 의료계와 정부가 코로나19 상황이 안정되면 협의체를 구성해서 현안을 논의하기로 합의했다""며 조속히 협의체를 구성하라고 박능후 보건복지부 장관에게 지시했습니다.  ', ' 이에 대해 손영래 보건복지부 대변인은 ""대한의사협회에 이번 주 중 실무협의를 진행하자고 요청한 상태""라고 말했습니다.  ', ' 앞서 보건복지부와 의료계는 지난 9월 이뤄진 의정 합의에서 코로나19 사태가 안정되면 의정 협의체를 구성해서 공공 의대 설립과 의대 정원 확대, 첩약급여 시범사업과 비대면 진료 등 4대 정책을 다시 논의하기로 결정했습니다.  ', "" 텔레그램 'n번방' 과 박사방 등에서 아이들을 가르치는 교사들도 최소 4명이 가입해서 아동 성착취물을 전송받은 것으로 확인됐습니다.  "", "" 더불어민주당 이탄희 의원이 교육부와 시·도 교육청으로부터 제출받은 자료에 따르면 인천과 충남·강원 등에서 교사 4명이 'n번방'과 '박사방' 등에 가입해서 아동성착취물 등을 받은 혐의로 수사당국의 수사 개시 통보를 받은 것으로 알려졌습니다.  "", ' 이들 중 3명은 정교사로 현재 직위 해제된 상태고 기간제 교사 1명은 수사 개시 통보에 앞서서 퇴직한 것으로 파악됐습니다.  ']"
1,JTBC,"'의료정책 반대' 전공의들, 오늘부터 순차 파업 시작","['  정부 의료정책에 반대하는 인턴, 레지던트 등 종합병원에서 수련하는 전공의들이 오늘(21일) 오전 7시를 기해 파업에 돌입했습니다.  ', ' 전공의들의 단체행동은 지난 7일 집단휴진, 14일 대한의사협회의 1차 전국의사총파업 참여에 이어서 세 번째입니다.  ', ' 대한전공의협의회에 따르면 오늘 인턴과 4년 차 레지던트를 시작으로 내일 3년 차 레지던트, 23일 1년 차와 2년 차 레지던트가 업무에서 손을 뗍니다.  ', ' 응급의학과는 연차와 관계없이 오늘부터 모두 업무를 중단하기로 했습니다.  ', "" 이들의 파업은 복귀 시점이 정해지지 않은 '무기한' 파업입니다.   ""]"
2,JTBC,"동맹휴학·국시 거부 의대생들 ""의료정책 감독기구 필요""","['  의대생들이 정부 의료정책에 반대해 집단행동의 일환으로 벌이고 있는 동맹휴학을 계속하기로 했습니다.  ', ' 11일 의료계에 따르면 의대생들을 대표하는 대한의과대학·의학전문대학원 학생협회(의대협)는 전날 오전 10시부터 동맹휴학 지속 여부를 논의한 결과 휴학을 유지하기로 했습니다.  ', "" 이날 회의에선 '기존에 의결했던 동맹휴학 등을 중단한다'는 안건이 상정됐으나, 이에 대해 전체 40표 중 찬성 13표, 반대 24표, 기권 3표가 나와 휴학을 유지하기로 한 것으로 전해졌습니다.  "", ' 대한의사협회와 정부 간 합의가 타결되고, 전공의·전임의들이 모두 진료 현장으로 복귀하며 투쟁 동력이 상실된 상황에서도 의대생들은 여전히 휴학을 고수하기로 한 것입니다.  ', ' 의대협은 동맹휴학 유지 결정을 내린 건 의협과 여당·보건복지부 간 합의안을 받아들일 수 없기 때문이라는 입장을 견지하고 있습니다.  ', ' 의대협은 이날 호소문을 내고 ""수업거부와 동맹 휴학, 국가시험 거부를 유지하겠다""고 밝히면서 ""선배님들은 병원과 학교로 돌아갔고, 학생들은 홀로 남아 낙동강 오리알 신세가 됐다. 함께 해주시길 간절히 부탁드린다""며 의료계의 지지를 촉구했습니다.  ', ' 의대협은 의료 정책의 운영 방향을 감시할 수 있는 의료계 내부의 감독기구가 출범해야 한다고 주장했습니다.  ', ' 김기덕 의대협 부회장도 이날 유튜브 방송에 출연해 ""\'프라이머리 엔드포인트\'(최우선 지향점)는 정책의 정상화""라며 ""정책의 정상화가 이뤄졌다는 의대생들의 동의가 있어야 시험 응시에 나서겠다""고 말했습니다.  ', ' 그는 ""국가고시 재응시 기회를 바라고 단체행동을 지속하는 건 아니다. 재응시 기회를 염두에 뒀다면 애초에 단체행동을 하지 않았을 것""이라며 국시 구제를 바라지 않는다는 입장을 재차 강조했습니다.  ', ' 그러나 일각에서는 본과 4학년의 국가고시 응시 문제가 해결되지 않은 상황에서 휴학을 멈출 수 없었을 것이라는 관측도 나옵니다.  ', ' 익명을 요구한 한 의대생은 ""의대 사회는 위계질서가 확실한 집단인데, 본과 4학년들이 국가고시를 포기하겠다는 분위기가 조성된 상황에서 본과 3학년 이하의 후배들이 휴학을 쉽게 철회할 수 없는 상황""이라고 설명했습니다.  ', ' 다만 이날 회의에서 본과 4학년들이 국가고시 거부를 지속할지는 정해지지 않았습니다.  ', ' 의대협은 현재 국시 응시자인 본과 4학년을 대상으로 응시거부에 대해 설문조사를 하고 있습니다.  ', ' 의대협은 이런 설문조사 결과를 바탕으로 이르면 이날 회의를 열어 국시거부 방침에 대해서도 재논의에 들어가 결론을 낼 예정인 것으로 알려졌습니다.  ', ' 이에 앞서 의대생들은 의대정원 확대 및 공공의대 신설 정책에 반대해 예과 1학년부터 본과 3학년까지는 동맹휴학을, 본과 4학년은 의사 국가고시 응시 거부를 집단행동 방침으로 정했습니다.  ']"
3,JTBC,"'원점 재검토' 시사에 최대집 회장 ""긍정적…논의 진전""","['  여당이 보건의료정책에 대한 원점 재검토 방침을 시사하자 의료계가 범의료계 4대악 저지투쟁 특별위원회(범투위)에서 내부 의견 수렴에 나섭니다.  ', ' 의료계에 따르면 대한의사협회는 내일(3일) 전공의, 전임의, 의대생들이 참여하는 젊은의사 비상대책위원회와 함께 범투위 회의를 열어 협상안을 논의하기로 했습니다.  ', ' 어제 더불어민주당 한정애 정책위의장과 최대집 의협 회장과 만남이 진일보했다는 판단에 따른 것입니다.  ', ' 한 의장은 최 회장에게 의대 정원 확대, 공공의대 설립 등의 정책에 대해 ""완전하게 제로의 상태에서 논의할 수 있다""고 말했습니다.  ', ' 당장 의료계와 국회, 정부의 의견이 일치된 건 아니지만 국회가 원점에서 재검토할 수 있고 이를 명문화할 수 있다는 가능성도 열어두면서 의료계에서도 긍정적인 평가가 나오고 있습니다.  ', ' 최 회장은 언론에 ""내일 범투위에서 논의하는 게 맞다""며 ""(전날 한 의장과의 대화는) 긍정적으로 본다. 논의가 진전된 것""이라고 말했습니다.  ', ' 이에 따라 범투위는 개원의는 물론 전공의, 전임의, 의대생 등과 함께 합의된 의료계 단일 협상안을 도출할 것으로 전해졌습니다.  ', ' 현재 범투위 위원장은 최 회장이 맡고 있고, 젊은의사 비대위에서도 정부와의 접촉 창구를 범투위로 단일화한 상태여서 범투위에서 결론이 날 경우 정부와의 협상에도 속도가 날 것으로 기대됩니다.  ', ' 간밤 대한전공의협의회에서도 의료정책에 일방적으로 반대하는 게 아니라며 언제든 대화에 응하겠다는 입장을 표했습니다.  ', ' 대전협 비대위는 ""우리는 지역의료 불평등, 필수과 기피 문제, 대형병원 쏠림 현상 등 고질적인 대한민국 의료 취약점에 깊이 공감한다""며 ""정부와 의료계가 진정성 있게 논의해 대한민국 의료를 올바른 방향으로 나갈 수 있길 바라는 것""이라고 밝혔습니다.  ', ' 그러면서 ""문제가 되는 정책들을 원점에서 재논의하겠다고 명문화한다면 젊은 의사들은 국회와 정부가 마련해주신 토론의 장에 적극적으로 참여할 것""이라고 덧붙였습니다.  ']"
4,JTBC,"부산대 의대 교수진 ""현 상황 참담, 제자들의 뜻 지지""","['  정부 의료정책에 반대하는 전공의의 무기한 파업이 이어지는 가운데 부산대학교병원 소속 교수들이 의대생과 전공의들의 집단행동을 지지하고 나섰습니다.  ', ' 부산대학교병원·양산부산대학교병원 교수비상대책위원회는 오늘(31일) 성명서를 내고 ""정부의 의대 증원과 공공의대 설립, 한방첩약 급여화 사업 추진으로 벌어지는 현 상황이 참담하다""며 ""병원을 떠난 전임의와 전공의, 국가고시를 거부하고 휴학을 선택한 의과대학 학생들의 뜻을 지지한다""고 말했습니다.  ', ' 이들은 ""정부가 의료계와 협의 없이 무리한 정책을 발표해 의사들을 극한투쟁으로 몰아가고 있다""고 밝혔습니다.  ', ' 이어 ""필수 진료과목 의사가 부족한 원인을 고민하고 의료계와 의논했는지, 시도지사와 시민단체 추천으로 입학하는 공공의대가 제대로 된 의사를 배출할 수 있을지, 희귀병 치료 등 재원보다 검증되지 않은 한방첩약 급여화가 더 시급한지 의문""이라며 정부에 항의했습니다.  ', ' 위원회는 ""지역 의료를 담당할 공공의료 병원을 만들고, 기피 진료과목에 대한 적절한 지원 방안 등을 마련한다면 당장이라도 해결 가능한 문제를 불확실한 의사 수 증원으로 해결하려 한다""고 말했습니다.  ', ' 이들은 ""의사와 학생들의 정당한 항의를 집단이기주의로 매도하는 태도는 사태 해결에 전혀 도움이 되지 않고, 의료계 전문가와 협의해야 한다""며 ""정부가 강경책으로만 일관한다면 전임의, 전공의, 의과대학생 등 전체 의사와 끝까지 뜻을 함께할 것""이라고 말했습니다.  ', ' 한편 부산대병원에 따르면 일부 전임의, 전공의들이 정부의 의료정책에 반발하며 사직서를 제출했습니다.  ', ' (사진=부산대병원 제공, 연합뉴스) ']"
5,JTBC,"의대생 국시 거부·동맹 휴학 ""공식 중단""…의협 ""학생 결정 존중""","['  정부 의료정책에 반대해온 의대생들이 동맹휴학과 국가고시 거부 등 단체행동을 중단합니다.  ', ' 의대생들을 대표하는 대한의과대학·의학전문대학원 학생협회(의대협)는 오늘(14일) 성명문을 내고 ""오늘 오전 보건의료정책 상설감시기구의 발족으로 협회의 목표를 달성했기에 모든 단체행동을 공식적으로 중단한다""고 밝혔습니다.  ', ' 의대협은 ""대한의사협회(의협)가 정부·여당과 공공의대 및 의대정원 확대의 원점 재논의 명문화를 이룬 과정은 유감이지만, 이에 대한 우리의 실망보다 더 나은 의료와 국민의 건강이 우선이라 판단했다""고 말했습니다.  ', ' 의대협은 ""숙의 끝에 선배 의료인과 합심해 의·정 합의문의 성실한 이행을 지켜봐야 한다는 데 뜻을 모았다""고 말했습니다.  ', ' 의대협은 ""(단체행동 중단이) 우리의 연대가 멈춘다는 것을 의미하지는 않는다""며 ""또다시 국민의 건강권을 위협하는 정책이 강행된다면 언제든 단체행동을 불사할 것""이라고 강조했습니다.  ', ' 의협도 오늘 입장문을 내고 ""학생들의 결정을 전적으로 신뢰하고 존중한다""며 ""(정부·여당에) 합의문의 성실한 이행을 촉구한다""고 밝혔습니다.  ', ' 이에 따라 동맹휴학에 나섰던 예과 1학년생부터 본과 3학년생들은 휴학계를 철회하고 학교로 돌아갑니다.  ', ' 주요 대학 개강일이 2주나 지난 시점이지만, 코로나19로 휴학계 수리 및 철회 기간이 평소보다 길어졌기 때문입니다.  ', ' 한양대 관계자는 ""원래 휴학계 관련 행정처리 기간은 개강 후 일주일 정도까지였는데, 개강 후 뒤늦게 비대면 강의의 질을 문제 삼으며 휴학하겠다는 학생들이 많아 지난 학기부터 이 기간을 늘렸다""고 말했습니다.  ', ' 애초부터 의대생들의 휴학계가 행정상으로 접수되지 않은 대학도 있습니다.  ', ' 성균관대 관계자는 ""개인적으로 휴학 의사를 표시했을 경우처럼 바로 처리한 게 아니고, 집단행동인 만큼 학생들의 휴학계를 의과대학 차원에서 보류하고 있었다""고 설명했습니다.  ', ' 다만 본과 4학년생들이 국가시험을 다시 볼 수 있을지는 여전히 미지수입니다.  ', ' 손영래 보건복지부 대변인은 오늘 브리핑에서 ""당사자들이 자유의지로 시험을 거부하는 상황에서 추가시험을 검토할 필요성은 떨어진다고 보고 있다""고 말했습니다.  ', "" 의대협도 '집단행동 중단'이 국시를 응시하겠다는 의미는 아니라는 입장입니다.  "", ' 조승현 의대협 회장은 ""국가고시 거부를 포함한 단체행동을 중단하는 건 맞지만, 지금 국시를 볼 수 있는 상황은 아니기 때문에 재응시 뜻을 표한 건 아니다""라고 말했습니다. ']"
6,JTBC,"의사 극단투쟁에 한발 물러선 여권…""정치적 타격 불가피""","['  정부의 공공의료 확충 정책을 둘러싼 정부와 의료계의 강대강 대치가 4일 가까스로 봉합됐지만 여권으로선 적지 않은 정치적 타격을 입게 됐습니다.  ', ' 이번 합의안은 핵심 쟁점인 의대 정원 확대 및 공공의대 신설안을 원점에서 재논의하는 대신 의사들도 파업을 중단하는 것이 골자입니다.  ', "" 겉으로는 양측이 절충점을 찾은 모양새를 취했으나, 사실상 정부와 여당이 의료계의 집단적 실력행사에 주요 국정과제 논의를 중단한 것이어서 '백기 투항'을 한 것 아니냐는 시선이 제기됩니다.  "", ' 여권에서는 이번 사태가 문재인 정부 임기 후반 국정동력 확보와 과제 추진에 걸림돌이 될 수 있다는 우려와 함께 상황관리 실패에 따른 책임론이 불거질 수 있다는 관측이 나오고 있습니다.  ', ' 정부와 여당은 의료계 파업을 시작할 때만 해도 업무개시 명령 불이행 의사들을 고발하는 등 강경 대응하며 끝까지 정책을 관철하겠다는 뜻을 내비쳤습니다.  ', ' 문재인 대통령 역시 ""코로나19 위기 상황에서 의료인들이 의료 현장을 떠난다는 것은 전시상황에서 군인들이 전장을 이탈하는 것""이라고 강력 비판했습니다.  ', ' 그러나 코로나19 재확산 사태 속에서 대립이 길어지면서 환자 피해가 가중되고 국민의 원성이 커지자 여권의 강경 기류가 누그러지기 시작했습니다.  ', ' 정부는 의대생 피해 최소화를 명분으로 의사 국가고시 실기시험을 일주일 연기했고, 정세균 국무총리도 ""단 한명의 의료인 처벌도 원치 않는다""고 말했습니다.  ', "" 이낙연 대표와 한정애 정책위의장 등 민주당 새 지도부도 대화를 통한 해결을 강조하고 나섰고, 결국 정부와 여당은 이날 의료계와 '의대 정원 확대와 공공의대 신설 논의 중단'에 합의하기에 이르렀습니다.  "", ' 재논의 가능성을 열어두기는 했으나, 사실상 의료계의 요구가 관철된 것으로 평가할 수 있습니다.  ', ' 이처럼 정부와 여당이 한발 물러선 데에는 코로나19 재확산이 결정적 원인이 된 것으로 보입니다.  ', ' 최근 확산세가 조금 수그러들기는 했으나, 여전히 세자릿수 신규 확진자가 나오는 등 엄중한 상황 속에 의료공백 사태 장기화는 어떻게든 막아야 한다는 판단인 작용한 것입니다.  ', ' 이처럼 갈등이 일단 봉합되긴 했으나 문재인 정부가 감당해야 할 후폭풍 또한 만만치 않을 전망입니다.  ', "" 우선 핵심 정책들에 대해 '코로나19 안정화 이후 모든 가능성을 열어놓고 재논의'라고 합의문에 명시했지만 의료계의 이번 반발 강도를 고려해보면 정부가 정책을 다시 원래대로 추진하는 것은 어려울 것으로 보입니다.  "", ' 단순히 의료정책뿐 아니라 문재인 정부 국정운영 전반에서 어려움이 가중되리라는 우려도 제기됩니다.  ', ' 정부가 강력하게 밀어붙였던 정책이 이해당사자들의 집단 반발에 좌초되는 모양새가 노출됐기 때문입니다.  ', "" 당장 야권에서는 다수 의석을 앞세운 여당의 '입법 독주'가 제동이 걸린 것 아니냐는 목소리도 나옵니다.  "", ' 이에 더해 특정 집단과 세력의 이해관계에 막혀 국정과제를 힘있게 관철하지 못한 것에 대한 핵심 지지층의 반발이나 수도권-지역 의료격차 해소 정책의 차질로 인한 지역민심 이탈 가능성 등도 정부와 여권의 난제가 될 수 있습니다.  ', ' 일부에서는 이번 사태를 제대로 관리하지 못한 것에 대한 책임론이 여권 내에서 불거질 것이라는 예상을 내놓고 있습니다.  ', ' 정부가 짊어지게 된 부담이 커진 만큼 정책을 주도한 인물이 상응하는 책임을 져야 한다는 것입니다.  ', ' 정치권의 한 인사는 ""의사들의 파업에 대한 비판 여론도 거세긴 하지만, 사전에 충분한 의견수렴 없이 정책을 강행해 논란의 빌미를 제공한 정부에 대한 실망감도 번진 것이 사실""이라고 말했습니다.  ', ' 그러면서 ""애초 코로나19로 인해 공공의료 확충 필요성에 대한 공감대가 커진 만큼 지금이 정책 실현의 적기라고 봤겠지만, 의료계의 반발이 이처럼 거세리라고는 미처 생각하지 못한 것""이라며 ""결과적으로는 정무적 판단에서 미흡함이 있었던 것""이라고 지적했습니다.  ']"
7,JTBC,[Pick] 경기도 '수술실 CCTV' 설치 정책…'신생아실'까지 확대,"['  경기도에서 처음으로 의료기관 신생아실 내부에 CCTV가 설치됩니다.  ', "" 오늘(12일), 경기도는 '도 내 의료기관 2곳(경기도의료원 포천병원, 경기여주공공산후조리원)의 신생아실 내부 CCTV 시범 설치 및 운영 계획'을 밝혔습니다. 이재명 경기도지사의 핵심 보건의료정책인 '수술실 CCTV'가 수술실에서 신생아실까지 확대된 겁니다.  "", ' 이에 따라 해당 의료기관 2곳에서는 신생아실 운영 상황이 24시간 모니터링되고, 보호자는 신생아 학대 등이 의심되는 경우 요청에 따라 절차를 거쳐 암호화된 영상물을 받아볼 수 있게 됐습니다.  ', ' 경기도는 ""사고나 감염 등으로부터 \'절대 약자\'인 신생아를 보호하려는 차원""이라는 배경을 설명하며 ""출산가정의 불안감을 해소하는 것은 물론 신생아 가족과 의료진 간 신뢰를 높이는 계기를 마련할 수 있을 것""이라는 기대감을 표했습니다.  ', ' CCTV 설치는 이달 중으로 마무리돼 내년 1월부터 본격 운영되며, 효과가 있다고 판단되면 점진적으로 확대 설치될 방침입니다.  ', ' 최근 전국적으로 신생아실 안전사고가 잇따르면서 정부 차원에서도 내부 CCTV 설치를 의무화하는 의료법 개정에 대해 적극 검토 중인 것으로 알려졌습니다.  ', ' (사진=연합뉴스)                 ']"
8,JTBC,"보건의료노조 ""의·정 밀실거래 규탄…공공의료 개혁 포기한 격""","['  전국 보건의료산업 노동조합은 정부·여당과 대한의사협회가 밀실 협의 끝에 공공의료 개혁을 포기했다고 강력 규탄했습니다.  ', ' 보건의료노조는 ""시민의 건강과 안전에 직결된 공공의료 정책을 논의하면서 시민을 배제하고 이익단체인 의사단체의 요구를 들어줬다""고 정부를 비판했습니다.  ', ' 그러면서 ""정부가 그동안 민간 중심의 의료시스템을 방조하면서 의사들을 코로나19 위기에도 당당히 파업하고 어떤 협상안을 내밀어도 물러서지 않는 집단으로 만들었다""고 꼬집었습니다.  ', ' 또 ""의사단체가 시민의 안전을 내려놓고 자신들의 기득권을 위해 집단휴진을 이어간 비윤리적 행위도 모자라 의료 공공성 논의까지 좌초시켰다""고 의료계를 규탄했습니다.  ', ' 아울러 ""공공의료 강화 없이 감염병을 성공적으로 방역하고 지역 간 의료 불평등을 해소하는 건 불가능하다""고 강조했습니다.  ', ' 한국노총도 성명을 내고 정부 여당과 의협의 합의에 대해 ""사실상 공공의료 강화를 포기하는 선언""이라며 ""강력히 규탄한다""고 밝혔습니다.  ']"
9,JTBC,"대한간호협회 ""의사 진료거부 중단하라…간호사 업무 과중""","['  대한간호협회가 정부 의료정책에 반대해 집단행동에 나선 의사들에게 진료거부를 즉각 중단하라고 촉구했습니다.  ', ' 간호협회는 성명서를 내고 코로나19 재확산 위기 상황에서 의료현장을 떠난 것은 윤리적 의무를 저버린 행위라고 비판했습니다.  ', ' 이들은 전공의들이 떠난 진료현장에 남은 건 간호사들의 근무환경 악화와 업무부담 가중이라며 위계적 업무 관계에 놓인 간호사들은 일부 불법적인 진료 업무까지 떠맡고 있다고 말했습니다.  ', ' 또 일부 의사들이 간호사들에게 대정부 투쟁 협조를 구하고 있지만, 간호사들은 나이팅게일 선서에서 환자의 생명에 해로운 일은 어떤 상황에서도 하지 않고 간호를 받는 사람들의 안녕을 위해 헌신할 것을 다짐했다고 밝혔습니다.  ', ' 그러면서 의대 정원 증원은 당연하다며 국가 책임 아래 공공의료기관을 만들어야 한다고 주장했습니다.  ', ' 간호협회는 ""우리나라 의료 이용량이 경제협력개발기구(OECD) 평균의 두배인데, 의사 수는 OECD 국가 중 꼴찌라는 사실을 의료계는 인정해야 한다""고 강조했습니다.  ']"
