,Press,Title,Text
0,TV조선,"의사단체들, 與중재안 수용 여부 논의…3일 정부 협상안 마련","           play-rounded-fillplay-rounded-outlineplay-sharp-fillplay-sharp-outline   pause-sharp-outlinepause-sharp-fillpause-rounded-outlinepause-rounded-fill   00:00              ShareTwitterEmbed      ▶  다음 동영상이 곧 재생됩니다. 취소    3분 미리보기가 종료되었습니다. 풀 영상을 감상하시려면 아래의 VOD 구매를 통해 이용하실 수 있습니다. VOD 구매       [앵커]지금 의사협회를 비롯한 의사 단체들이 여당이 제시한 의료정책  원점 재논의  방안을 수용할 것인지를 두고 회의를 열고 있습니다. 의사협회는 오는 7일  무기한 총파업을 예고한 상태인데, 오늘 밤이 중요한 고비가  될 것 같습니다. 취재기자 연결하겠습니다. 송민선 기자  (대한의사협회입니다.) 타협안이  좀 나왔으면  좋겠는데 분위기는? [리포트]이곳 7층에서는 저녁 7시부터 최대집 회장 등 의사협회 관계자와 박지현 젊은의사 비대위원장 등이 만나고 있습니다. 비대위는 전공의, 전임의, 의대생들이 연대한 조직입니다. 이들은 여당이 제시한 중재안을 수용할지 논의하고 있습니다. 앞서 한정애 민주당 정책위의장은 어제 최 회장을 만나 의대 정원 확대와 공공의대 설립 등 4대 의료정책을 원점에서 재논의하겠다고 약속했습니다. 박지현 비대위원장은 한 위원장과 만난 뒤에 ""발전적 방향으로 정책을 논의할 가능성을 확인했다""고 말하기도 했습니다. 중재안 수용을 결정하면 의사들은 내일 범투위를 열어서 정부에 제시할 구체적인 협상안을 마련한다는 계획입니다. 정부도 국회와 의사단체들의 합의를 존중하겠다며 한발 물러선 상황입니다. 정세균 국무총리는 전국 시, 도 의사회 회장단과 비공개 만찬을 갖고 대화 의지를 강조한 것으로 알려졌습니다. 7일 의협의 무기한 총파업을 앞두고 의정 갈등이 해결의 돌파구를 찾은 모습입니다. 지금까지 대한의사협회 회관에서 TV조선 송민선입니다."
1,TV조선,"젊은 의사 비대위 ""원점 재논의 명문화""…정부 ""법 위반 불가능""","           play-rounded-fillplay-rounded-outlineplay-sharp-fillplay-sharp-outline   pause-sharp-outlinepause-sharp-fillpause-rounded-outlinepause-rounded-fill   00:00              ShareTwitterEmbed      ▶  다음 동영상이 곧 재생됩니다. 취소    3분 미리보기가 종료되었습니다. 풀 영상을 감상하시려면 아래의 VOD 구매를 통해 이용하실 수 있습니다. VOD 구매       [앵커]이런 가운데 정부와 의료계의 힘겨루기는 오늘도 이어졌습니다. 의료계는 정부가 약속한  의료정책  원점 재논의를 문서로  확인해 달라고 요구하고 있지만 정부는 권한 밖의 일이라며 난색을  표시하고 있습니다.  황병준 기자가 취재했습니다.[리포트]전공의와 전임의,  의대생들은 연대조직인 '젊은의사 비상대책위원회'를 만들었습니다.  이들은 오늘 오전 서울시의사회에서 기자회견을 열고 의대 정원확대 등의 정책을  전면 철회하고 이를 명문화하라고 정부에 거듭 요구했습니다. 김지성 / 젊은의사 비상대책위원회 대변인 “명문화된 합의문을 제시를 해준다면 언제든지 파업을 종료할 것입니다.” 정부는 같은 시간에 열린 정례브리핑에서 이들의 요구를 수용할 수 없다고 선을 그었습니다. 공공의대 설립은 관련법 제정이 국회에서 추진되고 있어 권한 밖이고 한방 첩약 급여화는 국민건강보험법에 따라 결정한 사안이라는 겁니다. 윤태호 / 중앙사고수습본부 방역총괄반장 “시범사업을 철회하라는 것은 그간의 논의 경과를 무시하는 것이고, 정부에게 국민건강보험법을 위반하는 것을 요구하는 것입니다.” 다만 의대 정원 확대는  이미 추진을 중단했다고 밝혔습니다. 정부는 전공의 파업으로 병원과 생활치료센터 인력이 부족하자 군 의료인력 20여 명을 투입하는 방안도 검토하고 있습니다. 정부와 의사들이 평행선을 달리는 가운데 한정애 신임 민주당 정책위의장은 오늘 저녁 최대집 의사협회장과 전공의들을 잇따라 만나 중재가 성사될지 관심입니다.  TV조선 황병준입니다."
2,TV조선,"""의대 정원 확대 반대"" 의사들 대규모 집회…집단휴진에 환자 '불편'","           play-rounded-fillplay-rounded-outlineplay-sharp-fillplay-sharp-outline   pause-sharp-outlinepause-sharp-fillpause-rounded-outlinepause-rounded-fill   00:00              ShareTwitterEmbed      ▶  다음 동영상이 곧 재생됩니다. 취소    3분 미리보기가 종료되었습니다. 풀 영상을 감상하시려면 아래의 VOD 구매를 통해 이용하실 수 있습니다. VOD 구매       [앵커]정부의 의대 정원 확대  방침에 반발한 대한의사협회가  예고한 대로 오늘 집단 휴진을 하고 대규모 항의집회를 열었습니다.  개원의 3명 중 1명이 병원문을 닫고 여의도로 집결하는 바람에  이 사실을 모르고 병원을 찾은 환자들의 불편이 적지 않았습니다.  송민선 기자가  보도 보시고 이어서 이번 논란의 쟁점을 자세히 따져봐 드리겠습니다. [리포트]""'덕분에'로 기만 말고 존중부터 실현하라!"" ""실현하라! 실현하라! 실현하라!"" 여의도에 모인 약 2만 명의 의사들은 정부에 의대 정원 확대 방침을 전면 재검토하라고 요구했습니다. 최대집 / 대한의사협회장 ""이 투쟁이 언제 끝날지는 전적으로 정부의 태도에 달려있다는 점을 강조하면서 다시 한번 4대 악 의료정책 철폐를 촉구합니다."" 집회에는 지난주 모였던 전공의들을 포함해 개원의, 의대생 등이 모여 정부의 의대 정원 확대 정책을 비판했습니다. 동네 병·의원 약 3곳 중 1곳이 휴진하면서 상당수 환자들은 헛걸음을 하기도 했습니다.""왜 이렇게 깜깜하죠?"" ""아, 휴진이에요."" 시민 ""문자가 다 있고 그런데. 미리 그런 안내도 안 하고 문을 닫잖아."" 비상진료체계를 가동한 정부는 의사들의 파업에 유감을 나타내고 대화를 거듭 제안했습니다 박능후 / 보건복지부 장관 ""의대 정원 확대 방안은 의사 인력 부족과 지역격차 문제를 해소하기 위해 꼭 필요한 정책이라고 생각합니다."" 하지만 의협은 의대 정원 확대 방침을 정해 놓고 하는 대화는 하지 않겠다며 이달 말 2차 파업을 예고했습니다. TV조선 송민선입니다."
3,TV조선,"與 김성주 ""의사국시 거부 구제 곤란…행동 스스로 책임져야""","국회 보건복지위원회 여당 간사인 김성주 더불어민주당 의원은 오늘(8일) 의대생의 국시 거부에 대한 구제책과 관련해 ""의대생들도 성인이므로 정부 정책에 대한 불만을 다양한 방법으로 표시한 행동에 대해서는 스스로 책임을 져야 한다""고 했다. 김 의원은 이날 CBS라디오 '김현정의 뉴스쇼'와의 인터뷰에서 ""제도의 일관성과 형평성을 유지해야 하는 정부로서도 더 이상 구제책을 내놓기가 곤란한 상황""이라며 이렇게 말했다 김 의원은 ""복지부 얘기를 들어보면 응시를 취소한 학생들에게 개별적으로 전화나 문자를 통해서 본인 의사가 맞는지 확인 과정을 거쳤다고 한다""고 설명했다. 이어 ""의사협회(의협)나 전공의 또는 의대 교수님들이 나서서 학생들 설득을 했어야 한다""며 ""설득을 소홀히 한 것이지 기간이 짧았다고 보지는 않는다""고 말했다. 또 정부의 의대정원 확충과 공공의대 등 공공의료 정책 철회 요구에 대해서는 ""법안을 중심으로 원점에서 재논의하는 것""이라며 ""문제가 있다면 법안 내용을 중심으로 수정 의견을 내서 보완해 서로 합의하면 통과시키는 것""이라고 했다. 그러면서 김 의원은 ""해당 정책에 보완해야 할 점이 있다면 수정하면 된다. 오랜 연구와 토론 끝에 결정한 정책을 철회하라고 하는 것은 어느 정부도 받아들일 수 없는 것""이라고 덧붙였다. / 윤수영 기자"
4,TV조선,"김태년 ""'의료계 파업 해결' 특위 구성 원칙적 합의"" ","김태년 더불어민주당 원내대표 / 연합뉴스여야가 공공의료 확충과 지역의료 격차 해소를 논의하기 위한 국회 특별위원회를 설치하기로 했다. 김태년 더불어민주당 원내대표는 오늘(3일) 국회에서 열린 정책조정회의에서 ""국민의힘 주호영 원내대표와 특위 설치에 원칙적으로 합의했다""며 이같이 말했다. 회의에 참석한 한정애 정책위의장도 ""특위 구성을 통해 의료전달체계 개편, 수렴환경 개편, 지역 가산수가 신설 등 의료체계 개선을 위한 열린 논의를 약속한다""고 밝혔다. 한 정책위의장은 또 보건의료 정책 등 논란이 된 법안들에 대해 ""'원점 검토' 입장은 유효하다""며 ""범투위(범의료계 4대악 저지투쟁 특별위원회)가 국민의 생명을 최우선으로 생각하는 결론이 내려질 것이라고 기대한다""고 말했다. 한편 의사협회를 중심으로 교수, 전공의, 개원의 등 의사 전 직역이 참여하는 범투위는 이날 오후 1시 비공개 회의를 열고 여당의 제안에 대한 협상안을 마련할 예정이다. / 윤수영 기자"
5,TV조선,"정부, 의사 국시 1주일 연기…""전공의 진료현장 돌아와 달라""","김강립 보건복지부 차관이 31일 정부서울청사 브리핑실에서 전공의 의사 국가고시 실기시험 1주일 연기를 발표하고 있다. / 연합뉴스정부가 2021년도 제85회 의사국가시험 실기시험 시작을 하루 앞두고 1주일 연기 방침을 전격 발표했다. 김강립 보건복지부 차관은 31일 브리핑에서 “의대생 피해를 최소화하기 위해 1일 시행 예정이던 의사 국가고시 실기시험을 1주일 연기헤 8일부터 시행한다”고 밝혔다. 이에 따라 시험 일자는 9월 8~25일로 조정되며 9월21일 이후 응시 예정자의 시험일자는 추석 연휴 기간 등으로 인해 10월12일로, 마지막 시험은 11월10일에 실시된다. 정부는 또 의과대학 정원 확대 등 보건의료 정책 추진에 반발하며 무기한 집단휴진을 이어가는 전공의들을 향해 국민을 위해 대승적 결단을 내려달라고 촉구했다. 김 차관은 “코로나19의 전국적 유행 우려가 큰 상황에서 전공의들이 있어야 할 곳은 환자의 곁이라는 사실을 유념해달라”며 이같이 말했다. 이어 그간 논의과정과 문재인 대통령의 입장 등을 언급하며 “국민을 위해 의료인 본연의 사명감을 다하는 자세를 보여 달라”고 당부했다."
6,TV조선,전공의 사직에 교수들도 진료중단…의대생도 단체행동 계속,"정부의 보건의료 정책 추진에 반발하는 전공의들이 집단행동이 계속되는 가운데 사직 결의 등 단체행동도 이어지고 있다. 31일 서울대병원 전공의협의회에 따르면 이날 오전 11시 기준 소속 전공의 953명 중 895명(93.9%), 전임의 281명 중 247명(87.9%)이 업무 중단 및 사직서 제출에 참여했다. 이날 서울대 의대 총학생회에 따르면 서울대 의대 예과 학생 235명, 본과 학생 375명이 지난 28일 휴학계를 제출해 본과 4학년을 제외한 83%가 동맹 휴학에 참여한 것으로 나타났다. 교수들도 단체행동에 나서 서울성모병원 외과 교수 일동은 9월7일 하루 외래진료와 수술을 중단하기로 했고, 중앙대병원 신경외과 교수 9명도 ‘사직 성명서’를 발표해 단체행동에 참여하기로 했다."
7,TV조선,[따져보니] 감정 싸움된 의사 파업…4대 쟁점 다시 보니,"           play-rounded-fillplay-rounded-outlineplay-sharp-fillplay-sharp-outline   pause-sharp-outlinepause-sharp-fillpause-rounded-outlinepause-rounded-fill   00:00              ShareTwitterEmbed      ▶  다음 동영상이 곧 재생됩니다. 취소    3분 미리보기가 종료되었습니다. 풀 영상을 감상하시려면 아래의 VOD 구매를 통해 이용하실 수 있습니다. VOD 구매       [앵커]이렇게 정부와 의료계가 한 치의 양보도 없이 평행선을 달리고 있습니다, 서로간에 감정의 골도 갈수록 깊어지고 있습니다. 단순한 의사수 증원문제로 이러는 것인지 지금부터 쟁점들을 하나씩 따져보겠습니다. 윤슬기 기자, 정부와 의료계가 충돌하는 가장 큰 이유가 뭡니까? [기자]의사협회는 '정부의 4대 의료 정책' 전부를 철회하라고 요구하죠. 의대정원 확대, 공공의대 신설, 한약 탕약 건강보험 시범적용, 원격의료 확대 등인데요. 무엇보다 근본적인 갈등은 적정 의사 수에 대한 양측의 입장차입니다. 정부는 의사수가 OECD 평균보다 낮고 지역 의료격차가 심해, 이를 의사수를 늘려 해결하자는 입장인 반면, 의료계는 의사 밀도같은 다른 통계들을 보면 의료 접근성이 오히려 높다며 의사 증원을 반대하죠. [앵커]그런데 의대에 입학해도 보통 10년 뒤에야 의사가 되니까, 지금 통계보다는 미래의 의료 수요 예측이 더 중요하지 않을까요? [기자]최근 서울의대 홍윤철 교수의 논문에 따르면, 외래 수요량이 가장 많아지는 해는 2043년으로 현재보다 약 1.2배, 입원 수요량은 2059년 정점을 찍어 현재보다 약 2.5배 높을 거란 연구결과가 나왔습니다. 원인은 고령화, 즉 노인 인구가 늘면 질병도 늘어 의료 수요가 급증한다는 거죠. 만약 의대 정원을 계속 동결할 경우 2054년, 부족이 예상되는 의사수는 5만5260명으로 나타났습니다. 이는 현재 의사수의 절반에 해당되는 수치죠. [앵커]고령화 사회에 대비하려면 의사수를 늘리는게 마땅하겠군요? [기자]그런데 의료계는 이렇게 반박합니다. 앞서 국내 외래진료 횟수가 1등이라고 말씀드렸는데요, 의사가 더 많아지면 '과잉진료' 즉 수익을 위해 불필요한 진료가 늘 수 있어 환자 부담이 커질 수 있다는 거죠. 또, 정부가 추진하는 이른바 '지역 의사'들이 10년의 의무 복무를 마친 뒤 수도권에 몰릴 가능성도 제기합니다. 그러면 정부 목표와 달리, 수도권 쏠림현상이 악화될 수 있다고도 주장하죠. [앵커]지역 기피뿐 아니라 비인기과목 기피 현상도 심각한데, 의료계가 생각하는 해결책은 뭡니까? [기자]이런 기피 지역, 비인기 과목에 수가 인상 등의 보상과 유인이 있어야 쏠림현상이 해소될 거란게 의료계의 기본 입장입니다. [앵커]그리고 한의원의 탕약에 의료보험을 적용하는 문제 또 원격 의료 허용 문제도 있는데 이건 어떻습니까? [기자]이 또한 쉬울 것 같진 않습니다. 각각 건강보험 재정 악화, 오진 등을 이유로 의료계가 오래전부터 반대해왔기 때문이죠. [앵커]당장은 코로나 사태가 갈수록 심각해 지는데 국민들이 불안해 하지 않도록 양측이 타협의 지혜를 발휘했으면 좋겠습니다. "
8,TV조선,"국민의당 ""공공의 적은 의사가 아닌 코로나19임을 명심하라""","국민의당은 문재인 대통령이 의사협회 총파업에 대해 ""원칙적 법 집행을 통해 강력히 대처하라""라고 지시한데 대해 ""지금 우리의 공공의 적은 의사가 아닌 코로나19 바이러스임을 명심해야 한다""고 밝혔다. 안혜진 국민의당 대변인은 논평을 통해 ""신종 코로나바이러스 감염증(코로나19) 사태에서 의료 공백 우려가 심각해지고 있는 상황에 국민의 불안감과 한숨은 깊어만 간다""며 이같이 지적했다. 안 대변인은 ""의료계 덕분에 K-방역의 성과를 자랑하기 바빴던 정부가 하필이면 2차 코로나 확산으로 비상사태가 발생한 지금 국민의 생명을 담보로 힘겨루기를 하고 있는지 도무지 이해할 수 없다""며 ""의사들이 자기 밥그릇을 지키기 위해 이기적 파업에 나선 양 마녀사냥하는 식으로 의료진 전체를 공공의 적으로 몰아가는 것은 옳지 않다""고 비판했다. 또 ""코로나 방역의 최일선에 서야 할 의사들이 이 시국에 파업에 나서는 것은 결코 바람직하지 않은 일인 건 분명하다""고 전제한 뒤 ""현 정권이 코로나 위기 상황에 전문 의료관계자들은 물론, 국민들 다수가 공감하지 못하는 졸속 의료 정책들을 충분한 의견 수렴 없이 마구잡이로 밀어 부쳐 갈등을 조장하는 것이 가장 바람직하지 않다""고 지적했다. 안 대변인은 ""국민 다수가 의구심을 갖는 공공의대 신설과 같은 방법으로 의대생 정원을 확대하겠다는 정책 실현이 과연 의사들을 파업으로 내몰면서까지 관철시켜야 할 시급한 사안인가 돌아보기 바란다""고 덧붙였다. / 김수홍 기자"
9,TV조선,"의협, 의대증원·원격의료·첩약급여화 등에 총파업 경고","의사단체가 의대 정원을 늘리는 등 정부의 의료정책에 반발하며 투쟁을 예고했다. 대한의사협회는 지난 11일 경주 코오롱호텔에서 열린 전국광역시도의사회장단협의회에서 정부가 한방첩약의 급여화, 의대 정원 4천명 증원, 공공 의대 신설, 원격의료 등을 추진할 경우 총파업을 포함한 대정부 투쟁에 나서기로 의견을 모았다고 오늘(13일) 밝혔다. 의협은 조만간 전체 회원 대상 설문조사를 거친 뒤 대의원회를 열고 투쟁 수위를 정하기로 했다. 최대집 의협회장은 ""정부가 의료계를 투쟁의 외길로 몰아넣고 있다""며 ""정부 의료정책으로 대한민국 의료시스템의 근간이 붕괴할 것""이라고 말했다. / 황병준 기자"
