,Press,Title,Text
0,연합뉴스,"정부-의사단체, 4대 의료정책 대립…쟁점은","닫기정부-의사단체, 4대 의료정책 대립…쟁점은[앵커]의사들의 집단행동 배경에는 의사 추가 양성을 골자로 하는 정부의 4대 의료정책이 있습니다.정부와 의사단체가 계속 대립하고 있는데, 조성미 기자가 쟁점을 짚어봤습니다.[기자]정부가 추진 중인 '4대 의료정책'에 대해 의사단체들은 파업까지 불사하며 반대하고 있습니다.<최대집 / 대한의사협회 회장> ""이 투쟁이 언제 끝날지는 전적으로 정부 태도에 달려있다는 점을 강조하면서 4대악 의료정책 철폐를 촉구합니다.""4대 의료정책은 의대 정원 증원, 공공의대 신설, 한방 첩약 건강보험 적용, 비대면 진료 육성으로 요약됩니다.의사들의 가장 큰 반발을 사고 있는 것은 의대 정원 확대입니다.정부는 2022년부터 10년간 의대 정원을 4,000명을 늘려 의료 인력이 부족한 지역 의사와 기초 연구 인력 등으로 활용할 계획입니다.또 의대가 없는 지역엔 공공의대를 세워 필수 인력을 양성하고 주로 공공의료기관에 배치한다는 구상입니다.<박능후 / 보건복지부 장관> ""일정 규모 이상의 진료권마다 훌륭한 지역병원을 육성할 것입니다. 감염병에 대응할 의사, 의공학을 연구할 의사 등 꼭 필요한 인재들을 키울 것입니다.""의료계는 인구 감소율과 의사 증가율을 고려하면 의사 수는 충분하다고 반박합니다.또 예비 의사 수련 환경이 열악하다며 정원 확대에 앞서 제대로 된 수련병원과 교수 인력을 확보하라고 요구합니다.10년간 의무 근무해야 하는 지역 의사제는 개인의 직업 선택 자유를 침해한다고도 맞서고 있습니다.정부가 3가지 질환에 한해 한방 첩약에도 건강보험을 적용하기로 하자 의사들은 첩약의 안전성을 우려하면서 의약품과 형평이 맞지 않는다고 주장합니다.비대면 진료 육성책을 놓고도 대립하는 등 양측이 절충점을 찾지 못하고 있습니다.연합뉴스TV 조성미입니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
1,연합뉴스,"4대 의료정책 향방은…""공공의료 포기"" 반발도","닫기4대 의료정책 향방은…""공공의료 포기"" 반발도[뉴스리뷰][앵커]정부·여당과 의사협회의 합의로 4대 의료정책이 멈춰 서게 됐습니다.공공의료 강화 포기라는 반발도 강합니다.배삼진 기자입니다.[기자]정부의 4대 의료정책 가운데 당장 의대 정원 확대와 공공의대 신설 추진이 중단됐습니다.2022년부터 10년간 매년 의대생 400명을 추가 선발하기로 했던 계획은 사실상 없던 것이 됐고, 매년 49명의 공공의사를 선발하는 공공의대 신설 역시 불투명해졌습니다.의사단체가 줄곧 반대해 온데다 원점에서 재논의하기로 한 만큼 다시금 명분을 찾는데 상당한 시간이 걸릴 것으로 보입니다.이같은 의료 현안을 다룰 의정협의체가 구성되는데, 코로나19 상황에서 해외 근로자 치료를 위해 도입을 추진하고 있는 비대면 진료와 한방 첩약 급여화 시범사업도 이 기구에서 논의됩니다.하지만 정부와 의협이 그동안 대립해온 사안인 만큼 진통이 예상됩니다.<김헌주 / 보건복지부 보건의료정책관> ""첩약 급여화 시범사업의 경우는 건강보험정책심의위원회에서 의결된 사안입니다. 예정대로 진행하겠습니다만 합의서에 나와 있던 것처럼 관련 협의체를 거쳐서""참여연대 등 177개 시민사회단체는 의·정 합의 내용을 비판했습니다.이들 단체는 ""시민의 건강과 안전에 직결된 공공의료 정책을 논의하면서 이익단체인 의사의 요구대로 공공의료 포기를 선언한 것은 받아들일 수 없다""고 반발했습니다.<이보라 / 인도주의실천의사협의회 공동대표> ""기존의 정부안도 굉장히 미흡한 개혁안이었는데, 보수적인 이익집단에 의해 좌초된 것은 안타까운 일이고, 정부의 무능함이 드러난 사례다.""정부·여당과 의협의 합의에도 갈등의 불씨는 여전히 살아있습니다.연합뉴스TV 배삼진입니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
2,연합뉴스,의·정 강대강 대립…의료정책 4대 쟁점은,"닫기의·정 강대강 대립…의료정책 4대 쟁점은[앵커]의료정책을 둘러싼 정부와 의사단체의 대립이 집단휴진과 검찰 고발까지 불러오며 격화하고 있습니다.쟁점은 무엇인지, 어떻게 풀어가야 할지, 이동훈 기자가 전해드립니다.[기자]정부와 의사단체들이 입장차를 좁히지 못하고 있는 정책은 4가지입니다.그중에서도 의대 정원 확대, 공공의대 설립 등이 주요 쟁점으로 떠올랐습니다.정부는 우선 지역 의료 불균형을 해소하기 위해 의사 수를 늘려야 한다고 말합니다.현재 연간 3,000명 수준인 의대 정원을 매년 400명씩, 10년간 4,000명을 늘린다는 구상입니다.증원된 4,000명 중 3,000명은 지역 의사 특별전형으로 선발해 의사가 부족한 지방에서 10년간 의무적으로 근무하도록 한다는 겁니다.정부는 경제개발협력기구 OECD의 지난해 자료를 인용해, 우리나라 인구 1,000명당 의사 수는 2.3명으로 회원국 평균 3.5명에 비해 부족하다고 설명합니다.하지만 의사단체들은 정부가 지방의 병원과 장비 부족 등 근본적인 문제를 외면한 채 통계를 선택적으로 사용한다며 반발합니다.같은 자료에 포함된 우리나라 국민 1인당 외래 진료 횟수는 회원국 평균 7.1회의 2배 이상인 16.6회.또 국토 면적 10㎢당 의사 수 역시 OECD 회원국 중 3번째로 결코 의사 수가 부족한 것은 아니라고 반박합니다.공공의대 설립은 역학조사관, 감염내과 전문의 등 국가의 필수 분야 의료인력을 양성한 뒤 의무 복무를 하게 하는 제도지만 역시 근본적인 지방 기피현상을 해결할 수 없다는 반발에 부딪혔습니다.정부가 시민단체가 참여하는 시·도 추천위원회를 구성해 정원을 선발하겠다고 설명해 공정성 논란이 일기도 했습니다.이외 한의원의 일부 탕약 의료보험 적용, 원격의료 허용도 의사단체들은 건강보험 재정 악화, 오진 우려 등을 이유로 반대하고 있습니다.전문가들은 코로나19 사태 해결이 먼저라며 지금은 서로 한 발씩 물러서야 할 때라고 말합니다.<백순영 / 가톨릭대 의대 미생물학교실 교수> ""4가지의 의료 정책들을 갖고 왈가왈부하고 파업을 한다는 것은 양측 다 심각한 부담을 안고 있는데요. 4가지 정책들을 각기 따로따로 심도있는 논의를 통해서…""양측의 강대강 대립으로 환자가 피해를 보는 만큼 대화를 통해 해결해야 한다는 겁니다.연합뉴스TV 이동훈입니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
3,연합뉴스,[1번지五감] 전공의 순차 파업…'의료정책 반대' 1인 시위 外,"닫기[1번지五감] 전공의 순차 파업…'의료정책 반대' 1인 시위 外▶ 전공의 순차 파업…'의료정책 반대' 1인 시위1번지오감, 오늘의 첫 번째 사진입니다.정부의 공공의대 신설과 의사증원 계획 등에 반대하는 전공의들이 오늘부터 순차 파업에 돌입했죠.병원 앞에서 1인 시위를 하고 있는 대한전공의협의회 관계자.""공공의료 의사증원? 중요한 것은 여건이다""라고 주장하고 있습니다.코로나19 위기 상황 속에서 파업이 장기화할 경우 심각한 의료 공백이 우려되고 있습니다.정부는 일단 ""집단행동을 중단한다면 의료계가 반발하는 정책추진을 유보하고 다시 논의할 수 있다""는 입장을 밝혔는데요.서둘러 현명한 해법을 마련해주길 기대하겠습니다.▶ '코로나19 예방'…칸막이 설치된 민주당 회의실두 번째 사진 볼까요.더불어민주당 회의실인데요.감염예방을 위한 투명 칸막이가 좌석마다 설치되어 있습니다.코로나19 위기로 정치권도 비상에 걸린 겁니다.이런 상황에서도 여야는 연일 코로나19 재확산의 책임을 두고 공방을 이어가고 있는데요.국민들은 아마도 위기극복을 위해 힘을 모으는 모습을 보고 싶어 하지 않을까 싶습니다.▶ 터전 잃은 이재민…폭염·코로나19 겹쳐 삼중고마지막 사진입니다.벽지가 모두 뜯긴 방, 장판조차 없는 시멘트 바닥에 얇은 이불을 깔고 누운 남성.장마로 침수 피해를 입었던 전남 곡성에서 코로나19 확진자가 발생하자 이재민 대피소가 폐쇄됐는데요.갈 곳을 잃어버린 주민은 아직 수해 복구가 덜 된 집에서 휴식을 취하고 있는 겁니다.유례없이 긴 장마로 수해를 입은 데 이어 폭염에 바이러스까지 겹치면서 이재민들은 삼중고를 겪고 있습니다.지금까지 1번지 오감이었습니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
4,연합뉴스,[AM-PM] '정부 의료정책 반대' 24시간 집단 휴진 外,"닫기[AM-PM] '정부 의료정책 반대' 24시간 집단 휴진 外오늘 하루 주요 일정을 살펴보는 보도국 AM-PM입니다.어떤 일정이 있는지 함께 확인해보시죠.▶ '의대 정원 확대 반대' 24시간 집단 휴진정부의 의대 정원 확대 방침에 반대하는 의사들이 24시간 집단 휴진에 돌입합니다.응급실 등 필수 인력은 제외되지만, 전국적으로 개인병원 8,000여 곳이 휴진에 참여할 것으로 전망됩니다.오후 3시엔 서울 여의대로에서 궐기대회를 여는데요.주말에 임시공휴일까지 맞물려 의료공백이 길어질 것으로 전망됩니다.▶ 세계 일본군 위안부 기림일…""영원히 기억한다""오늘(14일)은 세계 일본군 '위안부' 기림일입니다.1991년 오늘, 고 김학순 할머니가 위안부 피해 사실을 알린 날을 기념하는 날로, 올해가 8번째입니다.정의기억연대 등 관련 단체들은 전국 곳곳에서 이를 기념하는 나비 문화제와 각종 행사를 엽니다.올해 기림일의 주제는 ""그녀들의 말하기, 우리가 영원히 기억한다"" 입니다.▶ 첫 택배없는 날…""28년 만에 맞는 휴무""오늘(14일)은 '택배없는 날' 입니다.택배업계가 배송 기사들의 휴식을 위해 지정한 날인데요.시장 80% 정도를 차지하고 있는 대형 택배사들이 참여 의사를 밝혔습니다.로켓배송 등 새벽배송은 평소처럼 이뤄집니다.택배 배송은 다음 주 월요일인 17일 재개됩니다.오늘 살펴볼 일정은 여기까지입니다.지금까지 보도국 AM-PM이었습니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
5,연합뉴스,"정부 ""의료인 처벌 원치 않는다""…복지부·전공의 대화","닫기정부 ""의료인 처벌 원치 않는다""…복지부·전공의 대화[앵커]집단휴진에 참여한 전공의들을 경찰에 고발한 정부가 처벌을 원치 않는다며 강경 대응에서 한발 물러서는 모습을 보였습니다.오늘 저녁에는 전공의들과 보건복지부 실무진이 비공개 대화를 할 예정입니다.보도국 연결해 봅니다.김장현 기자.[기자]네. 정부가 의사단체의 집단휴진과 관련해 단 1명의 의료인도 처벌 받길 원하지 않는다며 진료에 복귀하고 대화에 나설 것을 촉구했습니다.정세균 국무총리는 오늘 정부서울청사에서 출입기자들과 만나 ""정부는 문제 해결을 위해 유연한 자세로 최선을 다할 생각""이라며 이같이 밝혔습니다.정부가 오늘부터 예정된 의사 국가고시 실기시험을 의대생들의 응시 취소 사태로 일주일 연기한데 이어 유연한 입장을 밝히며 한발 물러서는 모습을 보인건데요.이런 상황에서 오늘 저녁 보건복지부 실무진과 전공의들이 비공개로 만날 예정입니다.전공의협의회 관계자는 이번 만남이 협상을 위한 자리는 아니고, 집행부가 직접 나서 참여하지도 않을 것이라고 말했습니다.일선 전공의들이 의대 증원 등 정부 정책에 대해 의견을 나누는 자리라고 설명했습니다.보건복지부가 어제 의료정책을 놓고 전공들의 공개토론을 할 수 있다고 밝혔는데 전공의협의회가 오늘 기자회견에서 수용 의향을 밝혔습니다.이에 따라 공개토론회가 성사될 가능성이 커졌습니다.[앵커]전공의협의회와 정부는 아직까지 서로 기존 입장을 유지하고 있죠.[기자]네. 전공의협의회는 정부가 등 4대 의료정책을 전면 철회하고 원점에서 재논의한다는 것을 문서로 명문화 해달라고 요구하고 있습니다.4대 의료정책은 의대 정원 확대와 공공의대 설립, 한방 첩약 급여화, 비대면 진료 육성입니다.필수 의료 기피 현상과 지역간 의료격차 해소를 위해선 의료 수가 정상화와 지역 내 병원 확충이 선행돼야 한다고 주장하고 잇습니다.반면, 정부는 의대 정원 확대 추진은 어떠한 조건도 걸지 않고 이미 중단된 상태라고 강조했습니다.또 전공의들이 철회를 촉구하는 한방첩약 시범사업, 공공의대 신설 등은 행정부 권한을 벗어난 사안으로 건강보험법 위반, 국회 입법권 관여 등의 문제가 있다고 지적했습니다.그러면서 ""정책 철회 요청이 환자들의 생명과 안전을 위협하는 집단적인 진료 거부까지 강행할 만큼 중요하고 시급한 것인지 재고해 달라""고 말했습니다.이처럼 양측의 입장이 맞서는 가운데 오는 7일 의사협회의 3차 무기한 파업을 앞두고 대화와 공개토론회를 통해 접점을 찾을지 주목됩니다.지금까지 보도국에서 전해드렸습니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
6,연합뉴스,"정부 ""의료인 처벌 원치 않는다""…대화·토론회로 풀까","닫기정부 ""의료인 처벌 원치 않는다""…대화·토론회로 풀까[앵커]집단휴진 참여 전공의들을 경찰에 고발한 정부가 처벌을 원치 않는다며 유연한 자세로 대응하겠다는 입장을 밝혔습니다.정부와 전공의단체가 기존 입장을 고수하면서도 대화 의지를 보여 타협점을 찾을 수 있을지 주목됩니다.김장현 기자입니다.[기자]전공의들의 집단휴진 12일째.전공의들이 보건복지부 청사 앞에서 피켓 시위를 벌입니다.전공의와 전임의의 사직서 제출도 이어졌고, 교수들도 전공의들을 지지하고 나섰습니다.집단휴진에 참여한 전공의들을 고발한 정부는 한발 물러섰습니다.의사 국가고시를 일주일 연기한 데 이어 전공의들과 의료정책을 놓고 공개토론을 할 수 있고, 처벌도 원하지 않는다는 입장을 밝혔습니다.<정세균 / 국무총리> ""정부는 단 1명의 의료인도 처벌을 받는 일을 원하지 않습니다. 유연한 자세로 현안을 해결하기 위해서 최선을 다할 생각입니다.""정부는 공개토론 의향도 밝혔는데 전공의협의회는 응할 수 있다는 입장을 내놨습니다.<박지현 / 전공의협의회 비상대책위원장> ""찬반 논란이 있어도 되는 그런 공청회를 매우 환영하는 바입니다. 국민들이 그 과정에서 많은 참여와 관심을 주셨으면 좋겠습니다.""정부와 전공의들의 물밑 대화도 이뤄지고 있습니다.전공의협의회 관계자는 ""아직 협상을 위한 만남은 아니라면서, 일선 전공의들이 정부 정책에 대해 의견을 나누는 자리""라고 말했습니다.다만 정부가 의대 정원 확대, 공공의대 설립 등 4대 의료 정책을 전면 철회하고 원점에서 재논의하는 내용을 문서로 명문화하면 복귀하겠다는 기존 입장은 고수했습니다.이에 정부는 의대 정원 확대 추진은 어떠한 조건도 걸지 않고 이미 중단된 상태라고 강조했습니다.이처럼 양측의 입장이 맞서는 가운데 오는 7일 의사협회의 3차 무기한 파업을 앞두고 대화와 공개토론회를 통해 접점을 찾을지 주목되고 있습니다.연합뉴스TV 김장현입니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
7,연합뉴스,"정부 ""국회-의료계 합의하면 존중할 것""","닫기정부 ""국회-의료계 합의하면 존중할 것""정부가 의사단체의 집단휴진 사태와 관련해 국회와 의료계의 논의 결과를 기다리겠다는 입장을 밝혔습니다.손영래 보건복지부 대변인은 오늘(2일) 브리핑에서 ""원만한 결과가 있기를 기대한다""며 ""충분히 합의되는 부분들을 존중할 생각을 갖고 기다리는 중""이라고 말했습니다.더불어민주당 한정애 정책위의장은 어제 최대집 의사협회장과 만나 의대 정원 확대 등의 정책에 대해 ""완전하게 제로 상태에서 논의할 수 있다""고 말했습니다.국회 보건복지위원회 소속 미래통합당 의원들은 전공의협의회에 코로나19 사태가 안정되면 의료정책을 원점에서 재논의하겠다고 약속했습니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
8,연합뉴스,의협 오늘부터 2차 총파업…의료 공백 우려,"닫기의협 오늘부터 2차 총파업…의료 공백 우려[앵커]의대 정원 확대 등 정부의 의료정책에 반발하는 대한의사협회가 오늘부터 2차 총파업에 나섭니다.전국 전공의는 엿새째 집단휴진을 하고 있는데요.전임의도 휴진에 적극 참여하고 동네 의원까지 문을 닫으면 진료 공백이 커질 것으로 우려됩니다.보도에 이진우 기자입니다.[기자]개원의로 이뤄진 대한의사협회가 오늘부터 사흘간 2차 총파업을 벌입니다.오전에는 온라인으로 비대면 궐기대회를 엽니다.정부와 의협이 물밑 협상을 이어갔지만 의대 정원 확대와 공공의대 신설 문제 등을 놓고 타협점을 찾지 못한데 따른 것입니다.양측 모두 대화는 계속하겠다는 입장으로, 극적 타결 가능성은 남아있습니다.앞서 지난 14일 의협의 1차 파업 당시 동네의원의 32%가량이 휴진 했는데, 이번 2차 총파업은 참여율이 더 높을 것으로 예상되고 있습니다.여기에 전국 전공의들 가운데 60%가 집단휴진에 참여한 가운데, 전임의들에 이어 동네의원까지 가세하면 파업 규모는 커지게 됩니다.<전임의 관계자> ""(전국 전임의 4,000여명 중 파업 참여자는) 2,400명대로 기억하거든요. (성명서에) 실명을 미처 기재 못한 사람도 있어서 실제 규모는 그보다 훨씬 많을 거라고 생각합니다.""이에 따라 대형 병원들이 수술 일정을 미루거나 외래 예약을 줄이면서 환자들의 피해가 이어지고 있습니다.정부는 이에 대비해 복지부 홈페이지에 '집단휴진 기간 문 여는 병원'을 안내하고 있습니다.홈페이지에 접속하면 가까운 의원을 지도에서 찾을 수 있고, 진료 가능 날짜도 확인할 수 있습니다.정부와 지방자치단체는 환자 불편과 피해를 줄이기 위해 보건소 중심의 비상 의료·진료지원 체계 가동에 나섰습니다.연합뉴스TV 이진우입니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
9,연합뉴스,[단독] 합의문 놓고 의료계 진통…의협 vs 전공의 갈등,"닫기[단독] 합의문 놓고 의료계 진통…의협 vs 전공의 갈등[앵커]대한의사협회가 더불어민주당, 보건복지부와 코로나19 사태 안정화 이후 4대 의료정책을 원점에서 재논의하기로 합의했습니다.하지만 대한전공의협의회는 구체적인 합의내용을 듣지 못했다며 반발하고 있습니다.의료계 내부 진통이 그대로 드러난 두 단체 지도부의 통화내용을 입수했습니다.최덕재 기자가 단독 보도합니다.[기자]의사협회가 민주당과 보건복지부와 마련한 합의안에 대해 전공의 단체가 강하게 반발했습니다.대한전공의협의회 비대위를 비롯한 젊은의사 비대위는 절차상 문제를 제기하고 나섰습니다.박지현 대전협 비대위원장은 의협과 민주당의 합의문 서명 직후 최대집 의협 회장에게 전화로 강하게 항의했습니다.<박지현 / 대한전공의협의회 비상대책위원장> ""강행을 하셨더라고요. 밤 늦게까지 만나면서 합의안을 주고 받은 기록이 있는 것으로 알고 있습니다. OOO 이사님 OOO 이사님께서 짜고 이 판을 벌이신건가요.""<최대집 / 대한의사협회장> ""무슨 짜고 이 판을 벌여. 우리가 충분히 안을 반영해서 범투위 회의때 많은 이야기를 나눴잖아. 대전협은, 그쪽 비대위는 원래 갖고 있는 생각을, 갖고 있는 계획이나 그대로 가면 되잖아.""전공의들의 강한 반발 속에 의협과 정부여당간 합의문 서명식 일정에도 일부 차질이 빚어졌습니다.오전 8시 반으로 예정됐던 민주당과 의협간 서명식은 10시가 지나서야 진행됐고 오후 1시로 예정됐던 정부와 의협간 서명식은 전공의들이 현장을 점거해 장소까지 바꿔 진행됐습니다.대전협 박지현 비대위원장은 SNS 라이브를 통해 ""정당한 의사결정을 거쳤다고 해도 비대위에 알려지지 않은채 진행된 합의에 동의할 수 없다""고 밝혔습니다.이어 ""단체행동 중단은 스스로 결정한다""고 밝혔지만 어떤 단체행동을 벌일지 구체적으로 언급하지는 않았습니다.연합뉴스TV 최덕재입니다. (DJY@yna.co.kr)연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23(끝)"
